Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Brunei               : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    17.2    12.9    12.7    14.4    16.7    16.3    16.5    16.6    19.1    20.6    21.7    20.9    43.8    49.4    61.4    58.5   205.4
 1902    22.9    14.7    10.7    24.9    24.8    12.4    15.1    16.6    19.4    23.9    26.3    20.7    60.5    44.1    69.6    27.3   232.5
 1903     3.0     3.7     5.2     5.1    10.6    10.0    22.8    24.0    20.6    24.3    17.2    20.1    20.8    56.7    62.1    62.7   166.4
 1904    23.1    19.4    13.8    19.6    13.5    10.5    12.9    12.3    14.0    26.9    17.9    22.6    46.9    35.8    58.8    34.0   206.6
 1905     5.9     5.6     0.0     6.7    22.3     9.9    19.1     8.9    12.5    20.7    26.5    13.9    29.0    37.9    59.7    32.3   151.9
 1906     8.2    10.2     9.1    10.5    20.0    14.2    15.1    15.5    17.8    17.7    12.9    26.1    39.6    44.8    48.4    56.7   177.3
 1907    17.8    12.9    12.7    10.5    20.4    11.0    14.0    16.5    22.7    20.3    21.2    21.0    43.6    41.5    64.2    57.2   200.8
 1908    15.9    20.3    16.9    13.1    17.5    14.8    14.0    15.4    22.2    21.0    26.8    27.5    47.5    44.3    70.0    64.8   225.5
 1909    22.5    14.8    12.2    11.9    18.8    15.6    15.9    17.1    16.1    21.0    22.7    22.5    42.8    48.6    59.8    68.8   211.0
 1910    23.5    22.8    16.8    17.1    15.9    19.5    11.6    16.5    22.8    21.7    25.7    22.9    49.8    47.6    70.2    55.4   236.8
 1911    18.8    13.7    13.1    16.3    14.5    12.1    16.6    16.7    19.1    19.4    17.6    15.8    43.9    45.4    56.1    30.6   193.7
 1912    10.4     4.4    14.1     9.3    18.1    16.0    16.8    15.9    22.2    21.1    14.9    16.6    41.6    48.7    58.3    46.1   180.1
 1913    18.1    11.3    12.8    19.0    18.9    17.1    17.3    17.1    18.1    20.1    21.3    22.3    50.7    51.5    59.5    44.9   213.4
 1914    14.1     8.6    12.7    10.8    15.2    17.5    14.5    15.5    16.9    16.4    19.2    17.4    38.7    47.5    52.4    37.3   178.7
 1915    14.7     5.2    11.0    14.0    15.1    15.2    17.5    15.7    20.8    21.9    25.6    20.2    40.0    48.4    68.3    48.4   196.8
 1916    14.1    14.1    18.7    14.7    20.0    16.3    21.3    19.3    17.3    22.6    22.2    22.9    53.4    56.9    62.2    60.7   223.6
 1917    18.8    19.0    17.9    11.8    17.0    16.8    12.3    22.4    23.6    20.3    20.8    19.7    46.7    51.5    64.6    64.3   220.3
 1918    25.3    19.3    12.1    16.9    15.6    18.6    12.5    17.0    17.3    19.3    22.9    20.2    44.5    48.1    59.5    40.2   216.8
 1919    12.7     7.3    11.4    10.5    17.8    16.1    18.1     6.5    15.0    24.6    23.8    27.8    39.7    40.7    63.4    58.9   191.5
 1920    20.8    10.4    11.9    17.1    13.3    15.9    11.0    17.0    22.1    20.6    23.2    20.8    42.3    43.9    65.9    54.9   203.9
 1921    15.2    18.8    20.3    14.1    18.7    16.1    17.7    13.3    22.3    18.3    22.3    17.6    53.1    47.1    62.9    49.6   214.8
 1922    18.6    13.4    11.0    17.3    19.9    13.6    16.5    20.3    17.4    23.6    20.6    19.6    48.1    50.4    61.6    54.7   211.7
 1923    19.7    15.4    12.2    17.4    17.2    17.8    16.9    15.6    16.9    18.8    23.3    22.8    46.7    50.3    59.0    51.1   214.0
 1924    16.9    11.3    13.8    17.4    21.2    17.2    16.8    16.7    22.3    18.9    23.5    26.7    52.4    50.7    64.8    70.5   222.7
 1925    22.6    21.3    14.5    16.4    15.2    15.9    13.8    13.6    20.1    23.9    23.1    22.8    46.1    43.3    67.1    48.9   223.2
