Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Bulgaria             : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    10.8    11.6     8.0     9.3     7.9    12.3     7.8     8.9     4.6     9.6     5.6     8.8    25.2    29.0    19.9    22.3   105.3
 1902     5.5     8.0     7.7     9.3    11.7     8.6     6.5     6.5     4.0     6.6     4.6    12.4    28.8    21.7    15.2    24.7    91.6
 1903     7.7     4.5     6.3    12.3    11.2    10.6     6.3     5.1     2.8     6.6     6.9     7.4    29.9    22.1    16.3    21.2    87.9
 1904     4.1     9.7     6.3     6.8     8.1     7.4     5.8     5.1     8.1     6.1     9.8     6.9    21.3    18.3    24.0    23.6    84.2
 1905     8.8     7.9     6.3    10.0     9.9     9.7     6.7     3.0     4.8    11.2     6.1     7.4    26.2    19.4    22.0    25.7    91.7
 1906     9.4     8.9     8.2     7.6    13.0    11.1     7.3     6.5     5.4     7.7     5.9    11.0    28.9    25.0    19.0    26.8   102.2
 1907     8.0     7.9     9.3     9.0     6.6    10.9     6.0     4.2     3.4     1.6     8.0     7.7    24.9    21.1    13.1    24.3    82.5
 1908     7.8     8.8     7.6     8.2     6.5    10.3     7.4     5.1     5.9     5.8    10.8     8.7    22.3    22.8    22.5    24.0    92.9
 1909     7.2     8.1    11.7     7.0     9.2     9.1     5.1     3.9     8.6     6.6     9.7     7.9    27.8    18.1    24.9    27.2    94.1
 1910     9.6     9.6     6.0     9.9     9.0    10.5     7.2     5.4     5.1     8.9     8.0     6.8    24.8    23.2    22.1    21.6    96.1
 1911     8.3     6.5     7.4     9.1    10.4     9.7     6.5     6.4     7.1     4.0     5.2    11.4    26.8    22.6    16.3    28.3    92.0
