Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Burundi              : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    20.8    19.5    14.8    20.1     5.1     3.2     3.7     0.2     0.8     1.7    13.0    11.7    40.0     7.1    15.5    36.3   114.7
 1902    12.8    11.8    11.7    14.6     9.3     8.5     2.4     3.6    15.8    11.9    18.9    13.4    35.7    14.5    46.7    50.5   134.8
 1903    21.1    15.9    23.0    28.9    14.4     6.9     3.7     1.6     7.9    19.8    24.5    20.4    66.4    12.2    52.2    62.2   188.3
 1904    19.4    22.4    23.2    15.2    12.6     1.5     1.6     4.3     4.4    14.7    20.6    24.7    50.9     7.4    39.6    59.6   164.4
 1905    22.0    12.9    25.6    22.5     5.0     1.5     1.3     1.8     8.3    13.4    26.6    26.6    53.1     4.6    48.4    61.5   167.4
 1906    15.1    19.8    25.6    26.6     6.3     4.3     1.6     2.8     7.6    19.2    17.2    16.7    58.5     8.7    44.0    48.2   162.9
 1907    13.9    17.6    17.7    28.1    13.9     4.6     0.9     2.7     7.4    11.6    21.7    18.1    59.7     8.2    40.7    55.9   158.1
 1908    19.5    18.3    14.4    26.1    15.3     3.2     3.2     3.7     4.7    15.1    24.3    22.7    55.7    10.1    44.1    53.7   170.4
 1909    16.5    14.5    20.6    23.3     8.4     0.8     1.8     3.7    14.7     6.3    17.3    19.4    52.3     6.3    38.3    53.8   147.4
 1910    21.4    13.0    20.1    23.4    13.8     0.3     6.2     3.4     2.6     8.4    24.1    21.4    57.3     9.9    35.1    53.5   158.1
 1911    19.6    12.4    23.0    23.0     9.7     3.1     1.2     2.8     3.6    10.4    27.3    16.5    55.8     7.1    41.3    58.8   152.7
 1912    22.6    19.7    17.0    29.1     6.7     1.9     3.3     9.4    17.3    15.9    25.8    21.6    52.8    14.6    58.9    56.7   190.2
 1913    12.8    22.2    23.0    18.0    17.7     4.8     2.3     1.3     4.1    15.2    21.3    16.9    58.7     8.4    40.6    56.9   159.5
 1914    19.6    20.4    22.2    17.4    12.3     4.0     3.4     4.1    12.7    12.1    19.3    19.4    51.9    11.5    44.1    58.8   167.0
 1915    17.4    22.1    21.4    19.8    12.6     3.6     0.4     2.0    12.5    15.2    19.7    29.4    53.8     6.0    47.4    63.4   176.1
 1916    10.3    23.6    18.7    26.3    15.8     4.1     0.5     3.9    11.2    15.8    18.6    18.0    60.8     8.5    45.5    58.1   166.7
 1917    18.2    21.9    18.9    24.9    14.0     3.9     2.7     6.2    10.0    18.0    15.0    19.6    57.8    12.8    43.0    56.3   173.3
 1918    19.6    17.2    20.6    21.6    10.7     3.7     1.5     2.3    10.1    12.5    18.1    22.9    52.9     7.4    40.7    64.5   160.8
 1919    18.6    22.9    23.1    21.2    11.7     0.4     5.1     6.4     9.6    14.7    22.4    20.6    56.0    12.0    46.7    57.1   176.9
 1920    21.7    14.8    25.2    19.0    12.9     2.2     1.7     1.8     8.3    20.2    25.2    24.0    57.1     5.7    53.7    63.4   177.1
 1921    19.4    20.0    16.8    21.7    10.3     1.9     2.4     3.3     7.3    15.3    22.3    13.5    48.8     7.5    45.0    44.5   154.3
 1922    14.4    16.6    17.2    16.1    10.8     0.7     0.2     8.2    10.6    15.0    21.4    25.1    44.1     9.0    47.0    64.8   156.2
 1923    18.0    21.8    19.7    25.4    15.6     1.0     2.5     0.9    13.1    13.3    20.3    24.2    60.7     4.3    46.6    64.5   175.7
 1924    21.1    19.3    19.5    25.5     8.6     0.9     2.4     4.0     8.3    15.0    21.3    20.9    53.5     7.4    44.6    61.9   166.7
 1925    21.5    19.5    26.0    13.3    14.2     8.0     2.2     3.7     9.1    16.1    28.0    23.0    53.4    13.9    53.2    64.3   184.6
 1926    21.4    20.0    22.0    22.4    14.4     1.0     5.9     7.2    15.1    13.4    18.7    19.4    58.9    14.2    47.2    60.7   181.1
 1927    22.8    18.5    24.6    23.0    12.5     2.4     0.7     4.3     8.6    12.8    18.9    22.7    60.1     7.4    40.3    57.6   171.9
 1928    16.5    18.4    17.7    23.2    14.1     3.2     4.6     2.6     8.3    14.7    18.4    22.2    55.0    10.4    41.4    56.1   164.0
 1929    17.9    15.9    23.6    22.9    10.6     1.0     8.5     4.5     7.3    19.3    22.2    24.2    57.1    14.0    48.8    65.2   177.9
 1930    20.9    20.1    24.4    27.1    15.6     5.5     6.8     5.1    15.9    15.9    23.2    19.4    67.1    17.4    55.0    58.1   199.9
 1931    20.2    18.4    23.6    24.1    11.0     2.0     4.9     3.5    10.6    12.0    23.0    25.2    58.7    10.4    45.5    63.3   178.5
 1932    18.8    19.3    24.2    19.8    15.2     2.5     1.3     1.1    11.9    16.8    23.1    22.7    59.2     4.9    51.8    67.5   176.7
 1933    24.9    19.9    19.1    16.8    11.8     4.6     9.3     6.0    12.7    15.1    18.4    22.3    47.7    19.8    46.2    55.7   180.8
 1934    16.7    16.7    20.3    21.4    10.2     4.4     2.4     5.8     7.2    20.1    24.5    23.2    51.9    12.6    51.9    58.3   173.1
 1935    14.9    20.1    21.3    20.4    15.2     7.6     0.0     4.2    10.3    13.5    24.1    23.0    56.9    11.8    47.9    69.2   174.7
 1936    22.4    23.8    22.0    24.8    10.5     7.7     4.0     2.2    10.9    14.4    21.2    25.1    57.4    14.0    46.5    67.4   189.2
 1937    22.4    19.9    25.7    27.3    18.2     2.4     2.4     2.4    10.7    17.2    26.7    19.7    71.1     7.2    54.6    55.4   194.8
 1938    15.6    20.1    23.8    20.1    12.3     2.3     5.9     4.1     8.4    16.6    20.6    22.6    56.2    12.3    45.6    60.0   172.4
 1939    18.3    19.1    22.2    26.1    11.7     1.7     5.0     5.7    11.4    12.8    22.7    18.5    59.9    12.5    46.9    64.7   175.2
 1940    23.2    23.0    22.9    22.5    15.1     2.3     5.6     1.5     5.8    15.3    23.8    19.5    60.5     9.4    44.9    62.7   180.6
 1941    22.0    21.2    22.3    24.4    15.3     2.3     0.2     6.4     4.6    16.6    27.6    23.6    62.0     8.8    48.9    63.9   186.4
 1942    21.2    19.2    25.7    23.9    15.6     0.9     1.8     8.9     3.2    13.9    21.3    20.3    65.3    11.6    38.3    57.6   175.9
 1943    18.6    18.8    19.6    21.3    13.3     3.7     0.4     8.0     9.6    14.3    20.9    21.8    54.2    12.1    44.8    61.8   170.2
 1944    23.3    16.7    22.2    21.0    15.3     0.9     0.5     2.0    12.9    15.6    24.7    20.8    58.6     3.4    53.2    59.0   175.9
 1945    20.6    17.7    19.0    19.3    17.7     6.3     3.8     5.7     8.8    14.6    25.2    20.3    56.1    15.8    48.6    56.8   179.1
 1946    18.4    18.0    20.3    25.8    13.6     2.0     1.2     2.7     7.3    17.2    24.6    24.5    59.7     5.9    49.0    66.8   175.6
 1947    21.5    20.8    22.6    27.1    15.5     5.9     9.5     0.2     9.4    15.9    18.6    22.0    65.2    15.7    43.9    60.7   189.0
 1948    21.2    17.5    18.2    20.8    13.1     2.9     3.1     3.8    11.4    17.1    22.8    21.3    52.0     9.7    51.2    59.5   173.0
 1949    18.9    19.2    18.8    24.1    13.6     1.9     3.3     4.4     7.4    15.5    21.0    23.2    56.5     9.7    43.9    60.8   171.5
 1950    19.7    17.9    24.2    22.6    15.0     1.2     0.6     5.9     8.7    17.5    23.0    23.4    61.8     7.7    49.2    64.9   179.7
