Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Chuuk_State          : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1902    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1903    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1904    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1905    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1906    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1907    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1908    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1909    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1910    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1911    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1912    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1913    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1914    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1915    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1916    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1917    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1918    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1919    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1920    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1921    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1922    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1923    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1924    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1925    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1926    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1927    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1928    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1929    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1930    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1931    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1932    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1933    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    60.2   244.0
 1934    20.4    18.9    19.3    19.8    20.0    19.3    21.6    21.7    20.2    21.6    20.4    20.9    59.0    62.6    62.2    58.6   244.0
 1935    15.6    22.0    16.7    21.0    20.9    18.0    25.0    18.1    21.2    18.3    22.7    29.6    58.6    61.1    62.2    56.5   249.3
 1936    11.7    15.1    14.2    14.0    20.0    17.1    18.3    20.0    17.2    22.3    24.6    22.5    48.2    55.4    64.1    53.1   217.0
