Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Djibouti             : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     0.8     1.4     2.2     2.8     0.0     2.8     3.5    14.3    14.8     0.0     0.0     0.6     5.0    20.5    14.8     1.6    43.1
 1902     0.6     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.5     1.9     0.0     0.0     0.0     3.4     1.8     4.3
 1903     1.2     0.6     1.3     1.1     3.4     0.0     0.0     4.2     3.6     3.3     0.0     0.3     5.8     4.2     6.9     1.0    19.0
 1904     0.3     0.4     3.5     0.0     0.0     0.0     3.5     0.0     3.6     0.0     2.2     0.5     3.5     3.5     5.9     0.9    14.0
 1905     0.4     0.0     3.0     5.0     3.7     0.0     2.6     0.0     3.6     1.9     1.6     0.0    11.7     2.6     7.1     0.5    21.7
 1906     0.0     0.5     3.1     0.0     0.0     0.0     6.1     5.8     0.0     0.0     2.0     0.3     3.1    11.9     2.0     1.1    17.8
 1907     0.5     0.4     0.0     1.9     0.0     0.0     5.7     5.1     3.6     1.6     0.0     0.5     1.9    10.8     5.2     1.7    19.2
 1908     0.9     0.4     1.0     0.8     0.0     0.0     3.6     5.1     3.6     3.1     0.8     0.1     1.7     8.6     7.5     1.1    19.2
 1909     0.9     0.0     0.1     0.3     0.5     0.0     3.5    12.8     0.4     0.2     0.0     0.2     0.9    16.3     0.7     0.5    19.0
 1910     0.2     0.1     0.7     0.1     2.5     0.0     7.6     8.4     0.4     0.2     0.0     0.2     3.3    16.0     0.6     1.1    20.4
 1911     0.6     0.2     5.2     2.0     0.3     0.4     6.8     7.2     4.3     4.1     1.6     0.4     7.4    14.4    10.0     1.5    33.2
 1912     0.5     0.7     1.1     3.5     1.6     0.8     3.6     8.4     0.3     0.0     0.4     0.7     6.3    12.7     0.7     1.6    21.6
 1913     0.5     0.4     4.1     1.8     6.2     0.0     0.3     4.2     9.8     0.2     0.0     0.0    12.0     4.5     9.9     0.9    27.4
 1914     0.6     0.3     0.1     0.2     1.8     0.5     0.4    13.4     4.5     4.3     0.1     0.3     2.1    14.3     9.0     1.1    26.6
 1915     0.6     0.2     1.8     1.8     0.3     0.5     0.3     0.4     3.6     0.0     0.0     0.2     3.9     1.2     3.6     2.1     9.8
 1916     0.5     1.4     3.9     1.6     0.0     0.0    11.1     4.8     0.0     0.0     0.0     0.6     5.5    15.9     0.0     0.6    23.9
 1917     0.0     0.0     0.0     0.0     0.0     0.0     2.6    11.9    17.7     0.0     0.0     0.4     0.0    14.4    17.7     0.7    32.6
 1918     0.3     0.0     0.0     1.7     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.2     1.7     0.0     1.0     0.5     3.2
 1919     0.3     0.0     4.8     0.0     0.0     0.0     9.9     0.0     3.6     0.0     0.5     0.0     4.8     9.9     4.1     2.0    19.0
 1920     0.9     1.1     0.0     0.0     0.0     0.0     2.6    12.1     3.6     3.0     0.0     0.0     0.0    14.7     6.6     0.8    23.3
 1921     0.8     0.0     0.0     0.2     0.4     0.6     7.6     3.5     0.5     1.7     0.5     0.3     0.5    11.7     2.7     0.3    16.0
 1922     0.0     0.0     4.0     0.1     7.3     0.4     0.7     9.3     3.7     0.1     0.0     0.3    11.5    10.4     3.8     1.3    25.9
 1923     0.0     1.1     2.2     0.4     0.2     0.5     3.6     7.5     3.1     1.8     1.3     0.4     2.8    11.5     6.2     2.3    21.9
 1924     0.6     1.2     1.9     2.0     0.4     0.7     1.0     7.3     0.7     0.2     0.0     0.7     4.3     9.0     0.9     3.1    16.7
 1925     1.4     1.1     0.3     0.5     0.6     1.3     1.3     7.7     3.5     0.2     1.7     0.0     1.4    10.3     5.4     2.7    19.6
 1926     0.8     1.9     1.8     2.1     7.0     1.1     3.4     4.6     0.9     0.3     1.2     0.3    10.9     9.1     2.5     1.4    25.4
 1927     0.6     0.4     0.0     2.5     0.9     1.0     1.1     0.7     4.0     0.1     0.1     0.0     3.4     2.8     4.3     0.0    11.6
 1928     0.0     0.0     0.0     2.4     0.9     1.0     0.9     0.5     0.5     0.1     2.1     0.0     3.3     2.5     2.6     0.3     8.4
 1929     0.3     0.0     0.8     0.5     1.2     1.4     2.9     4.3     3.5     0.8     1.3     0.8     2.5     8.6     5.6     1.8    17.8
 1930     0.6     0.4     1.6     2.5     0.7     1.4     0.8     8.2     8.6     2.4     0.0     0.2     4.8    10.4    11.0     1.8    27.5
 1931     0.9     0.7     1.0     0.8     1.4     0.8     1.1     4.8     3.8     0.2     0.0     0.0     3.2     6.7     3.9     0.5    15.4
 1932     0.2     0.3     2.5     0.6     6.5     0.6     6.9     7.8     1.3     0.1     0.8     1.2     9.6    15.3     2.3     1.5    28.8
 1933     0.0     0.3     0.6     1.7     0.8     1.1     1.2     1.3     1.2     2.2     0.3     0.1     3.1     3.6     3.7     1.1    10.8
