Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Germany              : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    14.6    11.7    16.3    16.3    12.4    14.3    14.1    14.5    13.6    14.3    15.4    17.7    45.0    42.9    43.3    46.1   175.2
 1902    17.1    11.4    16.8    12.0    17.1    13.8    15.9    16.9    12.7    14.0     6.9    18.0    45.9    46.6    33.6    47.0   172.5
 1903    15.8    13.2    13.1    16.5    13.0    12.7    16.4    17.4    13.9    17.8    16.9    11.2    42.6    46.5    48.7    43.6   178.0
 1904    14.7    17.7    13.2    14.7    15.6    13.5    10.0    12.8    13.2    14.4    16.2    15.5    43.5    36.2    43.8    44.2   171.4
 1905    15.9    12.8    17.6    15.0    11.5    14.9    15.3    16.5    15.2    17.1    16.0    12.7    44.2    46.7    48.3    46.4   180.7
 1906    19.0    14.7    17.5    12.4    16.3    13.5    14.1    14.9    13.5    11.2    15.6    17.3    46.2    42.5    40.3    48.0   180.0
 1907    17.2    13.5    15.1    12.3    13.5    15.9    16.8    15.0    10.3    12.3    11.4    18.8    40.9    47.7    33.9    48.6   172.0
 1908    13.8    16.1    14.0    15.9    18.1    13.2    16.1    16.0    12.6     5.1    12.9    11.5    47.9    45.3    30.6    40.0   165.2
 1909    14.3    14.2    14.2    14.7    12.3    15.0    17.7    14.3    15.1    14.3    16.5    19.6    41.1    47.0    46.0    55.1   182.1
 1910    18.6    16.9    11.0    14.2    15.1    17.3    17.4    17.5    13.3     8.7    18.5    15.8    40.3    52.2    40.5    45.2   184.4
 1911    13.1    16.3    14.1    11.8    12.4    14.1    10.7    10.0    11.7    14.3    15.2    18.7    38.3    34.8    41.2    50.3   162.3
 1912    17.2    14.4    16.5    12.6    15.4    17.1    13.6    18.7    13.4    14.9    17.3    18.0    44.5    49.5    45.6    45.2   189.2
 1913    16.3    10.9    15.5    12.7    14.2    14.4    15.1    13.4    12.9    12.2    17.6    20.7    42.4    42.9    42.7    49.3   175.9
 1914    15.8    12.9    20.4    12.7    16.3    14.5    18.3    12.3    14.7    13.7    14.3    17.8    49.5    45.1    42.7    51.6   183.7
 1915    20.9    12.9    18.1    13.5    11.8    10.8    16.3    15.1    11.9    11.5    14.9    21.9    43.5    42.3    38.3    58.7   179.7
 1916    20.5    16.4    14.5    15.1    14.4    17.0    15.9    15.6    13.1    15.3    15.2    20.1    43.9    48.5    43.7    46.0   193.1
 1917    18.2     7.7    15.2    15.0    10.3    13.2    15.0    17.5    11.0    18.9    15.3    14.4    40.5    45.8    45.1    46.4   171.7
 1918    18.5    13.5    10.3    15.1     9.5    14.8    16.0    15.5    16.9    13.9    10.9    21.3    34.9    46.3    41.8    49.0   176.2
 1919    15.1    12.5    16.9    16.3     9.4    13.8    16.5    12.6    11.8    14.1    18.7    21.5    42.6    42.9    44.5    55.5   179.2
 1920    20.9    13.1    11.6    17.7    15.8    11.7    17.8    15.2    14.4     6.3     6.7    15.8    45.1    44.7    27.4    47.0   167.1
 1921    21.6     9.7     9.3    11.9    14.0    13.6     9.4    14.2    10.3    12.7    14.2    17.4    35.1    37.3    37.2    50.0   158.3
 1922    18.9    13.7    15.9    17.1    11.8    14.1    18.0    16.5    16.8    13.2    16.2    18.5    44.8    48.6    46.3    50.7   190.8
