Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Gough_Isl            : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1902    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1903    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1904    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1905    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1906    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1907    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1908    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1909    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1910    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1911    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1912    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1913    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1914    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1915    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1916    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1917    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1918    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1919    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1920    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1921    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1922    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1923    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1924    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1925    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1926    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1927    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1928    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1929    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1930    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1931    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1932    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1933    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1934    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1935    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1936    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1937    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1938    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1939    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1940    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1941    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1942    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1943    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1944    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1945    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1946    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1947    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1948    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1949    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1950    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1951    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1952    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1953    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1954    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    21.6    71.5    80.8    68.7    61.7   282.7
 1955    21.5    18.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    20.6    19.3    71.5    80.8    68.7    62.7   280.4
 1956    25.6    17.7    15.8    21.9    20.0    29.4    28.7    23.1    25.3    21.3    24.1    23.4    57.7    81.2    70.6    69.8   276.2
 1957    24.6    21.9    20.0    19.9    21.0    23.3    30.7    31.0    25.3    20.2    19.9    24.4    60.9    85.0    65.4    63.4   282.1
 1958    18.1    20.8    24.2    20.9    31.0    30.0    25.7    27.2    23.3    27.7    19.9    25.4    76.1    82.9    70.8    64.5   294.2
 1959    21.4    17.7    21.0    26.9    27.0    30.0    30.7    28.2    25.3    22.4    24.1    21.4    74.9    88.9    71.7    63.6   295.9
 1960    23.5    18.7    23.1    20.9    23.0    30.0    25.7    26.2    26.3    23.4    20.9    24.4    67.0    81.9    70.6    72.9   286.2
 1961    25.6    22.9    24.2    24.9    25.0    24.3    30.7    28.2    28.3    23.4    25.1    22.4    74.1    83.2    76.8    64.6   305.0
 1962    21.4    20.8    23.1    21.6    26.0    24.3    29.7    31.0    24.3    23.4    20.9    19.3    70.7    85.0    68.6    66.8   285.9
 1963    25.6    21.9    26.3    23.9    27.0    29.4    25.7    31.0    26.3    25.5    25.1    19.3    77.2    86.1    76.9    61.6   307.0
 1964    23.5    18.7    17.9    25.9    25.0    26.3    30.7    23.1    12.1    22.4    19.9    22.4    68.8    80.2    54.4    61.3   267.9
 1965    17.1    21.9    20.0    27.9    29.0    27.3    27.7    29.2    24.3    22.4    15.7    23.4    76.8    84.2    62.3    59.2   285.8
 1966    16.0    19.8    24.2    19.9    24.0    26.3    26.7    31.0    23.3    25.5    17.8    20.4    68.1    84.1    66.6    61.5   274.9
 1967    22.4    18.7    20.0    23.9    26.0    25.3    26.7    30.2    26.3    26.6    19.9    19.3    69.9    82.2    72.8    51.0   285.4
 1968    16.0    15.6    22.1    22.9    23.0    23.3    23.8    19.1    27.3    22.4    23.0    18.3    68.0    66.2    72.7    61.6   256.8
 1969    24.6    18.7    17.9    16.9    19.0    26.3    30.7    26.2    28.3    26.6    20.9    18.3    53.8    83.2    75.8    67.9   274.4
 1970    26.7    22.9    26.3    23.9    26.0    30.0    22.8    23.1    25.3    25.5    17.8    26.4    76.2    75.9    68.6    65.4   296.7
 1971    19.2    19.8    23.1    20.9    30.0    23.3    25.7    29.2    22.2    22.4    20.9    20.4    74.0    78.2    65.5    60.4   277.1
 1972    21.4    18.7    23.1    19.9    28.0    29.4    28.7    24.1    26.3    22.4    26.2    23.4    71.0    82.2    74.8    61.4   291.6
 1973    20.3    17.7    31.0    18.9    21.0    24.3    27.7    25.1    27.3    17.0    22.0    22.4    70.9    77.2    66.3    54.0   274.8
 1974    13.9    17.7    20.0    22.9    28.0    30.0    29.7    22.1    28.3    21.3    17.8    20.4    70.9    81.8    67.4    61.5   272.0
 1975    20.3    20.8    24.2    22.9    23.0    29.4    26.7    22.1    22.2    23.4    19.9    20.4    70.1    78.2    65.5    55.1   275.3
 1976    17.1    17.7    21.0    19.9    23.0    30.0    30.7    27.2    23.3    24.5    17.8    29.5    63.9    87.8    65.5    67.5   281.6
 1977    21.4    16.7    21.0    20.9    23.0    26.3    28.7    25.1    23.3    22.4    25.1    20.4    64.9    80.2    70.7    60.5   274.2
 1978    22.4    17.7    26.3    19.9    30.0    30.0    20.8    22.1    24.3    30.9    20.9    27.5    76.2    72.9    76.1    69.6   292.8
 1979    21.4    20.8    22.1    24.9    31.0    29.4    27.7    23.1    23.3    23.4    18.8    24.4    78.0    80.2    65.5    60.4   290.3
 1980    22.4    13.5    25.2    22.9    30.0    26.3    25.7    26.2    30.0    21.3    17.8    20.4    78.1    78.2    69.1    47.8   281.7
 1981    16.0    11.4    24.2    24.9    26.0    25.3    28.7    26.2    22.2    20.2    15.7    16.3    75.1    80.2    58.1    54.3   257.2
 1982    22.4    15.6    23.1    28.9    25.0    30.0    30.7    28.2    22.2    26.6    23.0    22.4    77.0    88.9    71.9    63.5   298.1
 1983    22.4    18.7    21.0    28.9    31.0    30.0    27.7    31.0    22.2    20.2    19.9    23.4    80.9    88.7    62.3    63.6   296.5
 1984    24.6    15.6    29.4    18.9    26.0    26.3    28.7    25.1    19.2    19.1    23.0    26.4    74.3    80.2    61.4    69.6   282.5
 1985    20.3    22.9    26.3    21.9    27.0    28.4    24.8    28.2    25.3    28.7    24.3    21.4    75.2    81.3    78.3    62.5   299.3
 1986    20.3    20.8    23.9    24.9    25.0    23.3    30.7    22.1    22.2    31.0    19.9    20.4    73.8    76.1    73.1    64.8   284.5
 1987    28.8    15.6    16.8    23.9    28.0    30.0    23.8    31.0    30.0    25.5    22.0    22.4    68.7    84.8    77.5    64.7   297.8
 1988    26.7    15.6    25.2    17.9    26.0    25.0    22.0    30.2    24.3    24.5    17.8    20.4    69.1    77.2    66.5    56.1   275.5
 1989    15.0    20.8    23.1    21.9    23.0    26.3    24.8    24.1    22.1    24.5    24.1    17.3    68.0    75.2    70.6    64.9   266.9
 1990    29.9    17.7    18.9    18.9    23.0    19.2    27.2    28.7    20.2    19.1    18.8    19.3    60.8    75.2    58.2    56.3   261.1
 1991    20.3    16.7    16.8    23.9    23.6    25.3    30.7    20.1    25.3    27.7    25.1    27.5    64.4    76.1    78.1    73.9   283.0
 1992    25.6    20.8    23.1    21.9    27.0    26.3    28.7    26.2    19.2    19.1    17.8    25.4    72.0    81.2    56.2    69.7   281.3
 1993    21.4    22.9    20.0    21.9    24.0    30.0    26.7    29.2    28.3    24.5    20.9    25.4    65.9    85.9    73.7    68.8   295.2
 1994    25.6    17.7    24.2    21.9    31.0    30.0    25.7    28.2    26.3    25.5    22.0    28.5    77.1    83.9    73.8    75.0   306.6
 1995    29.9    16.7    20.0    11.9    21.0    25.3    23.8    31.0    25.3    21.3    22.0    19.3    52.9    80.1    68.5    53.1   267.4
 1996    17.1    16.7    15.8    20.9    22.0    30.0    24.8    29.2    23.3    23.4    13.6    19.3    58.7    83.9    60.3    56.3   255.9
 1997    20.3    16.7    16.8    22.9    24.0    22.3    22.8    21.1    29.3    21.3    20.9    16.3    63.7    66.2    71.5    44.8   254.7
 1998    15.0    13.5    20.0    19.9    29.0    28.4    17.8    25.1    19.2    16.0    16.7    19.3    68.9    71.3    51.9    57.3   239.9
 1999    19.2    18.7    22.1    17.9    24.0    27.3    29.7    24.1    19.2    23.4    23.0     9.2    64.0    81.2    65.6    47.2   257.9
 2000    22.4    15.6    20.0    20.9    30.0    28.4    25.7    24.1    24.3    23.4    18.8    17.3    70.9    78.2    66.5    46.9   271.0
 2001    17.1    12.5    24.2    25.9    20.0    28.4    24.8    16.1    26.3    12.8    18.8    14.2    70.1    69.2    57.9    53.3   241.0
 2002    22.4    16.7    21.0    19.9    30.0    20.3    30.7    29.2    25.3    27.7    20.6    19.3    70.9    80.1    73.5    51.0   283.0
 2003    17.1    14.6    23.0    22.6    25.9    27.0    27.4    26.4    24.3    23.8    18.8    19.3    71.5    80.8    66.9    58.3   270.2
 2004    17.1    21.9    23.1    17.9    26.0    28.4    19.8    26.2    26.3    21.3    25.1    19.3    67.0    74.3    72.7    54.2   272.3
 2005    21.4    13.5    15.8    17.9    27.0    26.3    30.7    26.2    24.3    23.8    16.7    18.3    60.7    83.2    64.8    53.3   261.9
 2006    21.5    13.5    11.6    16.9    25.9    15.2    26.7    31.0    25.3    23.8    22.0    21.6    54.4    72.9    71.0    61.8   255.0
 2007    23.5    16.7    18.9    22.6    27.0    27.3    30.7    25.1    24.3    19.1    26.2    22.4    68.5    83.2    69.6    56.1   283.8
 2008    18.1    15.6    18.9    20.9    28.0    26.3    29.7    22.1    24.3    19.1    16.7    21.6    67.8    78.2    60.2    52.2   261.6
 2009    16.0    14.6    12.6    17.9    27.0    27.3    21.8    31.0    24.3    22.4    22.0    11.2    57.5    80.1    68.6    45.9   248.0
 2010    13.9    20.8    17.9    19.9    20.0    26.3    24.8    26.4    21.2    21.3    20.6    17.3    57.8    77.5    63.1    58.3   250.4
 2011    18.1    22.9    17.9    21.9    26.0    21.3    21.8    31.0    25.3    14.9     8.4    21.6    65.8    74.1    48.5    57.4   251.0
 2012    17.1    18.7    26.3    18.9    26.0    25.3    27.4    27.2    21.2    20.2    17.8    22.4    71.2    79.9    59.2    60.3   268.5
 2013    16.0    21.9    20.0    22.6    24.0    25.3    29.7    31.0    23.3    22.4    16.7    19.3    66.6    86.0    62.3    60.5   272.1
