Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Guadeloupe           : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    41.7   193.0
 1902    14.8     9.5    13.7    10.8    23.0    21.1    20.9    17.2    17.2    14.8    21.4    18.5    47.5    59.2    53.4    42.6   203.0
 1903    11.9    12.2     8.7    20.3    12.5    21.2    17.9    22.8    19.0    15.3    14.0    19.5    41.5    62.0    48.3    53.4   195.4
 1904    20.9    12.9    16.3    10.0    15.7    10.2    18.6    16.6    22.8    17.8    10.3    16.1    41.9    45.4    50.8    42.4   188.1
 1905    15.5    10.8    15.6    11.9    12.3    15.8    14.9    16.5    20.8    21.2    19.1    12.4    39.9    47.1    61.0    38.1   186.8
 1906    14.6    11.1    12.3    13.1    14.7    18.3    18.6    18.5    23.0    17.5    17.9    13.9    40.1    55.4    58.4    39.0   193.4
 1907    14.3    10.7    13.3    12.1    15.9    13.2    17.4    15.7    16.2    19.4    14.4    18.7    41.2    46.4    50.1    37.9   181.5
 1908    13.7     5.5     8.9    12.6     9.0    16.6    19.4    14.3    18.4    15.0    11.2    23.9    30.5    50.4    44.6    53.4   168.6
 1909    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    52.0   193.0
 1910    18.4    16.2    15.5     4.8    24.7    17.4    18.8    19.1    16.6    11.3    12.8    13.8    45.0    55.3    40.7    43.3   189.4
 1911    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1912    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1913    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1914    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1915    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1916    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1917    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1918    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1919    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1920    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1921    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1922    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1923    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1924    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1925    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1926    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1927    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1928    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1929    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1930    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    46.9   193.0
 1931    16.7    12.8    12.9    12.5    15.2    15.5    17.9    18.1    18.0    18.4    17.5    17.4    40.7    51.4    54.0    43.9   193.0
 1932    15.8    10.6    12.9    10.9    16.5    17.6    18.4    15.3    19.2    18.8    24.3    15.3    40.3    51.2    62.3    46.6   195.6
 1933    20.4    10.8    11.6     8.8    18.2    17.3    19.8    18.3    18.0    18.4    19.7    15.5    38.5    55.4    56.1    34.6   196.8
 1934    11.7     7.4    12.2    10.2    15.5     9.8    15.8    17.1    14.3    13.2    16.0    21.0    37.9    42.7    43.5    46.3   164.1
 1935    15.2    10.2    15.9    12.4    17.2    10.8    21.1    21.7    17.5    16.8    13.2    13.9    45.5    53.6    47.5    38.8   185.9
 1936    12.8    12.0     7.5     8.0    24.0    19.4    17.9    20.2    18.9    22.6    17.7    15.8    39.5    57.5    59.2    46.4   196.8
 1937    20.2    10.3     7.3    13.3     7.9    11.8    15.3    13.2    18.8    15.8    18.6    12.6    28.5    40.2    53.3    38.0   165.1
 1938    15.6     9.8    11.3    10.6    17.3    16.5    16.9    21.4    19.5    15.1    23.9    18.9    39.2    54.8    58.6    47.1   196.9
 1939    15.9    12.3    16.0     9.3    10.2    16.7    13.0    14.1    15.2    17.9    20.2     9.2    35.5    43.8    53.4    30.5   170.0
 1940    10.3    11.1    13.3     8.9     9.3    16.9    16.4    13.8    13.1    14.3    20.7    14.6    31.5    47.0    48.1    35.5   162.6
 1941    15.9     4.9    11.1    14.9    14.8    17.4    18.1    13.9    21.5    13.0    21.1    14.4    40.9    49.4    55.6    42.1   181.1
 1942    13.6    14.1     9.9    15.8    15.1    14.3    17.4    14.2    24.7    18.4    25.6    15.0    40.8    45.9    68.7    42.4   198.1
 1943    16.2    11.3    14.1    12.8    15.1    14.1    15.6    19.1    16.4    17.7    16.0    15.6    42.0    48.8    50.0    43.9   183.9
 1944    14.8    13.4     9.8    10.4    20.4    15.6    21.0    14.6    18.1    20.1    16.6    16.8    40.5    51.1    54.8    42.9   191.5
 1945    12.5    13.7    10.7    17.6    16.2    13.2    17.7    18.3    17.2    19.1    15.0    16.1    44.5    49.2    51.3    44.2   187.1
 1946    16.9    11.3     8.8    11.3    19.2    12.3    15.2    16.1    16.7    15.1    15.7    15.9    39.3    43.6    47.5    43.8   174.4
 1947    19.9     8.0    10.5    10.0    16.2    11.8    17.6    13.7    15.5    15.6    13.4    13.7    36.7    43.1    44.5    38.8   165.9
 1948    12.9    12.2    14.2    11.5    13.2    18.0    20.2    21.9    17.1    21.9    23.0    16.2    39.0    60.0    62.0    45.0   202.4
 1949    14.1    14.6    13.3    10.8    12.0    16.6    17.6    15.2    23.3    20.3    14.0    15.0    36.0    49.4    57.6    48.7   186.9
 1950    21.3    12.4    15.1    15.1    15.2    19.4    13.3    17.9    17.4    19.5    15.7    20.0    45.4    50.7    52.7    51.7   202.5
 1951    19.0    12.7    11.3    12.3    14.3    16.9    19.0    21.0    20.4    16.5    14.8    19.6    37.9    56.9    51.7    51.0   197.7
 1952    19.4    12.0    14.0    18.5    18.3    14.2    23.6    22.1    21.5    17.9    18.4    11.7    50.8    60.0    57.9    41.2   211.8
 1953    18.5    10.9    13.4    11.1    13.0    18.6    18.4    16.6    21.3    13.8    22.7    21.3    37.5    53.7    57.8    60.0   199.7
 1954    21.2    17.5    13.9    14.1    11.7    15.8    17.0    20.1    23.6    26.2    13.0    19.9    39.7    52.9    62.9    50.8   214.1
 1955    18.0    12.9    13.5    15.2    15.4    14.3    16.8    20.9    22.3    24.1    17.3    16.5    44.1    52.0    63.7    54.8   207.1
 1956    20.0    18.3    12.7    14.3    11.6    20.4    18.2    21.5    17.9    18.4    16.7    23.9    38.7    60.2    53.0    53.5   213.9
 1957    18.7    10.9    10.3    11.2     9.5    17.7    18.2    18.6    12.7    17.8    21.2    18.2    31.0    54.5    51.6    40.8   185.0
 1958    10.3    12.4     8.4    14.2    25.7    19.8    24.5    18.9    17.7    20.9    19.5    14.7    48.3    63.1    58.2    47.2   207.0
 1959    18.5    13.9    12.2    11.1    20.6    11.8    21.5    15.5    16.5    17.3    13.8    17.7    43.9    48.9    47.6    46.8   190.5
 1960    14.1    15.0    15.9    14.4    16.8    15.3    20.2    18.6    19.3    16.1    19.2    21.9    47.2    54.1    54.6    52.4   207.0
 1961    18.1    12.3    12.1     9.2    12.7    14.0    19.8    19.1    15.8    19.9    19.2    18.7    33.9    52.8    54.9    52.5   190.8
 1962    21.1    12.7    10.9    15.6    13.4    19.5    17.2    19.8    17.9    17.3    14.3    15.1    39.9    56.5    49.5    50.0   194.9
 1963    21.4    13.5    11.5    12.9    16.3    16.0    22.8    15.4    19.6    16.7    16.5    11.8    40.7    54.2    52.9    39.5   194.5
 1964    14.5    13.2    12.7    15.8    14.4    15.6    20.6    18.8    16.5    17.5    11.0    13.3    42.9    54.9    44.9    41.4   183.7
 1965    18.9     9.1     9.6    13.1    16.1    16.1    19.3    14.5    19.0    15.8    16.2    20.6    38.8    50.0    51.1    47.6   188.5
 1966    11.1    15.9    16.4    12.7    19.8    15.9    22.8    16.1    18.9    16.7    17.3    17.6    48.9    54.8    53.0    49.1   201.3
 1967    18.4    13.1    15.4    10.9    14.5    12.5    16.6    15.3    19.8    18.0    16.5    13.5    40.9    44.5    54.3    35.0   184.6
