Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Kuril_Isl            : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    20.4    22.1    14.7    16.4    14.7    18.5    16.5    20.7    18.6    21.1    21.3    28.2    45.8    55.7    60.9    70.0   233.1
 1902    22.9    19.0    17.2    16.8    21.4    19.2    17.9    16.7    14.5    17.6    17.0    28.0    55.3    53.8    49.1    67.2   228.2
 1903    26.1    13.1    23.6    14.3    19.7    13.2    20.9    18.2    14.6    15.7    25.5    27.5    57.6    52.4    55.7    73.3   232.4
 1904    20.4    25.4    19.7    12.7    14.8    16.4    17.9    13.7    18.3    22.3    24.8    22.4    47.2    48.1    65.5    60.9   228.9
 1905    16.5    22.0    11.4    15.1    21.4    16.5    10.3    13.7    14.5    16.6    17.8    27.4    47.9    40.5    48.9    67.6   203.1
 1906    25.0    15.2    18.6    17.2    13.4    14.4    15.7    18.3    18.0    16.0    20.6    25.9    49.2    48.4    54.6    69.8   218.3
 1907    22.6    21.3    13.7    17.9    22.6    17.6    19.1    16.4    17.3    17.2    19.2    22.4    54.1    53.1    53.7    48.1   227.2
 1908    14.4    11.2    20.2    15.5    17.6    15.2    22.2    14.5    13.3    15.8    19.9    26.2    53.3    51.9    49.0    71.0   206.0
 1909    23.5    21.3    15.2    17.7    19.3    15.3    15.1    15.1    19.6    17.9    20.0    22.4    52.2    45.6    57.5    65.0   222.6
 1910    23.9    18.7    17.2    18.1    16.1    16.7    19.5    17.2    16.5    14.0    18.9    17.5    51.3    53.4    49.4    68.2   214.2
 1911    28.1    22.6    24.3    16.7    12.9    18.8    19.2    21.8    15.7    20.8    19.6    24.2    54.0    59.8    56.1    70.5   244.8
 1912    22.2    24.1    21.4    18.8    16.4    17.9    17.9    17.3    21.3    17.0    14.7    21.8    56.7    53.1    52.9    67.6   230.8
 1913    22.7    23.1    16.4    17.1    18.0    18.8    23.9    18.8    16.4    18.2    20.5    23.7    51.4    61.5    55.2    56.8   237.6
 1914    22.0    11.1    26.2    16.2    12.8    16.1    20.3    24.7    17.9    17.8    26.2    21.8    55.2    61.0    61.9    75.3   233.1
 1915    28.1    25.4    26.9    18.0    18.8    18.2    20.5    20.0    15.4    23.2    19.4    23.5    63.7    58.7    58.1    68.5   257.3
 1916    20.1    24.9    20.3    17.3    17.3    17.0    16.7    15.8    16.7    18.7    21.6    25.6    54.9    49.5    56.9    76.6   231.9
 1917    28.1    22.9    19.4    17.4    15.0    17.2    21.6    15.2    14.5    21.4    26.3    25.8    51.8    53.9    62.3    60.1   244.8
 1918    20.3    14.0    26.5    17.4    18.0    18.0    23.4    17.7    20.0    14.6    25.2    19.9    61.9    59.1    59.9    59.6   235.2
 1919    22.7    16.9    15.2    16.8    17.9    20.0    20.8    24.3    18.6    17.8    19.5    28.1    50.0    65.0    55.9    80.5   238.6
 1920    28.1    24.4    19.2    19.3    20.3    19.1    20.6    24.2    19.5    20.6    22.2    27.8    58.7    63.9    62.3    74.3   265.2
 1921    24.2    22.3    21.1    19.5    19.9    15.4    21.0    14.9    18.4    18.4    22.1    24.4    60.5    51.2    58.9    73.4   241.5
 1922    23.7    25.3    19.2    19.4    18.4    17.7    20.8    19.2    15.7    21.0    24.6    21.6    57.1    57.6    61.4    59.7   246.6
 1923    22.8    15.3    18.4    15.7    20.0    17.2    17.7    14.5    20.6    21.2    23.9    22.3    54.2    49.4    65.7    70.8   229.6
 1924    27.7    20.8    16.1    17.5    17.5    16.4    17.1    14.2    16.7    20.2    25.3    20.0    51.1    47.7    62.1    59.2   229.4
 1925    22.4    16.8    18.3    19.7    13.8    14.8    13.7    17.3    16.6    18.8    26.0    28.2    51.9    45.8    61.4    76.7   226.4
 1926    23.4    25.1    16.3    17.4    15.8    13.6    19.2    21.9    19.2    21.2    18.4    26.7    49.5    54.7    58.8    67.4   238.1
 1927    21.3    19.4    19.9    16.3    21.2    18.3    21.8    22.0    15.5    17.4    19.3    21.8    57.4    62.1    52.2    67.0   234.2
 1928    24.8    20.4    16.5    14.8    15.0    17.4    16.5    16.5    16.6    16.6    23.5    23.0    46.2    50.4    56.7    65.5   221.5
 1929    22.5    20.1    18.0    18.0    14.6    12.9    17.1    21.1    14.0    20.9    22.5    26.4    50.6    51.1    57.3    64.7   228.1
 1930    15.6    22.7    20.4    14.8    17.3    14.8    18.4    19.8    19.0    17.9    23.6    20.2    52.5    53.0    60.5    60.7   224.5
 1931    23.7    16.8    26.1    19.0    17.0    18.1    16.3    17.9    15.9    20.9    19.3    27.1    62.0    52.4    56.1    68.2   238.0
 1932    24.1    17.0    17.0    19.7    17.3    12.3    23.6    22.8    19.6    18.5    26.4    24.8    54.0    58.7    64.5    73.2   243.1
 1933    24.2    24.2    23.8    15.1    19.7    13.3    23.8    19.7    15.8    21.2    23.4    27.7    58.5    56.9    60.3    66.3   251.8
 1934    25.9    12.7    23.0    13.4    18.7    18.4    16.3    18.4    17.6    16.7    22.6    20.1    55.1    53.2    57.0    54.1   223.9
 1935    20.1    13.9    18.6    21.8    18.2    19.0    23.5    17.6    19.5    20.8    23.8    18.1    58.7    60.1    64.1    61.3   234.8
 1936    23.7    19.5    19.6    18.5    15.2    17.0    24.2    21.6    16.7    21.3    23.4    19.8    53.2    62.8    61.4    60.7   240.4
 1937    17.2    23.7    23.3    17.3    18.7    14.8    22.3    17.5    21.6    19.6    22.8    27.8    59.2    54.6    64.0    74.1   246.5
 1938    25.4    20.9    19.1    17.4    17.9    19.6    19.1    12.5    17.5    21.2    20.5    24.1    54.5    51.2    59.2    75.8   235.3
 1939    27.3    24.5    18.6    19.0    20.4    18.6    17.7    16.9    18.5    14.1    17.6    21.1    58.0    53.3    50.1    61.7   234.3
 1940    20.0    20.6    20.4    18.6    17.3    19.1    18.7    14.9    14.6    16.3    19.5    24.6    56.2    52.7    50.3    73.7   224.4
 1941    27.9    21.3    20.5    16.2    17.3    20.3    24.7    15.1    19.7    21.0    20.8    27.0    54.1    60.1    61.5    63.7   251.8
 1942    17.4    19.2    20.6    16.7    18.3    19.2    17.3    23.7    19.8    18.6    23.7    25.4    55.6    60.2    62.1    71.6   239.9
 1943    25.5    20.7    17.8    17.9    15.7    17.1    13.6    14.8    15.7    20.8    20.7    21.3    51.4    45.5    57.2    61.6   221.7
 1944    18.0    22.3    23.5    14.9    15.0    17.3    16.6    17.0    15.7    19.4    23.2    26.4    53.4    50.9    58.4    69.3   229.4
 1945    17.6    25.3    23.5    17.4    18.3    16.7    18.7    21.0    18.2    18.9    26.7    25.8    59.2    56.4    63.8    73.9   248.1
 1946    24.9    23.2    23.3    15.1    17.8    14.5    19.1     9.5    17.5    20.1    23.5    28.2    56.2    43.1    61.1    66.0   236.7
 1947    20.1    17.7    21.4    18.9    17.8    13.2    16.9    20.8    18.5    16.1    24.9    28.2    58.1    50.9    59.5    67.8   234.5
 1948    22.6    16.9    19.8    15.9    19.7    15.4    18.7    17.8    21.6    19.8    20.8    27.6    55.5    51.9    62.2    78.6   236.8
 1949    25.2    25.8    19.4    16.2    19.2    14.5    15.8    19.9    18.0    19.2    20.3    26.9    54.8    50.2    57.5    66.4   240.5
 1950    22.6    16.8    20.2    14.7    16.3    16.2    20.6    17.8    18.3    16.8    21.5    24.3    51.1    54.6    56.6    55.8   226.1
 1951    14.9    16.6    21.1    11.9    13.8    18.4    13.8    13.6    19.2    15.2    21.5    20.6    46.8    45.8    55.8    59.4   200.6
 1952    23.0    15.8    20.3    16.6    13.8    13.5    21.6    18.9    21.2    18.6    18.5    21.8    50.7    54.0    58.3    65.4   223.6
 1953    25.7    17.9    18.8    13.0    18.2    14.1    21.3    18.8    17.2    12.6    25.3    23.4    50.0    54.1    55.2    70.7   226.3
 1954    24.0    23.2    20.5    18.4    19.4    10.2    15.5    20.7    15.6    15.2    17.4    27.9    58.4    46.4    48.2    65.8   228.2
 1955    18.8    19.1    21.6    15.1    16.7    15.5    16.8    19.8    16.2    24.2    19.8    26.0    53.4    52.1    60.1    69.2   229.5
 1956    23.7    19.6    21.9    18.2    15.4    17.6    15.4    16.9    12.6    16.8    23.0    24.8    55.4    49.9    52.4    61.8   225.8
 1957    19.6    17.4    20.4    14.5    16.3    14.5    19.8    27.4    18.5    20.0    16.9    27.0    51.2    61.7    55.5    70.6   232.4
 1958    23.6    19.9    21.5    17.0    17.0    16.9    21.1    20.9    20.1    18.5    14.4    22.5    55.5    58.9    53.0    73.7   233.4
 1959    28.6    22.6    17.7    20.4    16.5    14.9    24.9    15.7    16.5    20.1    19.5    26.2    54.6    55.4    56.1    77.8   243.4
 1960    29.1    22.6    23.6    18.4    23.8    17.4    17.7    18.1    18.3    16.9    21.1    27.3    65.8    53.3    56.4    78.0   254.4
 1961    24.8    25.9    20.8    17.8    14.4    17.8    20.5    17.7    18.7    17.3    16.8    21.2    53.0    56.0    52.8    65.7   233.7
 1962    24.4    20.1    23.1    21.1    18.2    22.0    21.8    22.7    18.4    15.6    18.3    19.0    62.4    66.5    52.3    62.7   244.9
 1963    24.6    19.1    22.8    18.5    17.4    17.1    20.8    23.8    18.6    17.3    21.0    24.2    58.6    61.6    56.9    64.5   245.1
 1964    23.7    16.6    16.2    17.8    18.9    19.8    18.2    20.2    18.1    19.8    22.5    17.8    52.9    58.3    60.4    70.9   229.6
 1965    26.0    27.1    24.3    19.3    15.1    17.3    18.2    18.8    17.0    12.3    23.2    21.6    58.7    54.3    52.5    75.5   240.1
 1966    28.9    25.1    22.2    16.5    17.7    17.9    20.2    20.2    17.7    21.0    21.3    27.3    56.4    58.3    60.0    71.8   256.0
 1967    25.6    18.9    18.0    18.9    15.9    22.0    23.1    20.1    17.5    20.7    20.5    24.3    52.8    65.1    58.7    66.5   245.4
 1968    23.6    18.6    23.6    13.0    17.0    14.7    23.1    20.9    17.7    18.9    20.7    27.1    53.7    58.8    57.3    71.0   239.0
 1969    21.5    22.5    18.0    14.3    21.3    24.4    17.6    19.2    16.8    20.3    24.0    26.6    53.6    61.1    61.1    63.5   246.4
 1970    18.5    18.4    19.8    13.4    20.1    14.7    19.3    18.0    17.0    18.4    18.7    28.0    53.3    52.1    54.2    76.4   224.4
 1971    25.0    23.4    21.9    17.8    19.0    17.5    21.7    21.9    20.9    20.4    19.8    21.6    58.8    61.1    61.1    71.1   250.9
 1972    25.2    24.3    20.0    16.2    18.1    18.0    18.5    16.8    18.1    23.6    27.6    29.2    54.2    53.3    69.3    74.0   255.6
 1973    20.1    24.7    17.8    21.3    18.2    14.4    17.7    20.6    14.3    19.4    19.4    23.0    57.3    52.7    53.2    68.8   231.0
 1974    25.9    19.9    14.2    20.7    19.0    17.1    15.5    20.4    15.9    21.2    20.7    25.0    54.0    53.1    57.9    70.5   235.6
 1975    25.0    20.5    21.0    15.7    20.1    19.8    23.7    17.6    17.6    18.4    22.1    21.9    56.8    61.1    58.2    70.2   243.4
 1976    22.5    25.9    17.6    18.0    13.6    14.7    13.9    13.1    18.4    21.5    23.4    23.1    49.2    41.7    63.3    63.9   225.7
 1977    22.7    18.1    19.1    17.1    17.3    17.5    15.3    18.6    20.3    12.2    22.3    24.1    53.4    51.4    54.8    70.7   224.5
 1978    25.4    21.2    21.5    18.7    21.3    18.9    18.5    18.6    17.0    18.7    18.1    21.3    61.5    56.0    53.7    69.2   239.1
 1979    22.8    25.2    24.2    15.7    16.5    18.2    23.1    16.3    16.3    23.2    24.5    20.5    56.4    57.6    64.0    69.5   246.5
 1980    29.5    19.5    23.2    20.5    15.3    14.1    14.1    13.8    17.8    19.4    16.3    27.3    59.0    42.0    53.5    69.1   230.8
 1981    22.9    18.9    21.2    18.4    21.7    17.3    23.2    23.0    15.3    22.3    21.3    25.2    61.3    63.5    58.9    68.3   250.7
 1982    27.2    15.8    19.7    18.8    19.6    13.9    18.0    19.4    18.0    16.2    22.5    25.7    58.1    51.3    56.7    68.0   234.9
 1983    20.7    21.7    19.1    14.6    18.8    15.6    16.6    16.1    15.4    23.2    20.1    20.4    52.5    48.3    58.6    64.6   222.2
 1984    22.2    22.1    15.8    12.5    12.7    15.3    21.3    15.1    15.9    21.2    15.7    20.3    40.9    51.8    52.9    67.9   210.1
 1985    21.5    26.1    16.2    15.1    12.3    14.1    26.4    12.9    16.7    18.3    20.5    24.6    43.6    53.5    55.4    72.4   224.7
 1986    26.0    21.8    17.1    18.3    20.0    14.1    11.3    21.4    16.3    17.7    17.5    23.4    55.4    46.7    51.5    67.5   224.8
 1987    24.3    19.8    21.1    12.5    15.3    11.8    21.2    18.6    17.0    19.7    24.8    22.1    49.0    51.6    61.5    61.8   228.4
 1988    21.3    18.4    20.3    14.4    17.8    14.4    14.0    18.7    13.6    20.1    19.6    24.3    52.5    47.1    53.2    56.5   216.7
 1989    18.4    13.8    26.1    22.2    19.2    14.0    14.9    25.8    17.4    18.1    27.2    22.6    67.5    54.7    62.6    68.4   239.7
 1990    23.3    22.6    22.2    23.0    18.9    20.4    18.1    18.0    17.4    16.3    23.3    24.1    64.1    56.5    57.0    73.3   247.6
 1991    24.3    24.9    16.9    18.0    17.5    16.8    14.4    18.4    18.3    21.3    17.3    21.8    52.4    49.6    56.9    56.6   229.9
 1992    16.9    18.0    16.0    16.8    16.5    13.1    18.0    22.3    23.3    16.9    17.3    26.5    49.4    53.4    57.4    70.5   221.6
 1993    23.7    20.4    16.2    18.1    14.3    19.0     9.6    16.5    15.1    22.2    22.1    21.8    48.6    45.0    59.5    66.5   218.9
 1994    17.8    26.9    19.1    16.1    16.2    18.1    15.3    16.7    21.2    16.6    20.9    21.9    51.5    50.1    58.7    64.0   226.8
 1995    22.5    19.6    22.4    18.2    19.1    15.4    23.9    21.2    19.9    18.9    24.2    27.2    59.6    60.5    63.0    65.2   252.4
 1996    26.6    11.3    26.6    10.0    17.8    19.4    27.3    20.6    16.3    18.6    19.6    29.3    54.4    67.3    54.5    73.3   243.5
 1997    21.4    22.6    22.6    14.2    15.2    20.0    15.4    23.2    20.3    20.0    28.2    17.2    52.0    58.6    68.5    56.7   240.2
 1998    26.0    13.5    19.8    14.3    17.5    14.8    22.5    28.4    14.5    18.3    27.5    25.7    51.6    65.7    60.4    71.1   242.9
 1999    26.6    18.7    19.5    13.5    19.2    10.7    26.2     8.2    15.1    22.2    20.7    26.3    52.2    45.1    58.0    71.6   226.9
 2000    28.5    16.9    16.9    22.9    13.1    15.4    19.9    12.3    19.6    15.9    21.3    22.4    52.9    47.7    56.8    61.9   225.1
 2001    23.8    15.8    29.5    11.9    15.7    16.2    19.5    16.0    17.0    19.6    20.1    21.3    57.0    51.7    56.8    61.3   226.4
 2002    21.7    18.2    16.2    14.2     8.7    19.3    23.5    28.3    16.9    21.8    20.8    16.6    39.1    71.1    59.5    58.5   226.3
 2003    24.6    17.4    22.3    19.8     9.0    14.0    18.2    21.3    17.0    19.5    16.9    23.1    51.1    53.6    53.4    73.9   223.1
 2004    27.9    22.8    18.9    18.0    20.5    12.2    18.4    15.8    15.7    12.7    20.7    24.7    57.4    46.4    49.1    66.1   228.3
 2005    22.2    19.2    21.4    18.3    16.6    12.0    20.1    18.9    13.1    16.1    21.9    29.4    56.2    51.0    51.0    71.9   229.1
 2006    23.1    19.4    23.5    19.9    16.5    17.3     9.0    15.1    17.9    17.7    22.3    26.3    59.9    41.3    57.9    59.3   227.9
 2007    14.2    18.8    15.3    10.3    20.8     9.8    13.6    14.8    22.0    17.1    14.3    19.5    46.3    38.1    53.4    49.0   190.3
 2008    13.2    16.4    14.8    12.3    17.8    13.4    14.0    18.6    15.3    16.4    18.5    19.0    44.9    45.9    50.2    57.7   189.6
 2009    21.4    17.2    19.0    10.9    16.6    13.1    20.7    16.9    18.0    21.7    18.3    17.9    46.6    50.7    58.0    52.6   211.9
 2010    16.7    17.9    20.6    15.1    16.9    14.8    23.2    16.5    16.3    13.3    17.9    23.3    52.6    54.4    47.5    60.8   212.4
 2011    20.5    16.9    11.6    16.1    19.0    17.5    12.1    18.2    22.4    19.8    12.0    24.0    46.7    47.8    54.2    58.0   210.2
 2012    18.9    15.1    17.1    19.4    19.0    14.4    16.4    19.3    16.2    22.8    25.5    26.0    55.6    50.1    64.5    62.1   230.2
 2013    19.0    17.1    21.1    20.7    19.7    13.6    14.8    25.6    18.9    20.9    24.2    22.8    61.5    53.9    64.0    68.0   238.3
 2014    24.4    20.8    19.6    14.5    18.3    14.4    15.6    19.3    13.2    16.2    12.3    21.1    52.4    49.3    41.7    70.3   209.8
 2015    25.9    23.3    18.1    14.7    18.7    14.9    14.5    14.6    21.7    16.6    21.0    23.2    51.4    44.1    59.3    64.6   227.2
 2016    19.8    21.7    14.3    21.5    14.8    20.4    15.9    26.3    16.6    22.1    22.8    25.7    50.6    62.5    61.6  -999.0   241.9
