Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = La_Tortuga_Isl       : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     0.0    12.4     4.5     8.0     9.7    12.3    16.4    15.2     9.7    10.9    10.1    21.0    22.1    44.0    30.7    26.0   130.2
 1902     0.0     5.0     0.0     2.9     8.8    17.2    12.5    12.6    13.5    16.1    15.8    14.8    11.8    42.3    45.4    25.8   119.2
 1903     0.0    11.0     8.7     1.9     4.3    15.7    15.7    15.0    13.0    15.1    15.7    17.6    14.9    46.5    43.8    24.7   133.8
 1904     0.0     7.1     5.8     0.0    10.7    12.0    19.5    19.8    16.6    12.6    13.1    16.4    16.5    51.3    42.3    28.9   133.7
 1905     0.0    12.4     3.8     4.3     9.5    10.1    20.4    17.4    13.0    16.6    13.1    18.1    17.7    48.0    42.7    34.8   138.9
 1906     0.0    16.7     4.6     5.8     2.5    10.4    14.6    14.0    15.1    10.9    13.4    13.0    12.9    39.0    39.4    22.9   121.0
 1907     0.0     9.9     2.8     0.0     7.7    13.7    15.7    11.6    12.1    14.1    16.4    14.9    10.5    41.0    42.6    18.9   118.9
 1908     0.0     4.0     3.8     1.4     5.1    19.1    25.7    17.8    18.0    16.0    12.0    12.8    10.4    62.6    46.0    12.8   135.7
 1909     0.0     0.0     0.0     0.0     1.5    20.9    12.9    14.7    10.7    13.7    13.7    19.6     1.5    48.6    38.0    24.6   107.7
 1910     0.0     5.0     4.9     3.6    13.3    13.9    16.4    16.0    18.0    13.2    12.0    11.7    21.9    46.2    43.2    14.1   128.0
 1911     0.0     2.4     3.4     2.6     1.5     5.6    11.5    19.0    15.0    14.3    12.4    19.9     7.5    36.2    41.7    25.3   107.7
 1912     0.0     5.4     3.4     3.6     1.5    15.2    19.6    14.4    16.7    11.4    14.3    16.7     8.5    49.2    42.4    27.7   122.2
 1913     0.0    11.0     0.0     1.4     8.8    22.0    19.8    14.4    13.4    16.8    12.8    20.0    10.2    56.3    43.0    23.3   140.6
 1914     0.0     3.3     0.0     0.0     3.4    16.1    22.6    18.3    16.5    14.1    15.4    15.3     3.4    57.1    46.1    27.6   125.2
 1915     0.0    12.3    12.0     0.0     3.4    14.5    18.4    20.4    14.5    12.4    12.8    15.6    15.4    53.3    39.8    25.1   136.4
 1916     0.0     9.5     7.9     0.0    10.3    11.1    21.0    15.6    14.0    11.5    19.3    11.7    18.2    47.7    44.7    20.4   131.9
 1917     0.0     8.6     2.8     4.3     5.8    11.6    12.3    17.1    12.0    13.9    19.8    20.1    13.0    41.0    45.8    23.4   128.5
 1918     0.0     3.3    11.3     2.6    10.0    18.5    19.1    16.4    10.9    15.3    11.2    14.9    23.9    54.0    37.4    27.6   133.6
 1919     0.0    12.7    10.3     6.8     9.9    12.5    14.5    13.8    15.7    14.5    20.0    16.4    27.0    40.8    50.2    27.1   147.1
 1920     0.0    10.7     0.0    10.3     6.8    15.0    21.8    17.1    16.6    14.2    14.1    17.6    17.1    54.0    44.9    25.9   144.2
 1921     0.5     7.8     5.1     6.0     5.4    11.3    13.0    13.3    14.7    15.3    14.0    15.1    16.5    37.6    44.1    28.5   121.6
 1922     1.8    11.6     6.4     8.9     7.6    17.2    13.3    14.4    12.0    10.7    19.4    14.8    22.9    45.0    42.1    22.1   138.2
 1923     4.4     3.0     0.8     1.4     9.3     8.9    13.2    10.3    16.5    15.8    15.7    18.4    11.5    32.5    48.0    24.8   117.8
 1924     0.7     5.7     3.7     5.1     1.7    11.3    10.9    18.6    17.9    15.5    18.5    15.5    10.5    40.8    51.9    19.8   125.1
 1925     0.9     3.4     4.6     2.5     3.9    11.7    15.6    12.9    15.3    17.3    16.5    14.5    11.0    40.2    49.0    24.9   119.1
 1926     2.5     7.9     3.2     5.9     7.4     6.4    16.6    17.1    14.9    10.7    17.0    15.4    16.5    40.0    42.6    21.2   124.8
 1927     2.7     3.2     3.0     3.6     1.5    13.4    18.0    14.7    16.1    13.4    12.5    17.7     8.1    46.1    42.1    21.8   119.9
 1928     2.3     1.7     0.0     3.0     8.9    13.8    16.2    14.7    13.2    11.1    16.7    12.2    11.9    44.6    41.0    16.8   113.8
 1929     0.8     3.8     2.4     5.3     8.6    11.2    19.5    13.2    14.3    13.0    15.9    15.6    16.2    43.9    43.2    21.7   123.6
 1930     0.8     5.4     5.0     0.9     6.3    13.9    15.1    15.9    16.0    17.0    13.4    14.7    12.2    44.9    46.4    21.5   124.3
 1931     3.2     3.6     6.4     5.3    13.2    17.2    18.8    18.0    13.7    14.3     9.8    13.9    24.9    54.1    37.8    27.6   137.5
 1932     4.2     9.4     5.6     6.9    11.8    13.6    16.7    14.3    12.3    16.0    16.3    11.0    24.2    44.6    44.6    26.2   138.2
 1933     7.3     7.9     3.5     3.0    10.0    15.0    18.3    17.4    14.1    15.8    16.3    12.5    16.5    50.7    46.2    26.3   141.1
 1934     4.8     9.0     3.6     1.1     6.1     7.6    14.4    14.6    13.0    15.4    15.7    14.3    10.7    36.7    44.1    22.8   119.6
 1935     2.5     6.0     3.6     3.8     9.5    10.2    15.4    17.0    13.6    16.9    14.7    14.6    16.9    42.6    45.2    18.0   127.8
 1936     1.9     1.6     4.3     3.0    11.8    16.9    18.4    13.0    12.5    15.1    17.6    11.4    19.1    48.4    45.3    26.1   127.6
 1937     9.2     5.5     0.6     4.6     7.8    17.6    16.9    16.4    14.9    13.1    18.5    16.9    13.0    50.8    46.4    28.3   141.8
 1938     4.9     6.6    10.6     6.0    11.6    11.6    20.1    20.5    16.8    14.9    19.1    19.9    28.2    52.3    50.9    29.2   162.8
 1939     6.8     2.5     2.9     2.3     7.2    12.9    12.3    14.9    12.3    12.7    14.9    10.1    12.4    40.1    39.9    17.7   111.8
 1940     3.9     3.7     3.4     4.8     6.0    12.9    16.4    14.8    11.7    14.0    14.4    12.5    14.3    44.1    40.1    22.1   118.6
 1941     8.7     1.0     0.0     3.5    11.5    14.2    16.7    13.4    14.6    13.1    10.4     6.3    15.0    44.3    38.0    17.0   113.2
 1942    10.2     0.5     4.8     8.9    13.8    17.9    17.7    12.0    15.9    16.5    16.2    16.8    27.4    47.5    48.5    43.7   150.9
