Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Laos                 : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     6.3     5.1     8.4    12.2    18.1    21.4    24.0    25.6    20.1    12.0     5.6     3.3    38.7    71.0    37.8    15.0   162.1
 1902     5.9     5.8     7.4    11.9    15.6    19.9    21.9    28.0    10.5    13.5     4.7    10.4    35.0    69.7    28.6    23.4   155.4
 1903     4.6     8.5     7.0     9.2    13.7    18.7    26.9    26.3    20.9    14.8     2.9     2.0    29.9    71.9    38.7     5.1   155.5
 1904     1.5     1.6     6.3    12.1    22.9    25.6    27.1    26.9    19.7    12.9     7.5     6.7    41.3    79.5    40.2    13.5   170.8
 1905     1.6     5.3     9.1     8.6    16.3    23.1    20.0    20.6    20.7    11.5     6.4     6.6    34.1    63.7    38.6    12.8   149.8
 1906     4.0     2.2     6.6     8.3    22.1    20.4    20.7    21.0    23.2     6.8     4.0     5.3    37.0    62.1    34.0    20.2   144.5
 1907     9.2     5.8     7.8    11.3    18.4    16.9    20.4    26.3    18.4    16.3     6.9     7.6    37.5    63.6    41.6    25.1   165.3
 1908    10.6     6.8     5.2     8.4    20.5    22.9    20.0    27.0    24.6    11.8     7.3     5.4    34.1    69.9    43.8    15.4   170.6
 1909     4.2     5.8     5.5     8.6    23.1    21.9    25.7    29.5    20.6    14.1     9.2     1.6    37.2    77.1    43.9    14.2   169.7
 1910     4.0     8.6     8.2     8.4    19.6    22.3    21.0    27.3    22.5    13.0     8.6     4.2    36.3    70.5    44.1    25.9   167.8
 1911    14.5     7.2     5.4    13.1    15.8    20.6    20.8    20.1    20.8    11.7     3.4     1.2    34.2    61.5    35.8    10.9   154.5
 1912     6.8     2.9     8.0    11.3    15.9    17.5    26.7    26.0    14.8    10.8    10.0     1.3    35.2    70.2    35.6     7.8   152.0
 1913     1.7     4.9     3.4     9.2    20.7    17.3    23.8    25.3    19.9    10.8    10.1     7.4    33.3    66.4    40.7    17.9   154.5
 1914     4.5     5.9     8.6    10.0    17.2    19.4    25.3    24.2    14.8    14.2     9.2     9.7    35.9    68.9    38.1    12.1   163.1
 1915     0.4     2.0     6.7    11.0    18.1    22.6    21.9    23.3    18.8    18.4     8.9     7.4    35.8    67.7    46.1    17.7   159.4
 1916     4.3     6.0     9.9     8.9    16.1    23.3    21.8    26.5    20.6    12.4     3.5     5.0    34.9    71.6    36.6     6.9   158.5
 1917     1.4     0.5     6.7     6.3    14.6    22.6    22.8    25.0    20.0    15.2     3.0     3.2    27.7    70.4    38.1    14.2   141.2
 1918     0.8    10.2     7.5    10.5    19.4    20.4    19.7    24.7    23.0     9.1     8.3     2.5    37.5    64.8    40.4    10.3   156.1
 1919     0.2     7.6     4.8    10.3    17.6    20.9    24.1    27.0    14.3     9.7     6.5     1.2    32.7    72.0    30.5    15.4   144.2
 1920     8.0     6.2     9.0    11.6    16.3    18.8    25.4    23.8    22.0    14.2     9.3     6.8    36.8    67.9    45.5    25.9   171.2
 1921    12.9     6.3     8.6    10.4    17.9    18.1    23.6    23.8    21.0    10.4     3.2     2.9    36.8    65.5    34.6     5.9   158.9
 1922     1.1     1.9     9.0     9.1    14.6    17.7    24.0    24.4    19.6     9.1     6.3     3.2    32.6    66.1    35.1    17.5   140.0
 1923     9.7     4.6     8.4    14.1    17.5    24.9    18.8    23.1    15.3    11.2     4.1     2.1    40.0    66.8    30.6    11.1   153.8
