Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Liechtenstein        : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    12.7    11.5    19.5    21.1    12.4    20.2    17.2    19.1    15.0    14.1    10.7    16.0    53.1    56.5    39.8    44.2   189.7
 1902    15.2    12.9    20.5    13.1    19.4    16.6    16.7    18.0    13.7    15.8     7.7    19.9    52.9    51.3    37.2    46.0   189.4
 1903    13.7    12.4    13.0    18.2    14.9    15.2    20.2    19.3    10.9    17.3    17.4     9.7    46.1    54.7    45.6    40.2   182.3
 1904    11.2    19.3    15.1    18.9    22.7    17.2    12.0    14.5    15.8    13.2    14.3    14.9    56.6    43.7    43.3    43.3   189.1
 1905    15.7    12.8    18.9    18.8    17.6    13.9    16.7    22.2    15.2    15.6    15.7    10.8    55.3    52.8    46.6    41.6   193.9
 1906    14.6    16.2    16.5    14.4    19.6    16.9    18.4    14.6    12.9     8.9    15.8    17.0    50.5    50.0    37.5    46.5   185.8
 1907    18.1    11.4    19.4    18.6    15.5    18.0    17.7    15.6    10.2    13.2    10.0    18.5    53.5    51.2    33.3    48.0   186.1
 1908    11.2    18.3    13.1    17.5    20.0    15.5    19.5    17.6    16.0     4.6    12.4    12.2    50.6    52.6    33.0    36.8   177.9
 1909    12.3    12.2    15.3    14.9    13.5    20.8    20.1    18.5    12.8    15.5    13.6    19.5    43.7    59.4    42.0    59.1   189.0
 1910    22.4    17.3    11.2    20.2    19.4    23.3    20.0    19.5    14.6    12.1    19.2    17.1    50.8    62.9    45.9    41.2   216.3
 1911     8.1    16.0    14.5    15.3    13.8    20.1     9.8    15.0    14.4    16.0    13.1    20.6    43.6    44.9    43.4    52.8   176.6
 1912    17.8    14.4    20.6    14.8    22.2    18.2    18.1    21.7    13.6    18.7    14.6    13.7    57.6    58.0    46.9    41.0   208.4
 1913    17.4     9.9    16.4    16.7    18.2    19.3    20.4    18.1    14.6    11.9    21.0    17.3    51.3    57.9    47.5    51.4   201.4
 1914    20.9    13.2    21.2    16.7    21.8    16.7    21.3    17.2    14.3    13.5    12.3    13.2    59.8    55.3    40.0    50.0   202.4
 1915    19.6    17.1    19.3    15.4    16.5    16.2    19.8    16.7    14.6     8.1    13.8    18.4    51.2    52.7    36.5    58.9   195.5
 1916    20.0    20.5    18.1    18.3    16.8    21.6    19.0    17.5    15.8    17.6    17.1    19.8    53.2    58.1    50.4    45.6   222.0
 1917    17.2     8.6    16.1    18.9    14.3    15.1    18.0    20.5    10.8    21.4    14.7    11.2    49.3    53.5    46.9    35.5   186.7
 1918    12.4    11.8    12.8    14.7    12.0    20.6    16.4    16.6    16.7    12.7    11.0    23.6    39.5    53.7    40.4    53.0   181.5
 1919    14.6    14.7    18.2    21.0    14.3    18.3    19.2    13.1    11.2    13.0    18.8    21.3    53.5    50.6    43.0    51.8   197.7
 1920    20.3    10.2    14.8    20.0    19.1    15.9    19.5    14.8    17.8     3.9     4.1    13.1    53.9    50.1    25.9    39.3   173.5
 1921    19.0     7.2    10.9    16.7    16.1    17.7    11.2    16.1    11.1    12.3    15.1    13.3    43.7    45.0    38.5    51.6   166.6
 1922    22.0    16.2    18.5    21.4    16.1    19.5    20.2    18.0    17.2    15.4    16.4    21.2    56.0    57.7    49.0    56.4   222.1
 1923    17.8    17.5    11.6    17.4    16.9    18.3    14.1    14.5    13.6    17.7    17.0    21.4    45.9    46.9    48.3    46.6   197.8
 1924    13.3    11.9    11.0    19.1    21.2    21.2    21.2    20.6    14.0    12.8     6.3    12.3    51.3    63.0    33.1    40.3   184.9
 1925    11.7    16.4    14.8    18.4    14.6    13.3    18.0    19.0    15.2    13.0    14.6    19.2    47.8    50.3    42.8    51.4   188.2
 1926    16.4    15.8    19.4    15.9    23.0    22.7    18.5    13.3    10.1    17.5    15.9    15.4    58.3    54.5    43.4    50.2   203.9
 1927    20.6    14.2    18.6    20.7    15.2    18.7    17.8    20.7    19.1     8.6    16.2    10.9    54.4    57.1    44.0    43.8   201.3
 1928    14.8    18.1    14.3    17.2    21.3    17.1    11.7    19.8    12.2    16.3    18.9    16.0    52.9    48.6    47.3    36.1   197.7
 1929    12.3     7.8     8.0    17.4    15.0    18.3    16.3    17.5     9.0    16.7    12.7    19.6    40.3    52.1    38.4    38.5   170.5
 1930    10.9     7.9    16.1    19.0    22.0    12.6    21.5    18.2    15.6    18.5    15.5    13.8    57.2    52.3    49.5    51.8   191.7
 1931    19.1    18.9    17.2    16.8    17.7    17.5    20.2    19.7    13.7    12.0    10.1    13.9    51.6    57.4    35.8    36.4   196.7
 1932    17.0     5.4    14.9    15.7    21.6    15.9    20.6    14.2    11.4    18.1    12.8     7.0    52.3    50.8    42.3    35.6   174.7
