Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Madagascar           : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    23.7    21.0    18.7     7.6     5.5     6.6    10.3    10.1     4.6     6.0    10.4    23.0    31.8    27.1    20.9    62.9   147.5
 1902    17.6    22.3    16.7    11.0     5.4     5.3     8.0     4.5     5.8     8.2    15.5    17.5    33.1    17.8    29.6    61.8   137.9
 1903    23.3    21.0    20.2     9.0     4.2     7.0     5.2    12.2    13.3     8.4    14.7    17.4    33.4    24.5    36.4    65.1   155.9
 1904    24.5    23.1    19.3     6.5     8.4     9.9     8.1    12.5     8.4     8.7     9.5    20.1    34.2    30.6    26.7    63.9   159.1
 1905    22.0    21.8    16.3    13.7     7.8     6.7     8.6    11.5     7.3     9.3    17.7    20.1    37.8    26.8    34.3    58.4   162.8
 1906    14.2    24.1    19.0    14.7     5.3     7.3     8.6     6.0     8.5    12.2    10.7    18.1    39.0    21.9    31.5    56.2   148.8
 1907    19.9    18.3    21.9    11.7     4.5     8.3    10.4     6.1     8.3     7.5    10.8    19.3    38.0    24.8    26.6    60.6   146.9
 1908    18.9    22.3    16.4    10.1     7.5     3.0     8.4     3.4     4.6     8.7    12.5    16.9    34.1    14.8    25.8    52.3   132.8
 1909    17.5    18.0    10.4     7.9     5.5     7.3     4.1     8.7     9.2     8.0    11.2     9.8    23.9    20.1    28.4    47.8   117.7
 1910    19.6    18.4    17.1     8.8     4.2     5.5     4.9     4.9     3.0     7.7    10.4    16.1    30.1    15.3    21.1    55.6   120.7
 1911    19.8    19.7    15.9     8.1     7.6    10.1     7.0     9.5     7.0     4.8     8.5    15.0    31.6    26.6    20.3    51.8   133.0
 1912    17.5    19.3    12.7    10.6     5.3     5.6     6.3     7.9     8.3     6.6     6.8    16.9    28.7    19.8    21.6    63.3   123.8
 1913    24.6    21.9    13.0     6.5     8.2     5.9     6.4    11.5     8.0     7.5    14.3    20.2    27.7    23.8    29.8    64.2   147.9
 1914    22.0    22.0    14.7    11.7     7.0     7.0    12.4    11.6     5.4     8.9    12.2    15.9    33.3    31.0    26.5    58.0   150.7
 1915    20.6    21.5    18.6    11.5    10.0     7.2     4.6     4.8     4.1     5.0    12.3    17.9    40.1    16.6    21.5    62.1   138.2
 1916    23.6    20.7    17.2    11.4     8.9     8.7     6.4     6.5     4.2     6.7    17.1    23.3    37.5    21.6    28.0    64.7   154.7
 1917    20.0    21.4    15.9    11.9     8.7     3.6     7.9     8.5     8.8    10.4    12.8    23.8    36.5    20.0    31.9    64.6   153.5
 1918    20.6    20.2    17.0     9.6     6.7     6.4     6.5     6.2     4.0     4.9    12.1    16.3    33.3    19.1    21.1    58.2   130.6
 1919    20.8    21.1    20.2     9.3     5.8     8.2     6.6     4.6     5.8    10.6    12.9    20.5    35.3    19.4    29.2    64.5   146.4
 1920    21.2    22.7    17.4    11.6     7.1     6.6    10.4     5.0     3.7     5.7    13.3    16.1    36.1    22.1    22.7    60.4   141.0
 1921    25.9    18.4    14.6     5.0    10.8     4.1     6.4     4.8     4.5     9.3    15.4    19.2    30.4    15.2    29.1    63.7   138.2
 1922    24.1    20.5    16.5     5.3     8.8     5.5     9.5     8.8     4.2    11.3    10.0    14.9    30.7    23.8    25.5    52.8   139.4
