Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Montenegro           : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    10.9    13.3    16.1    10.9    13.0    13.6    10.5     8.7    12.8    14.8    10.5    16.8    39.9    32.7    38.0    43.7   151.7
 1902    10.0    16.8    17.7    16.5    17.4    12.9     6.1     6.0    12.1    15.8     9.3    12.3    51.7    25.1    37.2    32.8   153.0
 1903    10.4    10.2    12.6    17.8    12.9    11.7     9.3     5.6     6.3    12.0    15.3    15.5    43.4    26.5    33.5    42.7   139.6
 1904    12.6    14.6    15.1    11.0    11.2    10.9     7.6     6.9    10.0    14.6    11.0    12.6    37.3    25.4    35.5    38.4   138.1
 1905    11.6    14.1    14.0    15.7    13.9    13.4     7.7     5.4     8.2    17.2    15.9     7.3    43.6    26.5    41.4    34.6   144.5
 1906    13.8    13.5    13.9    10.7    14.8    13.7     9.0     8.6    10.7     9.2    13.1    18.0    39.4    31.3    33.0    44.9   149.1
 1907    13.5    13.3     8.7    18.8    11.5    11.8     7.9     5.8     6.9    11.4    12.4    17.4    39.0    25.4    30.7    45.2   139.4
 1908    14.4    13.4    15.0    18.7     7.1     8.7     9.8     7.2     5.4    10.0    14.8    14.8    40.8    25.8    30.2    35.7   139.4
 1909    11.0    10.0    16.6    11.5    17.5    11.3     8.1    12.0    13.4    10.9    16.3    14.8    45.5    31.4    40.6    45.6   153.2
 1910    16.2    14.6    12.0    18.5    14.9    13.8    13.0     7.9    13.1    13.6    16.6    14.3    45.3    34.8    43.3    37.0   168.5
 1911    13.2     9.4     7.7    15.5    17.8    10.8     8.2     6.4    11.6    11.2    11.7    14.3    41.0    25.4    34.5    41.5   137.9
 1912    15.3    11.9    16.3    17.8    15.6     9.5     8.4     9.5    10.9    11.6    14.1    11.9    49.7    27.4    36.6    34.6   152.7
 1913    13.7     9.0     8.0    13.5    15.5    13.4    14.2    11.3    10.9     8.4    10.3    15.6    36.9    39.0    29.5    38.2   143.7
 1914    13.3     9.3    18.3    11.7    15.1    13.4    11.6     5.6    10.7    12.6    14.5    15.4    45.1    30.6    37.8    51.2   151.6
 1915    19.2    16.6    16.0    15.2    13.7    16.3    14.8    10.8    11.3    17.3    14.2    14.9    44.9    41.8    42.7    35.3   180.1
 1916     9.5    10.9    16.5    12.7    12.8     7.3     8.9    10.6    12.7    14.6    14.7    18.2    41.9    26.8    42.0    45.9   149.3
 1917    17.3    10.5    15.6    13.8     9.6     5.1     8.3     7.4     5.1    13.9    15.8    15.1    39.0    20.8    34.8    32.5   137.4
 1918    11.1     6.2    11.9    14.5    14.4    12.8     9.1     9.6     6.5    13.8    10.0    14.3    40.8    31.4    30.3    41.1   134.1
 1919    13.7    13.1    14.6    17.8    15.2    10.3    11.2     6.8     9.5    13.8    17.3    12.5    47.6    28.4    40.6    35.2   155.9
 1920    14.9     7.7    13.0    14.1    10.4    14.9    10.4     9.1     8.0    10.1     8.5    15.0    37.5    34.5    26.6    38.4   136.2
 1921    11.6    11.8     8.9    17.0    14.9    16.6     6.5     9.5     5.1     7.4    13.8    12.2    40.8    32.7    26.3    41.8   135.3
 1922    15.6    14.0    15.8    18.1    10.0    11.3     5.4     2.8    13.2    17.1    12.7    10.7    44.0    19.5    42.9    40.4   146.8
 1923    14.8    14.9    12.4    14.8    11.4    14.5     7.7     8.8     8.3    11.4    18.8    17.0    38.6    31.0    38.5    47.7   154.7
 1924    14.1    16.6    12.6    18.7    13.2    13.0    10.2    10.3    10.2    13.3     7.3    10.5    44.5    33.4    30.8    30.6   149.9
 1925     6.2    13.9    12.4    15.6    15.0    14.0     9.4     7.4    12.1    10.8    21.0    16.7    42.9    30.7    43.9    37.6   154.4
 1926    12.8     8.1    11.9    11.6    16.0    17.9    11.5     9.3     7.2     9.5    10.4    16.9    39.6    38.7    27.2    42.2   143.3
 1927    16.1     9.1    16.6     9.6    16.7     7.2     2.7     8.9    10.8    13.4    12.2    18.7    42.9    18.7    36.5    36.6   142.0
