Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Myanmar              : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     8.1     2.9     5.1     5.7    17.7    23.7    20.8    19.1    19.6    15.5     7.1     0.7    28.5    63.6    42.2     3.2   146.0
 1902     1.4     1.1     1.5     6.3    13.7    20.0    24.7    24.2    21.9    12.2     5.3     3.8    21.5    69.0    39.4     7.1   136.3
 1903     2.0     1.4     5.2     2.8    14.7    20.9    16.5    25.1    20.3    17.0     9.3     1.6    22.7    62.5    46.6     4.2   136.6
 1904     1.6     1.1     1.8     9.8    16.0    21.9    25.9    23.1    22.1    10.5    12.8     5.4    27.6    70.8    45.4    11.3   151.9
 1905     1.9     4.1     3.5     3.2    17.6    19.1    20.4    25.2    23.7    13.2     8.9     7.9    24.3    64.6    45.9    12.6   148.8
 1906     2.0     2.7     1.6     4.0    14.6    21.6    23.9    22.8    20.8    14.3     6.6     0.2    20.2    68.3    41.7    10.6   135.0
 1907     8.9     1.5    10.6     4.5    15.8    21.6    18.6    22.5    18.5    13.0     2.1     7.5    30.9    62.7    33.5    11.1   145.1
 1908     2.1     1.5     2.3     9.4    15.8    22.4    24.4    21.6    17.1    11.7     7.4     0.8    27.5    68.4    36.3     5.3   136.6
 1909     2.3     2.2     1.6     5.4    18.1    22.5    25.1    25.7    17.2    15.6    10.2     1.2    25.1    73.4    43.0     6.4   147.2
 1910     2.0     3.2     4.8     8.5    19.7    21.8    25.0    26.6    21.2    14.6     9.1     2.6    33.0    73.5    44.9     9.8   159.2
 1911     5.5     1.6     2.5     8.2    16.5    22.4    21.5    21.8    20.3    14.4     3.3     1.0    27.2    65.6    38.0     6.5   139.0
 1912     2.7     2.8     4.7     4.6    15.8    22.5    23.0    23.8    18.5    13.9     9.1     2.9    25.1    69.3    41.6    10.9   144.3
 1913     3.4     4.5     6.3     3.3    15.0    20.7    25.2    25.4    16.5    13.5    10.4     5.7    24.6    71.3    40.5     9.7   150.0
 1914     2.2     1.9     2.9     5.9    16.3    23.1    23.7    25.5    16.1    13.3     6.9     6.7    25.2    72.3    36.3    10.4   144.6
 1915     0.8     2.8     5.0     8.6    19.6    23.0    24.0    23.9    18.5    14.5     8.2     5.9    33.2    70.8    41.2    12.0   154.7
 1916     3.6     2.5     4.6     6.2    14.5    21.7    23.0    24.0    20.4    14.2     8.7     6.2    25.3    68.7    43.3    12.7   149.6
 1917     2.2     4.3     3.2     4.3    13.0    23.5    21.9    26.5    19.6    14.9     6.0     2.8    20.5    71.9    40.5     7.3   142.2
 1918     1.7     2.8     4.0     6.8    19.1    21.4    19.8    25.7    18.3    11.9     6.4     3.0    29.9    66.9    36.7     8.1   141.0
 1919     0.8     4.3     2.3     4.8    15.6    22.2    25.7    23.0    17.6    11.8     9.7     3.5    22.6    70.9    39.1    11.5   141.2
 1920     3.1     4.9     5.9     3.5    15.2    15.5    23.8    25.4    18.5    12.0     4.7     2.6    24.6    64.7    35.2    10.1   135.2
 1921     5.5     2.0     4.9     5.3    14.9    19.5    24.1    24.4    21.8    15.3     7.7     1.2    25.2    68.0    44.8     3.3   146.7
 1922     1.3     0.8     5.0     8.2    14.5    20.5    22.3    22.8    20.6    13.5     9.8     5.3    27.7    65.6    43.9    10.2   144.5
 1923     2.8     2.1     4.8     6.8    15.4    23.2    18.4    24.3    16.0    13.9     8.4     3.8    27.0    65.9    38.3     7.5   139.9
 1924     1.0     2.7     1.3     7.1    14.9    19.9    22.7    24.3    16.8    15.1     8.6     1.2    23.3    66.9    40.5     7.0   135.6
 1925     4.0     1.9     2.0     7.7    13.6    22.2    22.9    21.5    18.1    13.9     5.4     2.7    23.3    66.6    37.5     7.8   135.9
 1926     3.0     2.1     3.4     4.7    11.6    21.2    19.1    21.5    19.4    17.2    10.0     5.0    19.8    61.7    46.6    13.4   138.3
 1927     2.6     5.8     2.8     7.7    16.2    21.1    25.0    17.2    20.2    16.8     6.4     0.5    26.7    63.3    43.3     5.8   142.3
 1928     1.1     4.2     2.1     7.2    14.3    21.6    23.2    23.8    18.2    15.4     7.0     0.5    23.6    68.6    40.6     5.2   138.6
 1929     2.4     2.3     6.0     8.5    18.9    20.9    24.4    20.6    19.4    11.4     6.5     3.6    33.4    66.0    37.3    10.2   145.0
 1930     2.3     4.3     7.0     5.0    17.6    22.9    21.4    20.3    21.6    10.3     9.0     2.2    29.5    64.7    40.9     5.3   143.7
 1931     1.4     1.8     4.5     4.3    13.8    19.6    18.6    21.1    21.2    11.4     5.6     6.7    22.6    59.3    38.3    10.8   130.1
 1932     0.8     3.2     3.8     6.2    13.1    20.4    26.3    23.2    18.6    14.5     8.4     2.5    23.2    69.8    41.5     6.2   141.0
 1933     2.1     1.6     3.0     6.2    16.7    20.5    22.8    23.1    18.8    11.9     6.9     1.1    25.9    66.4    37.7     5.1   134.8
