Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Portugal             : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    15.8    14.4    19.8    12.1     9.1     4.0     1.5     1.5    12.2    12.0    10.7    14.8    41.0     6.9    34.9    42.2   127.8
 1902     5.7    21.8    12.6    15.9     9.0     8.6     6.6     7.3     6.8    12.7    18.1    12.0    37.5    22.4    37.6    33.2   137.0
 1903    14.0     7.2    11.5    12.8    15.8    11.0     7.3     3.5    11.0    11.8     7.9    18.8    40.1    21.8    30.7    51.7   132.6
 1904    15.5    17.3    15.9     8.8     7.1     7.1     2.0     2.1     9.7     9.3    13.2    14.4    31.9    11.2    32.2    31.2   122.5
 1905    11.8     5.0    12.3    12.9     8.9    10.1     5.8     3.3     8.2    11.1    17.9    12.3    34.1    19.2    37.2    36.5   119.5
 1906    11.6    12.6    12.3    10.8    12.7     7.8     1.4     1.8    10.0    13.1    14.2     7.8    35.8    11.0    37.3    25.5   116.2
 1907     8.2     9.5     2.5    14.0    16.6     2.2     5.9     3.8    12.6    18.3    17.2    17.1    33.1    11.9    48.1    37.4   127.9
 1908    14.8     5.5    12.8    11.1     7.9    10.6     1.6     4.2     5.4    10.7    15.9    14.0    31.8    16.5    32.0    34.1   114.7
 1909    11.9     8.2    19.2     9.7    12.9     7.7     2.0     3.7     8.9    10.6    17.1    18.3    41.9    13.3    36.6    39.2   130.2
 1910     9.3    11.7    11.9    12.6    13.7     7.8     3.6     2.3     7.0    14.6    14.4    22.5    38.3    13.7    36.1    40.2   131.5
 1911    10.6     7.1    17.0    14.4    11.5     9.5     4.1     6.8     7.5    17.5    14.5    16.7    43.0    20.5    39.5    55.1   137.4
 1912    17.4    21.0    14.1     9.2     7.1     6.7     5.9     5.9    10.1    13.7     7.8     8.5    30.4    18.5    31.5    38.4   127.3
 1913    18.2    11.6    15.0    10.1     9.3     5.7     1.4     3.5    11.0    19.9    11.9     9.9    34.5    10.6    42.8    40.0   127.7
 1914    12.3    17.9    12.4    13.1     7.2     8.2     5.9     1.8     4.3    12.2    13.0    19.8    32.6    15.9    29.6    53.9   128.0
 1915    17.4    16.7    18.8     8.7    11.0     3.8     3.6     2.2     6.2     8.4    15.8    17.6    38.5     9.6    30.4    42.4   130.2
 1916     8.6    16.2    21.4     9.0    11.7     6.0     5.9     2.8     8.0     7.4    16.3    19.1    42.1    14.7    31.7    53.8   132.4
 1917    16.9    17.8    16.2    11.3    12.3     6.2     1.1     3.7     3.2     7.8     2.2    10.2    39.8    11.0    13.2    38.3   108.8
 1918    19.9     8.2    14.9    14.2     9.6     3.7     4.2     4.6     9.0     6.8    13.9    10.9    38.6    12.6    29.7    45.6   120.0
 1919    15.9    18.8    14.0    12.8     8.7     5.7     5.5     1.6     7.2    10.1    17.1    11.6    35.5    12.8    34.4    35.3   129.0
 1920    10.8    12.9    13.2    12.3    13.3     5.4     1.0     1.4     6.2    15.1    12.7    13.4    38.8     7.7    34.0    35.1   117.7
 1921     9.6    12.1    10.3     8.2    10.1     4.8     4.3     2.3     9.5    12.2    14.4     9.7    28.6    11.4    36.1    34.1   107.7
 1922    15.7     8.7    16.0     9.7     7.9     8.5     3.6     6.0     7.3    16.0     8.4    14.8    33.6    18.1    31.7    36.6   122.6
 1923     6.4    15.4     9.4    17.2     7.5     7.4     2.7     1.6     6.8    12.8    16.5     8.8    34.1    11.7    36.2    38.3   112.5
