Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Slovakia             : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    14.0    12.3    17.3    15.0    11.1    14.8    15.3    14.6    12.4    13.0    15.1    17.9    43.4    44.7    40.6    49.9   172.9
 1902    16.0    16.0    16.6    13.5    17.9    17.2    15.1    12.4     9.6    17.0     5.3    18.2    48.0    44.7    31.9    44.7   174.7
 1903    14.4    12.1     9.8    17.9    12.9    17.0    17.8    12.5     9.1    12.9    19.1    16.1    40.6    47.4    41.2    42.9   171.8
 1904    10.4    16.3    11.5    12.3    13.5    11.8     8.0    11.2    13.0    16.3    16.0    15.0    37.4    31.0    45.2    39.7   155.3
 1905    13.0    11.6    11.9    15.2    16.9    15.5    12.6    12.2    13.1    17.0    19.1    13.3    43.9    40.3    49.2    37.2   171.4
 1906    13.1    10.9    18.5    12.4    16.2    17.1    16.1    13.6    17.1     7.5    15.4    20.7    47.0    46.7    40.0    49.8   178.4
 1907    18.1    11.0    13.7    16.3    12.5    16.0    16.8    10.0    10.0     8.6    12.8    20.2    42.6    42.8    31.4    51.5   166.1
 1908    14.2    17.1    13.7    16.7    14.9    12.1    15.9    13.4    10.5     5.6    12.6    13.7    45.3    41.4    28.7    44.1   160.4
 1909    14.7    15.7    16.2    12.7    16.5    15.4    15.8    12.2    12.6     9.1    13.2    19.8    45.4    43.3    35.0    49.8   173.8
 1910    17.3    12.7     7.7    15.8    17.2    15.1    14.7    14.5    14.8     9.1    20.0    16.4    40.6    44.2    43.9    44.6   175.1
 1911    14.0    14.2    12.3    13.6    18.6    12.2    10.5    13.5    11.7    12.6    12.5    16.5    44.5    36.2    36.8    48.9   162.2
 1912    15.8    16.6    17.7    17.0    16.7    15.7    13.7    14.7    17.0    14.0    14.6    16.0    51.4    44.2    45.6    38.5   189.6
