Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = St_Kitts_and_Nevis   : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    20.9     8.1    15.2     9.8    14.7    19.9    26.5    16.5    21.3    20.5    22.9    21.1    39.7    62.9    64.6    44.1   217.3
 1902    17.4     5.6    13.2    12.6    20.2    23.8    18.5    15.4    17.0    13.6    19.1    18.0    46.0    57.7    49.7    39.7   194.4
 1903    11.8    10.0    11.0    14.9    13.0    16.0    20.4    21.7    16.7    17.7    15.2    20.1    38.9    58.1    49.6    52.3   188.4
 1904    17.2    15.0    15.2    11.8    13.4    11.8    17.6    17.3    21.4    18.8    15.2    13.7    40.5    46.8    55.4    43.2   188.6
 1905    18.2    11.3    14.7    10.6    14.5    14.0    16.5    18.1    20.0    22.4    18.2    13.5    39.7    48.7    60.6    36.3   192.0
 1906    12.3    10.5    12.9    12.5    11.5    18.9    20.5    15.0    22.7    15.0    15.8    18.0    36.9    54.5    53.4    45.0   185.7
 1907    14.9    12.1    11.9     9.2    14.3    14.9    17.4    15.0    16.3    18.1    15.0    20.7    35.5    47.3    49.4    48.0   179.9
 1908    17.0    10.4    12.2    10.7    10.7    14.9    17.2    14.7    20.2    14.7    15.5    20.4    33.6    46.9    50.4    52.7   178.6
 1909    16.5    15.8    13.2    11.0    11.0    21.3    16.2    25.0    15.6    18.5    24.3    13.3    35.2    62.5    58.4    46.8   201.7
 1910    19.4    14.1    15.1     9.0    18.3    14.7    16.5    18.6    21.4    12.6    12.3    18.2    42.4    49.8    46.3    52.8   190.2
 1911    18.2    16.3     9.2    13.9    18.8    12.1    19.9    14.9    17.6    16.3    14.8    26.0    41.9    47.0    48.7    51.2   198.0
 1912    15.4     9.9    12.1    16.2    10.3    12.7    12.3    13.0    16.4    22.5    20.4    14.6    38.6    38.0    59.3    48.4   175.8
 1913    19.9    13.9    17.6    13.4    14.0    14.6    13.5    14.8    19.2    21.4    14.6    13.4    45.0    43.0    55.2    46.3   190.4
 1914    15.1    17.8    14.4    11.6    20.9    15.0    14.7    15.9    14.9    13.5    19.3    18.1    46.9    45.6    47.6    52.7   191.2
 1915    17.9    16.7    11.6    17.0    11.9    19.7    18.5    12.9    17.7    14.1    19.9    18.7    40.5    51.1    51.7    46.5   196.6
 1916    16.2    11.5     6.6    11.7    14.0    16.2    22.9    22.2    22.1    22.5    22.5     9.2    32.2    61.3    67.2    32.1   197.7
 1917    12.7    10.2     8.5    12.3    16.4    16.2    19.2    16.5    17.7    13.5    18.7    14.8    37.2    51.9    50.0    43.6   176.9
 1918    13.2    15.6    10.9    11.1    10.5    14.9    18.0    11.3    19.3    18.5    17.3    20.1    32.4    44.2    55.1    45.3   180.6
