Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Suriname             : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    13.4    14.9    26.0    23.9    25.7    20.6    19.3    16.4    11.2    10.5    14.6    20.2    75.6    56.3    36.3    61.9   216.7
 1902    21.9    19.8    26.8    29.3    23.2    24.9    24.0    14.3     8.6     7.8    14.5    17.2    79.3    63.2    30.9    48.1   232.3
 1903    13.0    17.9    22.3    28.8    27.7    25.4    19.3    15.3     9.3     5.8     7.0    18.2    78.8    60.0    22.2    54.4   210.1
 1904    18.5    17.7    30.3    24.0    27.1    19.9    21.9     7.5     7.9     9.5    11.1    22.4    81.4    49.4    28.5    58.0   217.9
 1905    17.4    18.3    15.8    27.1    25.3    23.7    24.0    11.3     7.1     9.3    12.8    22.0    68.3    59.0    29.3    50.3   214.2
 1906    18.7     9.6    22.1    28.3    26.6    17.9    19.7    13.9     9.0     9.6    13.1    12.8    76.9    51.5    31.7    52.2   201.3
 1907    17.1    22.4    30.0    30.0    30.0    20.8    21.4    10.5    10.4     6.1    12.0    17.5    90.0    52.6    28.5    60.6   228.0
 1908    18.3    24.8    22.6    19.6    26.2    20.5    25.0    18.7     9.2     7.2    11.5    16.9    68.4    64.1    27.9    54.1   220.3
 1909    15.7    21.5    24.0    22.2    28.0    21.3    20.6    17.7     5.4     9.0     9.6    15.5    74.2    59.6    24.1    62.4   210.6
 1910    29.1    17.9    18.1    16.7    22.8    24.2    17.9    16.4     9.3     8.8    13.0    18.3    57.7    58.5    31.0    63.1   212.4
 1911    19.4    25.3    29.4    21.2    24.5    23.4    19.3    11.8     4.8     9.6    13.7    11.9    75.1    54.4    28.1    25.9   214.2
 1912     9.2     4.8    11.9    17.6    27.7    22.6    21.9    15.7     7.3     7.9    13.7    20.9    57.2    60.2    28.9    57.7   181.2
 1913    25.9    10.9    18.4    10.7    14.3    23.8    21.9    12.7     8.8     7.9    10.3    26.1    43.4    58.4    27.0    59.6   191.6
 1914    14.9    18.7    19.8    23.4    31.0    20.0    20.9    12.4    10.6     8.6    11.6    15.1    74.1    53.4    30.8    63.5   206.9
 1915    21.1    27.3    16.4    24.5    29.4    22.1    18.1    11.9     5.7     5.7    11.6    20.3    70.4    52.1    22.9    65.2   214.2
 1916    27.0    17.9    22.1    11.2    26.4    20.8    24.8    17.9     8.4     9.4    12.0    23.4    59.7    63.4    29.7    65.6   221.2
 1917    25.8    16.4    26.6    17.2    21.5    17.7    21.8    17.1    11.0     7.5    12.5    17.3    65.2    56.6    30.9    53.3   212.2
 1918    19.1    16.9    26.2    27.7    26.3    23.7    25.4    12.0     5.5     8.9     7.4    18.3    80.2    61.1    21.8    43.5   217.4
