Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Tonga                : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    18.2    16.6    19.9    12.3     9.4     4.7     3.4     2.5     4.8     4.1     5.7    10.2    41.6    10.7    14.6    46.1   111.9
 1902    18.2    17.7    16.8    13.2     8.1     5.7     3.8     2.2     3.6     3.8     5.8    10.0    38.2    11.7    13.2    45.4   108.9
 1903    17.2    18.2    16.3    14.2     8.6     5.8     4.3     2.8     4.6     4.6     5.8    11.4    39.1    12.9    15.1    48.5   113.8
 1904    19.0    18.2    17.4    14.9     9.2     5.2     4.5     2.8     4.8     4.1     5.6    11.4    41.5    12.5    14.5    43.0   117.0
 1905    17.2    14.5    17.4    12.3     6.9     5.3     4.2     3.0     4.2     3.3     5.4     9.6    36.7    12.5    12.9    37.4   103.4
 1906    14.4    13.4    19.8    11.6     9.2     5.4     4.1     2.8     4.3     3.6     6.2    12.2    40.6    12.3    14.1    45.5   106.9
 1907    16.3    17.0    17.0    14.6     9.0     5.4     4.3     2.2     4.6     4.3     6.8    12.6    40.6    11.9    15.7    51.6   114.2
 1908    20.9    18.1    19.8    14.5     9.6     5.4     3.9     2.9     5.3     3.9     6.2    12.1    43.9    12.3    15.5    46.3   122.8
 1909    17.0    17.2    17.7    13.0     8.4     4.6     3.1     2.3     3.2     3.7     5.5    11.6    39.1    10.0    12.5    41.8   107.4
 1910    14.6    15.6    19.5    13.8    10.0     5.0     4.0     2.9     4.7     4.3     6.0    14.0    43.3    11.9    15.0    51.4   114.4
 1911    17.4    20.0    17.4    12.2     7.9     4.8     3.9     2.4     3.9     3.2     5.2    10.3    37.5    11.2    12.3    40.8   108.8
 1912    15.3    15.2    18.2    13.5     8.9     5.1     3.3     2.8     4.3     4.2     5.2     9.4    40.7    11.2    13.7    47.0   105.4
 1913    18.2    19.4    19.7    13.7     9.6     4.3     4.6     2.3     4.4     3.9     5.3    12.2    42.9    11.2    13.6    43.1   117.6
 1914    14.1    16.8    16.7    13.0     8.5     5.7     4.7     2.9     4.8     4.7     5.4    10.5    38.2    13.4    14.8    41.9   107.9
 1915    19.0    12.4    18.7    10.4     6.3     4.1     4.1     2.1     4.2     3.6     5.7    14.6    35.5    10.3    13.6    49.9   105.4
 1916    17.7    17.6    18.7    14.3    10.0     6.6     4.6     3.1     4.9     3.8     6.5    14.1    43.0    14.3    15.2    49.2   121.9
 1917    18.3    16.8    18.1    12.7     8.3     5.2     5.0     3.2     4.2     4.6     5.8    13.0    39.1    13.5    14.6    48.6   115.3
 1918    16.0    19.7    15.9    11.0     7.3     4.7     3.6     2.9     4.3     3.6     5.5    12.6    34.3    11.2    13.4    44.7   107.2
 1919    17.8    14.3    18.1    12.4     7.8     5.1     3.9     3.1     3.8     3.4     5.4    12.6    38.2    12.1    12.6    46.5   107.6
 1920    17.2    16.6    17.7    12.9     8.3     5.1     5.5     3.5     4.1     4.6     6.4    11.2    39.0    14.2    15.0    45.5   113.2
 1921    18.5    15.8    15.9    15.2    10.5     4.8     4.7     2.8     4.2     3.9     6.1    12.2    41.5    12.4    14.2    45.4   114.7
 1922    17.7    15.4    17.9    13.0    10.0     5.2     3.6     2.9     5.0     4.9     6.2    13.7    40.9    11.8    16.1    47.3   115.6
 1923    16.9    16.7    22.8    12.8     9.2     5.5     4.4     2.8     4.3     3.6     5.6    12.6    44.8    12.7    13.5    48.6   117.2
 1924    18.1    17.8    18.3    13.1     8.5     5.9     5.5     3.6     4.6     4.3     6.2    12.1    39.9    15.0    15.1    43.0   118.1
