Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Turkey               : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    11.2     9.6     9.7     8.7    15.2    10.2     2.9     4.0     7.5     7.8    10.8    11.3    33.6    17.0    26.1    33.8   108.7
 1902    12.1    10.4    11.9    11.1    10.8     4.8     2.5     2.3     3.2     8.6    11.7    13.1    33.8     9.6    23.5    34.8   102.5
 1903    10.7    11.0     9.6     9.7    11.1    10.1     4.1     4.8     3.3     6.6     9.3    11.8    30.4    18.9    19.2    33.2   102.0
 1904    11.1    10.3    12.8    11.5    15.4     8.7     2.2     2.6     5.9     8.2    13.0    13.3    39.7    13.5    27.1    37.7   115.0
 1905    14.1    10.3    11.0    11.4     8.8     7.3     2.4     2.3     3.2     9.0     8.6    10.6    31.1    12.0    20.9    34.4    99.0
 1906    12.4    11.4    12.1    11.1    15.1     8.8     4.4     4.7     3.6     7.7    10.1    14.7    38.2    17.9    21.4    39.3   116.1
 1907    13.2    11.4    13.6    12.6     7.2     6.2     3.4     4.3     6.0     4.5    10.4    12.2    33.4    13.8    20.9    35.8   105.0
 1908    12.3    11.4    12.9    10.9     9.8    10.1     2.5     2.4     5.3     5.2    11.4    12.0    33.6    15.0    21.9    35.8   106.1
 1909    11.5    12.3    12.4    11.0     8.1     9.7     2.0     4.2     7.2    10.0    11.5     9.8    31.5    15.9    28.8    33.7   109.8
 1910    13.3    10.6    11.4    11.2    14.3     8.4     7.6     3.1     4.4     8.0     8.7    10.1    37.0    19.0    21.0    35.3   111.0
 1911    13.6    11.6    12.0    12.5    13.3     6.0     2.9     3.8     5.7     5.9     8.3    13.5    37.9    12.6    19.9    38.3   109.1
