Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = USA                  : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     8.1     7.9     8.8     8.2     8.8     8.3     8.4     9.0     8.4     6.8     6.8     9.2    25.8    25.7    22.0    25.0    98.8
 1902     7.5     8.2     9.3     7.3     9.2     8.5     9.3     8.5     8.5     7.1     8.8     9.7    25.9    26.3    24.3    27.2   101.9
 1903     8.6     8.9     9.3     7.6     8.4     8.6     9.3     9.5     7.7     6.5     6.7     7.1    25.2    27.4    20.9    23.2    98.2
 1904     7.9     8.1     9.1     7.4     8.2     8.3     9.2     9.3     7.8     6.8     5.2     8.7    24.7    26.8    19.8    25.8    96.1
 1905     8.9     8.2     9.0     8.1     9.8     9.1     9.8     8.9     8.2     7.0     8.3     7.8    27.0    27.9    23.6    24.7   103.3
 1906     9.6     7.4     9.6     7.7     9.3     9.0     9.5     9.6     8.0     7.1     8.4     9.7    26.6    28.2    23.5    27.0   105.0
 1907     9.8     7.6     8.4     7.3     9.1     9.2     9.2     9.2     8.8     7.0     7.1     9.0    24.7    27.7    23.0    26.1   101.8
 1908     8.0     9.0     8.7     7.7    10.3     8.4     8.9     9.1     7.4     7.1     7.2     8.0    26.7    26.4    21.7    25.1    99.8
 1909     8.5     8.6     8.4     7.7     8.9     8.9     9.4     8.7     8.0     6.6     8.7     9.7    25.0    27.0    23.3    26.2   102.1
 1910     9.1     7.4     6.0     7.7     8.2     8.1     8.6     8.3     8.1     7.2     7.0     8.1    21.9    25.0    22.3    25.8    93.9
 1911     9.1     8.7     7.7     8.3     7.8     7.9     9.1     8.9     8.6     7.7     7.8     9.9    23.9    25.9    24.1    25.2   101.5
 1912     7.7     7.6     9.8     8.9     9.5     8.4     9.8    10.0     8.6     7.6     6.4     8.2    28.2    28.2    22.6    25.2   102.5
 1913     9.2     7.9     9.2     7.3     8.3     8.2     9.3     8.3     8.6     7.8     8.4     8.3    24.9    25.8    24.9    24.8   100.9
 1914     8.5     7.9     8.0     8.9     8.1     9.0     8.8     9.2     7.6     7.8     6.4     9.1    25.1    27.1    21.8    27.7    99.4
 1915     9.4     9.2     7.4     8.2     9.7     9.2     9.6     9.4     9.2     6.5     8.1     9.2    25.3    28.3    23.8    27.3   105.2
 1916    10.6     7.5     8.0     7.9     9.3     9.0     8.8     9.1     7.9     8.0     6.9     8.7    25.2    26.9    22.7    24.9   101.7
 1917     8.8     7.4     8.3     8.2     8.6     8.1     9.1     8.6     7.9     5.9     5.5     6.3    25.1    25.8    19.3    23.5    92.7
 1918     9.3     7.9     8.5     8.2     8.5     7.8     8.5     9.0     8.4     8.0     7.9     9.4    25.2    25.3    24.2    24.7   101.5
 1919     6.9     8.4     8.6     8.0     9.0     7.8     9.2     8.5     8.4     8.9     9.0     8.1    25.6    25.6    26.3    23.6   100.8
 1920     8.2     7.3     9.2     8.7     8.1     8.6     8.7     9.7     7.9     7.4     8.0     9.0    26.0    27.1    23.3    24.8   101.0
 1921     8.6     7.2     9.4     8.1     8.6     8.4     8.8     9.0     8.1     6.7     7.2     8.8    26.1    26.2    22.0    26.2    98.9
 1922     8.8     8.6     9.2     8.9     8.7     8.2    10.0     8.7     6.8     6.9     8.4     8.5    26.8    26.8    22.0    24.9   101.5
 1923     9.0     7.5     9.2     8.3     8.5     9.0     8.7     9.0     9.2     7.2     7.1     9.2    26.0    26.7    23.5    24.7   101.9
 1924     8.1     7.5     8.9     7.9     7.6     8.1     8.8     8.6     8.7     6.5     6.3     9.3    24.4    25.5    21.5    24.1    96.3
 1925     7.9     6.9     7.9     7.6     7.2     9.2     9.0     8.6     9.5     8.5     8.1     7.8    22.8    26.9    26.0    24.1    98.1
 1926     8.9     7.4     8.2     7.9     8.1     7.6     8.9     9.3     9.0     7.9     8.6     9.3    24.2    25.8    25.4    25.3   101.0
 1927     7.6     8.4     8.9     8.4     8.6     9.1     9.1     9.2     8.4     7.4     8.2     9.3    25.9    27.3    23.9    24.1   102.4
 1928     6.9     7.9     8.6     7.7     7.6     9.7     9.5     9.3     7.7     7.4     8.0     7.8    23.9    28.5    23.1    25.2    98.2
 1929     9.5     7.9     9.4     8.9     8.8     8.3     9.0     7.9     8.6     7.5     7.2     7.9    27.2    25.2    23.3    24.5   100.9
 1930     9.4     7.3     8.5     7.2     9.0     8.1     8.0     8.8     8.3     7.4     7.8     6.9    24.6    24.9    23.5    21.4    96.5
 1931     7.0     7.5     8.3     7.5     8.1     8.0     8.7     8.9     7.9     7.3     8.7     9.9    23.9    25.6    23.9    28.6    97.7
 1932    10.5     8.3     8.5     7.5     8.0     8.9     9.1     9.6     7.7     7.8     6.7     9.1    23.9    27.6    22.1    25.3   101.5
 1933     8.7     7.5     8.5     8.1     9.6     6.9     8.0     8.9     8.0     6.3     6.7     8.2    26.2    23.9    21.1    23.1    95.5
 1934     7.8     7.1     8.3     7.1     6.8     8.0     7.8     8.4     8.3     6.8     8.1     8.8    22.2    24.2    23.3    26.1    93.4
 1935     9.4     7.9     9.5     8.4     9.2     8.2     8.4     8.8     8.0     6.9     8.2     7.6    27.1    25.4    23.0    25.4   100.4
 1936     9.2     8.6     8.7     7.1     7.6     7.4     8.4     8.4     8.2     7.6     6.5     9.8    23.4    24.1    22.4    28.2    97.4
 1937    10.4     8.0     8.1     8.6     8.0     8.8     8.5     8.7     7.5     7.6     7.9     8.7    24.7    26.1    23.0    26.0   100.9
 1938     8.7     8.6    10.2     8.1     9.1     8.9     9.6     8.3     8.4     6.2     8.0     8.1    27.5    26.8    22.6    27.0   102.3
 1939     9.6     9.2     8.1     7.5     7.7     9.1     8.7     9.0     7.8     6.9     5.0     7.7    23.2    26.8    19.7    25.1    96.3
 1940     8.7     8.7     8.4     8.7     8.2     8.6     8.5     8.8     8.3     7.2     9.1     9.6    25.4    26.0    24.5    26.2   102.9
 1941     9.1     7.6     8.2     9.1     8.8     9.5     9.5     9.2     8.9     9.2     7.5     9.2    26.1    28.2    25.7    25.2   105.9
 1942     7.5     8.5     8.7     8.5     9.2     9.2     8.9     9.7     8.9     7.6     7.7     9.1    26.4    27.8    24.2    25.0   103.5
 1943     8.5     7.3     9.5     7.4     9.4     9.1     8.8     8.7     7.3     6.9     6.8     7.8    26.3    26.6    21.0    25.1    97.5
 1944     8.2     9.2    10.0     8.6     9.2     8.8     8.6     9.3     8.0     6.1     8.6     8.5    27.8    26.8    22.8    25.7   103.2
 1945     8.1     9.1     9.8     8.6     8.9     9.6     9.3     9.5     9.5     7.7     7.9     8.8    27.4    28.5    25.1    25.5   106.9
 1946     9.0     7.7     9.3     7.1     9.6     8.4     8.6     9.4     8.4     8.7     9.1     8.5    26.0    26.4    26.2    23.9   103.9
 1947     9.3     6.1     8.3     8.6     9.3    10.0     8.2     8.8     7.8     7.2     9.0     8.8    26.2    27.0    24.1    25.7   101.5
 1948     8.4     8.5     9.8     8.2     8.2     9.2     9.8     8.8     7.3     6.6     8.9     9.2    26.3    27.8    22.8    28.0   103.0
 1949    10.5     8.3     9.4     7.2     8.9     9.3     9.1     9.0     8.1     8.0     6.5     9.2    25.5    27.3    22.6    27.0   103.4
 1950    10.1     7.7     8.4     7.8     8.4     8.9    10.4     8.6     8.6     6.9     7.7     7.9    24.7    27.9    23.1    25.1   101.5
 1951     8.6     8.6     8.8     8.3     8.0     9.2     8.8     9.8     8.5     7.8     8.3    10.1    25.1    27.8    24.6    27.3   104.8
 1952     9.4     7.7     9.9     7.9     8.3     8.3     9.1     9.1     6.9     4.3     7.9     8.5    26.2    26.5    19.1    25.6    97.4
 1953     8.9     8.2     8.9     8.6     9.2     8.8     8.5     9.2     6.8     5.9     7.2     8.9    26.8    26.5    19.8    25.1    99.1
 1954     9.0     7.2     9.2     7.7     8.2     8.4     8.7     9.4     8.4     7.2     7.2     8.1    25.1    26.5    22.8    25.8    98.7
 1955     8.9     8.8     8.4     8.1     9.0     8.8     9.3     9.3     8.0     6.9     7.7     8.4    25.4    27.4    22.6    26.0   101.5
 1956     8.9     8.7     7.5     7.5     8.7     7.8     9.1     9.0     6.9     7.2     6.7     7.7    23.6    25.9    20.8    25.1    95.6
 1957     9.3     8.0     8.9     9.2     9.9     9.1     8.1     8.6     8.4     8.1     9.1     8.4    28.0    25.8    25.7    25.5   105.2
 1958     8.8     8.3     9.3     8.6     8.2     9.3     9.9     8.9     8.8     6.4     8.4     7.0    26.1    28.1    23.6    23.8   101.9
 1959     8.1     8.7     7.8     7.6     9.4     8.0     9.1     9.5     8.9     8.4     7.4     8.6    24.8    26.6    24.7    27.3   101.5
 1960     9.7     9.0     7.7     8.2     8.9     8.2     8.8     9.2     8.2     7.6     7.6     8.3    24.8    26.2    23.4    23.1   101.5
 1961     6.5     8.3     9.5     8.5     8.5     8.3     9.7     9.3     9.3     7.2     8.3     9.4    26.5    27.4    24.8    27.6   102.9
 1962     9.2     8.9     8.6     7.3     8.8     9.0     9.0     8.5     8.4     7.4     7.0     7.7    24.6    26.5    22.8    23.7    99.9
 1963     8.4     7.6     9.4     8.5     8.1     9.3     8.9     9.6     7.8     5.6     7.7     7.7    26.0    27.9    21.1    23.5    98.6
 1964     8.5     7.4     9.3     9.3     8.3     8.8     8.6     9.5     8.1     5.9     8.2    10.0    26.9    27.0    22.2    27.6   102.0
 1965     9.3     8.3     8.7     8.7     8.7     9.3     9.3    10.1    10.2     6.1     8.2     9.1    26.2    28.7    24.5    26.1   106.0
 1966     8.5     8.4     7.4     7.9     7.7     8.0     8.7     9.6     8.0     6.8     8.1     9.0    23.0    26.3    23.0    24.9    98.2
 1967     9.0     6.9     8.7     9.1     8.5     9.8     9.6     8.7     7.5     7.0     8.1    10.3    26.3    28.1    22.6    26.3   103.3
 1968     8.9     7.1     8.2     8.0     9.5     9.1     8.8     9.7     7.5     7.4     8.6     9.8    25.7    27.6    23.5    28.0   102.6
 1969    10.1     8.1     7.7     7.8     8.4     9.2     9.7     8.3     7.3     8.0     7.0     9.3    23.9    27.2    22.3    24.2   100.9
 1970     8.0     7.0     9.3     8.7     8.3     8.7     8.8     8.4     8.6     8.3     8.6     9.3    26.3    25.9    25.5    26.3   102.0
 1971     8.2     8.7     7.8     7.4     8.8     8.1     9.3     8.9     8.8     8.5     8.3    10.7    24.0    26.4    25.6    26.6   103.6
 1972     8.9     7.0     7.9     7.9     8.5     9.3     8.7     9.2     9.1     8.7     9.0    10.0    24.3    27.1    26.7    27.0   104.1
 1973     9.3     7.7    10.7     8.6     9.1     8.8     9.2     8.8     8.8     7.7     9.2     9.7    28.3    26.8    25.8    26.6   107.6
 1974     9.7     7.2     9.3     8.1     8.4     8.1     8.7     9.6     7.8     7.4     8.0     9.0    25.9    26.4    23.2    27.8   101.4
 1975     9.8     9.0    10.2     8.9     8.9     9.4     9.5     9.4     8.5     7.5     8.0     8.7    28.0    28.3    24.0    25.0   107.8
 1976     8.2     8.2     9.5     7.8     8.9     8.8     9.3     8.3     8.4     7.2     6.1     7.0    26.2    26.4    21.7    22.1    97.7
 1977     8.4     6.8     9.8     7.8     9.2     8.6     8.6    10.3    10.1     7.3     8.7     9.6    26.8    27.5    26.0    27.1   104.9
