Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = United_Arab_Emirates : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     1.1     3.4     6.3     1.0     0.3     0.1     0.3     0.3     0.0     0.0     0.4     2.9     7.6     0.7     0.4     4.8    16.1
 1902     0.0     1.8     0.7     2.5     0.0     0.1     0.3     0.3     0.0     0.0     0.8     1.8     3.3     0.7     0.8     6.4     8.4
 1903     1.6     3.1     1.7     3.0     0.0     0.1     0.3     0.3     0.0     0.0     0.3     2.0     4.7     0.7     0.3     5.2    12.4
 1904     1.0     2.2     4.3     0.9     1.1     0.1     0.3     0.3     0.0     0.0     0.1     0.6     6.2     0.7     0.1     8.0    10.8
 1905     2.2     5.1     8.0     0.1     0.0     0.1     0.3     0.3     0.0     0.0     0.6     3.0     8.1     0.7     0.6    11.0    19.9
 1906     2.2     5.7     8.3     0.1     0.5     0.1     0.3     0.6     0.0     0.0     0.5     2.9     8.9     1.0     0.5    11.3    21.2
 1907     0.8     7.6     0.1     3.4     0.3     0.1     0.3     0.3     0.0     0.0     0.6     1.6     3.7     0.7     0.6     4.9    15.1
 1908     2.3     1.0     3.9     1.9     0.0     0.1     0.3     0.3     0.0     0.0     0.0     1.8     5.8     0.7     0.0     6.4    11.7
 1909     4.4     0.1     0.1     1.5     0.0     0.1     0.3     0.3     0.0     0.0     1.2     4.5     1.7     0.7     1.2     8.8    12.6
 1910     3.3     1.0     4.9     0.6     0.6     0.1     0.3     0.3     0.0     0.0     0.0     4.0     6.1     0.7     0.0     9.4    15.1
 1911     3.5     1.9     6.7     0.9     0.0     0.1     0.3     0.3     0.0     0.0     0.5     2.8     7.6     0.7     0.5    10.2    17.0
 1912     3.6     3.8     1.6     6.4     0.0     0.1     0.3     0.6     0.0     0.0     0.6     5.7     8.1     1.0     0.6    15.4    22.8
 1913     1.3     8.4     4.1     0.1     0.3     0.1     0.3     0.3     0.0     0.0     0.0     3.8     4.5     0.7     0.0    10.2    18.7
 1914     1.7     4.8     3.0     1.0     0.3     0.1     0.6     0.6     0.0     0.0     0.5     3.4     4.3     1.2     0.5     7.4    15.9
 1915     1.9     2.1     3.3     3.5     0.3     0.1     0.3     0.3     0.0     0.0     0.4     2.5     7.1     0.7     0.4    10.7    14.7
