Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Wrangel_Isl          : parameter = Rain Days                      : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1902    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1903    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1904    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1905    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1906    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1907    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1908    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1909    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1910    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1911    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1912    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1913    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1914    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1915    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1916    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1917    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1918    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
 1919    13.8     8.5     7.7     7.3     7.3    10.6    12.9    15.6    14.9    11.6    13.9     9.7    22.4    39.1    40.4    32.0   133.9
