Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Azores               : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    12.6    14.1    12.8    12.4    13.9    17.2    19.4    20.0    19.5    17.1    15.0    13.3    13.0    18.8    17.2    13.0    15.6
 1902    12.6    13.1    12.9    12.7    13.9    15.6    17.7    19.1    18.8    16.7    15.2    14.0    13.2    17.4    16.9    13.4    15.2
 1903    12.7    13.5    12.3    13.5    14.1    16.8    18.3    20.6    17.9    16.2    15.3    13.3    13.3    18.6    16.4    13.2    15.4
 1904    13.4    12.9    12.0    13.1    13.6    15.2    16.6    17.6    16.5    14.8    14.8    13.4    12.9    16.5    15.4    12.8    14.5
 1905    12.6    12.5    12.3    13.1    14.5    16.5    19.6    18.9    17.8    16.4    15.1    13.4    13.3    18.3    16.4    13.1    15.2
 1906    13.4    12.6    12.3    12.7    13.4    16.5    18.6    19.4    18.6    15.3    14.6    13.5    12.8    18.2    16.2    13.0    15.1
 1907    13.0    12.4    12.3    13.4    13.6    16.4    18.5    18.7    18.2    17.2    14.0    13.2    13.1    17.9    16.5    12.6    15.1
 1908    12.3    12.2    13.4    13.4    15.1    17.8    20.1    21.2    20.4    15.4    14.7    13.5    14.0    19.7    16.8    13.0    15.8
 1909    13.1    12.4    13.1    12.7    14.1    16.8    19.4    20.7    18.8    17.4    14.0    13.9    13.3    19.0    16.7    13.2    15.5
 1910    12.9    12.9    12.2    13.5    14.9    16.7    20.1    20.3    18.3    16.5    16.1    14.5    13.5    19.0    16.9    14.0    15.7
 1911    13.8    13.6    13.4    13.2    15.1    17.1    19.0    19.4    17.4    16.3    14.3    14.0    13.9    18.5    16.0    13.0    15.5
 1912    12.9    12.3    12.0    12.5    13.9    17.1    19.0    20.1    19.0    17.4    16.0    13.7    12.8    18.7    17.5    13.2    15.5
 1913    12.7    13.3    12.4    12.8    15.4    18.6    19.9    20.7    18.9    16.0    15.8    14.9    13.5    19.7    16.9    13.8    16.0
 1914    13.6    13.0    13.3    13.4    14.6    17.4    19.4    21.1    20.5    18.6    15.4    13.3    13.8    19.3    18.1    13.5    16.1
 1915    13.4    13.7    13.8    13.6    15.5    17.6    21.2    19.9    19.2    17.2    16.0    14.4    14.3    19.6    17.5    14.1    16.3
 1916    14.3    13.6    13.0    13.9    15.7    18.2    18.0    19.7    19.1    17.5    15.5    13.0    14.2    18.6    17.4    12.4    16.0
 1917    12.0    12.2    12.0    12.7    14.2    15.4    18.2    19.3    18.4    16.3    15.9    13.3    13.0    17.6    16.9    12.7    15.0
 1918    12.4    12.4    12.7    12.6    14.1    16.8    17.9    18.8    17.3    16.3    16.0    15.3    13.1    17.9    16.5    14.4    15.2
 1919    14.3    13.7    12.7    13.0    14.3    16.9    17.8    20.2    18.6    18.3    14.7    14.4    13.3    18.3    17.2    13.3    15.7
 1920    14.1    11.6    12.7    13.3    14.7    17.9    18.3    20.1    19.3    16.6    14.9    13.5    13.6    18.8    16.9    13.3    15.6
 1921    13.7    12.6    12.7    12.9    15.4    17.4    19.1    20.3    18.9    16.1    14.9    13.7    13.7    18.9    16.6    12.6    15.6
 1922    12.4    11.8    12.3    13.1    14.6    16.5    19.1    19.2    18.8    16.2    16.1    13.8    13.3    18.3    17.1    13.5    15.3
 1923    13.9    13.0    12.6    12.0    14.1    15.7    18.2    20.1    18.1    16.8    14.4    13.9    12.9    18.0    16.5    12.7    15.2
 1924    12.3    12.1    12.9    12.7    13.3    15.6    16.9    18.1    17.7    16.9    14.3    13.7    12.9    16.9    16.3    12.5    14.7
 1925    12.0    11.9    11.7    12.3    14.1    17.4    19.6    19.9    18.7    17.4    14.8    13.2    12.7    18.9    17.0    12.6    15.2
