Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Colombia             : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.2    24.2    24.9    25.9    26.0    25.5    24.8    25.0    25.3    25.8    25.9    25.1    25.6    25.1    25.7    24.5    25.2
 1902    24.2    24.2    24.9    25.9    26.0    25.5    24.8    25.0    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1903    24.2    24.2    24.9    25.8    26.0    25.5    24.8    25.0    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1904    24.2    24.2    24.9    25.8    26.0    25.5    24.8    24.9    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1905    24.2    24.2    24.9    25.9    26.0    25.5    24.8    24.9    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1906    24.2    24.2    24.9    25.8    26.0    25.5    24.8    25.0    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1907    24.2    24.2    24.9    25.8    26.0    25.5    24.8    24.9    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1908    24.2    24.2    24.9    25.8    26.0    25.5    24.8    25.0    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1909    24.2    24.2    24.9    25.9    26.0    25.5    24.8    24.9    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1910    24.2    24.2    24.9    25.8    26.0    25.5    24.8    25.0    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
 1911    24.2    24.2    24.9    25.8    26.0    25.5    24.8    24.9    25.3    25.8    26.0    25.1    25.6    25.1    25.7    24.5    25.2
