Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Djibouti             : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    21.9    22.7    24.4    27.2    29.4    29.7    29.1    30.1    30.5    25.6    22.7    21.1    27.0    29.6    26.2    21.5    26.2
 1902    20.7    22.8    23.9    27.4    29.1    28.2    29.1    30.2    30.5    25.6    22.7    21.9    26.8    29.2    26.3    21.2    26.0
 1903    20.9    20.6    23.1    27.3    28.2    28.5    29.1    29.0    30.5    25.5    22.7    21.1    26.2    28.9    26.2    21.4    25.5
 1904    21.8    21.2    22.7    27.2    29.4    28.1    29.0    30.1    30.5    25.7    22.8    22.1    26.4    29.0    26.3    22.3    25.9
 1905    22.0    22.7    24.5    27.3    27.7    29.7    29.1    30.1    30.5    25.6    22.4    21.3    26.5    29.6    26.1    21.5    26.1
 1906    20.6    22.6    23.9    25.9    28.9    29.8    29.2    30.5    30.5    24.2    22.3    20.4    26.2    29.8    25.7    20.8    25.7
 1907    20.3    21.6    23.1    25.8    27.6    28.4    29.1    29.8    30.3    24.6    23.0    21.4    25.5    29.1    26.0    21.5    25.4
 1908    21.5    21.7    24.3    27.8    30.2    28.6    29.2    29.4    30.6    25.6    23.0    21.9    27.4    29.0    26.4    22.2    26.1
 1909    21.7    22.9    23.8    27.1    28.5    29.1    28.1    30.5    30.6    24.0    21.3    21.1    26.5    29.2    25.3    20.8    25.7
 1910    20.5    20.8    22.8    27.3    28.1    28.5    29.2    30.7    30.7    24.2    21.3    21.2    26.1    29.5    25.4    20.8    25.4
 1911    20.5    20.6    23.0    27.0    29.7    29.7    28.9    30.2    30.1    24.1    21.7    20.9    26.6    29.6    25.3    21.2    25.5
 1912    20.5    22.3    22.8    27.3    29.4    28.9    28.6    30.2    30.5    25.4    22.7    22.0    26.5    29.2    26.2    21.8    25.9
 1913    21.7    21.5    24.1    27.3    27.7    28.1    29.0    30.1    30.3    25.4    22.4    21.9    26.4    29.1    26.0    21.7    25.8
