Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ducie_Isl            : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1902    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1903    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1904    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1905    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1906    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1907    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1908    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1909    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1910    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1911    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1912    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1913    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1914    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1915    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1916    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1917    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1918    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1919    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1920    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1921    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1922    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1923    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1924    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1925    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
 1926    22.7    23.3    23.0    22.1    20.6    19.3    18.3    18.0    18.4    18.7    20.0    21.4    21.9    18.5    19.0    22.5    20.5
