Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = French_Guiana        : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    28.7    28.5    27.1    29.6    29.9    29.8    28.7    28.1    27.3    27.2    27.8    28.6    28.8    28.8    27.4    27.9    28.4
 1902    27.2    27.9    27.9    29.5    30.8    30.9    29.2    29.4    28.7    28.5    28.7    30.0    29.4    29.9    28.6    29.3    29.1
 1903    29.2    28.6    29.1    29.2    29.7    30.2    29.8    29.2    28.4    28.6    29.0    29.4    29.3    29.7    28.7    27.8    29.2
 1904    27.3    26.7    26.3    27.9    28.4    29.3    28.5    28.0    28.7    28.3    28.2    29.1    27.5    28.6    28.4    28.1    28.1
 1905    28.2    27.1    28.7    28.2    29.6    29.9    28.0    28.3    28.3    27.0    27.9    26.8    28.8    28.7    27.7    27.0    28.2
 1906    26.9    27.2    26.8    27.0    28.7    28.7    28.0    27.4    26.9    26.6    27.6    28.4    27.5    28.0    27.0    27.2    27.5
 1907    27.0    26.2    26.0    25.9    28.5    28.5    28.0    28.5    27.1    27.5    28.3    27.8    26.8    28.3    27.6    27.4    27.4
 1908    27.2    27.2    27.1    27.7    28.5    29.2    28.1    28.1    28.1    27.1    27.1    28.2    27.8    28.5    27.4    27.6    27.8
 1909    27.9    26.8    27.5    27.8    28.6    29.0    28.4    28.5    28.7    28.4    29.1    28.6    28.0    28.6    28.7    27.8    28.3
 1910    27.3    27.6    27.3    28.1    29.0    28.6    28.3    28.4    27.7    27.3    27.4    28.1    28.1    28.5    27.5    26.1    27.9
 1911    24.8    25.3    25.8    26.6    27.7    27.2    25.2    25.4    24.8    24.4    25.3    26.3    26.7    25.9    24.8    26.7    25.7
 1912    26.7    27.1    27.3    28.1    27.9    26.9    26.3    25.8    25.5    25.1    25.6    26.5    27.8    26.3    25.4    26.1    26.6
 1913    25.6    26.3    25.4    27.4    27.7    27.0    25.2    25.2    25.0    24.5    25.8    26.2    26.8    25.8    25.1    26.3    26.0
 1914    27.0    25.9    26.6    27.0    27.4    28.5    26.0    25.9    24.7    25.4    25.1    26.4    27.0    26.8    25.1    26.1    26.3
 1915    26.2    25.8    26.3    27.1    27.6    27.3    26.2    25.9    25.1    25.1    25.6    26.5    27.0    26.4    25.2    26.1    26.2
 1916    26.1    25.7    26.3    27.1    27.5    27.3    26.2    25.6    24.9    24.9    25.4    26.4    27.0    26.3    25.1    26.0    26.1
 1917    25.9    25.6    26.1    26.9    27.5    27.2    26.2    25.6    24.9    24.8    25.4    26.5    26.8    26.3    25.0    26.0    26.0
 1918    26.0    25.6    26.1    26.8    27.3    27.3    26.4    25.7    25.0    25.0    25.6    26.5    26.7    26.5    25.2    26.1    26.1
 1919    26.1    25.8    26.2    27.0    27.5    27.3    26.3    25.7    25.0    25.0    25.4    26.5    26.9    26.5    25.1    26.1    26.2
 1920    26.1    25.7    26.2    27.1    27.5    27.3    26.2    25.7    24.9    24.9    25.6    26.5    26.9    26.4    25.1    26.1    26.1
 1921    26.1    25.7    26.3    27.0    27.6    27.2    26.2    25.7    25.0    24.8    25.4    26.5    26.9    26.4    25.1    26.1    26.1
 1922    26.1    25.8    26.2    27.0    27.5    27.3    26.2    25.7    25.0    24.9    25.4    26.3    26.9    26.4    25.1    26.0    26.1
 1923    26.1    25.6    26.2    27.0    27.5    27.2    26.3    25.7    25.0    24.9    25.5    26.5    26.9    26.4    25.1    26.1    26.1
 1924    26.1    25.7    26.0    27.1    27.6    27.3    26.2    25.7    25.0    24.8    25.5    26.4    26.9    26.4    25.1    26.0    26.1
 1925    26.0    25.7    26.1    27.0    27.5    27.3    26.3    25.7    25.0    24.9    25.6    26.6    26.9    26.4    25.2    26.2    26.1
 1926    26.2    25.8    26.4    27.3    27.7    27.4    26.3    25.7    25.0    25.0    25.6    26.5    27.1    26.5    25.2    26.1    26.2
 1927    26.1    25.7    26.3    27.1    27.5    27.3    26.2    25.8    25.0    24.9    25.6    26.5    27.0    26.4    25.2    26.1    26.2
 1928    26.1    25.8    26.3    27.0    27.5    27.3    26.2    25.7    25.0    25.0    25.6    26.5    26.9    26.4    25.2    26.1    26.2
 1929    26.1    25.7    26.2    27.0    27.5    27.2    26.2    25.7    25.0    24.9    25.5    26.5    26.9    26.4    25.1    26.0    26.1
 1930    26.0    25.7    26.3    27.0    27.5    27.2    26.2    25.7    25.0    25.0    25.7    26.6    26.9    26.4    25.2    26.3    26.2
 1931    26.2    26.0    26.5    27.3    27.7    27.4    26.3    25.8    25.1    25.0    25.6    26.5    27.2    26.5    25.2    26.2    26.3
 1932    26.2    25.8    26.3    27.1    27.6    27.4    26.3    25.8    25.1    25.1    25.7    26.7    27.0    26.5    25.3    26.2    26.2
 1933    26.2    25.7    26.3    27.1    27.6    27.3    26.3    25.8    25.0    25.0    25.5    26.4    27.0    26.5    25.2    26.0    26.2
 1934    26.0    25.7    26.1    27.0    27.6    27.3    26.3    25.8    25.1    24.9    25.5    26.5    26.9    26.5    25.2    26.2    26.2
 1935    26.2    25.7    26.3    27.1    27.6    27.3    26.3    25.7    25.0    24.9    25.6    26.6    27.0    26.4    25.2    26.1    26.2
 1936    26.1    25.7    26.3    27.0    27.6    27.3    26.3    25.8    25.1    25.0    25.6    26.7    27.0    26.5    25.2    26.2    26.2
 1937    26.2    25.8    26.3    27.1    27.6    27.3    26.2    25.8    25.1    25.1    25.5    26.7    27.0    26.4    25.2    26.2    26.2
 1938    26.2    25.8    26.2    27.0    27.6    27.3    26.2    25.7    25.1    25.0    25.6    26.6    26.9    26.4    25.2    26.1    26.2
 1939    26.1    25.7    26.2    27.0    27.6    27.4    26.3    25.9    25.1    25.0    25.7    26.7    26.9    26.5    25.3    26.3    26.2
 1940    26.2    25.9    26.5    27.3    27.8    27.4    26.4    25.9    25.1    25.1    25.6    26.6    27.2    26.5    25.3    26.3    26.3
 1941    26.3    25.9    26.4    27.2    27.8    27.3    26.4    25.9    25.1    25.1    25.6    26.6    27.1    26.5    25.3    26.2    26.3
 1942    26.2    25.9    26.5    27.1    27.7    27.4    26.3    25.9    25.1    25.0    25.7    26.5    27.1    26.5    25.3    26.1    26.3
 1943    26.2    25.8    26.2    27.1    27.5    27.3    26.3    25.7    25.3    25.0    25.5    26.6    26.9    26.4    25.3    26.2    26.2
 1944    26.1    25.8    26.3    27.1    27.6    27.3    26.3    25.9    25.0    25.1    25.7    26.6    27.0    26.5    25.3    26.2    26.2
 1945    26.2    25.8    26.3    27.1    27.6    27.4    26.3    25.9    25.1    25.0    25.6    26.6    27.0    26.5    25.2    26.2    26.2
 1946    26.2    25.7    26.3    27.1    27.6    27.4    26.2    25.7    25.1    25.0    25.6    26.6    27.0    26.5    25.2    26.2    26.2
 1947    26.2    25.8    26.3    27.2    27.6    27.3    26.4    25.8    25.1    24.9    25.5    26.6    27.0    26.5    25.2    26.2    26.2
 1948    26.3    25.7    26.2    27.0    27.6    27.4    26.3    25.8    25.0    25.0    25.6    26.5    26.9    26.5    25.2    26.1    26.2
 1949    26.1    25.8    26.2    27.0    27.6    27.3    26.3    25.7    25.0    24.9    25.5    26.5    26.9    26.4    25.2    26.1    26.2
 1950    26.0    25.7    26.2    27.1    27.6    27.3    26.2    25.8    25.1    24.9    25.6    26.6    27.0    26.4    25.2    25.9    26.2
 1951    25.5    25.5    26.5    26.8    27.5    27.4    26.1    26.4    26.0    25.9    26.7    27.7    26.9    26.6    26.2    27.1    26.5
 1952    26.8    26.9    27.3    28.0    28.2    27.7    25.9    25.7    25.4    25.6    25.9    26.9    27.8    26.4    25.7    26.2    26.7
 1953    26.1    25.6    26.2    27.1    27.5    27.7    26.6    26.3    25.5    25.5    26.4    27.1    27.0    26.9    25.8    26.4    26.5
 1954    26.5    25.6    26.3    26.6    27.4    27.7    26.1    25.2    24.9    24.5    25.3    26.1    26.7    26.3    24.9    26.0    26.0
 1955    26.0    25.9    25.8    26.8    27.3    27.4    26.1    25.7    25.2    25.1    25.3    25.9    26.6    26.4    25.2    25.8    26.1
 1956    26.1    25.5    25.6    26.8    27.1    26.9    25.4    25.3    24.5    24.7    25.2    26.1    26.5    25.9    24.8    26.0    25.8
 1957    26.0    25.9    25.9    26.9    27.9    27.7    26.5    26.2    26.0    25.9    26.4    27.1    26.9    26.8    26.1    27.3    26.5
 1958    27.9    27.0    27.6    27.2    28.5    28.7    27.0    26.2    25.5    25.0    25.6    27.1    27.8    27.3    25.4    26.4    26.9
 1959    26.6    25.4    26.5    27.2    27.7    27.2    26.0    25.7    25.0    24.7    25.1    26.7    27.1    26.3    24.9    26.3    26.1
 1960    26.2    26.0    26.0    26.7    27.1    27.0    25.8    25.8    25.1    24.7    25.5    26.4    26.6    26.2    25.1    26.4    26.0
 1961    27.0    26.0    26.8    27.7    28.5    27.5    26.6    26.6    25.6    25.4    26.1    27.0    27.7    26.9    25.7    26.6    26.7
 1962    26.6    26.3    27.0    27.2    28.4    27.8    26.8    26.7    25.6    25.5    26.4    27.2    27.5    27.1    25.8    26.5    26.8
