Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Komandorskiye_Isl    : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.5     3.7     4.0     5.0     6.5     8.4    10.9    12.2    10.1     7.2     5.1     4.3     5.2    10.5     7.4     3.9     6.7
 1902     3.8     3.8     4.0     4.8     6.3     8.3    10.6    11.9    10.1     7.1     4.3     4.0     5.0    10.3     7.1     3.6     6.6
 1903     3.4     3.3     3.7     4.3     5.6     7.6     9.6    10.9     9.8     6.4     4.9     4.1     4.5     9.4     7.0     3.8     6.1
 1904     3.5     3.8     4.1     4.5     6.0     8.0    10.3    10.7     9.1     6.3     5.0     3.9     4.9     9.6     6.8     3.8     6.2
 1905     3.9     3.8     3.8     4.4     6.1     8.3    10.7    11.6     9.9     6.9     4.9     4.1     4.8    10.2     7.2     3.8     6.5
 1906     3.8     3.5     3.9     4.7     6.1     8.2    10.8    11.1     9.4     6.6     4.9     4.2     4.9    10.0     7.0     3.7     6.4
 1907     3.4     3.6     3.9     4.8     6.5     8.0    11.6    10.7     9.6     6.6     4.4     3.8     5.1    10.1     6.9     3.5     6.4
 1908     3.4     3.3     3.8     4.4     6.1     8.2    10.4    11.8     9.4     6.6     4.5     3.7     4.8    10.1     6.8     3.7     6.3
 1909     3.8     3.6     3.5     4.8     5.9     9.0    10.4    11.1     9.8     6.6     5.1     4.0     4.7    10.1     7.2     3.7     6.5
 1910     3.4     3.6     3.7     4.5     5.9     7.8    10.5    11.9    10.0     6.7     4.7     4.1     4.7    10.1     7.1     3.6     6.4
 1911     3.8     3.0     3.7     4.6     5.8     8.1    10.4    11.5     9.0     5.7     5.1     3.9     4.7    10.0     6.6     3.7     6.2
 1912     3.6     3.6     3.2     4.3     6.2     8.3    10.4    10.6     9.2     6.6     4.3     3.5     4.6     9.8     6.7     3.4     6.1
 1913     3.4     3.3     3.7     4.5     6.0     7.8    10.2    11.1     9.6     6.3     4.6     3.6     4.7     9.7     6.8     3.5     6.2
 1914     3.3     3.7     3.5     4.6     6.1     8.0    10.5    11.2     8.6     6.3     4.5     3.4     4.7     9.9     6.5     3.3     6.1
 1915     3.5     3.1     3.6     4.3     5.5     7.9    10.5    11.7     9.7     6.5     4.1     3.5     4.5    10.0     6.8     3.4     6.1
 1916     3.2     3.4     4.3     4.7     5.9     8.2    10.8    11.7     9.5     6.0     4.6     3.4     5.0    10.2     6.7     3.4     6.3
 1917     3.3     3.5     3.3     4.4     6.2     7.9     9.7    10.6     9.3     6.5     5.2     5.2     4.6     9.4     7.0     4.4     6.3
 1918     4.4     3.6     4.3     4.9     6.5     8.3    10.5    10.7     9.3     7.1     5.0     4.2     5.2     9.8     7.1     3.5     6.6
 1919     3.5     2.7     3.5     4.4     5.9     8.0     9.5    11.0     9.1     6.4     4.6     3.9     4.6     9.5     6.7     3.7     6.0
