Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Liberia              : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    23.7    24.9    26.1    25.6    25.3    25.1    24.0    23.7    24.9    25.1    25.4    24.8    25.7    24.3    25.2    24.6    24.9
 1902    24.6    24.4    25.0    24.8    25.5    25.8    24.3    24.2    24.1    24.8    25.0    24.1    25.1    24.8    24.6    24.1    24.7
 1903    23.8    24.4    25.7    25.6    25.9    25.2    23.8    23.1    24.4    24.8    25.2    24.4    25.8    24.0    24.8    23.8    24.7
 1904    23.1    24.1    24.6    24.8    25.2    25.3    23.4    23.6    24.6    24.7    25.3    24.1    24.9    24.1    24.9    24.2    24.4
 1905    23.7    24.6    25.5    25.8    25.9    24.6    23.7    23.6    24.0    25.0    25.2    24.3    25.7    24.0    24.7    24.3    24.7
 1906    23.6    25.0    26.4    26.0    25.4    24.7    23.2    23.5    24.1    24.6    25.2    23.9    25.9    23.8    24.6    24.1    24.6
 1907    23.8    24.6    25.7    25.3    25.2    24.8    23.2    23.2    24.0    24.5    25.0    24.1    25.4    23.7    24.5    24.1    24.4
 1908    23.9    24.3    25.0    25.7    25.0    24.7    23.3    23.2    23.9    24.5    24.8    23.7    25.2    23.7    24.4    23.7    24.3
 1909    23.2    24.1    25.0    24.7    24.6    24.3    23.5    23.6    24.6    25.0    24.5    23.7    24.7    23.8    24.7    23.5    24.2
 1910    22.2    24.5    25.7    26.0    25.9    25.8    23.9    23.4    24.4    24.4    25.1    24.4    25.9    24.4    24.7    24.2    24.7
 1911    24.0    24.4    25.3    25.8    25.4    24.6    23.7    23.1    24.5    24.6    25.1    24.0    25.5    23.8    24.7    24.4    24.5
 1912    24.4    24.8    26.4    26.4    26.9    25.3    23.9    23.4    24.2    25.1    25.4    24.5    26.6    24.2    24.9    24.5    25.1
 1913    24.6    24.3    24.9    25.6    25.7    26.0    24.3    23.8    24.8    25.0    25.2    23.7    25.4    24.7    25.0    23.8    24.8
 1914    23.5    24.3    25.0    25.5    25.6    25.4    23.5    23.2    24.4    25.0    24.9    24.3    25.4    24.0    24.8    24.2    24.5
 1915    23.7    24.6    25.8    26.3    25.8    25.8    24.2    24.1    25.2    25.9    25.8    24.6    26.0    24.7    25.6    24.4    25.1
 1916    23.9    24.6    25.8    25.9    26.1    25.5    23.8    24.0    24.7    25.2    25.4    23.8    26.0    24.4    25.1    23.8    24.9
 1917    23.9    23.8    25.3    25.9    25.5    25.1    24.5    23.8    24.3    25.0    24.9    23.8    25.6    24.5    24.7    23.9    24.7
 1918    23.2    24.7    25.4    25.3    25.8    24.9    23.6    23.2    24.9    25.2    25.5    23.6    25.5    23.9    25.2    23.9    24.6
 1919    23.7    24.5    24.6    24.8    24.8    24.6    23.1    23.5    24.1    24.7    25.8    24.3    24.8    23.7    24.9    24.1    24.4
 1920    23.6    24.4    24.8    25.2    25.6    25.2    23.6    23.6    24.5    24.9    25.0    24.2    25.2    24.1    24.8    24.0    24.6
 1921    23.6    24.2    25.0    24.8    24.6    24.2    24.0    23.9    24.7    25.6    25.2    23.9    24.8    24.0    25.2    24.1    24.5
 1922    23.9    24.7    25.8    25.2    25.7    25.4    24.2    23.5    24.5    24.4    24.8    23.7    25.6    24.4    24.6    23.9    24.7
 1923    23.7    24.2    25.0    24.9    24.8    24.7    24.4    24.1    25.0    24.7    25.0    23.6    24.9    24.4    24.9    23.4    24.5
 1924    23.3    23.4    24.7    24.6    24.8    23.8    22.9    23.2    24.4    24.4    24.0    23.0    24.7    23.3    24.3    22.7    23.9
 1925    21.9    23.2    24.1    24.9    25.4    24.9    23.1    23.4    23.9    24.1    25.1    23.6    24.8    23.8    24.4    23.8    24.0
 1926    23.0    24.9    25.8    26.2    26.4    25.1    23.8    24.1    24.9    24.9    24.6    24.0    26.1    24.3    24.8    23.2    24.8
 1927    21.8    23.8    25.3    25.1    24.7    24.5    23.6    23.5    24.9    24.8    24.1    23.2    25.0    23.8    24.6    23.0    24.1
 1928    22.6    23.3    24.3    23.4    24.3    24.4    23.3    22.8    24.3    24.3    24.9    23.7    24.0    23.5    24.5    22.7    23.8
 1929    22.0    22.4    24.3    25.4    25.3    24.1    23.7    23.0    24.0    24.3    24.4    23.6    25.0    23.6    24.2    22.9    23.9
 1930    22.7    22.5    23.9    24.5    25.3    24.4    23.2    23.1    24.0    24.3    24.9    23.5    24.6    23.6    24.4    23.7    23.9
 1931    23.8    23.7    24.8    25.2    24.9    24.6    23.4    23.3    23.9    24.5    24.4    23.5    25.0    23.8    24.3    23.0    24.2
 1932    22.1    23.3    25.3    24.8    25.3    25.2    23.7    23.5    24.9    24.9    24.7    23.4    25.1    24.1    24.8    23.3    24.3
 1933    23.5    22.9    25.3    25.8    26.2    24.9    23.4    23.8    24.3    24.4    24.0    23.2    25.8    24.0    24.3    22.1    24.3
 1934    21.0    22.0    24.0    24.6    25.1    24.7    24.0    24.3    25.3    24.6    25.2    23.0    24.5    24.3    25.0    22.4    24.0
 1935    21.9    22.3    23.9    24.5    24.8    24.4    23.1    23.5    23.8    24.4    24.2    23.3    24.4    23.7    24.2    23.2    23.7
 1936    22.8    23.5    25.0    24.4    25.0    24.5    23.1    23.1    24.1    24.4    24.6    23.8    24.8    23.6    24.4    23.2    24.0
 1937    22.4    23.5    24.5    25.2    25.4    25.2    23.3    23.4    23.9    24.3    24.9    23.1    25.0    24.0    24.3    23.2    24.1
 1938    23.3    23.1    24.9    25.1    25.2    25.0    23.7    23.3    24.2    24.9    25.0    23.9    25.1    24.0    24.7    23.5    24.3
 1939    23.4    23.1    25.0    24.4    25.1    25.2    23.8    23.6    24.5    24.7    24.7    23.7    24.8    24.2    24.7    23.5    24.3
 1940    23.3    23.7    24.3    25.4    25.6    25.2    24.0    23.9    24.8    24.8    24.9    23.2    25.1    24.4    24.9    23.9    24.4
 1941    24.5    23.9    24.9    25.5    26.5    25.4    24.0    24.1    24.8    25.6    25.8    24.3    25.6    24.5    25.4    23.6    24.9
 1942    22.8    23.8    24.9    25.8    25.5    25.2    23.7    22.9    24.9    25.4    25.4    22.5    25.4    24.0    25.2    22.7    24.4
 1943    22.6    23.0    25.3    25.8    26.0    25.0    23.9    23.2    24.8    25.1    25.3    23.0    25.7    24.0    25.0    23.1    24.4
 1944    23.0    23.4    24.8    25.9    25.8    25.4    24.4    24.3    24.5    25.1    24.8    24.1    25.5    24.7    24.8    23.9    24.6
 1945    24.4    23.2    25.3    25.7    26.0    25.8    24.3    23.9    24.9    25.2    24.8    23.2    25.6    24.6    25.0    23.4    24.7
 1946    23.3    23.6    25.3    25.6    25.4    25.1    23.8    23.6    24.0    24.8    25.5    24.0    25.4    24.2    24.8    23.6    24.5
 1947    22.8    24.0    24.7    25.8    26.3    24.8    24.2    24.0    24.6    24.5    24.0    23.5    25.6    24.3    24.4    22.6    24.4
 1948    21.4    22.9    24.9    24.9    25.4    24.8    23.9    23.8    24.4    24.7    24.7    24.3    25.1    24.2    24.6    23.4    24.2
 1949    23.2    22.8    25.0    25.8    26.1    24.9    24.7    24.3    25.0    24.5    24.8    23.6    25.6    24.6    24.7    23.1    24.5
 1950    23.0    22.6    24.6    26.2    25.5    24.7    23.4    22.9    23.6    23.4    24.4    23.7    25.4    23.7    23.8    23.4    24.0
 1951    23.2    23.4    24.8    24.5    24.2    24.3    23.0    23.3    24.7    24.6    24.8    22.7    24.5    23.5    24.7    23.0    23.9
 1952    23.2    23.1    23.8    24.9    24.5    24.2    22.9    23.4    23.9    24.1    24.4    23.2    24.4    23.5    24.1    23.6    23.8
 1953    24.0    23.7    24.0    24.7    25.3    24.1    23.3    23.4    24.1    24.1    25.1    23.9    24.7    23.6    24.4    23.5    24.1
 1954    22.9    23.7    24.3    23.8    24.3    23.4    22.3    22.5    23.8    24.0    25.4    23.4    24.1    22.8    24.4    23.4    23.7
 1955    23.2    23.6    24.6    24.8    24.2    23.7    22.5    22.9    23.7    24.1    23.9    22.9    24.6    23.0    23.9    23.1    23.7
 1956    22.6    23.7    24.1    25.3    24.0    23.6    22.3    22.4    23.5    23.0    24.1    23.7    24.5    22.8    23.5    22.9    23.5
 1957    22.1    23.0    23.7    24.7    25.0    24.9    23.1    23.2    24.1    24.3    25.3    24.0    24.5    23.7    24.6    23.9    23.9
 1958    24.0    23.7    24.6    25.8    24.4    23.9    22.7    22.4    24.1    24.1    26.5    23.0    24.9    23.0    24.9    23.2    24.1
 1959    22.8    23.6    24.4    25.5    24.2    24.1    23.5    23.0    24.2    24.1    25.1    22.8    24.7    23.5    24.4    23.0    23.9
 1960    22.7    23.6    23.6    25.0    24.3    24.2    22.7    23.6    23.9    24.8    25.5    25.2    24.3    23.5    24.7    23.4    24.1
 1961    22.6    22.3    23.9    25.3    25.5    24.5    23.3    22.4    23.5    23.8    24.2    22.3    24.9    23.4    23.8    22.6    23.6
 1962    22.7    22.8    24.4    24.7    24.7    23.9    23.7    22.7    23.7    24.8    26.5    23.1    24.6    23.4    25.0    24.4    24.0
 1963    24.4    25.7    24.1    25.4    25.1    25.3    24.5    24.4    25.0    24.6    24.1    23.4    24.9    24.7    24.6    23.0    24.7
 1964    23.1    22.7    25.6    25.0    24.6    23.9    22.5    22.2    23.0    23.5    24.4    24.7    25.1    22.9    23.6    24.1    23.8
 1965    23.8    23.8    24.1    23.8    24.6    24.2    23.6    23.4    23.8    24.4    24.1    22.4    24.1    23.7    24.1    22.4    23.8
