Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Macedonia            : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.8     3.2     5.9     6.8     9.2    12.0    13.2    12.3    10.9     9.1     5.4     5.9     7.3    12.5     8.4     5.4     8.1
 1902     4.9     5.3     5.1     6.7     8.1    11.1    12.1    13.4    10.8     9.0     5.1     3.4     6.6    12.2     8.3     4.0     7.9
 1903     3.7     4.7     5.9     6.1     9.1    10.9    12.4    12.3    11.1     8.5     6.7     5.6     7.0    11.9     8.8     4.9     8.1
 1904     3.8     5.2     5.5     7.1     9.4    12.3    14.2    13.4    10.5     9.1     5.4     4.8     7.3    13.3     8.3     3.8     8.4
 1905     2.8     4.0     5.8     6.5     9.8    12.1    13.6    14.1    13.0     7.4     7.6     4.9     7.4    13.3     9.3     4.3     8.5
 1906     3.8     4.3     5.5     7.3     9.9    11.6    13.2    12.0    10.0     8.4     7.3     4.3     7.6    12.3     8.6     3.8     8.1
 1907     3.5     3.5     4.2     6.2    10.9    12.0    12.6    13.0    10.5    11.2     6.0     5.4     7.1    12.5     9.2     4.3     8.3
 1908     3.2     4.4     5.1     6.7    11.8    13.7    12.7    12.5    10.1     7.7     4.6     4.2     7.9    13.0     7.5     3.5     8.1
 1909     3.3     3.2     5.7     7.3     9.7    12.0    13.1    14.0    11.8    10.0     6.0     6.2     7.6    13.0     9.2     5.5     8.5
 1910     4.8     5.6     5.5     7.0     9.9    12.7    12.5    13.1    10.6     8.8     6.4     6.4     7.5    12.8     8.6     5.1     8.6
 1911     4.6     4.3     6.3     7.7    11.3    13.2    14.9    14.7    12.5     9.9     8.1     6.0     8.4    14.3    10.1     5.3     9.5
 1912     4.2     5.6     7.1     7.2    11.1    13.9    14.6    13.9    11.5     9.2     6.9     5.6     8.5    14.1     9.2     4.9     9.2
 1913     4.5     4.5     6.6     8.0    10.7    13.5    13.5    13.5    12.5     9.9     7.8     5.5     8.4    13.5    10.1     4.5     9.2
 1914     3.7     4.4     6.5     7.9    10.9    13.0    14.2    14.0    12.0     9.7     7.1     5.7     8.4    13.7     9.6     5.2     9.1
 1915     4.9     5.1     6.0     7.6    10.8    13.4    13.9    13.9    11.5     9.7     6.8     5.7     8.1    13.7     9.3     5.4     9.1
 1916     5.3     5.2     7.4     8.0    11.2    13.8    14.9    14.5    12.3     9.9     8.0     6.3     8.9    14.4    10.1     5.0     9.7
 1917     4.9     4.0     6.0     7.9    11.0    14.2    15.0    15.7    12.9    10.4     7.6     5.1     8.3    14.9    10.3     4.8     9.5
 1918     4.9     4.5     6.0     8.5    11.3    13.9    15.1    15.6    13.3    10.8     7.4     5.5     8.6    14.8    10.5     5.1     9.7
 1919     4.9     4.9     6.3     8.1    10.5    13.3    14.2    13.8    12.1     9.9     7.1     5.3     8.3    13.7     9.7     5.3     9.2
 1920     5.4     5.2     6.6     9.3    12.0    13.7    15.0    15.1    13.4     8.8     6.3     5.9     9.3    14.6     9.5     5.6     9.7
 1921     5.7     5.2     6.2     8.2    11.9    12.7    15.2    15.1    11.7     9.3     6.5     5.0     8.7    14.3     9.2     4.5     9.4
 1922     4.3     4.2     6.9     8.0    11.1    13.9    14.8    14.8    12.7     9.4     6.6     5.4     8.6    14.5     9.6     5.3     9.3
 1923     5.2     5.2     6.6     7.8    11.9    12.8    14.9    14.8    13.0    11.2     8.5     5.6     8.8    14.2    10.9     4.7     9.8
 1924     3.9     4.7     5.9     8.2    12.1    14.0    14.6    13.8    13.4     9.6     6.8     5.3     8.7    14.1     9.9     5.4     9.3
 1925     4.8     6.1     6.2     8.2    11.6    12.9    14.6    14.4    12.1     9.8     7.9     4.7     8.7    14.0     9.9     5.1     9.4
 1926     4.6     6.1     6.2     8.2    10.9    13.1    14.1    12.8    12.9    10.3     9.3     5.5     8.4    13.3    10.8     5.1     9.5
 1927     5.2     4.5     6.9     8.4    10.9    14.3    15.4    15.3    13.2     9.5     7.8     4.6     8.7    15.0    10.2     4.7     9.7
 1928     4.6     4.8     5.5     8.2     9.8    13.3    16.7    15.6    13.1     9.5     8.1     5.1     7.9    15.2    10.2     4.1     9.5
 1929     3.7     3.6     5.2     6.9    12.0    13.5    14.3    15.3    11.7    10.3     8.0     5.6     8.0    14.4    10.0     5.1     9.2
 1930     4.9     4.8     6.8     8.5    10.7    14.2    14.9    14.3    13.7     9.9     8.0     5.5     8.7    14.5    10.5     5.1     9.7
 1931     4.8     5.1     5.6     7.6    11.3    14.0    14.9    14.3    11.8     9.1     7.2     4.9     8.2    14.4     9.4     4.5     9.2
 1932     4.4     4.1     5.5     7.7    11.1    12.9    15.0    14.5    13.4    10.1     7.4     5.5     8.1    14.1    10.3     5.0     9.3
 1933     4.4     5.0     5.9     7.8    11.0    12.6    13.9    14.3    11.9     9.6     7.5     4.7     8.2    13.6     9.7     4.6     9.1
 1934     4.4     4.7     6.5     8.1    11.4    13.1    13.8    14.6    12.7     9.5     7.5     6.1     8.7    13.9     9.9     5.0     9.4
 1935     4.3     4.8     5.9     8.0    10.5    13.7    13.9    14.2    12.0    10.5     7.4     5.5     8.1    14.0    10.0     5.4     9.2
 1936     5.4     5.3     6.7     8.3    11.8    14.0    15.6    14.4    12.3     9.9     7.6     5.4     8.9    14.7     9.9     5.0     9.7
 1937     4.4     5.2     6.7     8.3    11.7    13.7    14.6    14.7    12.8    10.3     7.6     5.6     8.9    14.3    10.2     5.1     9.6
 1938     4.6     5.1     6.4     7.8    10.9    14.3    15.0    15.0    12.3    10.1     7.6     5.3     8.3    14.8    10.0     5.2     9.5
 1939     5.0     5.2     6.0     8.4    11.5    13.5    14.7    14.3    12.7    10.2     7.6     5.2     8.7    14.1    10.2     4.4     9.5
 1940     3.7     4.4     5.8     8.1    11.3    13.3    14.3    13.8    12.5    10.3     7.8     5.0     8.4    13.8    10.2     5.0     9.2
 1941     4.5     5.5     6.5     8.4    10.9    13.1    14.2    14.1    11.4     9.5     6.7     5.2     8.6    13.8     9.2     4.3     9.2
 1942     3.4     4.3     5.6     8.0    11.3    13.9    15.0    14.9    14.2    10.3     7.5     5.8     8.3    14.6    10.7     5.1     9.5
 1943     4.0     5.3     6.0     8.2    10.7    13.4    14.7    15.1    13.8    10.8     7.5     5.7     8.3    14.4    10.7     5.3     9.6
 1944     5.1     4.9     6.1     8.4    11.0    13.7    14.9    15.1    12.8    10.8     7.7     5.5     8.5    14.6    10.4     5.0     9.7
 1945     4.0     5.4     6.8     8.4    11.7    14.3    15.5    15.4    13.2     9.9     7.6     5.6     9.0    15.1    10.2     5.1     9.8
 1946     4.2     5.5     6.7     8.6    12.0    14.3    14.5    15.3    13.3     8.9     7.9     5.2     9.1    14.7    10.0     4.7     9.7
 1947     3.8     5.1     7.4     8.1    10.9    14.4    15.4    15.0    13.1     8.6     7.7     6.1     8.8    15.0     9.8     5.7     9.6
 1948     6.0     5.1     6.1     8.2    12.3    15.0    15.0    15.3    12.2    10.2     7.3     4.6     8.8    15.1     9.9     4.9     9.8
 1949     5.1     5.1     5.7     7.5    11.7    13.5    15.4    14.5    12.8     9.3     8.6     6.1     8.3    14.5    10.2     5.1     9.6
 1950     3.8     5.4     6.5     9.5    11.4    12.9    14.8    15.0    13.1     9.8     7.7     6.7     9.1    14.2    10.2     5.7     9.7
 1951     4.9     5.5     6.4     7.9    10.5    12.8    12.8    14.4    12.7     7.1     7.7     5.1     8.3    13.3     9.1     4.8     9.0
