Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Marquesas            : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1902    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1903    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1904    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1905    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1906    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1907    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1908    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1909    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1910    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1911    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1912    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1913    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1914    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1915    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1916    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1917    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1918    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1919    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1920    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1921    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1922    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1923    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1924    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1925    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1926    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1927    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1928    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1929    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
 1930    27.7    28.4    28.6    28.5    27.6    26.3    25.3    25.1    25.6    25.9    26.2    27.0    28.2    25.6    25.9    27.7    26.8
