Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Montenegro           : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.8     2.6     4.5     6.4     8.7    11.4    12.2    11.9    10.4     8.3     5.2     5.0     6.5    11.8     8.0     4.7     7.5
 1902     4.8     4.1     4.6     6.7     7.3    10.0    11.1    11.5     9.9     7.7     5.1     3.9     6.2    10.9     7.6     4.0     7.2
 1903     3.3     4.7     5.2     5.2     8.7    10.4    11.3    11.7    10.0     8.1     6.4     4.6     6.3    11.1     8.2     4.2     7.5
 1904     3.7     4.4     5.0     6.8     9.0    11.3    12.9    12.3     9.5     8.0     5.6     4.8     6.9    12.2     7.7     3.9     7.8
 1905     3.0     4.1     5.2     5.9     8.7    11.6    13.3    12.4    11.5     8.3     5.9     4.9     6.6    12.4     8.5     4.1     7.9
 1906     3.8     3.7     4.5     6.4     9.3    10.5    12.0    11.6     9.5     8.1     6.7     3.8     6.7    11.4     8.1     3.6     7.5
 1907     3.5     3.4     4.0     5.6     9.6    11.3    10.7    12.0    10.2     9.8     5.7     4.8     6.4    11.3     8.6     4.1     7.5
 1908     3.4     4.2     4.2     5.8    10.7    12.6    11.5    10.8     9.1     7.5     4.9     4.3     6.9    11.6     7.2     3.5     7.4
 1909     3.1     2.9     4.2     6.6     8.4    10.7    11.1    12.3    10.7     9.1     5.7     5.1     6.4    11.4     8.5     4.6     7.5
 1910     4.2     4.5     5.0     6.3     8.8    11.6    10.9    11.7     9.7     8.3     5.5     5.7     6.7    11.4     7.8     4.3     7.7
 1911     3.5     3.8     5.0     6.2     9.3    10.7    13.2    13.2    11.1     7.9     6.7     5.4     6.8    12.4     8.6     4.6     8.0
 1912     3.8     4.8     5.9     5.8     9.5    11.6    11.9    10.7     9.7     7.1     5.1     5.2     7.1    11.4     7.3     4.2     7.6
 1913     3.8     3.6     5.6     6.6     9.0    11.2    10.7    10.9    10.2     8.6     7.1     4.9     7.1    10.9     8.6     4.0     7.7
 1914     3.0     4.1     5.3     7.1     8.9    10.5    11.4    12.2     9.8     7.9     5.9     5.2     7.1    11.4     7.9     4.5     7.6
 1915     4.1     4.1     4.7     6.4    10.1    12.3    11.4    10.9     9.1     7.3     5.1     5.7     7.1    11.6     7.2     5.0     7.6
 1916     5.1     4.2     6.0     6.5     9.5    10.1    11.8    11.7     9.5     7.9     6.7     5.4     7.3    11.2     8.0     4.0     7.9
 1917     3.6     3.0     4.2     5.4    10.2    12.7    12.4    12.6    11.6     7.5     6.2     3.9     6.6    12.6     8.4     4.1     7.8
 1918     4.1     4.2     5.0     7.6     9.7     9.8    11.7    11.8    11.3     8.0     5.8     5.5     7.4    11.1     8.4     4.7     7.9
 1919     4.8     3.7     5.1     5.9     7.6    10.9    10.3    12.3    11.2     7.4     5.4     4.8     6.2    11.2     8.0     4.8     7.5
 1920     4.9     4.8     5.8     7.8    10.9    10.8    12.3    11.3    11.4     7.4     5.1     5.1     8.2    11.4     8.0     4.9     8.1
 1921     5.4     4.2     5.1     6.1    10.1    10.4    13.1    12.6    10.5     8.8     5.1     4.5     7.1    12.0     8.1     3.8     8.0
 1922     3.4     3.5     5.4     6.1     9.7    11.7    11.6    12.1     9.8     7.3     5.3     4.9     7.1    11.8     7.5     4.5     7.6
 1923     4.4     4.3     5.3     6.2     9.7     9.3    13.1    12.3    10.3     9.3     6.4     4.3     7.0    11.6     8.7     3.7     7.9
 1924     3.3     3.3     4.4     6.4    10.3    11.1    12.0    10.6    11.2     8.0     5.9     4.9     7.1    11.3     8.4     4.7     7.6
 1925     4.6     4.8     4.3     6.7     9.8    10.8    12.0    12.1     9.4     8.1     6.0     4.1     7.0    11.6     7.9     4.5     7.7
 1926     3.8     5.6     5.3     7.0     8.9    10.2    11.9    11.4    11.6     8.3     7.9     4.8     7.1    11.1     9.3     4.4     8.0
 1927     4.6     3.7     5.5     6.8     9.1    11.7    12.5    12.5    11.1     7.9     6.4     4.1     7.1    12.2     8.4     4.3     8.0
 1928     4.4     4.4     4.6     6.9     7.8    10.9    14.1    13.2    10.5     8.1     7.1     4.3     6.4    12.7     8.6     3.2     8.0
 1929     2.7     2.6     4.5     5.5    10.0    11.5    12.5    12.9    11.2     8.4     6.7     5.2     6.6    12.3     8.8     4.4     7.8
 1930     4.5     3.5     5.5     7.2     9.0    13.3    11.9    11.8    11.0     8.0     6.7     4.7     7.2    12.3     8.5     4.1     8.1
 1931     4.0     3.7     3.8     5.7    10.8    12.7    12.4    11.7     9.1     7.1     6.3     4.2     6.8    12.3     7.5     3.8     7.6
 1932     4.4     2.7     3.9     6.3     9.5    10.4    13.2    13.6    13.4     8.2     6.5     4.9     6.5    12.4     9.3     4.0     8.1
 1933     3.3     3.9     4.9     6.3     8.6     9.8    11.9    12.4    10.4     7.9     6.0     3.5     6.6    11.4     8.1     3.8     7.4
 1934     4.0     3.9     5.5     7.5    10.0    11.0    12.5    12.6    11.5     8.1     6.4     6.5     7.7    12.1     8.7     4.6     8.3
 1935     3.3     4.0     4.2     6.5     8.2    12.5    11.9    11.9    10.7     8.9     6.5     4.5     6.3    12.1     8.7     4.5     7.8
 1936     5.0     4.1     5.6     6.8     9.7    11.5    12.8    11.4    10.7     7.0     6.2     4.8     7.4    11.9     7.9     4.3     8.0
 1937     3.6     4.5     5.3     6.7    10.4    12.2    12.3    12.2    10.6     8.8     6.1     4.4     7.5    12.2     8.5     4.1     8.1
 1938     4.0     4.0     5.9     5.3     8.5    12.6    12.3    13.0    10.3     8.8     7.1     4.1     6.5    12.6     8.7     4.3     8.0
 1939     4.4     4.5     4.2     7.8     9.1    11.5    12.1    12.3    10.7     7.8     6.6     4.0     7.0    12.0     8.4     3.1     7.9
 1940     2.5     2.8     4.4     6.6     8.7    11.1    11.4    10.7    10.7     8.4     6.6     3.2     6.5    11.1     8.6     3.4     7.3
 1941     3.1     4.0     5.0     6.2     7.8    11.0    12.0    11.3     9.3     7.8     5.4     4.5     6.3    11.4     7.5     3.2     7.3
 1942     2.2     2.9     4.9     6.3     9.2    10.9    11.5    12.2    12.7     9.4     5.9     5.0     6.8    11.5     9.3     4.3     7.7
 1943     3.3     4.6     5.3     7.0     8.7    10.5    11.5    13.4    11.7     9.2     5.7     5.0     7.0    11.8     8.9     4.5     8.0
 1944     4.9     3.5     4.1     6.9     8.6    10.6    12.1    13.9    10.6     8.7     6.0     4.2     6.6    12.2     8.4     3.9     7.8
 1945     2.8     4.6     5.6     6.7     9.7    11.6    12.9    12.7    10.7     7.8     5.9     4.7     7.3    12.4     8.1     4.2     8.0
 1946     3.3     4.5     5.4     7.3    10.5    12.0    12.2    12.9    11.5     6.6     6.4     4.1     7.7    12.3     8.2     3.4     8.0
 1947     2.7     3.6     5.9     6.9     9.2    12.2    13.2    12.5    12.0     6.6     6.5     5.1     7.3    12.7     8.3     4.8     8.0
 1948     5.4     3.9     4.9     6.8    10.5    12.1    11.9    12.9    10.6     8.4     6.1     3.9     7.4    12.3     8.4     4.1     8.1
 1949     4.4     4.0     4.0     6.5     9.6    10.5    12.6    11.9    11.4     7.7     7.2     5.5     6.7    11.7     8.7     4.4     7.9
 1950     3.0     4.6     5.2     7.8     9.6    10.8    12.6    12.7    11.1     7.7     6.2     5.6     7.5    12.1     8.3     4.9     8.1
 1951     4.5     4.6     5.5     7.2     9.6    11.8    11.8    13.5    12.1     6.5     7.1     5.1     7.5    12.4     8.6     4.5     8.3
 1952     4.4     4.1     4.0     7.4     8.7    10.9    12.2    13.1    10.6     8.5     5.8     4.7     6.7    12.1     8.3     4.2     7.9
 1953     4.0     3.8     4.6     6.8     9.0    13.2    13.1    11.9    11.0     8.7     5.1     4.6     6.8    12.7     8.2     3.2     8.0
 1954     2.5     2.4     5.4     5.7     9.2    13.4    12.5    12.4    12.1     8.1     6.4     5.4     6.8    12.8     8.9     4.6     8.0
 1955     4.3     4.2     4.7     5.6     8.4    11.4    13.5    12.7    11.4     8.9     5.8     5.2     6.2    12.6     8.7     4.2     8.0
 1956     4.4     3.0     3.9     6.6     8.4    11.4    12.2    12.7    10.7     7.9     4.6     4.7     6.3    12.1     7.7     4.7     7.5
 1957     4.0     5.3     5.0     6.5     8.6    12.1    13.0    12.2    10.9     8.1     6.8     4.4     6.7    12.4     8.6     4.5     8.1
 1958     4.1     5.1     4.2     6.1    11.0    11.0    12.6    12.8    10.9     8.5     6.9     5.3     7.1    12.1     8.7     4.4     8.2
 1959     4.1     3.9     5.5     6.3     8.9    11.2    13.4    12.6     9.2     6.6     6.3     5.3     6.9    12.4     7.4     4.5     7.8
 1960     4.1     4.2     5.0     6.1     9.1    11.9    12.2    12.3     9.6     9.4     7.7     5.5     6.7    12.1     8.9     4.7     8.1
 1961     3.8     4.8     5.6     7.9     8.8    12.2    11.3    12.1    10.9     8.2     6.9     4.4     7.5    11.8     8.7     4.2     8.1
 1962     4.4     3.8     4.4     6.8     9.0    10.5    11.6    13.4    10.2     8.0     7.2     3.7     6.7    11.8     8.4     3.1     7.7
 1963     2.4     3.3     4.2     6.9     9.4    12.0    12.8    13.0    11.4     8.1     7.2     3.6     6.9    12.6     8.9     3.4     7.9
