Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Mozambique           : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    26.5    26.3    25.7    23.5    20.0    17.3    16.7    16.9    18.0    19.9    22.4    25.1    23.1    16.9    20.1    25.8    21.5
 1902    26.1    26.2    25.6    23.5    19.9    17.5    16.9    17.1    18.3    20.0    22.7    25.4    23.0    17.1    20.4    26.0    21.6
 1903    26.3    26.3    25.6    23.3    20.1    17.4    16.5    17.0    18.3    20.2    22.6    25.2    23.0    17.0    20.4    25.8    21.6
 1904    26.1    26.1    25.3    23.2    19.7    17.3    16.5    16.9    18.0    20.0    22.5    25.1    22.7    16.9    20.2    25.9    21.4
 1905    26.3    26.4    25.4    23.2    20.1    17.5    16.8    17.2    18.4    20.3    22.8    25.4    22.9    17.2    20.5    26.1    21.6
 1906    26.5    26.4    25.4    23.2    19.9    17.3    16.6    16.9    18.1    20.2    22.7    25.2    22.8    16.9    20.3    25.7    21.5
 1907    26.0    26.0    25.4    23.4    19.9    17.3    16.5    16.8    18.0    20.1    22.6    25.3    22.9    16.9    20.2    25.9    21.4
 1908    26.3    26.1    25.5    23.4    19.9    17.4    16.7    17.0    18.2    20.2    22.7    25.3    22.9    17.0    20.4    25.9    21.6
 1909    26.2    26.3    25.5    23.3    19.9    16.9    16.7    17.0    18.2    20.1    22.6    25.3    22.9    16.9    20.3    25.8    21.5
 1910    26.2    26.0    25.4    23.0    19.6    17.1    16.4    16.8    17.9    19.9    22.1    25.2    22.7    16.8    20.0    25.7    21.3
 1911    25.9    26.0    25.2    23.1    20.1    17.1    16.4    16.9    17.8    20.2    22.5    25.2    22.8    16.8    20.2    25.9    21.4
 1912    26.2    26.2    25.0    23.5    20.2    17.4    16.6    16.9    17.8    19.8    22.4    25.0    22.9    16.9    20.0    25.8    21.4
 1913    26.1    26.2    25.2    23.4    19.8    17.0    16.5    16.9    18.2    19.9    22.5    24.9    22.8    16.8    20.2    25.7    21.4
 1914    26.2    26.0    25.5    23.4    20.2    17.3    16.4    16.8    18.1    20.3    22.6    25.3    23.0    16.8    20.3    26.2    21.5
 1915    26.4    26.7    26.1    23.9    20.7    18.1    17.8    17.6    18.2    19.5    22.6    25.0    23.6    17.8    20.1    25.8    21.9
 1916    26.0    26.3    26.1    23.8    20.0    16.9    16.9    16.6    17.9    20.0    23.1    25.4    23.3    16.8    20.3    25.7    21.6
 1917    25.4    26.3    25.7    23.4    20.4    17.3    16.1    17.1    18.4    19.7    22.6    25.4    23.2    16.8    20.2    25.8    21.5
 1918    25.9    26.2    25.5    22.7    20.1    17.2    16.6    17.3    17.8    20.1    22.8    24.4    22.8    17.0    20.2    25.2    21.4
 1919    25.4    25.7    24.8    22.8    19.4    17.4    16.5    16.7    18.1    19.7    22.6    25.4    22.4    16.9    20.1    26.1    21.2
 1920    26.6    26.3    26.4    23.3    20.2    17.0    17.2    17.2    18.6    20.7    22.8    25.2    23.3    17.1    20.7    26.2    21.8
 1921    26.5    27.0    25.7    23.6    20.5    17.0    16.9    17.2    18.3    19.9    22.8    24.8    23.3    17.0    20.3    25.5    21.7
 1922    26.1    25.7    24.8    23.0    20.5    17.3    16.9    16.7    18.2    20.3    22.7    25.5    22.8    16.9    20.4    26.0    21.5
 1923    26.4    26.2    25.5    23.0    19.7    17.1    16.4    17.1    17.4    20.0    22.0    25.0    22.7    16.9    19.8    25.8    21.3
