Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Papua_New_Guinea     : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    26.0    26.2    26.2    26.1    26.0    24.7    24.4    23.8    24.3    25.1    25.5    25.6    26.1    24.3    25.0    25.8    25.3
 1902    25.9    26.0    26.0    25.9    25.7    24.7    24.3    23.8    24.2    25.0    25.6    25.8    25.9    24.3    24.9    26.5    25.2
 1903    27.1    26.5    26.9    26.3    25.7    24.8    24.4    23.4    24.0    24.3    25.4    26.0    26.3    24.2    24.5    26.1    25.4
 1904    26.3    26.1    26.2    25.9    25.7    24.0    23.6    22.7    23.2    24.4    24.6    25.9    25.9    23.4    24.1    26.0    24.9
 1905    26.8    25.3    26.2    26.5    25.8    25.1    23.7    22.7    23.7    24.9    24.9    26.5    26.2    23.8    24.5    26.9    25.2
 1906    26.7    27.6    26.6    26.8    25.8    24.6    24.1    23.0    24.2    24.4    25.5    26.4    26.4    23.9    24.7    26.3    25.5
 1907    26.0    26.4    24.5    26.2    25.6    25.3    24.3    23.1    23.2    25.1    25.7    26.7    25.4    24.2    24.7    26.9    25.2
 1908    27.2    26.9    26.5    25.9    25.1    24.1    24.0    24.1    24.7    25.1    26.0    26.2    25.8    24.0    25.3    26.7    25.5
 1909    26.8    27.2    26.8    26.4    26.8    25.7    26.7    24.6    23.9    26.0    26.7    26.2    26.6    25.7    25.5    26.9    26.1
 1910    27.8    26.9    25.9    26.8    25.7    25.7    24.8    25.2    25.3    25.7    25.8    26.1    26.1    25.2    25.6    25.9    26.0
 1911    26.6    25.1    26.6    25.9    24.9    24.0    23.5    23.0    22.6    24.3    26.2    26.7    25.8    23.5    24.4    26.5    24.9
 1912    25.4    27.5    26.2    26.7    25.6    25.7    23.4    21.7    22.7    24.9    26.6    26.9    26.2    23.6    24.7    26.4    25.3
 1913    26.3    26.1    26.2    25.9    26.2    23.7    23.4    22.3    22.8    24.0    24.9    25.3    26.1    23.2    23.9    25.9    24.8
 1914    27.0    25.4    27.0    27.1    26.0    23.4    22.5    22.1    22.5    23.2    24.5    25.6    26.7    22.7    23.4    25.5    24.7
 1915    24.7    26.2    25.6    25.1    25.8    23.6    24.7    22.8    24.5    24.9    25.5    26.1    25.5    23.7    24.9    25.9    24.9
 1916    25.8    25.9    26.0    25.5    25.2    24.8    26.1    24.3    24.2    25.0    26.0    26.8    25.6    25.1    25.1    26.9    25.5
 1917    27.2    26.6    26.4    25.9    25.4    24.7    24.9    25.0    25.0    25.9    26.5    25.6    25.9    24.8    25.8    25.6    25.7
 1918    26.2    25.2    25.0    26.0    24.3    22.8    22.3    22.6    22.5    23.6    25.3    25.9    25.1    22.5    23.8    25.9    24.3
 1919    25.4    26.6    25.6    25.5    25.5    22.6    21.9    22.1    22.7    23.4    24.4    25.8    25.5    22.2    23.5    25.8    24.3
 1920    26.2    25.4    26.4    25.8    25.3    24.7    23.9    22.7    23.6    24.4    25.2    26.2    25.9    23.8    24.4    26.7    25.0
 1921    26.5    27.4    27.0    25.1    25.7    25.2    23.5    22.3    23.7    24.8    25.3    26.0    25.9    23.6    24.6    26.2    25.2
 1922    26.1    26.4    25.9    25.0    25.0    24.0    24.1    22.5    23.0    24.5    24.6    25.8    25.3    23.5    24.0    25.6    24.7
 1923    25.8    25.1    24.8    24.9    24.9    22.3    21.4    21.1    22.3    23.5    24.9    26.5    24.9    21.6    23.6    26.4    24.0
 1924    26.1    26.7    26.8    26.0    25.3    24.4    23.2    23.4    23.9    25.4    26.3    26.0    26.0    23.7    25.2    26.3    25.3
 1925    26.9    26.2    25.9    24.9    25.3    23.3    23.0    22.7    23.1    23.5    25.4    26.0    25.4    23.0    24.0    26.1    24.7
 1926    25.9    26.5    26.4    25.5    26.6    24.1    23.5    23.2    24.4    24.6    25.2    26.2    26.2    23.6    24.7    26.3    25.2
 1927    26.2    26.6    26.8    26.1    25.5    25.3    24.2    21.7    22.6    24.0    25.0    26.0    26.1    23.7    23.9    26.2    25.0
 1928    26.1    26.7    26.6    26.0    25.8    23.3    22.8    23.2    23.1    24.3    25.7    27.0    26.2    23.1    24.3    26.1    25.0
 1929    25.8    25.4    24.9    25.9    25.2    24.5    24.2    22.5    22.9    25.0    25.5    25.1    25.4    23.7    24.5    26.1    24.7
 1930    26.6    26.6    25.9    25.4    25.7    23.7    22.5    21.8    22.1    24.7    24.7    26.0    25.7    22.7    23.8    25.9    24.6
 1931    26.9    24.8    24.6    24.2    24.8    23.6    22.2    21.9    22.5    23.4    25.0    24.7    24.5    22.5    23.6    26.2    24.0
 1932    27.3    26.5    27.4    27.4    26.1    24.1    22.6    22.1    22.9    24.1    25.3    25.9    27.0    22.9    24.1    26.3    25.1
 1933    26.3    26.6    26.2    25.8    25.7    24.8    24.2    24.1    23.8    25.1    25.6    26.2    25.9    24.4    24.9    26.8    25.4
 1934    26.6    27.6    26.5    26.3    25.7    25.5    23.1    22.0    23.5    24.7    26.8    27.0    26.2    23.6    25.0    26.6    25.4
 1935    26.3    26.4    26.7    26.2    25.6    24.0    23.1    21.5    22.6    24.3    24.1    25.6    26.2    22.9    23.7    26.0    24.7
 1936    26.3    26.1    26.7    26.3    25.6    24.7    24.7    22.1    23.8    24.1    25.6    27.2    26.2    23.9    24.5    26.2    25.3
 1937    26.2    25.4    25.9    25.9    26.4    25.3    25.4    23.9    24.0    25.3    26.4    26.6    26.1    24.9    25.2    26.2    25.6
 1938    26.5    25.4    26.1    26.3    25.3    25.5    24.8    23.7    22.8    24.0    25.9    26.4    25.9    24.7    24.2    26.7    25.2
 1939    27.0    26.7    25.4    26.6    24.6    24.2    23.7    23.3    23.1    24.2    26.1    26.2    25.6    23.7    24.5    26.6    25.1
 1940    26.8    26.9    26.6    25.9    25.9    25.1    23.6    23.4    23.5    23.9    26.2    26.5    26.1    24.0    24.5    26.2    25.3
 1941    25.7    26.5    26.8    25.5    25.5    23.8    22.1    21.4    22.7    23.2    25.1    25.4    25.9    22.4    23.7    26.2    24.5
 1942    26.8    26.2    26.3    27.1    26.2    25.0    25.5    23.0    24.1    25.2    25.4    26.5    26.6    24.5    24.9    25.6    25.6
 1943    24.6    25.7    25.9    24.8    25.0    23.8    24.1    23.4    23.1    24.8    25.6    25.2    25.2    23.7    24.5    25.7    24.7
 1944    25.5    26.5    25.3    26.2    25.7    25.1    24.7    22.6    22.6    24.3    24.9    26.6    25.7    24.1    23.9    27.1    25.0
 1945    27.6    27.0    27.0    25.1    25.0    24.3    23.3    23.8    23.6    25.0    24.5    25.2    25.7    23.8    24.4    25.9    25.1
 1946    26.3    26.2    25.1    24.7    24.4    22.4    22.5    22.3    22.9    24.6    25.2    26.1    24.8    22.4    24.2    26.4    24.4
 1947    26.1    27.0    26.7    25.9    25.1    25.4    24.5    24.3    25.1    24.7    25.1    26.0    25.9    24.7    25.0    26.3    25.5
 1948    26.4    26.5    26.1    25.2    25.6    25.4    25.5    23.5    23.0    24.8    25.4    26.6    25.6    24.8    24.4    27.0    25.3
 1949    27.0    27.3    26.8    26.8    26.3    24.9    24.4    23.5    24.3    25.5    25.4    26.0    26.6    24.3    25.0    25.9    25.7
 1950    25.9    26.0    26.6    26.3    25.5    25.0    25.2    24.4    24.6    25.3    25.9    26.4    26.1    24.9    25.3    26.4    25.6
 1951    26.4    26.4    25.7    25.8    25.1    24.3    24.2    23.4    24.2    24.9    25.7    26.4    25.6    23.9    24.9    26.9    25.2
 1952    26.9    27.3    26.8    26.5    26.2    25.1    24.1    23.4    24.6    25.2    25.7    25.6    26.5    24.2    25.2    25.8    25.6
 1953    25.9    25.9    26.0    25.7    26.1    25.0    24.3    23.5    24.3    25.1    26.1    26.1    25.9    24.2    25.2    26.2    25.3
 1954    26.2    26.2    25.8    26.9    25.6    25.1    25.2    24.5    24.6    25.1    25.4    25.7    26.1    24.9    25.1    25.9    25.5
 1955    25.5    26.4    27.2    25.4    27.0    24.2    24.9    24.7    24.9    25.4    26.0    25.5    26.5    24.6    25.4    25.8    25.6
 1956    26.1    25.8    26.6    26.1    27.2    25.4    25.0    24.4    24.8    26.1    25.7    25.8    26.6    24.9    25.5    26.4    25.8
 1957    26.0    27.4    25.6    26.0    26.1    23.5    24.9    24.2    23.8    24.9    25.9    26.5    25.9    24.2    24.9    27.0    25.4
 1958    27.1    27.2    27.3    26.7    26.8    25.7    24.2    24.2    24.3    25.2    25.5    25.2    27.0    24.7    25.0    25.7    25.8
 1959    26.3    25.7    25.9    24.8    26.1    25.3    24.6    23.6    23.9    24.8    25.5    26.9    25.6    24.5    24.7    26.3    25.3
 1960    26.0    26.0    25.2    25.2    26.3    24.2    24.6    23.8    24.2    24.5    25.6    25.9    25.6    24.2    24.8    25.8    25.1
 1961    25.6    26.0    25.7    25.7    25.3    23.9    23.8    23.0    22.9    24.0    25.3    25.7    25.6    23.6    24.1    26.1    24.7
 1962    26.4    26.2    25.5    25.4    25.6    24.3    24.3    23.7    24.5    25.7    25.5    25.7    25.5    24.1    25.2    26.0    25.2
 1963    26.1    26.2    25.6    25.2    25.9    23.7    23.0    23.5    22.7    24.0    24.5    25.6    25.6    23.4    23.7    26.1    24.7
 1964    26.1    26.8    26.2    26.7    26.1    24.7    24.8    23.5    24.9    25.1    25.1    24.7    26.3    24.3    25.0    25.1    25.4
 1965    25.1    25.5    25.4    24.8    25.3    23.4    22.8    22.6    23.5    24.9    25.1    25.8    25.2    22.9    24.5    25.9    24.5
 1966    25.5    26.4    26.0    25.8    25.6    24.4    23.7    24.1    24.6    24.8    25.4    25.2    25.8    24.1    24.9    25.5    25.1
 1967    25.6    25.7    26.0    25.0    25.4    24.8    24.0    23.1    23.6    24.1    24.9    25.6    25.5    24.0    24.2    25.5    24.8
 1968    25.5    25.4    26.0    25.2    25.5    24.4    24.9    23.5    24.1    24.7    24.9    25.7    25.6    24.3    24.6    25.7    25.0
 1969    25.3    26.2    26.2    26.7    26.3    25.4    24.6    23.6    23.6    24.7    25.2    26.2    26.4    24.5    24.5    26.3    25.3
 1970    26.1    26.8    26.4    26.4    25.9    25.1    24.4    24.1    24.2    25.2    25.3    25.4    26.2    24.5    24.9    25.5    25.4
 1971    25.5    25.5    25.6    25.2    24.9    24.1    24.0    23.8    24.6    25.2    25.7    25.7    25.2    24.0    25.2    25.4    25.0
 1972    25.1    25.5    25.5    25.2    24.6    24.4    23.9    22.8    23.5    24.2    25.6    25.9    25.1    23.7    24.4    26.6    24.7
 1973    26.8    27.0    26.9    26.7    25.9    24.9    24.4    24.5    25.1    25.5    25.7    26.0    26.5    24.6    25.4    25.8    25.8
 1974    25.6    25.7    25.3    26.0    25.8    23.6    24.4    24.1    25.2    25.6    25.9    25.4    25.7    24.0    25.6    25.7    25.2
 1975    25.9    25.6    25.8    26.3    25.9    24.9    24.6    24.3    25.2    25.7    25.5    25.5    26.0    24.6    25.4    25.4    25.4
 1976    25.0    25.5    25.3    25.2    25.4    24.3    24.3    23.0    23.4    25.5    26.0    26.0    25.3    23.9    25.0    26.2    24.9
 1977    26.2    26.6    26.8    26.5    25.4    24.0    24.3    23.4    24.3    25.1    25.3    26.0    26.2    23.9    24.9    26.4    25.3
 1978    26.7    26.5    26.2    26.0    26.9    25.5    24.9    24.3    24.2    25.6    25.5    25.7    26.4    24.9    25.1    26.3    25.7
 1979    26.8    26.3    26.2    26.3    25.9    25.4    24.5    23.9    24.7    25.1    26.0    26.0    26.1    24.6    25.3    26.3    25.6
 1980    26.5    26.4    26.3    27.3    26.3    25.3    24.4    23.9    24.2    25.6    25.7    25.9    26.6    24.5    25.2    26.1    25.7
 1981    26.0    26.5    26.4    26.4    27.1    25.2    25.0    23.4    25.1    25.1    26.3    26.3    26.6    24.5    25.5    26.3    25.7
 1982    26.2    26.3    26.3    26.6    25.9    24.3    24.3    22.7    23.3    24.4    24.5    26.5    26.3    23.8    24.1    26.7    25.1
 1983    26.9    26.8    27.2    27.3    26.7    25.7    25.1    24.7    25.1    25.5    26.0    25.8    27.1    25.2    25.5    26.2    26.1
 1984    26.5    26.5    26.4    26.6    26.2    24.7    24.5    23.7    25.1    25.3    25.7    26.2    26.4    24.3    25.4    26.3    25.6
 1985    26.0    26.7    26.2    26.3    27.2    25.1    23.7    24.4    23.6    25.2    25.6    26.0    26.6    24.4    24.8    26.0    25.5
 1986    26.4    25.6    26.4    26.0    25.7    25.3    24.6    24.3    24.5    25.8    26.1    26.2    26.0    24.7    25.5    26.5    25.6
 1987    26.5    26.7    26.2    25.9    26.3    25.9    24.4    23.9    24.7    26.1    27.3    27.1    26.2    24.7    26.1    26.8    25.9
 1988    26.4    27.0    27.4    26.9    27.5    24.8    25.0    25.4    25.7    25.8    27.1    26.1    27.3    25.0    26.2    26.2    26.3
 1989    26.2    26.2    26.1    26.1    26.1    25.5    25.6    24.6    24.8    26.1    26.2    26.2    26.1    25.2    25.7    26.4    25.8
 1990    26.5    26.5    27.3    26.6    26.7    25.0    25.1    23.6    24.3    25.4    25.8    27.1    26.9    24.6    25.2    27.1    25.8
 1991    27.0    27.1    26.5    26.8    26.9    25.6    24.8    24.1    24.1    24.8    25.6    26.3    26.8    24.8    24.9    26.6    25.8
 1992    26.7    26.8    27.0    26.7    26.6    25.5    25.1    24.4    24.8    25.8    26.1    26.4    26.8    25.0    25.6    26.4    26.0
 1993    26.1    26.6    26.2    25.9    26.6    25.7    25.3    24.3    25.4    26.1    26.2    26.2    26.2    25.1    25.9    26.6    25.9
 1994    26.9    26.8    26.8    26.6    26.2    25.3    24.5    24.0    24.5    25.5    25.7    26.3    26.5    24.6    25.2    26.6    25.8
 1995    26.7    26.9    26.8    26.8    26.1    25.2    24.8    24.1    24.6    25.2    25.8    26.0    26.6    24.7    25.2    26.1    25.8
 1996    25.8    26.3    26.5    26.6    25.9    25.1    24.2    23.7    24.2    25.2    25.8    26.1    26.3    24.4    25.0    26.2    25.5
 1997    26.1    26.4    26.4    26.4    26.2    25.0    24.7    23.9    24.4    25.2    25.8    26.1    26.3    24.5    25.1    26.3    25.5
