Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Phoenix_Isl          : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1902    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1903    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1904    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1905    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1906    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1907    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1908    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1909    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1910    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1911    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1912    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1913    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1914    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1915    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1916    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1917    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1918    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1919    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1920    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1921    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1922    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1923    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
 1924    29.6    30.0    30.5    30.8    30.5    29.7    28.8    28.9    29.6    30.3    30.2    29.6    30.6    29.1    30.1    29.8    29.9
