Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = San_Marino           : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     5.4     5.0     7.0     9.0    11.4    14.4    15.9    16.0    14.8    10.9     7.8     6.7     9.1    15.4    11.2     6.5    10.4
 1902     6.4     6.5     7.1     9.8    10.1    13.6    15.7    16.0    14.0    10.7     8.3     6.4     9.0    15.1    11.0     6.3    10.4
 1903     5.9     6.7     7.4     8.0    11.4    13.7    15.2    16.2    14.2    11.1     8.5     6.6     8.9    15.0    11.3     6.3    10.4
 1904     5.9     6.5     7.4     9.6    11.9    14.6    16.7    16.8    13.2    10.8     7.9     6.8     9.6    16.0    10.6     6.0    10.7
 1905     5.1     6.1     7.5     8.8    11.2    14.6    17.2    16.5    14.8    11.2     8.2     6.8     9.2    16.1    11.4     6.1    10.7
 1906     5.8     5.8     6.8     8.9    11.7    14.2    16.1    16.7    13.7    11.7     9.0     5.8     9.1    15.7    11.5     5.7    10.5
 1907     5.6     5.6     6.4     8.4    11.8    14.1    14.8    16.5    14.3    12.0     8.8     7.0     8.9    15.1    11.7     6.3    10.4
 1908     5.6     6.3     6.6     8.4    12.4    14.9    15.5    15.5    13.4    10.8     8.0     6.6     9.1    15.3    10.7     5.7    10.3
 1909     5.3     5.2     6.7     9.1    11.1    13.5    15.1    16.2    13.7    11.5     8.0     7.1     9.0    14.9    11.1     6.6    10.2
 1910     6.1     6.5     7.2     8.8    11.2    14.5    14.8    16.0    13.3    11.3     7.9     7.3     9.1    15.1    10.8     6.2    10.4
 1911     5.4     6.0     7.3     8.7    11.8    14.0    17.1    17.8    15.0    11.2     9.1     7.2     9.3    16.3    11.8     6.9    10.9
 1912     6.3     7.1     7.9     8.4    12.1    14.4    15.6    15.2    13.4    10.5     7.6     7.1     9.5    15.1    10.5     6.5    10.5
 1913     6.3     6.0     7.9     9.1    11.6    14.5    15.0    15.6    13.8    11.9     9.6     6.6     9.5    15.0    11.8     6.3    10.7
 1914     5.2     7.1     7.6     9.6    11.3    13.6    15.3    16.2    13.8    10.7     8.3     7.3     9.5    15.0    10.9     6.4    10.5
 1915     5.8     6.2     7.1     8.8    12.9    15.3    15.5    15.7    13.0    10.0     7.6     7.6     9.6    15.5    10.2     6.9    10.5
 1916     6.6     6.5     7.9     9.1    11.9    13.6    15.4    16.2    13.2    10.9     8.8     7.0     9.6    15.1    11.0     6.1    10.6
 1917     5.5     5.7     6.7     8.1    13.0    15.3    15.8    16.0    15.1    10.2     8.5     5.9     9.3    15.7    11.3     6.1    10.5
 1918     6.1     6.4     7.1     9.6    12.0    13.2    15.7    16.0    14.8    10.4     8.5     7.3     9.6    15.0    11.2     6.6    10.6
 1919     6.3     6.1     7.4     8.5    11.0    14.5    14.5    17.0    15.1    10.1     7.8     6.8     9.0    15.3    11.0     6.8    10.4
 1920     6.7     6.8     7.9     9.8    13.4    14.1    15.8    15.7    14.8    11.0     8.5     7.1    10.4    15.2    11.4     6.8    11.0
 1921     7.0     6.3     7.4     8.6    12.4    14.2    17.0    16.6    14.7    12.0     7.8     6.5     9.5    15.9    11.5     6.1    10.9
 1922     5.5     6.2     7.8     8.7    12.5    14.8    15.3    16.6    13.5    10.5     7.7     6.6     9.7    15.6    10.6     6.5    10.5
 1923     6.0     6.8     7.6     8.9    11.9    12.8    17.0    17.0    14.0    12.2     8.5     6.4     9.5    15.6    11.6     5.9    10.8
 1924     5.5     5.7     7.0     9.3    12.8    14.4    16.2    14.9    14.6    11.1     8.8     7.1     9.7    15.2    11.5     6.9    10.6
 1925     6.6     6.9     6.7     9.2    12.0    14.7    15.7    16.4    13.0    11.2     8.4     6.2     9.3    15.6    10.9     6.6    10.6
 1926     5.8     7.7     7.7     9.5    11.2    13.2    16.1    16.2    15.6    11.4     9.4     6.6     9.5    15.2    12.1     6.2    10.9
 1927     6.3     5.8     7.7     9.5    11.8    14.6    16.2    16.4    14.5    10.8     9.0     6.5     9.7    15.7    11.4     6.5    10.8
 1928     6.4     6.7     7.2     9.3    10.5    14.4    18.1    17.5    14.2    10.9     9.0     6.3     9.0    16.7    11.4     5.3    10.9
 1929     4.9     4.8     7.0     8.3    12.3    15.1    16.4    16.9    15.3    11.3     8.7     7.0     9.2    16.1    11.8     6.5    10.7
 1930     6.6     5.9     7.8     9.6    11.5    15.8    15.6    16.2    14.7    10.8     9.0     6.9     9.6    15.9    11.5     6.3    10.9
 1931     6.0     5.9     6.4     8.6    12.8    15.5    15.9    16.0    12.3    10.2     8.9     6.1     9.3    15.8    10.5     5.8    10.4
 1932     6.4     5.0     6.4     8.6    11.7    13.7    16.7    17.8    16.9    11.0     8.8     7.2     8.9    16.1    12.2     6.2    10.9
 1933     5.5     6.0     7.3     9.0    11.1    12.9    16.0    17.0    14.2    11.0     8.2     5.7     9.1    15.3    11.1     5.9    10.3
 1934     6.0     5.9     7.6     9.8    12.3    14.0    16.2    16.7    14.9    10.9     8.4     7.9     9.9    15.6    11.4     6.6    10.9
 1935     5.4     6.4     6.6     9.0    10.8    15.2    16.2    16.2    14.4    12.1     8.7     6.4     8.8    15.9    11.7     6.6    10.6
 1936     7.0     6.3     7.9     9.3    12.5    14.5    16.8    15.9    14.4     9.5     8.7     6.9     9.9    15.7    10.9     6.6    10.8
 1937     6.1     6.9     7.4     9.1    12.2    15.2    16.2    16.3    14.0    11.4     8.3     6.3     9.6    15.9    11.2     6.0    10.8
 1938     5.9     5.9     7.8     8.0    10.9    15.4    15.8    16.9    14.1    11.6     9.3     6.2     8.9    16.0    11.7     6.4    10.7
 1939     6.5     6.5     6.5    10.1    11.1    14.8    15.8    16.5    14.3    11.0     9.1     6.1     9.2    15.7    11.5     5.5    10.7
 1940     4.7     5.7     7.0     9.2    11.5    14.1    15.4    15.0    14.4    11.3     8.9     5.3     9.2    14.8    11.5     5.6    10.2
 1941     5.3     6.3     7.4     8.7    10.3    14.4    16.5    15.8    13.4    10.8     8.1     6.4     8.8    15.6    10.8     5.4    10.3
 1942     4.6     5.3     7.7     9.0    11.8    14.5    16.0    16.6    16.0    12.3     8.3     7.0     9.5    15.7    12.2     6.4    10.8
 1943     5.6     6.6     7.6     9.5    11.8    13.9    15.8    17.5    15.4    12.3     8.1     7.0     9.6    15.7    11.9     6.4    10.9
 1944     6.5     5.8     6.8     9.6    11.5    14.0    16.2    18.4    14.3    11.1     8.2     6.2     9.3    16.2    11.2     6.0    10.7
 1945     4.8     7.0     7.9     9.7    12.4    15.2    16.9    16.4    14.5    10.7     8.2     6.7    10.0    16.2    11.1     6.5    10.9
 1946     5.7     7.0     8.0    10.2    12.7    14.5    16.5    16.6    14.6    10.6     8.5     6.1    10.3    15.9    11.2     5.7    10.9
 1947     5.1     5.9     7.7    10.0    12.7    15.3    17.2    17.8    15.7    10.8     9.1     6.7    10.1    16.8    11.9     6.6    11.2
 1948     6.8     6.2     8.3     9.4    12.5    14.0    15.2    16.8    14.3    11.3     8.8     6.6    10.1    15.3    11.5     6.2    10.9
 1949     6.2     5.9     6.5    10.3    11.9    14.1    16.1    16.4    15.5    11.7     8.5     7.1     9.6    15.5    11.9     6.5    10.8
 1950     5.8     6.7     7.7     8.9    12.3    16.0    17.8    16.8    14.5    11.0     8.6     6.4     9.6    16.9    11.4     6.6    11.0
 1951     6.4     6.9     7.3     9.0    11.6    14.5    16.0    16.9    15.8    10.8     9.3     6.6     9.3    15.8    12.0     5.9    10.9
 1952     5.5     5.7     7.4    10.2    12.0    15.5    18.0    17.3    13.5    10.9     7.8     6.6     9.9    16.9    10.7     5.8    10.9
 1953     5.2     5.5     6.8     9.6    12.4    14.5    16.5    16.2    15.2    12.4     8.5     7.7     9.6    15.7    12.0     6.2    10.9
 1954     5.1     5.7     7.8     8.9    11.5    15.3    14.8    15.6    14.8    10.7     8.6     7.4     9.4    15.2    11.4     7.0    10.5
 1955     7.0     6.6     6.8     8.8    11.5    14.5    16.5    15.7    14.1    10.6     8.2     7.6     9.0    15.6    11.0     7.0    10.7
 1956     6.6     6.7     6.9     8.9    12.0    13.7    16.3    17.0    15.1    10.3     7.9     6.4     9.3    15.7    11.1     6.4    10.7
 1957     5.6     7.1     7.9     9.1    10.9    14.9    16.2    16.0    13.8    11.1     9.2     6.8     9.3    15.7    11.4     6.4    10.7
