Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = St_Kitts_and_Nevis   : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    22.1    22.2    21.4    23.2    24.6    25.0    24.9    25.8    26.0    25.9    24.8    23.0    23.1    25.2    25.6    22.1    24.1
 1902    21.4    21.8    21.0    22.4    23.9    24.8    25.1    25.7    25.5    25.3    24.6    23.3    22.4    25.2    25.1    22.3    23.7
 1903    22.0    21.5    20.8    22.7    24.7    25.3    25.1    25.4    25.5    25.7    24.6    23.1    22.7    25.3    25.3    21.9    23.9
 1904    21.6    21.0    20.3    21.8    23.6    24.4    24.5    24.8    25.1    25.3    25.1    23.3    21.9    24.6    25.2    21.7    23.4
 1905    21.6    20.3    20.5    23.2    24.1    25.0    24.4    25.2    25.4    26.1    25.5    23.3    22.6    24.9    25.7    22.0    23.7
 1906    21.4    21.3    20.7    22.4    23.9    24.3    24.7    25.5    25.4    25.7    25.1    22.4    22.3    24.8    25.4    21.4    23.6
 1907    21.5    20.2    20.0    20.3    22.8    24.4    25.2    25.1    25.8    26.4    25.8    23.9    21.0    24.9    26.0    22.2    23.4
 1908    21.3    21.4    19.9    21.4    21.6    23.6    25.0    25.3    25.8    25.8    26.1    24.9    21.0    24.6    25.9    23.2    23.5
 1909    22.2    22.4    20.4    21.8    23.8    23.9    24.7    24.9    25.5    26.0    26.2    22.8    22.0    24.5    25.9    22.0    23.7
 1910    22.0    21.3    20.7    21.2    22.4    24.7    25.1    26.4    26.0    26.5    24.9    23.9    21.4    25.4    25.8    22.3    23.8
 1911    22.0    21.0    20.0    19.7    22.5    23.8    24.3    25.3    25.5    26.1    25.0    23.6    20.7    24.5    25.5    22.1    23.2
 1912    21.7    20.9    20.0    22.2    23.6    24.4    24.7    25.0    25.2    26.0    25.0    23.5    21.9    24.7    25.4    21.9    23.5
 1913    21.7    20.6    20.3    22.2    23.2    23.2    23.9    23.5    24.6    24.5    24.5    22.4    21.9    23.5    24.5    21.6    22.9
 1914    21.4    21.0    20.6    21.6    22.8    23.9    23.3    23.5    24.8    25.0    24.3    23.2    21.7    23.6    24.7    22.2    23.0
 1915    22.2    21.3    19.5    23.4    22.9    25.0    25.4    25.9    26.4    26.1    25.6    24.3    21.9    25.4    26.0    22.9    24.0
 1916    22.7    21.7    20.2    21.1    23.9    23.9    24.3    25.0    25.4    26.0    24.8    21.9    21.7    24.4    25.4    21.0    23.4
 1917    20.9    20.2    19.2    20.9    22.4    25.0    24.7    24.9    25.1    24.7    25.4    22.3    20.8    24.9    25.1    20.9    23.0
 1918    19.7    20.8    18.8    20.8    23.2    24.0    24.3    24.7    24.5    24.7    23.7    21.2    20.9    24.3    24.3    20.2    22.5
 1919    20.0    19.5    19.1    23.0    23.2    24.5    24.1    25.2    25.0    25.3    23.5    22.4    21.8    24.6    24.6    21.5    22.9
 1920    21.1    21.1    20.3    20.7    22.2    22.9    23.2    23.7    24.4    24.8    24.0    21.9    21.1    23.3    24.4    21.3    22.5
 1921    21.5    20.5    20.0    20.8    23.2    24.0    23.8    24.7    25.7    25.4    24.4    22.5    21.3    24.2    25.2    22.0    23.0
 1922    21.2    22.2    19.8    21.3    22.6    24.0    23.6    23.9    25.3    25.4    24.6    23.5    21.2    23.8    25.1    21.8    23.1
 1923    21.0    20.9    20.3    21.4    23.1    23.2    23.7    24.5    24.4    25.2    24.2    22.2    21.6    23.8    24.6    21.7    22.8
 1924    21.7    21.3    21.6    23.0    23.2    24.6    25.1    25.8    26.1    26.0    24.5    23.1    22.6    25.2    25.5    21.6    23.8
