Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Turkmenistan         : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.5     5.4     7.3     9.6    11.3    12.5    13.8    12.0    10.2     7.5     7.1     6.1     9.4    12.8     8.3     5.6     9.0
 1902     5.3     5.3     6.8     9.1    11.2    13.0    13.7    13.1     9.7     8.0     6.8     6.2     9.0    13.3     8.2     5.4     9.0
 1903     4.5     5.6     5.9     8.9    10.9    12.5    14.1    12.7    10.6     8.1     6.4     5.4     8.6    13.1     8.4     5.0     8.8
 1904     3.8     5.7     7.1     9.0    11.2    12.2    13.3    12.7     9.9     7.6     7.8     6.3     9.1    12.7     8.4     5.3     8.9
 1905     4.5     5.0     6.3     9.3    11.4    13.1    14.4    13.6    10.5     9.3     7.6     6.0     9.0    13.7     9.1     5.2     9.2
 1906     4.6     4.9     6.7     9.0    11.7    13.0    14.3    12.7    10.1     8.4     7.0     6.5     9.1    13.3     8.5     5.5     9.1
 1907     5.0     4.9     6.6     9.6    10.7    12.2    14.3    12.9    10.1     7.9     6.7     5.6     9.0    13.1     8.2     5.1     8.9
 1908     4.6     5.0     6.6     9.7    10.8    12.0    14.6    13.5    10.4     7.7     7.0     6.1     9.0    13.4     8.4     5.3     9.0
 1909     4.4     5.4     7.3    10.0    11.2    12.7    14.3    13.1    10.5     7.8     8.0     6.4     9.5    13.4     8.8     5.6     9.3
 1910     5.1     5.5     6.5     9.1    11.5    12.4    14.4    12.9    10.3     8.3     6.8     4.8     9.0    13.2     8.4     4.8     9.0
 1911     4.4     5.1     6.7     9.2    11.2    12.8    14.0    12.6    10.1     7.8     6.6     5.1     9.0    13.1     8.2     5.0     8.8
 1912     4.6     5.1     6.5     8.7    10.4    12.6    13.7    12.3     9.5     8.2     6.6     5.8     8.5    12.9     8.1     5.4     8.7
 1913     5.4     4.9     6.3     9.1    11.4    12.0    14.3    12.8    10.3     8.6     7.4     6.5     8.9    13.0     8.8     6.0     9.1
 1914     5.8     5.7     7.2     9.4    11.3    13.3    14.3    12.9    10.2     8.5     7.4     5.5     9.3    13.5     8.7     5.2     9.3
 1915     5.0     5.0     7.6     9.8    11.3    12.6    13.8    12.8    10.7     7.9     7.0     6.0     9.5    13.1     8.5     5.4     9.1
