Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.20912147961328287,39.3,14.0,126.5,19.2,12.2,5.2,3.9,1427.4,298.5,59.7,5.6
ALB,0.906120218579235,55.8,11.2,101.1,17.2,11.5,5.9,2.5,915.0,829.1,112.6,10.6
DZA,0.048781876138433516,36.5,14.1,15.6,29.1,22.0,15.0,4.8,1756.8,85.7,23.7,9.0
AND,1.8086130627114232,57.8,9.3,147.0,11.8,7.1,2.5,2.1,768.6,1390.1,170.5,7.9
AGO,0.6491481838637093,63.2,13.5,4.7,28.1,21.3,14.6,3.4,1244.4,807.8,70.1,15.7
ATG,1.6243487101283518,55.5,7.4,0.0,29.4,25.7,22.0,4.3,1573.8,2556.4,192.0,25.4
ARG,0.4363995142683668,49.4,12.8,64.7,21.5,15.1,8.7,3.6,1317.6,575.0,73.0,11.3
ARM,0.5756284153005465,54.0,11.6,167.7,12.1,6.3,0.5,2.5,915.0,526.7,111.0,5.8
AUS,0.2276523352922982,33.5,14.1,12.2,28.5,21.5,14.5,5.3,1939.8,441.6,61.0,12.9
AUT,1.4927675988428155,65.3,8.1,158.8,10.2,6.2,2.1,1.7,622.2,928.8,157.2,8.2
AZE,0.4229718369062631,59.2,10.0,116.5,16.2,11.2,6.2,2.6,951.6,402.5,87.3,9.6
BHS,0.8298304609780021,56.2,10.1,0.0,29.9,24.9,19.8,3.9,1427.4,1184.5,106.1,23.0
BHR,0.047938400397416786,33.4,13.2,0.0,32.9,26.3,19.7,6.6,2415.6,115.8,22.1,15.6
BGD,2.5242486338797816,55.0,8.9,0.0,29.6,25.1,20.7,3.2,1171.2,2956.4,92.3,24.6
BRB,1.3723653395784543,55.5,7.2,0.0,29.6,26.0,22.4,4.2,1537.2,2109.6,191.7,25.7
BLR,1.0053126897389193,68.9,8.2,147.5,10.9,6.7,2.6,1.8,658.8,662.3,177.2,8.8
BEL,1.2575895567698847,72.1,8.3,95.1,14.0,9.8,5.7,1.8,658.8,828.5,188.6,10.3
BLZ,1.75789313904068,56.7,8.6,0.0,29.7,25.4,21.1,3.6,1317.6,2316.2,193.7,27.5
BEN,0.6156648451730419,69.2,12.6,0.0,34.3,28.0,21.7,4.2,1537.2,946.4,83.6,22.0
BTN,2.099271402550091,54.3,12.0,159.6,13.5,7.5,1.5,2.1,768.6,1613.5,94.1,8.4
BOL,0.8374999999999999,58.9,12.8,32.4,28.2,21.8,15.5,4.0,1464.0,1226.1,102.1,19.1
