Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.31666666666666665,32.9,13.1,15.4,13.3,6.7,0.2,2.0,60.0,19.0,4.5,4.0
ALB,2.066666666666667,68.3,8.6,7.5,13.1,8.8,4.5,1.0,30.0,62.0,9.1,9.3
DZA,0.051111111111111114,33.1,13.8,0.4,24.6,17.6,10.7,3.0,90.0,4.6,1.4,8.4
AND,1.303030303030303,62.5,6.8,12.7,8.6,5.2,1.8,1.1,33.0,43.0,7.5,6.7
AGO,0.9590476190476189,74.1,11.9,0.0,28.9,22.9,17.0,3.5,105.0,100.7,9.7,19.5
ATG,2.3525252525252527,54.4,7.0,0.0,28.5,25.0,21.5,3.3,99.0,232.9,16.3,25.9
ARG,0.37333333333333335,42.3,14.1,1.9,25.8,18.7,11.6,5.5,165.0,61.6,6.7,12.1
ARM,1.3222222222222224,60.2,10.6,21.8,8.0,2.7,-2.6,0.9,27.0,35.7,8.3,4.1
AUS,0.068,26.7,16.0,0.1,33.3,25.2,17.3,7.5,225.0,15.3,3.4,12.9
AUT,11.366666666666667,69.8,5.3,14.9,6.3,3.6,1.0,0.5,15.0,170.5,17.9,7.0
AZE,0.9555555555555556,64.8,8.7,9.3,11.7,7.3,3.0,1.2,36.0,34.4,7.6,7.2
BHS,1.0885057471264368,58.5,8.8,0.0,27.6,23.2,18.8,2.9,87.0,94.7,9.9,21.7
BHR,0.004444444444444445,28.8,13.0,0.0,28.9,22.4,15.9,4.5,135.0,0.6,0.3,14.2
BGD,0.3448717948717949,29.3,9.6,0.0,26.7,21.9,17.2,2.6,78.0,26.9,1.6,21.5
BRB,2.2401960784313726,52.5,6.9,0.0,28.5,25.0,21.6,3.4,102.0,228.5,16.9,25.6
BLR,3.86,83.7,5.7,15.8,6.4,3.5,0.6,0.5,15.0,57.9,18.8,6.6
BEL,2.2515151515151515,76.3,5.4,3.5,11.4,8.7,6.0,1.1,33.0,74.3,18.8,8.4
BLZ,2.27536231884058,60.4,7.9,0.0,26.9,22.9,19.0,2.3,69.0,157.0,15.5,26.5
BEN,0.06126126126126126,58.9,16.0,0.0,32.4,24.4,16.4,3.7,111.0,6.8,1.1,19.3
BTN,0.05333333333333333,26.4,14.1,20.5,9.6,2.6,-4.5,1.5,45.0,2.4,0.9,5.9
BOL,0.8434782608695652,63.3,12.9,2.0,29.3,22.8,16.4,4.6,138.0,116.4,10.4,20.0
BIH,2.704166666666667,75.0,6.7,8.5,10.3,7.0,3.7,0.8,24.0,64.9,11.0,8.3
BWA,0.26601307189542484,53.2,14.5,0.0,32.8,25.5,18.3,5.1,153.0,40.7,6.9,17.7
BRA,1.4472222222222224,75.1,10.2,0.0,30.9,25.7,20.6,3.6,108.0,156.3,17.4,26.0
BRN,3.048809523809524,71.9,7.7,0.0,29.6,25.8,21.9,2.8,84.0,256.1,21.3,29.6
BGR,1.3916666666666666,74.4,8.8,12.6,10.7,6.3,1.9,0.8,24.0,33.4,6.9,8.0
BFA,0.006060606060606061,21.5,17.3,0.0,33.2,24.5,15.9,4.4,132.0,0.8,0.4,13.9
BDI,1.7,83.6,11.0,0.0,23.9,18.3,12.9,2.3,69.0,117.3,21.3,19.0
CPV,0.0,40.4,7.6,0.0,29.0,25.2,21.4,4.1,123.0,0.0,0.0,22.8
KHM,2.0107526881720434,54.7,8.0,0.0,29.0,24.9,20.9,3.1,93.0,187.0,11.7,26.3
CMR,0.5774509803921568,61.1,11.2,0.0,29.9,24.3,18.7,3.4,102.0,58.9,6.8,20.7
CAN,4.377777777777776,64.2,8.3,28.4,-7.1,-11.3,-15.4,0.3,9.0,39.4,10.4,2.7
CAF,0.03513513513513514,34.8,14.8,0.0,30.5,23.1,15.7,3.7,111.0,3.9,1.5,19.5
TCD,0.001282051282051282,12.4,17.0,0.1,31.4,22.9,14.4,5.2,156.0,0.2,0.2,9.8
CHL,0.205982905982906,42.7,10.6,6.9,15.8,10.5,5.2,3.9,117.0,24.1,2.6,7.7
CHN,0.6,43.1,12.5,20.8,6.1,-0.2,-6.4,1.3,39.0,23.4,6.3,4.7
COL,2.896428571428572,70.9,9.4,0.1,28.3,23.6,18.9,2.8,84.0,243.3,18.4,25.9
COM,0.7581699346405228,51.4,7.7,0.0,31.5,27.7,23.9,5.1,153.0,116.0,10.7,26.4
COG,1.1666666666666667,80.2,9.1,0.0,29.1,24.5,20.0,2.7,81.0,94.5,10.5,25.2
COD,1.346666666666667,75.4,10.5,0.0,29.1,23.8,18.5,3.0,90.0,121.2,12.3,23.4
CRI,3.651612903225807,58.0,9.4,0.0,28.7,24.0,19.3,3.1,93.0,339.6,20.3,25.3
CIV,1.0408602150537634,62.5,11.3,0.0,31.3,25.6,20.0,3.1,93.0,96.8,9.0,24.9
HRV,4.425,72.0,6.8,6.3,11.7,8.2,4.8,0.8,24.0,106.2,12.5,9.0
CUB,1.3419753086419757,54.7,8.2,0.0,27.9,23.8,19.7,2.7,81.0,108.7,9.7,24.6
CYP,0.7746031746031745,40.8,10.4,0.5,20.1,14.8,9.7,2.1,63.0,48.8,7.0,11.6
CZE,3.8733333333333335,81.8,5.2,11.6,7.4,4.8,2.2,0.5,15.0,58.1,16.1,7.7
DNK,7.2333333333333325,74.2,4.5,7.0,8.7,6.5,4.3,0.4,12.0,86.8,19.5,8.9
DJI,0.0,30.3,10.7,0.0,29.9,24.5,19.2,4.1,123.0,0.0,0.0,22.4
DMA,6.094202898550725,53.8,6.8,0.0,24.6,21.2,17.8,2.3,69.0,420.5,18.3,23.5
DOM,1.3273809523809523,58.0,8.8,0.0,27.8,23.4,19.0,2.8,84.0,111.5,12.0,23.7
ECU,2.7038095238095234,79.2,13.2,1.0,29.1,22.5,15.9,3.5,105.0,283.9,20.9,20.9
EGY,0.04095238095238095,24.9,13.7,0.1,24.6,17.7,10.9,3.5,105.0,4.3,0.9,10.4
SLV,0.4628571428571429,44.3,11.5,0.0,28.3,22.5,16.8,3.5,105.0,48.6,9.0,21.4
GNQ,1.515384615384615,85.0,7.8,0.0,28.5,24.6,20.7,2.6,78.0,118.2,12.5,26.7
ERI,0.0032520325203252032,19.7,15.0,0.2,30.0,22.5,15.0,4.1,123.0,0.4,0.1,17.9
EST,7.300000000000002,85.3,4.8,15.0,5.7,3.3,0.9,0.3,9.0,65.7,19.2,7.0
ETH,0.09736842105263158,31.7,14.9,1.1,27.1,19.6,12.2,3.8,114.0,11.1,1.6,14.9
FJI,1.1657657657657658,71.8,5.3,0.0,27.2,24.6,22.0,3.7,111.0,129.4,12.3,24.6
FIN,16.533333333333335,82.0,5.5,23.9,1.2,-1.6,-4.4,0.1,3.0,49.6,20.0,5.1
FRA,3.05,73.2,5.7,3.5,12.1,9.2,6.4,1.0,30.0,91.5,15.7,9.2
GAB,1.1013333333333333,89.6,8.1,0.0,29.2,25.1,21.1,2.5,75.0,82.6,10.0,26.5
GMB,0.0,30.9,14.9,0.0,35.3,27.8,20.4,4.1,123.0,0.0,0.0,22.4
GEO,1.5545454545454545,67.3,9.7,20.1,6.7,1.8,-3.0,1.1,33.0,51.3,9.2,4.5
DEU,3.7777777777777777,81.8,4.8,6.8,9.1,6.7,4.3,0.6,18.0,68.0,17.6,8.6
GHA,0.25625000000000003,56.8,12.2,0.0,30.9,24.8,18.7,3.2,96.0,24.6,5.6,23.5
GRC,1.4282051282051282,53.4,8.4,2.3,16.6,12.4,8.2,1.3,39.0,55.7,7.9,10.9
GRD,1.8282828282828285,51.3,7.5,0.0,29.2,25.4,21.7,3.3,99.0,181.0,15.8,27.3
GTM,1.9197530864197527,53.9,9.7,0.1,26.2,21.3,16.4,2.7,81.0,155.5,12.9,22.0
GIN,0.393859649122807,49.1,13.2,0.0,32.1,25.5,18.9,3.8,114.0,44.9,4.9,21.6
GNB,0.04957264957264957,32.5,11.8,0.0,33.4,27.5,21.6,3.9,117.0,5.8,1.1,25.8
GUY,0.4396396396396396,58.1,9.5,0.0,30.6,25.8,21.1,3.7,111.0,48.8,9.7,23.0
HTI,1.335714285714286,57.3,8.8,0.0,28.0,23.6,19.2,2.8,84.0,112.2,9.7,23.7
HND,2.2607142857142857,53.8,8.3,0.0,25.8,21.6,17.5,2.8,84.0,189.9,17.4,22.9
HKG,0.4,47.1,8.6,0.0,25.1,20.8,16.5,3.0,90.0,36.0,11.0,17.5
HUN,3.493333333333333,75.5,6.5,10.4,9.3,6.0,2.7,0.5,15.0,52.4,12.5,8.3
ISL,16.349999999999998,74.0,5.5,25.2,0.7,-2.1,-4.9,0.2,6.0,98.1,17.2,4.6
IND,0.1855555555555556,24.1,13.1,2.1,26.4,19.8,13.3,3.0,90.0,16.7,1.0,14.7
IDN,1.882882882882883,65.8,9.6,0.0,31.6,26.7,22.0,3.7,111.0,209.0,17.1,27.8
IRN,0.2681818181818182,40.2,13.4,7.5,19.0,12.3,5.6,2.2,66.0,17.7,4.5,7.3
IRQ,0.3743589743589744,34.8,13.7,1.5,22.8,15.9,9.1,2.6,78.0,29.2,5.1,9.9
IRL,6.257142857142857,73.9,6.2,5.6,11.1,8.0,4.9,0.7,21.0,131.4,21.6,9.3
ISR,0.5666666666666667,33.8,11.6,0.2,22.1,16.3,10.5,2.3,69.0,39.1,6.4,11.9
