Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.00817810086324398,24.1,15.2,0.8,31.2,23.6,16.0,7.1,220.1,1.8,1.0,8.5
ALB,0.11511701454775458,28.7,12.9,0.0,28.1,21.7,15.3,5.1,158.1,18.2,3.1,16.2
DZA,0.006628369421122404,37.3,15.1,0.0,39.7,32.2,24.6,7.3,226.3,1.5,0.8,12.2
AND,0.13911290322580644,41.3,13.1,0.0,23.7,17.1,10.6,4.8,148.8,20.7,5.4,11.0
AGO,0.0030241935483870967,43.2,16.7,0.8,26.6,18.2,9.9,3.2,99.2,0.3,0.0,10.6
ATG,0.9556451612903224,58.8,8.0,0.0,29.7,25.7,21.7,4.8,148.8,142.2,14.7,25.1
ARG,0.4267990074441688,47.9,11.8,16.7,11.9,6.0,0.1,1.3,40.3,17.2,3.9,7.2
ARM,0.3912783751493429,37.5,13.3,0.0,27.7,21.0,14.4,5.4,167.4,65.5,8.1,11.5
AUS,0.2868663594470046,33.0,13.3,4.1,20.2,13.5,6.9,2.8,86.8,24.9,5.1,9.3
AUT,0.8083491461100569,60.2,9.9,0.2,21.4,16.4,11.5,3.4,105.4,85.2,13.6,14.2
AZE,0.24868035190615834,43.8,11.7,0.1,31.0,25.2,19.3,5.5,170.5,42.4,6.6,16.9
BHS,0.7687028140013727,56.3,10.0,0.0,32.0,27.1,22.1,4.7,145.7,112.0,11.2,26.7
BHR,0.0,31.6,14.0,0.0,43.6,36.6,29.6,10.0,310.0,0.0,0.0,19.3
BGD,2.95483870967742,86.9,5.1,0.0,30.2,27.6,25.1,3.0,93.0,274.8,14.1,31.6
BRB,1.8306451612903225,60.0,6.8,0.0,29.4,26.0,22.6,4.0,124.0,227.0,20.0,27.8
BLR,0.664516129032258,56.2,10.0,0.0,22.5,17.5,12.5,3.5,108.5,72.1,13.9,15.0
BEL,0.4940991345397325,66.9,11.0,0.0,25.0,19.5,14.0,4.1,127.1,62.8,13.6,15.0
BLZ,1.5558312655086848,59.8,8.0,0.0,30.5,26.4,22.5,3.9,120.9,188.1,18.7,29.5
BEN,1.5302419354838708,80.2,9.0,0.0,29.8,25.3,20.8,3.2,99.2,151.8,14.5,25.2
BTN,2.345430107526881,86.5,8.5,3.3,18.2,13.9,9.7,2.4,74.4,174.5,15.8,13.2
BOL,0.14076246334310852,44.0,14.6,5.5,24.9,17.6,10.3,3.3,102.3,14.4,2.1,14.4
BIH,0.3819648093841642,41.0,12.1,0.0,26.5,20.4,14.3,4.4,136.4,52.1,8.8,15.6
BWA,0.01478494623655914,25.1,18.9,5.8,23.9,14.5,5.0,2.4,74.4,1.1,0.0,10.2
BRA,0.5838709677419355,56.2,12.0,0.2,28.3,22.2,16.2,3.0,93.0,54.3,9.9,21.0
BRN,2.301768990634756,71.1,8.3,0.0,30.9,26.8,22.6,3.1,96.1,221.2,16.9,29.1
BGR,0.4783802333562114,40.1,14.0,0.0,28.3,21.3,14.3,4.7,145.7,69.7,7.7,16.9
BFA,1.219354838709677,48.4,10.3,0.0,32.0,26.8,21.7,4.5,139.5,170.1,13.3,25.0
BDI,0.04007820136852395,53.8,14.1,0.1,25.4,18.3,11.3,3.3,102.3,4.1,2.5,15.3
CPV,0.2130532633158289,51.4,6.2,0.0,27.4,24.3,21.2,4.3,133.3,28.4,1.2,23.0
KHM,2.6818687430478305,84.1,7.2,0.0,29.9,26.3,22.7,2.9,89.9,241.1,17.3,29.6
CMR,2.2219354838709675,86.5,8.4,0.0,27.1,22.9,18.7,2.5,77.5,172.2,16.1,23.7
CAN,0.6763440860215053,62.8,11.1,5.5,17.3,11.7,6.2,3.0,93.0,62.9,11.0,10.3
CAF,2.658064516129032,66.5,9.7,0.0,28.3,23.4,18.6,3.0,93.0,247.2,15.9,24.2
TCD,0.4751230180426463,36.7,13.6,0.0,35.4,28.6,21.9,5.9,182.9,86.9,11.2,19.2
CHL,1.6801075268817205,48.5,8.4,19.0,7.2,3.0,-1.3,1.2,37.2,62.5,4.2,5.4
CHN,0.9185483870967742,66.3,11.6,3.3,25.4,19.5,13.7,4.0,124.0,113.9,14.1,15.4
COL,2.9032258064516134,74.8,9.2,0.1,27.8,23.1,18.6,3.0,93.0,270.0,19.7,24.3
COM,0.4969278033794163,41.6,8.7,0.0,29.0,24.7,20.3,4.2,130.2,64.7,5.0,21.3
COG,0.39483870967741935,78.0,8.9,0.0,27.6,23.1,18.7,2.5,77.5,30.6,3.2,22.9
COD,0.8387096774193549,63.1,11.9,0.0,28.6,22.6,16.7,3.0,93.0,78.0,5.4,20.5
CRI,2.3700189753320684,60.2,9.5,0.0,29.3,24.5,19.8,3.4,105.4,249.8,19.3,27.4
CIV,1.894862604540024,88.7,7.4,0.0,29.3,25.6,21.9,2.7,83.7,158.6,15.2,26.3
HRV,0.31231671554252194,41.2,12.0,0.0,27.2,21.2,15.2,4.4,136.4,42.6,9.0,17.1
CUB,0.943548387096774,55.2,9.4,0.0,31.5,26.8,22.1,4.4,136.4,128.7,11.6,28.1
CYP,0.0,22.4,11.6,0.0,32.4,26.6,20.8,6.6,204.6,0.0,0.0,18.8
CZE,0.4540942928039702,64.5,11.0,0.0,23.6,18.0,12.6,3.9,120.9,54.9,12.9,14.3
DNK,0.6202764976958525,61.1,8.4,0.0,21.1,16.9,12.7,3.5,108.5,67.3,13.8,14.4
DJI,0.10865874363327674,50.8,11.0,0.0,37.2,31.7,26.2,5.7,176.7,19.2,3.6,29.3
DMA,2.6460331299040982,60.7,7.5,0.0,26.1,22.4,18.6,3.7,114.7,303.5,20.4,22.2
DOM,0.8888888888888888,55.8,10.4,0.0,30.0,24.8,19.6,4.5,139.5,124.0,14.2,23.3
ECU,0.13940092165898618,77.7,12.3,1.6,26.0,19.9,13.8,2.8,86.8,12.1,5.4,19.5
EGY,0.01061120543293718,25.4,14.8,0.0,36.1,28.7,21.3,7.6,235.6,2.5,0.1,14.4
SLV,1.654163540885221,49.9,11.0,0.0,30.4,24.8,19.3,4.3,133.3,220.5,21.2,24.3
GNQ,0.32538569424964936,90.5,7.1,0.0,26.8,23.2,19.7,2.3,71.3,23.2,6.6,24.5
ERI,0.7634408602150536,52.4,11.2,0.0,32.1,26.5,21.0,4.8,148.8,113.6,6.2,22.6
EST,0.4919354838709677,60.3,8.3,0.0,20.6,16.5,12.4,3.2,99.2,48.8,11.8,14.7
ETH,0.9328683522231908,64.2,10.6,0.1,26.9,21.5,16.2,3.7,114.7,107.0,7.1,18.7
FJI,1.5574193548387096,61.3,5.1,0.0,24.9,22.3,19.8,2.5,77.5,120.7,20.7,22.1
FIN,0.5733610822060354,65.6,9.2,0.1,19.7,15.1,10.5,3.1,96.1,55.1,13.9,12.5
FRA,0.2601683029453016,49.2,11.7,0.0,26.1,20.2,14.4,4.6,142.6,37.1,8.3,15.6
GAB,0.12442396313364056,93.3,7.5,0.0,26.8,23.1,19.4,2.1,65.1,8.1,2.1,23.4
GMB,1.5326164874551973,50.8,9.6,0.0,33.0,28.2,23.5,4.5,139.5,213.8,16.9,26.9
GEO,0.8855606758832566,50.4,11.4,1.0,23.6,17.9,12.2,4.2,130.2,115.3,12.1,12.8
DEU,0.4770797962648558,65.3,10.4,0.0,23.9,18.7,13.5,3.8,117.8,56.2,14.0,14.6
GHA,1.4170506912442398,84.2,7.1,0.0,29.1,25.6,22.1,2.8,86.8,123.0,16.5,26.3
GRC,0.06068890103881903,17.2,11.8,0.0,30.2,24.3,18.4,5.9,182.9,11.1,1.4,16.9
GRD,1.1193548387096774,60.0,7.1,0.0,30.2,26.6,23.1,4.0,124.0,138.8,16.5,28.3
GTM,2.2130730050933787,57.9,9.6,0.0,29.0,24.1,19.3,3.8,117.8,260.7,20.1,25.5
GIN,2.8856304985337244,72.8,8.9,0.0,29.4,25.0,20.6,3.3,102.3,295.2,20.8,24.3
GNB,3.022071307300509,58.9,7.6,0.0,30.3,26.5,22.7,3.8,117.8,356.0,19.6,26.9
GUY,1.2039848197343452,65.1,8.4,0.0,29.8,25.6,21.4,3.4,105.4,126.9,17.0,25.1
HTI,0.5030885380919699,53.8,10.8,0.0,30.8,25.4,20.0,4.7,145.7,73.3,10.8,23.2
HND,1.9236821400472068,52.8,8.4,0.0,28.2,24.0,19.8,4.1,127.1,244.5,20.8,24.8
