Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.02794117647058824,28.9,16.2,1.0,30.6,22.5,14.5,6.8,204.0,5.7,3.1,7.4
ALB,0.2404761904761905,43.0,13.3,0.2,24.4,17.8,11.2,4.2,126.0,30.3,7.1,14.0
DZA,0.004285714285714286,39.8,14.7,0.0,37.3,29.9,22.6,7.0,210.0,0.9,0.5,11.1
AND,1.6737373737373735,55.0,10.3,2.2,17.1,11.9,6.8,3.3,99.0,165.7,17.5,10.1
AGO,0.00967741935483871,40.9,16.4,1.1,26.3,18.1,9.9,3.1,93.0,0.9,0.1,10.9
ATG,1.8496296296296293,62.5,6.0,0.0,29.5,26.4,23.4,4.5,135.0,249.7,17.2,26.9
ARG,0.6309523809523809,55.5,11.0,11.0,14.0,8.5,3.0,1.4,42.0,26.5,4.2,8.5
ARM,0.26122448979591834,40.7,14.4,0.4,24.9,17.7,10.5,4.9,147.0,38.4,8.1,9.5
AUS,0.2950617283950617,33.8,12.9,3.2,21.1,14.7,8.3,2.7,81.0,23.9,4.9,10.3
AUT,0.9321839080459771,65.9,9.7,2.6,17.3,12.4,7.6,2.9,87.0,81.1,14.1,11.0
AZE,0.16477987421383647,44.7,12.9,0.4,28.9,22.4,16.0,5.3,159.0,26.2,5.5,14.5
BHS,1.393333333333333,61.6,9.3,0.0,31.5,26.8,22.2,4.5,135.0,188.1,12.2,26.5
BHR,0.0,26.1,14.8,0.0,42.1,34.7,27.3,10.9,327.0,0.0,0.0,18.4
BGD,7.8202020202020215,82.2,5.7,0.0,30.8,27.9,25.1,3.3,99.0,774.2,17.7,31.3
BRB,1.869767441860465,65.0,6.9,0.0,30.1,26.7,23.3,4.3,129.0,241.2,20.6,27.3
BLR,0.9379629629629628,56.8,10.0,0.0,21.0,16.0,11.0,3.6,108.0,101.3,16.0,12.7
BEL,0.4284313725490197,67.3,10.9,0.0,21.0,15.5,10.1,3.4,102.0,43.7,11.8,13.0
BLZ,1.923931623931624,61.3,8.3,0.0,30.7,26.6,22.5,3.9,117.0,225.1,18.7,29.9
BEN,1.3558558558558558,76.6,10.7,0.0,32.5,27.1,21.8,3.7,111.0,150.5,12.8,25.5
BTN,4.629761904761905,75.7,9.5,4.1,18.4,13.6,8.9,2.8,84.0,388.9,16.8,12.3
BOL,0.17701149425287355,50.4,13.4,5.0,25.0,18.3,11.6,2.9,87.0,15.4,2.6,16.4
BIH,0.6666666666666666,54.9,11.6,0.2,22.2,16.4,10.6,3.7,111.0,74.0,12.0,12.7
BWA,0.0,28.5,18.0,5.2,23.2,14.2,5.2,2.2,66.0,0.0,0.0,10.5
BRA,0.9154761904761906,60.7,11.3,0.0,29.1,23.5,17.9,2.8,84.0,76.9,11.9,23.1
BRN,3.0416666666666665,71.5,8.4,0.0,31.6,27.4,23.3,3.2,96.0,292.0,19.0,29.8
BGR,0.6825,55.7,12.7,0.1,25.0,18.7,12.4,4.0,120.0,81.9,10.6,15.1
BFA,0.4763636363636363,42.0,12.4,0.0,36.0,29.8,23.6,5.5,165.0,78.6,8.6,24.1
BDI,0.1022222222222222,59.1,12.9,0.0,25.0,18.6,12.1,3.0,90.0,9.2,2.5,16.1
CPV,0.1608695652173913,47.6,6.9,0.0,27.6,24.2,20.7,4.6,138.0,22.2,4.1,21.9
KHM,1.7771428571428571,76.9,8.0,0.0,32.4,28.4,24.4,3.5,105.0,186.6,15.6,30.5
CMR,1.9211111111111112,78.0,9.2,0.0,29.5,24.9,20.3,3.0,90.0,172.9,15.7,24.2
CAN,0.675,65.9,10.2,10.0,13.8,8.6,3.6,2.8,84.0,56.7,10.1,8.5
CAF,1.1519607843137254,56.5,10.5,0.0,30.1,24.9,19.6,3.4,102.0,117.5,10.2,24.0
TCD,0.1264705882352941,32.5,15.9,0.0,39.0,31.0,23.1,6.8,204.0,25.8,3.0,16.3
CHL,3.458974358974359,50.6,8.5,15.0,9.2,4.9,0.7,1.3,39.0,134.9,6.3,6.1
CHN,0.8682926829268293,64.2,11.9,4.2,23.7,17.7,11.8,4.1,123.0,106.8,13.0,13.1
COL,3.2654320987654315,83.7,7.6,0.0,27.7,23.8,20.1,2.7,81.0,264.5,22.4,25.8
COM,0.3786324786324786,43.6,8.4,0.0,28.7,24.5,20.3,3.9,117.0,44.3,2.7,21.6
COG,0.8506666666666667,76.3,9.1,0.0,28.5,23.9,19.4,2.5,75.0,63.8,5.6,24.2
COD,0.7311111111111109,60.9,11.9,0.0,29.1,23.1,17.2,3.0,90.0,65.8,5.4,21.0
CRI,3.368627450980392,59.7,9.5,0.0,29.3,24.5,19.7,3.4,102.0,343.6,18.7,26.9
