Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,1.0141935483870967,56.0,9.9,15.1,10.5,5.5,0.6,2.5,77.5,78.6,12.4,4.3
ALB,0.5842293906810037,47.3,9.9,15.5,10.8,5.8,0.8,1.8,55.8,32.6,8.6,6.9
DZA,0.1245311327831958,37.4,13.7,0.6,24.7,17.9,11.0,4.3,133.3,16.6,3.1,7.0
AND,2.043010752688172,60.2,9.3,20.3,8.5,3.8,-0.9,1.8,55.8,114.0,13.6,5.5
AGO,1.4068678459937565,76.1,10.9,0.0,28.5,23.1,17.6,3.1,96.1,135.2,11.9,21.1
ATG,0.8183730715287518,50.0,7.7,0.0,28.1,24.2,20.3,4.6,142.6,116.7,13.2,21.8
ARG,0.7270471464019851,44.4,13.5,2.2,24.4,17.6,10.9,3.9,120.9,87.9,8.9,13.1
ARM,1.311827956989247,71.6,7.9,28.2,0.1,-3.8,-7.8,1.2,37.2,48.8,15.5,2.3
AUS,0.3067160232681121,31.0,14.1,0.0,33.2,26.1,19.1,6.1,189.1,58.0,5.6,16.2
AUT,0.7439516129032258,48.5,10.0,20.9,8.5,3.5,-1.5,1.6,49.6,36.9,10.7,5.5
AZE,1.564516129032258,77.1,7.4,21.3,4.7,1.1,-2.6,1.2,37.2,58.2,13.8,5.2
BHS,1.0165425971877584,54.1,10.9,0.0,28.0,22.5,17.1,3.9,120.9,122.9,9.4,19.7
BHR,0.06649111257406187,42.8,12.3,0.0,26.2,20.0,13.9,4.9,151.9,10.1,6.2,13.3
BGD,0.5194375516956161,44.1,11.0,0.0,29.9,24.4,18.9,3.9,120.9,62.8,3.1,20.0
BRB,0.7026647966339411,51.3,7.9,0.0,28.8,24.8,20.8,4.6,142.6,100.2,12.9,22.3
BLR,0.5,65.4,8.8,24.9,5.1,0.7,-3.7,1.2,37.2,18.6,10.1,4.5
BEL,0.49641577060931896,71.8,10.2,12.7,12.2,7.0,2.0,1.8,55.8,27.7,11.4,7.1
BLZ,1.0110356536502547,49.5,10.0,0.0,28.8,23.8,18.8,3.8,117.8,119.1,11.2,24.7
BEN,0.22394540942928046,66.1,12.9,0.0,36.7,30.3,23.9,5.2,161.2,36.1,3.7,19.3
BTN,0.6881720430107527,47.1,12.3,18.9,9.7,3.6,-2.6,2.1,65.1,44.8,4.2,5.6
BOL,1.3852534562211982,69.3,10.6,1.5,27.7,22.4,17.1,3.5,108.5,150.3,12.9,21.7
BIH,0.5143369175627239,41.5,11.0,16.9,11.4,5.9,0.4,1.8,55.8,28.7,8.9,6.4
BWA,0.5580645161290323,46.2,13.2,0.0,30.7,24.0,17.4,4.0,124.0,69.2,7.9,21.1
BRA,2.782795698924731,80.6,9.5,0.0,30.0,25.2,20.5,3.0,93.0,258.8,25.2,26.4
BRN,3.4749103942652333,62.3,7.9,0.0,30.8,26.8,22.9,3.6,111.6,387.8,20.1,29.7
BGR,0.16129032258064518,67.9,9.9,22.0,8.1,3.1,-1.9,1.3,40.3,6.5,3.9,6.2
BFA,0.05515088449531738,32.4,15.1,0.0,38.2,30.7,23.1,6.2,192.2,10.6,2.4,11.6
BDI,1.5244922341696534,85.0,11.4,0.0,25.0,19.2,13.5,2.7,83.7,127.6,19.6,18.1
CPV,0.07757296466973887,36.6,8.5,0.0,24.7,20.4,16.2,4.2,130.2,10.1,2.6,16.7
KHM,0.5225806451612903,51.5,13.4,0.0,34.5,27.8,21.1,4.5,139.5,72.9,5.0,26.0
CMR,0.7380952380952381,62.0,12.5,0.0,32.7,26.5,20.3,4.2,130.2,96.1,9.0,19.7
CAN,3.354838709677419,53.1,11.6,30.8,-13.4,-19.2,-25.0,0.3,9.3,31.2,7.5,1.5
CAF,0.4228611500701262,39.3,15.0,0.0,34.1,26.5,19.1,4.6,142.6,60.3,6.4,18.2
TCD,0.009286412512218964,23.1,17.8,0.1,34.3,25.4,16.5,6.6,204.6,1.9,0.4,8.3
CHL,0.7908787541713014,46.8,10.1,6.7,15.5,10.4,5.3,2.9,89.9,71.1,6.4,8.3
CHN,0.5016129032258064,54.2,12.6,20.4,8.0,1.7,-4.6,2.0,62.0,31.1,7.1,4.9
COL,1.3270609318996416,70.8,11.1,0.1,29.9,24.4,18.8,3.6,111.6,148.1,13.6,23.3
COM,0.9433304272013948,64.8,7.3,0.0,30.5,26.8,23.2,3.7,114.7,108.2,12.4,29.1
COG,1.4942767950052032,75.5,10.4,0.0,30.7,25.5,20.3,3.1,96.1,143.6,12.6,25.7
COD,1.5421436004162332,77.9,10.9,0.0,29.8,24.3,18.9,3.1,96.1,148.2,13.4,23.5
CRI,0.4610542879622345,45.5,11.8,0.0,30.2,24.3,18.4,4.1,127.1,58.6,4.6,25.3
CIV,0.7694728560188828,62.2,11.4,0.0,34.1,28.4,22.7,4.1,127.1,97.8,8.3,24.4
HRV,0.7792869269949066,39.3,10.8,12.8,12.8,7.4,2.0,1.9,58.9,45.9,10.0,7.1
CUB,0.6088709677419355,49.2,10.7,0.0,28.9,23.5,18.1,4.0,124.0,75.5,6.4,21.8
CYP,1.898617511520737,51.3,9.4,5.5,14.5,9.8,5.1,2.1,65.1,123.6,11.9,9.5
CZE,0.4478178368121442,62.4,10.5,20.0,9.7,4.5,-0.8,1.7,52.7,23.6,10.2,5.9
DNK,0.6451612903225806,69.2,7.7,16.4,8.3,4.4,0.6,1.1,34.1,22.0,10.4,6.9
DJI,0.01459293394777266,39.7,9.7,0.0,29.4,24.5,19.6,4.2,130.2,1.9,0.7,24.5
DMA,1.7079337401918049,50.0,7.5,0.0,24.1,20.4,16.6,3.7,114.7,195.9,15.3,18.8
DOM,0.5310778914240756,48.6,10.2,0.0,28.0,22.8,17.8,4.1,127.1,67.5,10.0,20.2
ECU,3.1058467741935485,80.6,13.3,0.5,30.7,24.0,17.4,3.2,99.2,308.1,24.7,25.9
EGY,0.04698457223001403,34.7,15.0,1.4,23.2,15.7,8.2,4.6,142.6,6.7,1.3,7.5
SLV,0.19832735961768225,30.1,14.9,0.0,31.4,24.0,16.6,5.4,167.4,33.2,6.4,18.7
GNQ,2.3454734651404787,76.5,8.8,0.0,29.8,25.4,21.1,3.1,96.1,225.4,16.1,27.4
ERI,0.020161290322580645,25.8,14.3,0.0,29.7,22.5,15.4,4.8,148.8,3.0,1.0,16.7
EST,0.7129032258064517,71.2,7.6,24.4,4.4,0.6,-3.3,1.0,31.0,22.1,11.3,4.7
ETH,0.11324639670555935,36.7,14.6,0.2,29.7,22.4,15.1,4.7,145.7,16.5,3.1,15.4
FJI,2.327188940092166,75.8,6.8,0.0,29.8,26.3,23.0,3.5,108.5,252.5,15.4,27.3
FIN,0.8548387096774193,67.5,9.3,27.7,2.4,-2.3,-6.9,0.8,24.8,21.2,13.0,3.8
FRA,0.4903225806451613,65.0,10.2,10.3,13.1,8.0,2.9,2.0,62.0,30.4,9.9,7.5
GAB,2.2402669632925467,82.6,9.4,0.0,30.9,26.2,21.5,2.9,89.9,201.4,14.7,27.5
GMB,0.0,21.7,18.5,0.0,36.8,27.5,18.3,5.9,182.9,0.0,0.0,13.4
GEO,1.208436724565757,72.4,8.0,26.6,-0.2,-4.2,-8.3,1.3,40.3,48.7,13.8,2.5
DEU,0.41935483870967744,68.5,10.0,15.6,10.9,5.9,0.9,1.5,46.5,19.5,9.8,6.8
GHA,0.657624633431085,61.0,11.0,0.0,34.9,29.4,23.9,4.4,136.4,89.7,10.2,23.0
GRC,0.8763440860215054,49.4,9.0,9.9,12.3,7.8,3.3,1.8,55.8,48.9,7.5,8.4
GRD,0.44946236559139785,50.0,8.3,0.0,29.5,25.3,21.2,4.5,139.5,62.7,13.8,23.2
GTM,1.2738001573564124,41.0,12.9,0.2,28.6,22.1,15.7,4.1,127.1,161.9,12.5,20.7
GIN,0.12082111436950148,40.7,14.6,0.0,35.3,28.0,20.7,5.5,170.5,20.6,2.3,17.7
GNB,0.0,22.0,15.4,0.0,35.1,27.3,19.7,5.4,167.4,0.0,0.0,18.5
GUY,3.365591397849462,63.4,8.3,0.0,29.4,25.2,21.1,3.9,120.9,406.9,24.4,23.0
HTI,0.6336405529953918,48.5,10.6,0.0,28.7,23.4,18.1,4.2,130.2,82.5,7.6,20.3
HND,0.6290322580645161,36.1,11.0,0.0,27.9,22.4,16.9,5.0,155.0,97.5,11.4,19.7
HKG,1.3672456575682383,72.9,8.0,0.0,23.5,19.5,15.5,2.6,80.6,110.2,17.1,19.4
HUN,0.2992831541218638,48.8,11.7,17.2,11.9,6.1,0.3,1.8,55.8,16.7,7.8,6.5
ISL,4.086021505376344,73.5,5.7,25.6,1.2,-1.6,-4.5,0.6,18.6,76.0,17.3,4.7
IND,0.09072580645161288,26.5,14.1,2.0,30.4,23.4,16.4,4.8,148.8,13.5,1.2,14.0
IDN,3.1100569259962048,68.0,9.2,0.0,30.1,25.5,20.9,3.4,105.4,327.8,21.2,28.2
IRN,0.8312655086848636,60.6,10.2,11.0,13.8,8.7,3.6,2.6,80.6,67.0,11.7,6.7
IRQ,0.717741935483871,49.8,11.4,5.6,16.8,11.1,5.4,2.8,86.8,62.3,9.6,8.6
IRL,0.8188585607940447,74.3,7.0,7.9,10.9,7.4,3.9,1.3,40.3,33.0,12.5,8.4
ISR,1.4516129032258065,47.1,10.1,3.2,16.5,11.4,6.4,2.5,77.5,112.5,13.3,10.1
ITA,0.9646697388632872,45.9,8.5,6.1,13.7,9.5,5.3,2.1,65.1,62.8,11.8,8.5
JAM,1.131451612903226,47.7,9.3,0.0,28.4,23.7,19.1,4.0,124.0,140.3,7.8,22.9
JPN,1.3913978494623656,64.4,9.3,20.2,7.2,2.6,-2.1,1.5,46.5,64.7,17.0,5.7
JOR,0.40524193548387105,39.8,11.8,7.5,15.9,10.0,4.1,3.2,99.2,40.2,6.8,6.9
KAZ,0.41935483870967744,58.3,10.1,29.6,-1.9,-6.9,-12.0,0.8,24.8,10.4,6.2,3.0
KEN,0.13156230234029095,60.7,12.8,0.0,32.6,26.2,19.8,5.1,158.1,20.8,5.4,20.9
KIR,,73.1,5.7,0.0,31.3,28.4,25.6,,,180.2,20.3,29.3
PRK,0.5286738351254481,39.7,10.8,26.7,4.5,-0.9,-6.4,1.8,55.8,29.5,7.6,3.3
KOR,1.0,51.7,10.5,17.6,10.5,5.2,-0.0,2.0,62.0,62.0,9.6,5.9
KWT,0.3902439024390244,46.9,12.3,0.0,23.2,17.0,10.9,4.1,127.1,49.6,9.5,11.1
KGZ,2.0719602977667497,66.5,9.1,29.5,-2.3,-6.8,-11.4,1.3,40.3,83.5,15.5,1.2
LAO,0.5259856630824373,56.5,12.8,0.0,29.3,22.8,16.5,3.6,111.6,58.7,6.6,20.7
LVA,0.5190615835777126,72.7,7.7,23.4,5.2,1.3,-2.6,1.1,34.1,17.7,10.5,4.8
LBN,2.3776091081593926,54.4,9.1,10.2,12.2,7.6,3.1,1.7,52.7,125.3,12.5,8.9
LSO,1.1258064516129032,49.5,11.8,1.2,20.3,14.4,8.6,3.0,93.0,104.7,14.7,10.8
LBR,0.9718775847808104,63.4,12.0,0.0,32.8,26.8,20.8,3.9,120.9,117.5,7.9,25.3
LBY,0.038841342988808425,27.9,15.3,0.4,24.8,17.1,9.5,4.9,151.9,5.9,1.5,7.8
LIE,1.568238213399504,59.1,8.3,19.8,7.7,3.5,-0.7,1.3,40.3,63.2,12.9,5.9
LTU,0.5268817204301075,73.2,7.9,22.3,6.1,2.1,-1.8,1.2,37.2,19.6,11.0,5.0
LUX,0.6863799283154122,74.7,10.7,15.5,11.7,6.3,0.9,1.8,55.8,38.3,11.4,6.4
MDG,1.4930875576036866,60.8,8.4,0.0,28.6,24.3,20.1,3.5,108.5,162.0,17.1,24.8
MWI,1.6088709677419353,71.8,9.0,0.0,27.6,23.0,18.6,3.2,99.2,159.6,13.5,22.9
