Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.17457305502846301,22.2,17.7,10.5,21.0,12.1,3.3,3.4,105.4,18.4,2.8,3.6
ALB,1.2401433691756274,49.9,9.2,1.1,19.0,14.4,9.8,1.8,55.8,69.2,8.8,12.4
DZA,0.08627156789197299,35.0,13.1,0.0,29.8,23.2,16.6,4.3,133.3,11.5,2.7,9.7
AND,3.245967741935484,58.8,8.7,5.6,13.6,9.2,4.9,1.6,49.6,161.0,16.3,8.8
AGO,0.3414634146341464,67.5,13.4,0.0,31.5,24.8,18.1,4.1,127.1,43.4,5.0,17.7
ATG,2.140916808149406,57.5,7.0,0.0,30.3,26.7,23.3,3.8,117.8,252.2,18.2,28.0
ARG,0.43181818181818177,48.1,14.2,3.8,23.1,15.9,8.8,4.4,136.4,58.9,6.6,10.4
ARM,1.1157495256166985,49.8,11.5,6.9,16.2,10.4,4.7,1.7,52.7,58.8,12.1,7.9
AUS,0.1250620347394541,31.6,15.1,0.3,29.9,22.3,14.8,6.5,201.5,25.2,4.3,11.7
AUT,0.31513647642679904,57.3,7.7,5.2,13.0,9.1,5.3,1.3,40.3,12.7,4.1,8.9
AZE,0.7470288624787776,55.0,9.1,3.0,18.6,14.0,9.5,1.9,58.9,44.0,8.1,11.4
BHS,1.0349462365591398,57.6,10.0,0.0,30.2,25.2,20.2,3.6,111.6,115.5,12.2,23.5
BHR,0.0,25.3,14.5,0.0,35.3,28.0,20.8,6.3,195.3,0.0,0.0,16.2
BGD,0.6754032258064516,47.0,8.0,0.0,31.0,27.0,23.0,3.2,99.2,67.0,4.9,27.2
BRB,1.6512641673931996,56.3,7.4,0.0,30.4,26.7,23.0,3.7,114.7,189.4,14.6,28.4
BLR,0.4967741935483871,71.7,7.5,7.0,11.8,8.0,4.3,1.0,31.0,15.4,7.5,8.6
BEL,0.6129032258064516,72.6,8.9,2.1,16.0,11.5,7.1,1.4,43.4,26.6,11.1,10.8
BLZ,4.542825361512792,62.8,6.9,0.0,28.5,25.1,21.6,2.9,89.9,408.4,25.3,28.4
BEN,0.7697132616487457,69.8,11.1,0.0,33.0,27.5,21.9,3.6,111.6,85.9,9.0,25.9
BTN,0.313782991202346,40.5,13.7,13.2,15.8,8.9,2.0,2.2,68.2,21.4,2.3,8.0
BOL,0.566532258064516,63.6,13.5,2.3,30.3,23.5,16.8,4.8,148.8,84.3,6.7,19.1
BIH,0.8830645161290321,55.1,9.4,1.7,17.2,12.5,7.9,1.6,49.6,43.8,8.8,10.7
BWA,0.1495601173020528,42.1,16.7,0.0,34.1,25.7,17.4,5.5,170.5,25.5,4.3,15.6
BRA,1.0124069478908189,70.6,11.0,0.0,31.6,26.1,20.6,3.9,120.9,122.4,13.9,25.3
BRN,4.161290322580645,75.7,8.0,0.0,30.9,26.9,22.9,3.0,93.0,387.0,24.1,30.0
BGR,0.9193548387096774,54.3,8.9,1.2,17.5,13.0,8.5,1.6,49.6,45.6,6.4,11.8
BFA,0.36734693877551017,29.3,13.3,0.0,35.7,29.0,22.4,4.9,151.9,55.8,7.3,23.6
BDI,0.6442125237191652,72.9,12.9,0.0,26.7,20.3,13.8,3.4,105.4,67.9,14.3,17.0
CPV,0.5414746543778802,43.5,7.3,0.0,29.1,25.4,21.7,4.2,130.2,70.5,5.9,24.4
KHM,1.733036707452725,70.2,6.8,0.0,30.1,26.7,23.3,2.9,89.9,155.8,11.7,32.0
CMR,2.508844953173777,75.8,10.3,0.0,29.9,24.7,19.6,3.1,96.1,241.1,19.0,23.5
CAN,1.8847926267281103,68.4,8.0,22.7,3.7,-0.3,-4.3,0.7,21.7,40.9,9.1,5.2
CAF,1.932637571157495,53.5,11.4,0.0,30.1,24.4,18.7,3.4,105.4,203.7,14.3,23.8
TCD,0.12575177692728268,20.3,15.0,0.0,34.8,27.3,19.8,5.9,182.9,23.0,2.9,14.8
CHL,0.4464099895941728,47.7,10.5,10.3,13.8,8.5,3.3,3.1,96.1,42.9,3.3,7.0
CHN,0.3824884792626728,43.5,13.5,14.9,15.3,8.5,1.7,2.1,65.1,24.9,5.7,7.7
COL,2.776148582600196,73.3,10.2,0.1,29.9,24.7,19.6,3.3,102.3,284.0,19.6,25.1
COM,0.17069892473118278,45.3,8.3,0.0,29.1,25.0,20.9,4.8,148.8,25.4,4.1,22.8
COG,1.93778801843318,80.9,9.1,0.0,29.5,25.0,20.4,2.8,86.8,168.2,14.5,25.4
COD,1.0733137829912025,72.0,11.0,0.0,30.0,24.5,19.0,3.3,102.3,109.8,10.4,23.0
CRI,4.5935483870967735,61.6,9.5,0.0,28.4,23.6,18.8,3.0,93.0,427.2,21.5,26.4
CIV,1.9828629032258065,70.3,9.5,0.0,31.0,26.2,21.4,3.2,99.2,196.7,17.1,26.1
HRV,1.3649193548387095,55.9,9.2,1.1,18.2,13.6,9.0,1.6,49.6,67.7,9.9,11.6
CUB,2.0201612903225805,58.5,9.2,0.0,29.9,25.3,20.7,3.2,99.2,200.4,15.8,26.4
CYP,0.4256272401433692,33.1,9.3,0.0,27.2,22.6,17.9,3.6,111.6,47.5,6.6,15.9
CZE,0.10282258064516127,71.4,9.4,5.5,14.4,9.7,5.0,1.6,49.6,5.1,3.6,8.9
DNK,1.9274193548387093,72.9,5.9,2.3,12.8,9.9,6.9,0.8,24.8,47.8,13.1,10.9
DJI,0.1039426523297491,35.6,9.4,0.0,31.6,26.9,22.2,4.5,139.5,14.5,3.0,26.2
DMA,3.867511520737328,57.5,6.8,0.0,26.4,23.0,19.6,2.8,86.8,335.7,17.8,25.4
DOM,2.0020811654526542,64.2,8.8,0.0,29.6,25.2,20.8,3.1,96.1,192.4,17.7,26.1
ECU,1.1720430107526882,77.9,14.2,0.9,29.9,22.8,15.8,3.6,111.6,130.8,12.2,21.6
EGY,0.026392961876832845,25.0,14.0,0.0,33.3,26.3,19.4,5.5,170.5,4.5,1.2,15.2
SLV,3.358870967741935,57.6,9.5,0.0,27.7,22.9,18.2,3.2,99.2,333.2,27.8,23.8
GNQ,4.369032258064516,91.5,7.7,0.0,28.6,24.8,21.0,2.5,77.5,338.6,21.7,26.5
ERI,0.08415147265077139,25.4,12.0,0.0,30.8,24.7,18.7,4.6,142.6,12.0,2.8,20.4
EST,1.817204301075269,80.4,4.9,3.8,10.8,8.4,5.9,0.9,27.9,50.7,14.4,9.0
ETH,0.3093465674110835,44.4,12.9,0.2,27.9,21.4,15.0,3.9,120.9,37.4,5.0,17.3
