Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.20533498759305213,39.7,14.0,2.8,25.1,18.1,11.2,5.2,161.2,33.1,6.4,7.8
ALB,1.0928641251221896,57.0,10.5,1.5,19.4,14.1,8.9,3.3,102.3,111.8,13.4,11.1
DZA,0.040694789081885854,40.5,13.8,0.0,34.0,27.1,20.2,6.5,201.5,8.2,2.3,9.9
AND,0.6219758064516129,56.0,11.1,3.6,17.1,11.5,6.0,3.2,99.2,61.7,13.4,9.5
AGO,0.21505376344086025,55.9,14.1,0.0,27.9,20.8,13.8,3.0,93.0,20.0,2.7,16.2
ATG,0.9827956989247312,60.8,6.8,0.0,29.0,25.6,22.3,4.5,139.5,137.1,12.3,25.3
ARG,0.7470288624787776,50.8,12.0,7.3,17.7,11.7,5.7,1.9,58.9,44.0,5.6,10.1
ARM,0.6112054329371817,51.6,13.8,5.0,19.4,12.6,5.7,3.8,117.8,72.0,13.0,6.9
AUS,0.27229601518026564,31.1,13.7,0.8,24.3,17.4,10.5,3.4,105.4,28.7,4.5,11.1
AUT,1.0634037819799775,48.0,10.4,5.9,15.5,10.3,5.1,2.9,89.9,95.6,15.3,9.3
AZE,0.2872503840245776,49.4,13.5,2.3,23.5,16.8,10.1,4.2,130.2,37.4,8.1,10.7
BHS,0.6559139784946236,61.7,10.0,0.0,31.1,26.1,21.1,4.5,139.5,91.5,8.1,24.9
BHR,0.0,30.4,16.7,0.0,40.8,32.4,24.1,9.7,300.7,0.0,0.0,17.1
BGD,2.836349331235248,62.3,8.4,0.0,32.0,27.7,23.6,4.1,127.1,360.5,12.6,28.3
BRB,1.4133533383345835,60.8,7.2,0.0,29.6,26.0,22.4,4.3,133.3,188.4,16.7,26.1
BLR,0.6827956989247311,56.1,10.6,2.2,17.5,12.2,6.9,3.0,93.0,63.5,14.1,10.0
BEL,0.4297912713472485,52.8,11.7,1.2,19.5,13.6,7.8,3.4,105.4,45.3,13.1,11.1
BLZ,1.7227342549923197,54.4,7.7,0.0,31.0,27.1,23.3,4.2,130.2,224.3,12.1,30.2
BEN,1.4433608402100524,70.9,10.1,0.0,33.2,28.2,23.1,4.3,133.3,192.4,13.2,25.3
BTN,1.4949944382647389,59.3,11.9,8.9,16.9,10.9,5.0,2.9,89.9,134.4,10.5,9.8
BOL,0.6193548387096774,55.1,12.7,4.4,26.0,19.6,13.3,3.0,93.0,57.6,6.6,17.6
BIH,1.4047866805411031,58.7,10.7,1.6,18.7,13.3,7.9,3.1,96.1,135.0,16.8,10.9
BWA,0.04218362282878412,30.9,17.0,0.8,26.2,17.6,9.1,2.6,80.6,3.4,1.2,13.4
BRA,1.3966547192353644,69.1,10.4,0.0,29.7,24.5,19.3,2.7,83.7,116.9,14.9,25.1
BRN,2.6854838709677415,62.9,8.8,0.0,32.3,27.9,23.5,3.6,111.6,299.7,18.7,30.4
BGR,0.8199791883454735,62.7,10.8,1.0,19.5,14.0,8.6,3.1,96.1,78.8,13.2,11.6
BFA,0.7046718576195773,37.9,11.3,0.0,36.2,30.5,24.9,5.8,179.8,126.7,9.5,22.3
BDI,1.0459057071960298,74.0,10.9,0.0,25.4,20.0,14.5,2.6,80.6,84.3,13.2,19.3
CPV,0.0070126227208976155,41.9,7.8,0.0,26.0,22.1,18.3,4.6,142.6,1.0,0.4,18.9
KHM,2.29859387923904,65.3,9.2,0.0,32.8,28.1,23.5,3.9,120.9,277.9,18.7,29.4
CMR,1.7354838709677418,69.4,9.8,0.0,30.7,25.8,20.9,3.5,108.5,188.3,16.4,25.1
CAN,0.6021505376344086,63.7,10.1,21.5,6.6,1.5,-3.5,1.8,55.8,33.6,8.1,5.7
CAF,1.475,48.4,11.3,0.0,32.1,26.4,20.8,4.0,124.0,182.9,13.5,24.9
TCD,0.2230804179918219,26.9,14.7,0.0,38.4,31.0,23.6,7.1,220.1,49.1,5.3,15.2
