Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.875,49.2,13.5,24.5,8.3,1.5,-5.3,1.6,49.6,43.4,5.2,3.4
ALB,5.838709677419355,73.8,8.0,18.8,7.0,2.9,-1.1,0.8,24.8,144.8,14.3,5.6
DZA,0.207741935483871,32.8,14.8,7.3,19.3,11.9,4.5,2.5,77.5,16.1,3.4,6.1
AND,3.7903225806451615,61.3,7.7,25.4,3.7,-0.2,-4.1,0.8,24.8,94.0,9.5,4.6
AGO,1.1827956989247312,77.8,11.6,0.0,28.8,23.0,17.2,3.3,102.3,121.0,11.0,20.3
ATG,0.7153225806451613,47.1,7.7,0.0,28.6,24.8,20.9,4.0,124.0,88.7,13.3,23.3
ARG,0.332258064516129,46.0,14.4,0.7,29.6,22.3,15.2,6.0,186.0,61.8,7.6,15.4
ARM,1.2258064516129032,63.4,10.7,29.5,0.4,-4.9,-10.2,0.6,18.6,22.8,9.3,2.8
AUS,0.4529759200363471,44.4,13.4,0.0,34.8,28.0,21.4,7.1,220.1,99.7,8.3,17.0
AUT,4.943548387096773,75.7,6.3,27.9,-0.6,-3.7,-6.9,0.4,12.4,61.3,15.1,3.8
AZE,0.7016129032258064,64.8,9.5,20.6,6.9,2.1,-2.6,0.8,24.8,17.4,7.7,5.5
BHS,0.522372528616025,47.6,11.3,0.0,27.0,21.3,15.7,3.1,96.1,50.2,6.2,17.9
BHR,0.05123339658444023,38.4,11.4,0.0,23.4,17.7,12.0,3.4,105.4,5.4,2.8,12.6
BGD,0.0,16.5,13.6,0.0,25.2,18.4,11.6,2.5,77.5,0.0,0.0,14.8
BRB,1.1587436332767402,47.0,7.6,0.0,28.8,25.0,21.2,3.8,117.8,136.5,18.3,24.3
BLR,5.903225806451613,88.2,5.3,29.7,-4.1,-6.8,-9.5,0.2,6.2,36.6,17.9,3.4
BEL,5.685483870967742,84.5,6.0,19.6,5.3,2.3,-0.7,0.4,12.4,70.5,20.3,6.4
BLZ,1.094384707287933,56.0,8.3,0.0,27.4,23.2,19.0,2.7,83.7,91.6,12.9,24.5
BEN,0.05696636925188745,58.7,15.8,0.0,34.4,26.5,18.7,4.7,145.7,8.3,1.0,13.0
BTN,0.022332506203473948,21.3,16.3,26.8,6.4,-1.8,-10.0,1.3,40.3,0.9,0.3,3.9
BOL,1.4698097601323403,72.2,11.2,1.4,28.3,22.7,17.1,3.9,120.9,177.7,15.3,22.1
BIH,5.232258064516127,81.9,6.3,24.4,2.4,-0.7,-3.9,0.5,15.5,81.1,13.7,4.9
BWA,0.2825806451612903,50.6,14.6,0.0,33.5,26.2,18.9,5.0,155.0,43.8,7.6,21.4
BRA,2.2121212121212124,79.9,9.6,0.0,30.4,25.6,20.8,3.3,102.3,226.3,24.8,26.7
BRN,2.120430107526881,72.3,6.7,0.0,30.1,26.6,23.3,3.0,93.0,197.2,16.5,29.2
