Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.4,51.2,12.5,6.3,19.2,13.0,6.8,3.9,117.0,46.8,8.4,6.3
ALB,1.1025641025641026,69.2,9.5,5.9,14.7,10.0,5.3,2.6,78.0,86.0,16.8,7.4
DZA,0.06851851851851852,43.0,14.0,0.2,29.2,22.1,15.2,5.4,162.0,11.1,2.3,8.3
AND,1.4826666666666668,68.0,9.0,12.4,10.9,6.4,1.9,2.5,75.0,111.2,13.7,5.8
AGO,0.9537634408602153,64.3,12.5,0.0,29.2,22.9,16.7,3.1,93.0,88.7,6.9,20.9
ATG,1.1800000000000002,59.1,7.2,0.0,29.5,25.8,22.3,4.5,135.0,159.3,13.2,25.4
ARG,0.9,46.7,11.7,4.5,20.4,14.5,8.7,2.6,78.0,70.2,7.2,12.1
ARM,1.1236111111111111,69.3,9.7,15.0,10.6,5.8,0.9,2.4,72.0,80.9,14.5,4.4
AUS,0.3451851851851852,39.0,13.1,0.2,28.5,21.9,15.4,4.5,135.0,46.6,5.2,13.9
AUT,1.6015873015873017,68.0,9.4,13.3,11.0,6.3,1.6,2.1,63.0,100.9,18.6,6.6
AZE,0.6373333333333333,73.2,9.9,6.6,14.7,9.7,4.7,2.5,75.0,47.8,9.5,7.5
BHS,0.7245614035087719,76.5,9.9,0.0,29.2,24.2,19.2,3.8,114.0,82.6,6.8,22.1
BHR,0.012560386473429951,41.8,12.4,0.0,33.2,27.0,20.8,6.9,207.0,2.6,2.2,17.1
BGD,1.3540740740740742,57.0,10.6,0.0,33.0,27.7,22.4,4.5,135.0,182.8,6.7,23.7
BRB,1.1318840579710143,55.0,7.4,0.0,30.0,26.3,22.6,4.6,138.0,156.2,11.0,26.2
BLR,0.39130434782608703,60.7,11.0,11.1,13.4,7.9,2.5,2.3,69.0,27.0,9.5,6.9
BEL,0.09382716049382717,57.0,11.4,7.5,15.4,9.6,4.0,2.7,81.0,7.6,5.7,7.7
BLZ,0.7742424242424243,46.4,8.4,0.0,30.2,26.0,21.9,4.4,132.0,102.2,8.6,27.9
BEN,0.4208333333333333,78.3,12.0,0.0,36.4,30.4,24.4,4.8,144.0,60.6,5.9,24.4
BTN,0.8901234567901234,71.5,13.1,13.2,14.6,8.1,1.5,2.7,81.0,72.1,4.5,6.7
BOL,0.8209523809523811,61.3,12.1,2.4,28.0,22.0,16.0,3.5,105.0,86.2,8.1,20.3
BIH,1.044,69.2,10.0,5.9,14.8,9.8,4.9,2.5,75.0,78.3,13.7,7.8
BWA,0.13548387096774192,49.0,14.3,0.0,28.7,21.5,14.3,3.1,93.0,12.6,2.2,18.2
BRA,2.4528735632183913,76.0,9.5,0.0,30.0,25.3,20.6,2.9,87.0,213.4,21.6,26.7
BRN,2.1923076923076925,52.4,8.1,0.0,31.6,27.5,23.5,3.9,117.0,256.5,18.0,30.2
BGR,0.8521739130434782,77.7,9.9,7.8,13.8,8.8,3.9,2.3,69.0,58.8,9.1,7.5
BFA,0.16878306878306878,39.4,14.0,0.0,39.1,32.1,25.2,6.3,189.0,31.9,4.3,18.7
BDI,1.649333333333333,86.4,12.0,0.0,25.7,19.7,13.7,2.5,75.0,123.7,19.9,19.1
CPV,0.07414965986394557,37.0,8.5,0.0,26.7,22.5,18.3,4.9,147.0,10.9,1.9,18.0
KHM,0.9711111111111109,56.4,9.8,0.0,33.3,28.4,23.5,4.5,135.0,131.1,9.6,27.2
CMR,1.1796747967479675,64.5,11.5,0.0,32.4,26.6,20.9,4.1,123.0,145.1,13.1,22.8
CAN,1.2266666666666666,58.0,9.9,27.4,-2.4,-7.3,-12.3,1.0,30.0,36.8,8.1,3.3
CAF,0.8545454545454545,45.3,12.4,0.0,33.1,26.9,20.7,4.4,132.0,112.8,8.7,22.2
TCD,0.04366197183098592,28.4,17.1,0.0,37.9,29.3,20.8,7.1,213.0,9.3,1.4,10.4
CHL,1.0793650793650793,41.5,9.7,9.9,13.1,8.3,3.5,2.1,63.0,68.0,5.0,7.6
CHN,0.4620689655172414,64.8,12.0,13.4,13.5,7.5,1.5,2.9,87.0,40.2,7.9,6.1
COL,2.1333333333333333,75.0,7.3,0.0,28.6,24.9,21.3,3.2,96.0,204.8,16.6,26.9
COM,1.2945945945945945,53.9,7.8,0.0,30.4,26.5,22.7,3.7,111.0,143.7,8.2,28.3
COG,1.856666666666667,74.5,10.1,0.0,30.5,25.5,20.5,3.0,90.0,167.1,13.6,26.3
COD,1.3666666666666667,73.0,11.4,0.0,30.2,24.5,18.8,3.1,93.0,127.1,12.1,24.0
CRI,0.4378787878787879,50.8,11.4,0.0,31.7,26.0,20.3,4.4,132.0,57.8,5.5,27.0
CIV,1.1166666666666667,61.8,10.4,0.0,33.6,28.4,23.2,4.0,120.0,134.0,10.3,27.8
HRV,1.1720000000000002,68.6,9.7,4.1,15.7,10.9,6.0,2.5,75.0,87.9,16.7,8.6
CUB,0.6908333333333334,62.7,9.4,0.0,29.6,24.9,20.2,4.0,120.0,82.9,6.8,24.2
CYP,0.2829059829059829,45.6,10.6,0.3,21.1,15.8,10.5,3.9,117.0,33.1,7.0,10.7
CZE,0.6333333333333333,69.9,11.5,12.0,13.6,7.8,2.1,2.5,75.0,47.5,13.2,6.9
DNK,0.2126984126984127,57.1,9.3,12.2,11.3,6.6,2.0,2.1,63.0,13.4,7.5,6.9
DJI,0.10628930817610062,37.1,6.5,0.0,32.9,29.6,26.4,5.3,159.0,16.9,1.0,30.1
DMA,2.5575757575757576,61.3,6.9,0.0,25.4,22.0,18.5,3.3,99.0,253.2,17.0,22.6
DOM,0.9418604651162792,57.4,9.5,0.0,29.6,24.8,20.1,4.3,129.0,121.5,11.0,23.2
ECU,2.4722222222222223,82.5,10.5,0.7,27.4,22.1,16.9,3.0,90.0,222.5,19.8,22.1
EGY,0.015053763440860212,42.9,16.3,0.0,29.5,21.3,13.2,6.2,186.0,2.8,1.6,8.7
SLV,0.4121212121212121,31.4,13.1,0.0,32.7,26.1,19.6,5.5,165.0,68.0,9.1,23.1
GNQ,2.955913978494624,73.3,9.0,0.0,29.8,25.3,20.8,3.1,93.0,274.9,18.8,26.7
ERI,0.09661016949152544,20.3,12.5,0.0,33.5,27.2,20.9,5.9,177.0,17.1,3.5,20.5
EST,0.4137254901960785,85.3,10.1,19.8,9.1,4.1,-1.0,1.7,51.0,21.1,9.4,5.7
ETH,0.7624113475177305,43.2,12.0,0.0,30.7,24.7,18.7,4.7,141.0,107.5,8.7,19.5
FJI,0.9485714285714284,67.1,8.0,0.0,29.9,25.8,21.8,3.5,105.0,99.6,16.7,25.6
FIN,0.7487179487179487,69.8,9.0,24.4,4.9,0.3,-4.2,1.3,39.0,29.2,13.7,4.5
FRA,0.5023809523809524,58.7,10.0,5.3,15.2,10.2,5.3,2.8,84.0,42.2,10.3,8.0
GAB,2.1095238095238096,82.2,9.3,0.0,30.8,26.1,21.5,2.8,84.0,177.2,13.7,27.4
GMB,0.0,10.1,18.2,0.0,39.0,29.9,20.8,6.8,204.0,0.0,0.0,16.4
GEO,1.1742424242424243,67.6,10.2,17.2,9.4,4.3,-0.8,2.2,66.0,77.5,12.7,5.0
DEU,0.2615384615384615,61.0,10.9,8.7,14.4,8.9,3.4,2.6,78.0,20.4,8.2,7.0
GHA,0.95,61.8,9.9,0.0,34.1,29.1,24.2,4.2,126.0,119.7,11.6,27.1
GRC,0.3964285714285714,57.5,9.5,2.4,17.0,12.2,7.4,2.8,84.0,33.3,10.6,9.3
GRD,0.3022222222222222,56.6,8.2,0.0,31.0,26.9,22.8,4.5,135.0,40.8,9.2,26.6
GTM,1.0120567375886524,38.2,11.6,0.0,30.4,24.6,18.8,4.7,141.0,142.7,9.8,24.0
GIN,0.3450617283950617,39.3,13.5,0.0,35.5,28.7,21.9,5.4,162.0,55.9,4.8,21.2
GNB,0.001075268817204301,10.7,14.8,0.0,36.6,29.1,21.7,6.2,186.0,0.2,0.3,20.7
GUY,0.6558333333333334,60.6,8.3,0.0,30.8,26.6,22.5,4.0,120.0,78.7,10.9,25.7
HTI,0.8246031746031747,58.4,9.6,0.0,29.9,25.0,20.3,4.2,126.0,103.9,8.0,23.5
HND,0.558974358974359,35.9,9.7,0.0,29.4,24.5,19.6,5.2,156.0,87.2,9.8,23.4
HKG,2.177777777777778,87.8,6.0,0.0,23.2,20.2,17.2,2.7,81.0,176.4,16.5,19.0
HUN,0.6476190476190476,63.4,12.2,5.4,17.2,11.1,5.0,2.8,84.0,54.4,12.4,8.4
ISL,2.327272727272727,75.3,5.2,19.8,4.1,1.5,-1.1,1.1,33.0,76.8,17.0,5.6
IND,0.20111111111111116,28.5,13.9,1.5,34.2,27.2,20.2,6.0,180.0,36.2,2.9,16.5
IDN,2.6352380952380954,61.6,8.8,0.0,30.9,26.4,22.1,3.5,105.0,276.7,17.6,29.2
IRN,0.2537878787878788,57.9,13.1,2.3,23.3,16.8,10.3,4.4,132.0,33.5,7.6,8.7
IRQ,0.217283950617284,44.0,13.3,0.5,27.6,20.9,14.3,5.4,162.0,35.2,6.3,10.4
IRL,1.8196078431372549,72.8,7.6,5.9,12.3,8.5,4.7,1.7,51.0,92.8,20.0,9.2
ISR,0.13571428571428573,43.1,12.7,0.1,23.6,17.3,10.9,4.2,126.0,17.1,4.2,11.6
ITA,0.9512820512820512,67.0,8.1,2.6,15.9,11.8,7.8,2.6,78.0,74.2,13.5,9.7
JAM,1.6076923076923078,60.3,7.4,0.0,29.0,25.2,21.6,3.9,117.0,188.1,9.2,26.2
JPN,1.008695652173913,64.5,9.7,10.4,12.7,7.9,3.1,2.3,69.0,69.6,11.7,7.7
JOR,0.02060606060606061,34.0,14.7,0.2,24.5,17.1,9.8,5.5,165.0,3.4,1.2,7.8
KAZ,0.2866666666666667,59.4,11.6,17.4,11.3,5.4,-0.4,2.5,75.0,21.5,6.7,5.5
KEN,0.5248062015503876,68.9,10.2,0.0,31.3,26.1,21.0,4.3,129.0,67.7,10.2,23.8
KIR,,70.8,5.1,0.0,30.8,28.2,25.7,,,86.5,16.4,30.1
PRK,0.3577777777777778,50.6,11.9,15.9,12.2,6.3,0.3,3.0,90.0,32.2,7.2,5.0
KOR,0.656989247311828,48.5,12.2,8.2,16.0,9.9,3.8,3.1,93.0,61.1,7.1,6.8
KWT,0.16613756613756614,46.8,12.3,0.0,30.7,24.6,18.4,6.3,189.0,31.4,7.0,13.6
KGZ,1.1222222222222222,63.8,10.3,22.5,6.5,1.4,-3.8,2.4,72.0,80.8,14.0,2.3
LAO,1.1359649122807018,59.4,9.3,0.0,28.2,23.5,18.9,3.8,114.0,129.5,13.4,20.7
LVA,0.34385964912280703,77.2,10.7,16.8,10.9,5.5,0.2,1.9,57.0,19.6,9.1,6.0
LBN,0.3216216216216217,47.3,11.2,1.5,20.3,14.7,9.1,3.7,111.0,35.7,6.7,10.6
LSO,0.7333333333333333,45.8,11.1,5.6,16.2,10.6,5.1,2.2,66.0,48.4,10.2,8.9
LBR,1.2517543859649125,65.0,11.4,0.0,32.4,26.7,21.0,3.8,114.0,142.7,10.3,25.6
LBY,0.012222222222222223,36.3,15.6,0.0,28.7,20.9,13.1,6.0,180.0,2.2,1.5,8.4
LIE,1.168253968253968,61.0,7.8,12.4,9.7,5.8,1.9,2.1,63.0,73.6,16.0,5.7
LTU,0.4238095238095238,69.2,11.0,14.0,12.3,6.8,1.3,2.1,63.0,26.7,9.9,6.6
LUX,0.14367816091954022,54.9,11.7,8.8,15.2,9.3,3.4,2.9,87.0,12.5,7.3,7.0
MDG,0.4525252525252525,48.6,8.9,0.0,28.3,23.8,19.4,3.3,99.0,44.8,6.8,23.5
MWI,0.8473118279569892,59.5,9.3,0.0,26.5,21.8,17.2,3.1,93.0,78.8,8.1,21.1
MYS,2.6504761904761907,60.6,8.4,0.0,30.5,26.3,22.1,3.5,105.0,278.3,18.7,29.9
MDV,,55.9,6.0,0.0,32.0,29.0,26.0,,,210.1,13.2,31.4
MLI,0.01380952380952381,41.0,15.9,0.0,38.7,30.7,22.8,7.0,210.0,2.9,1.2,10.8
MLT,,64.8,8.6,0.0,21.1,16.8,12.5,,,41.2,7.4,13.3
MHL,,65.8,5.7,0.0,30.5,27.6,24.7,,,266.6,22.7,29.0
MRT,0.0014285714285714286,24.2,14.6,0.0,36.2,28.9,21.6,7.0,210.0,0.3,0.1,9.6
MUS,1.836904761904762,72.2,6.4,0.0,27.1,23.9,20.8,2.8,84.0,154.3,19.7,25.0
MEX,0.11575757575757575,52.2,17.9,0.6,30.8,21.8,12.9,5.5,165.0,19.1,1.9,13.6
MDA,0.5730769230769232,60.8,9.6,5.9,14.3,9.5,4.7,2.6,78.0,44.7,9.0,7.7
MCO,0.7225806451612904,64.2,7.1,0.2,16.2,12.6,9.1,3.1,93.0,67.2,11.6,8.7
MNG,0.07142857142857142,41.0,14.8,24.9,9.3,1.8,-5.6,2.8,84.0,6.0,3.7,3.1
MNE,1.352777777777778,69.4,8.6,9.9,11.8,7.5,3.2,2.4,72.0,97.4,15.5,6.3
MAR,0.19666666666666668,57.1,11.7,0.7,21.9,16.1,10.3,4.0,120.0,23.6,5.1,10.9
MOZ,0.6260416666666667,57.6,9.3,0.0,28.4,23.7,19.1,3.2,96.0,60.1,8.3,23.4
MMR,0.7166666666666667,47.3,11.8,0.3,31.3,25.3,19.4,4.4,132.0,94.6,8.1,20.7
NAM,0.045714285714285714,40.8,13.8,0.0,28.4,21.4,14.6,3.5,105.0,4.8,1.5,13.7
NRU,,73.1,5.9,0.0,30.7,27.7,24.8,,,18.3,7.6,30.4
NPL,0.3936936936936937,32.8,15.1,13.7,16.8,9.2,1.7,3.7,111.0,43.7,3.7,5.6
NLD,0.09466666666666666,62.2,10.8,8.6,14.3,8.8,3.5,2.5,75.0,7.1,4.5,7.7
NZL,4.7955555555555565,60.5,8.1,2.5,16.2,12.1,8.1,1.5,45.0,215.8,14.9,12.0
NIC,0.2510204081632653,37.2,9.9,0.0,30.9,25.9,21.0,4.9,147.0,36.9,6.2,26.0
NER,0.002564102564102564,23.1,16.4,0.0,38.0,29.8,21.7,7.8,234.0,0.6,0.2,8.2
NGA,0.5238095238095238,62.2,12.4,0.0,36.2,30.0,23.8,5.6,168.0,88.0,5.9,21.9
NOR,1.2642857142857142,64.7,8.0,23.2,4.0,0.0,-4.0,1.4,42.0,53.1,18.9,4.5
OMN,0.010714285714285714,35.8,9.6,0.0,32.1,27.3,22.6,5.6,168.0,1.8,1.2,24.2
PAK,0.1503267973856209,32.3,13.5,2.7,29.1,22.3,15.6,5.1,153.0,23.0,3.5,12.2
PLW,3.769444444444445,68.2,6.9,0.0,31.4,27.9,24.5,3.6,108.0,407.1,15.8,30.6
PAN,0.5777777777777777,50.6,7.9,0.0,30.3,26.3,22.4,4.2,126.0,72.8,8.9,28.0
PNG,2.6580952380952385,76.6,10.2,0.0,30.9,25.7,20.7,3.5,105.0,279.1,20.6,26.6
PRY,1.365625,55.9,10.1,0.0,28.7,23.7,18.7,3.2,96.0,131.1,9.8,22.0
PER,1.8068965517241375,73.7,11.5,3.4,25.5,19.7,14.0,2.9,87.0,157.2,13.3,19.2
PHL,1.48,53.9,8.2,0.0,30.6,26.4,22.4,4.0,120.0,177.6,14.7,28.1
POL,0.4188405797101449,60.2,11.3,11.8,13.5,7.8,2.2,2.3,69.0,28.9,10.6,7.2
PRT,0.5260416666666666,67.2,10.0,0.8,19.5,14.5,9.5,3.2,96.0,50.5,10.7,10.9
QAT,0.00707070707070707,44.5,10.8,0.0,32.3,26.9,21.5,6.6,198.0,1.4,1.7,18.1
ROU,0.6125,68.8,10.9,8.5,14.5,9.1,3.6,2.4,72.0,44.1,9.1,7.8
RUS,0.5361111111111111,62.8,11.3,26.9,0.1,-5.5,-11.2,1.2,36.0,19.3,8.9,2.9
RWA,1.6797101449275362,90.0,12.2,0.0,24.0,17.9,11.8,2.3,69.0,115.9,20.3,16.9
KNA,1.194308943089431,59.9,7.5,0.0,28.0,24.2,20.5,4.1,123.0,146.9,13.1,23.7
LCA,,55.1,6.5,0.0,28.9,25.6,22.4,,,122.3,14.3,26.2
VCT,0.43985507246376815,53.9,6.8,0.0,30.4,27.0,23.6,4.6,138.0,60.7,11.4,27.0
WSM,1.7585585585585584,66.0,5.0,0.0,30.9,28.4,25.9,3.7,111.0,195.2,11.3,32.3
SMR,1.1694444444444445,69.1,7.7,1.7,14.9,11.0,7.2,2.4,72.0,84.2,15.2,9.0
STP,3.2814814814814817,85.4,7.4,0.0,28.8,25.0,21.4,2.7,81.0,265.8,17.1,27.1
SAU,0.06111111111111111,33.6,12.3,0.0,30.9,24.7,18.6,6.6,198.0,12.1,3.0,12.2
SEN,0.0,15.6,17.1,0.0,39.1,30.5,22.0,6.5,195.0,0.0,0.0,14.9
SRB,0.5567901234567901,68.6,10.3,4.3,15.9,10.8,5.6,2.7,81.0,45.1,10.5,8.0
SYC,0.7424242424242424,52.5,8.8,0.0,32.9,28.5,24.1,4.4,132.0,98.0,13.3,28.9
SLE,0.4509803921568628,50.0,11.2,0.0,33.2,27.6,22.1,5.1,153.0,69.0,6.8,26.1
SGP,2.571875,75.2,8.2,0.0,31.7,27.6,23.5,3.2,96.0,246.9,19.4,31.5
SVK,1.0884057971014491,66.5,11.9,14.1,13.2,7.2,1.3,2.3,69.0,75.1,14.9,6.9
SVN,1.7652173913043478,66.5,10.4,7.1,14.6,9.3,4.1,2.3,69.0,121.8,18.7,8.1
SLB,2.9597701149425286,75.3,7.8,0.0,30.1,26.2,22.3,2.9,87.0,257.5,19.5,27.9
SOM,0.2128654970760234,37.7,11.6,0.0,35.7,29.8,24.0,5.7,171.0,36.4,5.1,28.3
ZAF,0.3555555555555556,42.8,13.0,0.2,24.5,18.0,11.5,3.0,90.0,32.0,5.5,13.5
SSD,0.4909722222222223,65.7,13.4,0.0,36.4,29.7,23.0,4.8,144.0,70.7,7.1,21.7
