Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.04496578690127077,25.4,15.9,0.6,31.1,23.1,15.2,6.6,204.6,9.2,1.3,7.9
ALB,0.3971326164874552,32.4,12.0,0.0,27.4,21.4,15.5,4.5,139.5,55.4,9.5,14.7
DZA,0.011385199240986715,33.3,15.1,0.0,39.9,32.4,24.9,6.8,210.8,2.4,1.3,13.6
AND,0.9826302729528535,56.2,10.4,0.0,21.2,16.0,10.8,3.9,120.9,118.8,15.6,10.4
AGO,0.020052310374891014,51.6,16.6,0.0,29.7,21.4,13.1,3.7,114.7,2.3,0.3,13.4
ATG,0.9848584595128372,54.6,7.2,0.0,31.1,27.4,23.8,4.9,151.9,149.6,14.1,28.0
ARG,0.25089605734767023,46.9,14.0,9.6,18.3,11.3,4.3,2.7,83.7,21.0,4.4,8.1
ARM,0.09874917709019093,38.3,13.8,0.0,27.7,20.8,13.9,4.9,151.9,15.0,3.7,11.7
AUS,0.21307300509337865,33.2,13.3,1.6,23.5,16.8,10.1,3.8,117.8,25.1,5.2,10.3
AUT,1.8735483870967742,67.6,8.5,0.3,19.5,15.2,11.0,2.5,77.5,145.2,18.1,14.1
AZE,0.0993548387096774,47.1,12.7,0.1,31.2,24.9,18.5,5.0,155.0,15.4,3.6,16.2
BHS,1.1002805049088358,53.6,9.6,0.0,32.9,28.0,23.3,4.6,142.6,156.9,13.2,28.8
BHR,0.0,30.0,13.3,0.0,43.9,37.2,30.6,9.8,303.8,0.0,0.0,21.2
BGD,5.006912442396313,87.8,5.5,0.0,30.3,27.6,24.8,2.8,86.8,434.6,16.4,31.1
BRB,1.5322580645161292,58.6,7.2,0.0,30.5,26.9,23.4,4.2,130.2,199.5,18.0,28.5
BLR,0.17050691244239632,51.5,12.3,0.0,24.5,18.4,12.3,3.5,108.5,18.5,5.2,13.7
BEL,1.1201334816462736,74.5,10.0,0.0,22.8,17.7,12.8,2.9,89.9,100.7,17.5,15.1
BLZ,2.776809067131648,60.6,7.5,0.0,30.5,26.8,23.0,3.7,114.7,318.5,23.6,30.8
BEN,2.7,80.8,8.0,0.0,29.5,25.5,21.5,3.0,93.0,251.1,19.1,27.6
BTN,4.570827489481067,85.6,8.7,4.0,17.8,13.4,9.1,2.3,71.3,325.9,20.5,12.3
BOL,0.1804915514592934,47.5,15.0,4.6,27.7,20.2,12.7,4.2,130.2,23.5,3.3,15.7
BIH,0.8360941586748039,45.9,11.5,0.0,25.6,19.9,14.1,3.7,114.7,95.9,11.9,15.6
BWA,0.0009775171065493646,30.2,18.7,1.7,27.2,17.8,8.5,3.3,102.3,0.1,0.1,11.4
BRA,0.4940092165898618,60.5,12.2,0.0,30.8,24.7,18.6,3.5,108.5,53.6,9.7,22.9
BRN,3.2371916508538896,69.1,8.1,0.0,31.4,27.3,23.3,3.4,105.4,341.2,20.5,29.7
BGR,0.3123524783634933,45.3,11.3,0.0,26.9,21.2,15.6,4.1,127.1,39.7,8.2,15.9
BFA,1.6837136113296618,51.5,9.1,0.0,31.2,26.7,22.2,4.1,127.1,214.0,16.1,27.6
BDI,0.2012288786482335,55.7,16.7,0.0,28.7,20.3,12.0,4.2,130.2,26.2,5.9,13.9
CPV,0.4731182795698925,50.1,6.2,0.0,29.0,25.9,22.8,4.5,139.5,66.0,5.3,24.8
KHM,2.952101661779081,78.3,8.0,0.0,31.7,27.7,23.7,3.3,102.3,302.0,19.9,30.3
CMR,2.9156327543424316,89.0,8.2,0.0,27.4,23.3,19.2,2.6,80.6,235.0,18.5,23.9
CAN,0.8639551192145863,65.0,9.6,6.1,15.7,10.8,6.1,2.3,71.3,61.6,11.9,10.6
CAF,2.5213319458896986,68.1,9.5,0.0,28.5,23.8,19.1,3.1,96.1,242.3,17.5,23.9
TCD,0.5431085043988271,40.6,12.6,0.0,35.4,29.1,22.8,5.5,170.5,92.6,9.1,21.1
CHL,1.6200716845878138,53.8,9.3,14.6,10.5,5.8,1.2,1.8,55.8,90.4,5.0,6.2
CHN,0.9614695340501792,62.8,11.0,3.5,24.3,18.8,13.3,3.6,111.6,107.3,13.4,15.5
COL,2.870967741935484,76.7,7.6,0.0,27.9,24.1,20.3,3.0,93.0,267.0,19.4,25.8
COM,0.12678169542385595,40.1,9.7,0.0,28.6,23.8,18.9,4.3,133.3,16.9,2.3,20.8
COG,0.6833930704898447,78.9,8.9,0.0,27.9,23.5,19.1,2.7,83.7,57.2,4.7,23.1
COD,0.7331378299120235,67.6,12.2,0.0,30.0,23.9,17.8,3.3,102.3,75.0,6.1,21.0
CRI,2.573271889400921,62.5,9.9,0.0,29.9,24.9,20.0,3.5,108.5,279.2,20.6,27.7
CIV,2.3163771712158807,88.0,7.3,0.0,28.4,24.8,21.1,2.6,80.6,186.7,19.2,26.8
HRV,1.0725806451612905,46.2,10.7,0.0,25.6,20.3,15.0,3.6,111.6,119.7,13.7,17.2
CUB,1.1919354838709681,62.2,8.6,0.0,31.8,27.4,23.1,4.0,124.0,147.8,13.4,29.9
CYP,0.001040582726326743,22.1,11.2,0.0,33.2,27.6,22.0,6.2,192.2,0.2,0.3,20.3
CZE,0.9599555061179088,71.9,10.4,0.0,22.1,16.9,11.8,2.9,89.9,86.3,17.0,14.4
DNK,0.5735887096774194,56.0,8.8,0.0,22.5,18.0,13.6,3.2,99.2,56.9,11.7,15.9
DJI,0.10850439882697947,45.2,10.8,0.0,37.6,32.2,26.8,6.6,204.6,22.2,2.4,30.7
DMA,3.3382488479262675,60.9,6.9,0.0,27.2,23.8,20.4,3.5,108.5,362.2,21.8,25.3
DOM,0.5545314900153611,59.7,9.4,0.0,30.8,26.1,21.4,4.2,130.2,72.2,10.9,26.2
ECU,0.6330645161290323,77.4,12.0,1.1,27.5,21.5,15.5,3.2,99.2,62.8,9.5,20.3
EGY,0.005231037489102005,24.7,14.4,0.0,37.3,30.1,22.9,7.4,229.4,1.2,0.1,16.5
SLV,4.4889643463497455,52.4,10.4,0.0,29.6,24.4,19.2,3.8,117.8,528.8,30.7,26.1
GNQ,0.5497311827956989,91.6,7.0,0.0,26.6,23.0,19.6,2.4,74.4,40.9,7.8,24.2
