Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.04183006535947713,23.3,15.9,1.7,27.3,19.3,11.4,5.1,153.0,6.4,2.3,6.2
ALB,0.98989898989899,33.3,10.7,0.1,22.9,17.5,12.2,3.3,99.0,98.0,10.5,11.5
DZA,0.039080459770114935,38.6,14.6,0.0,37.2,29.8,22.6,5.8,174.0,6.8,2.0,13.4
AND,0.9114583333333334,58.4,10.3,0.1,19.6,14.4,9.3,3.2,96.0,87.5,15.7,9.2
AGO,0.1048780487804878,55.1,15.7,0.0,30.8,23.0,15.1,4.1,123.0,12.9,1.5,15.5
ATG,1.0954545454545457,55.4,6.7,0.0,31.1,27.7,24.4,4.4,132.0,144.6,13.8,29.1
ARG,0.2101851851851852,40.1,14.8,6.9,20.4,13.0,5.6,3.6,108.0,22.7,4.2,8.5
ARM,0.4127450980392157,28.8,13.6,1.5,22.1,15.3,8.5,3.4,102.0,42.1,5.6,8.7
AUS,0.0896969696969697,26.2,14.9,0.8,27.7,20.2,12.8,5.5,165.0,14.8,3.2,10.9
AUT,1.1028985507246376,39.7,10.3,2.7,17.4,12.2,7.1,2.3,69.0,76.1,12.4,10.3
AZE,0.4287037037037037,39.8,10.9,1.0,24.9,19.5,14.0,3.6,108.0,46.3,4.4,12.8
BHS,1.1145299145299146,72.5,9.9,0.0,33.2,28.3,23.4,3.9,117.0,130.4,11.4,28.3
BHR,0.0,22.1,13.6,0.0,41.5,34.7,27.9,8.2,246.0,0.0,0.0,21.0
BGD,2.770967741935484,75.4,5.4,0.0,31.3,28.6,25.9,3.1,93.0,257.7,14.4,30.9
BRB,1.0396825396825398,48.9,7.0,0.0,31.1,27.6,24.1,4.2,126.0,131.0,15.3,30.1
BLR,0.4444444444444444,51.9,11.2,1.9,18.3,12.7,7.1,2.1,63.0,28.0,7.2,10.9
BEL,0.5,42.4,11.8,0.2,21.3,15.3,9.5,2.7,81.0,40.5,10.7,12.4
BLZ,1.4747967479674795,55.8,9.4,0.0,32.6,27.8,23.1,4.1,123.0,181.4,17.0,30.6
BEN,2.439583333333333,75.2,8.8,0.0,30.7,26.3,22.0,3.2,96.0,234.2,18.1,28.3
BTN,3.642028985507247,75.1,8.7,4.5,17.4,13.1,8.7,2.3,69.0,251.3,16.9,11.5
BOL,0.462962962962963,53.6,14.9,3.9,28.6,21.1,13.6,4.5,135.0,62.5,5.6,16.7
BIH,0.998809523809524,38.0,11.7,0.3,21.7,15.8,10.0,2.8,84.0,83.9,11.1,11.6
BWA,0.022222222222222227,34.5,18.2,0.0,31.3,22.2,13.1,4.5,135.0,3.0,0.8,12.8
BRA,0.7162393162393162,64.7,12.0,0.0,31.6,25.6,19.7,3.9,117.0,83.8,11.8,24.2
BRN,1.5806451612903225,81.4,8.3,0.0,31.7,27.5,23.4,3.1,93.0,147.0,14.7,29.8
BGR,0.5855555555555556,44.6,11.6,0.2,22.3,16.5,10.7,3.0,90.0,52.7,7.4,11.6
BFA,1.2235772357723578,50.7,9.9,0.0,32.2,27.2,22.3,4.1,123.0,150.5,14.3,27.7
BDI,0.6914529914529915,65.5,13.5,0.0,28.4,21.6,14.9,3.9,117.0,80.9,11.4,16.7
CPV,0.8217054263565892,48.7,6.7,0.0,29.6,26.3,22.9,4.3,129.0,106.0,6.1,26.6
KHM,4.17741935483871,77.5,7.6,0.0,31.4,27.5,23.8,3.1,93.0,388.5,21.9,31.1
CMR,4.115476190476191,84.4,9.2,0.0,28.8,24.2,19.6,2.8,84.0,345.7,21.3,24.3
CAN,1.5102564102564102,68.5,8.4,12.0,10.6,6.3,2.1,1.3,39.0,58.9,11.8,8.3
CAF,2.312745098039216,59.3,10.4,0.0,29.6,24.4,19.2,3.4,102.0,235.9,16.6,24.7
TCD,0.4494444444444445,29.8,14.0,0.0,36.6,29.6,22.6,6.0,180.0,80.9,6.5,20.1
CHL,0.7763888888888889,47.8,10.0,12.4,12.1,7.1,2.1,2.4,72.0,55.9,3.7,6.5
CHN,0.7933333333333334,57.3,11.3,5.6,20.9,15.3,9.6,3.0,90.0,71.4,11.7,11.8
COL,2.61505376344086,77.3,7.7,0.0,28.5,24.6,20.8,3.1,93.0,243.2,18.9,26.4
COM,0.6852713178294574,47.6,8.3,0.0,28.9,24.7,20.6,4.3,129.0,88.4,7.5,23.5
COG,1.7130952380952382,80.1,9.1,0.0,28.9,24.3,19.8,2.8,84.0,143.9,11.9,24.2
COD,1.1914285714285713,65.9,11.6,0.0,30.4,24.6,18.8,3.5,105.0,125.1,10.2,22.1
CRI,3.0212962962962964,60.0,9.6,0.0,30.2,25.4,20.6,3.6,108.0,326.3,19.8,27.3
CIV,2.2064102564102557,88.7,8.1,0.0,29.3,25.2,21.2,2.6,78.0,172.1,15.7,27.2
HRV,1.2321428571428572,37.6,11.6,0.3,22.4,16.6,10.8,2.8,84.0,103.5,11.3,13.0
CUB,1.773873873873874,63.9,9.2,0.0,32.7,28.0,23.5,3.7,111.0,196.9,15.0,30.4
CYP,0.054421768707482984,20.5,10.9,0.0,30.6,25.1,19.6,4.9,147.0,8.0,2.9,19.8
CZE,0.4380952380952381,47.4,11.9,0.8,20.0,14.1,8.2,2.8,84.0,36.8,11.3,10.9
DNK,0.7257575757575757,51.8,7.8,0.1,17.9,14.0,10.1,2.2,66.0,47.9,11.0,12.4
DJI,0.11858974358974357,42.7,10.0,0.0,35.0,29.9,24.9,5.2,156.0,18.5,3.9,30.5
DMA,2.6272727272727274,56.4,6.7,0.0,27.4,24.0,20.7,3.3,99.0,260.1,16.6,26.8
DOM,0.7522522522522522,66.9,8.8,0.0,31.0,26.6,22.2,3.7,111.0,83.5,10.9,27.6
ECU,0.44895833333333335,83.6,11.9,1.1,27.3,21.4,15.5,3.2,96.0,43.1,7.8,20.0
EGY,0.003980099502487564,18.4,13.5,0.0,35.2,28.4,21.7,6.7,201.0,0.8,0.0,16.8
SLV,1.7933333333333332,52.3,11.4,0.0,30.9,25.2,19.5,4.0,120.0,215.2,21.6,25.6
GNQ,7.150666666666666,92.7,7.8,0.0,28.8,24.9,21.1,2.5,75.0,536.3,28.8,26.3
ERI,0.264,33.8,11.8,0.0,32.9,27.0,21.1,5.0,150.0,39.6,4.9,24.2
EST,0.5078431372549019,66.4,8.6,1.0,16.6,12.3,8.0,1.7,51.0,25.9,6.7,11.3
ETH,0.8992063492063492,51.9,11.7,0.0,28.2,22.4,16.6,4.2,126.0,113.3,8.1,18.4
FJI,0.03008130081300813,53.0,8.2,0.0,26.9,22.8,18.8,4.1,123.0,3.7,3.3,19.6
FIN,0.9282051282051282,65.3,8.8,5.9,13.7,9.3,4.9,1.3,39.0,36.2,12.4,9.5
FRA,0.5526881720430107,46.3,11.1,0.2,22.4,16.8,11.2,3.1,93.0,51.4,9.7,12.3
GAB,2.432051282051282,93.2,8.0,0.0,29.2,25.2,21.2,2.6,78.0,189.7,15.3,25.2
GMB,2.1447368421052637,56.0,9.4,0.0,32.3,27.5,22.9,3.8,114.0,244.5,15.7,29.0
GEO,1.0880952380952382,41.0,12.2,5.9,19.1,12.9,6.8,2.8,84.0,91.4,8.7,9.8
DEU,0.5760000000000001,49.6,11.4,0.5,20.4,14.6,9.0,2.5,75.0,43.2,10.9,11.9
GHA,2.0091954022988507,82.0,7.8,0.0,30.1,26.1,22.3,2.9,87.0,174.8,20.4,27.9
GRC,0.21833333333333327,22.1,10.3,0.0,26.3,21.1,16.0,4.0,120.0,26.2,4.8,14.6
GRD,1.3533333333333333,53.9,7.3,0.0,31.6,27.9,24.3,4.0,120.0,162.4,15.5,31.0
GTM,2.7777777777777777,55.0,10.9,0.0,30.7,25.2,19.8,3.9,117.0,325.0,20.1,26.1
GIN,4.852222222222221,77.1,9.1,0.0,29.2,24.6,20.1,3.0,90.0,436.7,23.9,24.9
GNB,3.740952380952381,64.2,7.8,0.0,30.6,26.7,22.8,3.5,105.0,392.8,19.2,28.1
GUY,0.9902439024390244,57.8,9.9,0.0,32.0,27.0,22.1,4.1,123.0,121.8,13.7,25.1
HTI,0.2948717948717949,64.3,9.5,0.0,31.9,27.1,22.4,3.9,117.0,34.5,7.6,27.4
HND,1.122962962962963,47.5,9.9,0.0,30.4,25.4,20.5,4.5,135.0,151.6,16.6,26.1
HKG,3.1803418803418806,59.2,6.3,0.0,30.8,27.6,24.5,3.9,117.0,372.1,18.4,28.7
HUN,0.4428571428571429,35.8,13.2,0.2,22.8,16.1,9.6,2.8,84.0,37.2,8.0,12.2
ISL,3.033333333333333,71.2,6.1,9.3,9.4,6.3,3.2,1.3,39.0,118.3,19.1,7.3
IND,1.3657407407407407,65.4,8.6,0.8,30.3,25.9,21.7,3.6,108.0,147.5,9.2,25.6
IDN,1.5061403508771931,63.6,9.6,0.0,31.0,26.1,21.3,3.8,114.0,171.7,15.0,27.2
IRN,0.007547169811320755,34.3,16.3,0.1,32.4,24.2,16.1,5.3,159.0,1.2,0.2,10.9
IRQ,0.0004761904761904762,5.2,18.0,0.0,38.6,29.5,20.5,7.0,210.0,0.1,0.0,12.7
IRL,1.331372549019608,75.5,7.6,0.1,17.3,13.5,9.7,1.7,51.0,67.9,16.8,13.0
ISR,0.001360544217687075,18.3,11.3,0.0,31.3,25.6,19.9,4.9,147.0,0.2,0.0,20.6
ITA,0.5906250000000001,39.9,8.4,0.6,23.7,19.5,15.3,3.2,96.0,56.7,8.8,15.6
JAM,1.082882882882883,61.9,9.0,0.0,31.6,27.1,22.6,3.7,111.0,120.2,13.6,29.8
JPN,1.7864197530864196,66.8,7.8,0.0,24.3,20.4,16.5,2.7,81.0,144.7,15.4,19.3
JOR,0.0,2.5,15.7,0.0,33.3,25.5,17.6,6.1,183.0,0.0,0.0,13.8
KAZ,0.09333333333333332,36.0,14.0,0.7,23.7,16.7,9.7,4.0,120.0,11.2,4.2,8.6
KEN,0.17551020408163265,61.1,11.3,0.0,30.5,24.8,19.2,4.9,147.0,25.8,6.0,19.8
KIR,,60.2,6.1,0.0,31.8,28.7,25.7,,,117.8,18.2,28.5
PRK,1.7080000000000002,65.3,10.1,1.1,20.9,15.9,10.9,2.5,75.0,128.1,10.9,13.8
KOR,3.246153846153846,66.9,8.9,0.0,24.8,20.4,15.9,2.6,78.0,253.2,12.8,19.2
KWT,0.0,20.1,16.6,0.0,42.2,33.9,25.6,8.1,243.0,0.0,0.0,16.8
KGZ,0.08725490196078432,34.0,13.8,9.5,17.6,10.6,3.7,3.4,102.0,8.9,5.4,2.9
LAO,3.927586206896552,76.2,7.4,0.0,28.8,25.1,21.5,2.9,87.0,341.7,22.2,25.9
LVA,0.5518518518518518,61.8,9.4,1.2,17.3,12.5,7.8,1.8,54.0,29.8,6.9,11.4
LBN,0.03120567375886525,17.9,12.4,0.0,29.7,23.5,17.3,4.7,141.0,4.4,4.0,17.8
LSO,0.4405405405405405,35.2,15.0,7.6,19.1,11.5,4.1,3.7,111.0,48.9,8.7,6.0
LBR,4.621428571428571,88.0,9.1,0.0,28.9,24.3,19.8,2.8,84.0,388.2,23.1,24.9
LBY,0.012307692307692308,21.2,14.4,0.0,36.1,28.9,21.7,6.5,195.0,2.4,0.4,15.8
LIE,1.1015151515151516,41.7,9.3,1.8,16.4,11.7,7.1,2.2,66.0,72.7,11.8,9.5
LTU,0.6157894736842106,56.3,10.2,1.2,18.0,12.9,7.8,1.9,57.0,35.1,8.3,11.4
LUX,0.542528735632184,34.3,13.0,0.7,21.4,14.8,8.3,2.9,87.0,47.2,11.1,11.5
MDG,0.5441441441441441,52.0,10.7,0.0,26.9,21.6,16.3,3.7,111.0,60.4,9.5,19.3
MWI,0.013333333333333334,37.2,12.9,0.0,29.1,22.7,16.2,5.0,150.0,2.0,2.1,15.4
MYS,2.3255555555555563,79.6,8.7,0.0,30.5,26.1,21.8,3.0,90.0,209.3,19.9,29.1
MDV,,62.6,5.3,0.0,31.2,28.5,25.9,,,143.8,14.8,31.7
MLI,0.4,56.6,12.0,0.0,36.5,30.5,24.5,5.2,156.0,62.4,6.8,22.3
