Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.13306451612903225,40.2,13.9,22.6,10.2,3.3,-3.7,1.6,49.6,6.6,1.4,3.5
ALB,6.976958525345622,70.9,6.8,16.1,7.4,3.9,0.5,0.7,21.7,151.4,15.6,6.4
DZA,0.14381720430107525,32.3,13.8,4.9,19.9,12.9,6.1,2.4,74.4,10.7,2.4,6.9
AND,0.8467741935483871,53.3,7.5,26.3,2.6,-1.2,-5.0,0.8,24.8,21.0,6.0,4.1
AGO,1.6431451612903225,78.9,11.1,0.0,28.4,22.8,17.3,3.2,99.2,163.0,13.5,20.6
ATG,1.4899738448125546,44.4,7.0,0.0,29.1,25.6,22.1,3.7,114.7,170.9,17.1,25.6
ARG,0.33036707452725245,42.7,13.9,1.1,27.1,20.1,13.2,5.8,179.8,59.4,8.9,13.7
ARM,1.032258064516129,62.2,9.7,27.3,3.0,-1.9,-6.7,0.5,15.5,16.0,7.2,3.8
AUS,0.2498924731182796,35.6,14.6,0.0,35.0,27.7,20.4,7.5,232.5,58.1,6.9,15.8
AUT,13.79032258064516,67.6,5.1,27.0,-0.9,-3.4,-6.0,0.2,6.2,85.5,18.1,4.4
AZE,1.0414746543778803,64.9,8.5,15.2,8.7,4.4,0.1,0.7,21.7,22.6,6.2,6.8
BHS,0.4147465437788019,55.0,9.9,0.0,27.4,22.4,17.4,2.8,86.8,36.0,6.4,19.8
BHR,0.008960573476702509,31.5,11.8,0.0,25.9,20.0,14.1,3.6,111.6,1.0,0.4,14.1
BGD,0.07795698924731181,24.0,12.3,0.0,26.6,20.5,14.3,2.4,74.4,5.8,0.2,16.1
BRB,2.060829493087557,49.3,6.9,0.0,29.6,26.1,22.7,3.5,108.5,223.6,21.3,27.1
BLR,8.580645161290322,98.0,3.6,25.9,-1.0,-2.8,-4.6,0.2,6.2,53.2,16.8,4.6
BEL,6.709677419354838,81.8,4.7,15.0,5.8,3.4,1.1,0.3,9.3,62.4,18.2,7.1
BLZ,1.8995037220843676,50.7,6.8,0.0,27.5,24.0,20.7,2.6,80.6,153.1,16.6,26.5
BEN,0.0060015003750937745,54.2,15.1,0.0,35.3,27.7,20.2,4.3,133.3,0.8,0.5,16.5
BTN,0.0,18.5,17.3,24.1,10.1,1.4,-7.2,1.5,46.5,0.0,0.0,4.1
BOL,0.9626485568760612,68.8,10.4,1.4,27.3,22.1,16.9,3.8,117.8,113.4,11.1,21.8
BIH,10.922580645161293,77.7,6.2,21.0,4.8,1.7,-1.5,0.5,15.5,169.3,19.5,5.6
BWA,0.4496774193548387,53.7,13.6,0.0,33.2,26.4,19.7,5.0,155.0,69.7,9.4,21.5
BRA,2.2912713472485766,81.0,9.9,0.0,30.9,26.0,21.1,3.4,105.4,241.5,23.0,26.9
BRN,5.757419354838708,88.2,7.3,0.0,30.3,26.6,23.0,2.5,77.5,446.2,25.8,29.4
BGR,3.1129032258064515,77.7,6.3,20.1,5.2,2.0,-1.1,0.6,18.6,57.9,10.8,5.8
BFA,0.0006720430107526881,18.6,16.9,0.0,35.1,26.6,18.2,4.8,148.8,0.1,0.3,10.3
BDI,1.1726755218216318,75.6,12.2,0.0,28.9,22.8,16.7,3.4,105.4,123.6,20.1,18.4
CPV,0.12216884008236105,39.8,7.6,0.0,28.6,24.8,21.0,4.7,145.7,17.8,1.4,19.2
KHM,0.9443826473859844,66.3,7.3,0.0,28.9,25.2,21.6,2.9,89.9,84.9,8.8,25.4
CMR,0.21222410865874364,54.0,13.7,0.0,31.8,24.9,18.1,3.8,117.8,25.0,3.4,18.8
CAN,12.354838709677418,59.9,7.8,30.5,-12.0,-15.9,-19.8,0.1,3.1,38.3,9.7,2.1
CAF,0.0782258064516129,29.8,16.6,0.0,33.7,25.4,17.1,4.0,124.0,9.7,2.1,16.6
TCD,0.0012172854534388314,9.0,17.7,0.3,32.4,23.5,14.7,5.3,164.3,0.2,0.0,8.5
CHL,0.1856805664830842,45.0,10.2,4.7,17.0,11.8,6.7,4.1,127.1,23.6,4.2,8.8
CHN,0.31541218637992835,40.7,11.6,24.7,-0.4,-6.2,-12.0,0.9,27.9,8.8,4.6,2.6
COL,2.1924731182795703,61.4,7.1,0.0,27.9,24.4,20.9,3.0,93.0,203.9,15.9,27.2
COM,2.954507857733663,63.3,6.9,0.0,30.4,26.9,23.5,3.9,120.9,357.2,11.1,30.1
COG,1.5232974910394266,79.0,9.2,0.0,29.7,25.0,20.5,2.7,83.7,127.5,11.2,25.4
COD,1.4443288241415195,74.7,11.1,0.0,30.9,25.3,19.8,3.1,96.1,138.8,12.7,23.3
CRI,1.2173174872665535,35.7,10.2,0.0,29.4,24.3,19.2,3.8,117.8,143.4,12.8,24.5
CIV,0.3479960899315738,58.8,12.7,0.0,33.1,26.7,20.3,3.3,102.3,35.6,3.6,22.3
HRV,10.787096774193547,73.3,6.5,19.9,5.3,2.1,-1.2,0.5,15.5,167.2,17.5,6.1
CUB,0.4251152073732719,50.3,9.0,0.0,28.1,23.6,19.1,2.8,86.8,36.9,5.9,22.6
CYP,0.6337760910815938,46.3,9.9,1.6,17.8,12.9,7.9,1.7,52.7,33.4,6.9,10.9
CZE,11.129032258064516,85.4,4.4,24.8,0.9,-1.3,-3.6,0.2,6.2,69.0,19.6,5.2
DNK,8.709677419354838,72.4,4.3,19.4,3.7,1.5,-0.7,0.2,6.2,54.0,19.1,6.4
DJI,0.0,33.3,10.6,0.0,29.3,24.0,18.7,3.8,117.8,0.0,0.0,22.1
DMA,3.993087557603687,42.8,6.9,0.0,25.7,22.3,18.9,2.8,86.8,346.6,24.5,23.6
DOM,1.109447004608295,51.1,9.7,0.0,27.8,22.9,18.0,2.8,86.8,96.3,12.7,22.3
ECU,1.7808676307007785,85.9,12.9,1.6,27.5,21.1,14.7,2.9,89.9,160.1,17.4,21.4
EGY,0.03954214360041623,31.1,13.7,0.7,23.2,16.4,9.5,3.1,96.1,3.8,0.8,9.7
SLV,0.057014253563390835,23.6,12.5,0.0,30.6,24.3,18.0,4.3,133.3,7.6,4.0,21.0
GNQ,1.46889400921659,77.0,7.7,0.0,29.0,25.1,21.3,2.8,86.8,127.5,11.2,27.0
ERI,0.00967741935483871,15.0,14.0,0.0,31.0,24.0,17.0,4.0,124.0,1.2,0.3,18.7
EST,12.93548387096774,86.1,4.7,26.7,-0.8,-3.1,-5.5,0.1,3.1,40.1,13.2,4.6
ETH,0.007867820613690008,23.9,16.0,0.8,28.7,20.6,12.6,4.1,127.1,1.0,0.5,13.9
FJI,2.9474868717179286,68.9,7.9,0.0,29.6,25.7,21.8,4.3,133.3,392.9,18.4,24.6
