Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,1.2647058823529411,58.8,11.2,18.5,8.4,2.8,-2.9,1.7,47.6,60.2,7.0,4.7
ALB,5.639285714285713,92.2,7.2,14.1,8.0,4.3,0.7,1.0,28.0,157.9,18.5,6.7
DZA,0.1092436974789916,30.2,15.9,4.7,21.9,13.9,6.0,3.4,95.2,10.4,1.6,6.0
AND,2.558441558441558,65.4,7.7,23.0,3.6,-0.3,-4.2,1.1,30.8,78.8,11.6,4.2
AGO,1.5400432900432899,74.2,10.9,0.0,28.7,23.2,17.7,3.3,92.4,142.3,12.0,22.0
ATG,0.6001552795031055,41.7,7.4,0.0,29.4,25.7,22.0,4.6,128.8,77.3,15.2,24.3
ARG,0.396978021978022,39.7,13.7,0.8,27.8,21.0,14.2,5.2,145.6,57.8,8.0,15.5
ARM,1.423469387755102,64.7,8.5,24.5,1.9,-2.4,-6.7,0.7,19.6,27.9,8.5,4.0
AUS,0.3773987206823028,40.7,13.4,0.0,34.5,27.7,21.0,6.7,187.6,70.8,7.2,17.6
AUT,10.821428571428573,82.3,5.4,24.1,-0.4,-3.1,-5.8,0.3,8.4,90.9,19.0,4.8
AZE,1.082142857142857,74.4,7.3,13.3,7.6,3.9,0.3,1.0,28.0,30.3,7.2,6.7
BHS,0.5974903474903475,47.6,10.1,0.0,27.9,22.8,17.8,3.7,103.6,61.9,6.8,19.3
BHR,0.014119601328903653,41.3,10.6,0.0,25.4,20.1,14.8,4.3,120.4,1.7,1.0,13.6
BGD,0.11272321428571427,30.4,13.3,0.0,27.5,20.8,14.2,3.2,89.6,10.1,0.9,15.4
BRB,0.44642857142857145,45.3,7.4,0.0,29.6,25.9,22.2,4.2,117.6,52.5,11.7,25.7
BLR,3.8125,83.7,4.9,23.3,0.4,-2.1,-4.6,0.4,11.2,42.7,12.3,4.6
BEL,3.011904761904762,77.4,5.7,19.7,4.1,1.2,-1.6,0.6,16.8,50.6,17.7,5.7
BLZ,0.6995798319327731,57.4,9.3,0.0,29.6,24.9,20.3,3.4,95.2,66.6,11.0,26.0
BEN,0.05194805194805195,50.9,15.4,0.0,37.6,29.9,22.2,5.5,154.0,8.0,0.9,15.6
BTN,0.2553571428571429,36.3,14.9,20.5,9.1,1.6,-5.8,2.0,56.0,14.3,1.8,3.8
BOL,1.8234693877551018,75.2,9.8,0.9,27.8,22.9,18.1,3.5,98.0,178.7,16.8,23.4
BIH,7.015306122448979,91.2,7.1,18.9,5.6,2.1,-1.5,0.7,19.6,137.5,18.3,6.0
BWA,0.41793313069908816,47.6,15.3,0.0,34.1,26.4,18.8,4.7,131.6,55.0,8.1,23.2
BRA,2.560267857142857,82.0,9.4,0.0,31.1,26.4,21.7,3.2,89.6,229.4,21.9,28.5
BRN,1.6587301587301586,62.9,7.7,0.0,31.0,27.1,23.3,3.6,100.8,167.2,14.4,29.5
BGR,2.5515873015873014,99.6,6.6,15.5,6.9,3.5,0.2,0.9,25.2,64.3,11.6,6.2
BFA,0.0,8.4,17.9,0.0,37.9,28.9,20.0,6.1,170.8,0.0,0.0,8.3
BDI,0.8582949308755761,75.9,12.3,0.0,26.9,20.8,14.7,3.1,86.8,74.5,14.7,19.5
CPV,0.08471760797342191,36.0,8.4,0.0,25.8,21.5,17.4,4.3,120.4,10.2,2.3,17.5
KHM,0.14198606271777006,49.1,10.4,0.0,33.1,27.9,22.7,4.1,114.8,16.3,2.2,26.7
CMR,0.2101328903654485,54.6,14.1,0.0,33.3,26.2,19.2,4.3,120.4,25.3,3.4,17.9
CAN,8.464285714285715,56.9,9.2,27.6,-15.1,-19.7,-24.4,0.1,2.8,23.7,6.1,1.9
CAF,0.1638198757763975,30.9,17.2,0.0,36.1,27.5,18.9,4.6,128.8,21.1,3.9,15.6
TCD,0.008503401360544217,15.4,17.9,0.3,33.9,25.0,16.0,6.3,176.4,1.5,0.2,7.7
CHL,0.3870656370656371,46.8,9.9,3.1,17.9,12.9,8.0,3.7,103.6,40.1,7.4,9.9
CHN,0.4203296703296704,53.9,12.2,21.1,2.6,-3.5,-9.7,1.3,36.4,15.3,4.8,3.6
COL,1.7384453781512603,73.7,9.1,0.0,30.1,25.5,21.0,3.4,95.2,165.5,12.0,25.6
COM,0.7760617760617762,66.2,7.1,0.0,30.7,27.1,23.6,3.7,103.6,80.4,10.1,30.7
COG,1.2622767857142858,71.3,10.5,0.0,31.3,26.0,20.8,3.2,89.6,113.1,9.5,25.8
COD,1.1974789915966386,70.0,11.5,0.0,31.0,25.3,19.6,3.4,95.2,114.0,10.6,23.5
CRI,1.0830564784053156,51.3,11.6,0.0,31.3,25.5,19.7,4.3,120.4,130.4,9.5,25.2
CIV,0.037337662337662336,48.0,14.1,0.0,36.2,29.1,22.1,4.4,123.2,4.6,0.9,21.9
HRV,7.841836734693876,89.5,7.0,17.4,6.2,2.7,-0.8,0.7,19.6,153.7,18.6,6.6
CUB,0.27959183673469384,48.6,9.6,0.0,28.6,23.8,19.0,3.5,98.0,27.4,4.2,22.4
CYP,0.8636363636363636,57.4,8.8,1.0,17.4,13.0,8.6,2.2,61.6,53.2,8.7,10.7
CZE,5.976190476190476,93.1,4.9,22.6,1.1,-1.4,-3.8,0.3,8.4,50.2,17.0,5.3
DNK,4.571428571428573,80.9,4.0,21.6,0.9,-1.1,-3.1,0.2,5.6,25.6,10.3,5.6
DJI,0.0,36.4,10.8,0.0,31.5,26.1,20.7,4.7,131.6,0.0,0.0,22.6
DMA,1.3529411764705883,41.0,7.2,0.0,25.6,21.9,18.4,3.4,95.2,128.8,16.4,22.1
DOM,0.36507936507936506,49.9,9.3,0.0,28.4,23.7,19.1,3.6,100.8,36.8,7.3,21.8
ECU,3.105952380952381,89.6,9.8,0.4,27.3,22.3,17.5,3.0,84.0,260.9,23.1,22.5
EGY,0.025510204081632654,19.9,15.2,0.7,24.3,16.7,9.1,4.2,117.6,3.0,0.6,8.8
SLV,0.016846361185983826,32.6,14.6,0.0,32.6,25.3,18.0,5.3,148.4,2.5,2.1,20.0
GNQ,1.408482142857143,71.5,8.9,0.0,30.6,26.2,21.7,3.2,89.6,126.2,10.3,28.0
ERI,0.0,25.9,14.3,0.0,32.4,25.2,18.1,4.7,131.6,0.0,0.0,18.2
EST,3.976190476190476,78.7,5.1,23.8,-0.0,-2.6,-5.1,0.3,8.4,33.4,14.1,4.7
ETH,0.0392156862745098,21.7,16.7,0.1,31.9,23.5,15.1,5.1,142.8,5.6,1.3,14.6
FJI,4.4903474903474905,73.8,6.9,0.0,29.3,25.9,22.5,3.7,103.6,465.2,21.1,27.1
FIN,8.5,74.1,6.7,26.4,-2.9,-6.2,-9.5,0.1,2.8,23.8,13.3,3.8
FRA,2.7053571428571432,73.4,6.3,16.5,5.9,2.7,-0.4,0.8,22.4,60.6,13.4,6.2
GAB,1.8345238095238092,80.2,9.2,0.0,31.2,26.6,22.0,3.0,84.0,154.1,11.2,27.5
GMB,0.0,12.9,17.8,0.0,36.1,27.1,18.2,5.5,154.0,0.0,0.0,12.3
GEO,2.6887755102040822,70.2,8.8,22.1,1.9,-2.6,-7.0,0.7,19.6,52.7,10.8,4.7
DEU,3.7767857142857135,87.0,4.5,21.4,1.7,-0.5,-2.8,0.4,11.2,42.3,14.7,5.3
GHA,0.049851190476190466,45.0,13.6,0.0,37.0,30.2,23.4,4.8,134.4,6.7,1.7,20.1
GRC,2.762755102040816,77.0,7.1,4.9,12.7,9.1,5.6,1.4,39.2,108.3,13.5,8.8
GRD,0.1751700680272109,40.2,6.8,0.0,29.7,26.3,22.9,4.2,117.6,20.6,11.3,26.5
GTM,0.4511278195488722,47.0,12.1,0.0,29.5,23.5,17.5,3.8,106.4,48.0,8.1,22.6
GIN,0.05489417989417991,34.7,15.9,0.0,35.2,27.2,19.2,5.4,151.2,8.3,0.8,14.7
GNB,0.0,16.1,15.5,0.0,34.8,27.0,19.3,5.1,142.8,0.0,0.0,17.0
GUY,2.8792016806722684,76.8,8.4,0.0,29.7,25.5,21.3,3.4,95.2,274.1,20.4,23.7
HTI,0.41023166023166013,44.5,9.5,0.0,28.6,23.9,19.1,3.7,103.6,42.5,6.4,21.7
HND,0.21753246753246752,44.3,10.3,0.0,28.4,23.2,18.1,4.4,123.2,26.8,6.9,21.8
HKG,0.05590062111801242,81.3,6.5,0.0,21.9,18.6,15.4,2.3,64.4,3.6,3.7,17.0
HUN,3.2857142857142856,87.3,6.4,18.9,5.2,1.9,-1.3,0.7,19.6,64.4,17.3,5.9
ISL,4.357142857142857,74.3,4.9,19.0,3.5,1.0,-1.5,0.7,19.6,85.4,17.0,5.0
IND,0.2355212355212355,28.3,14.5,2.3,26.7,19.5,12.2,3.7,103.6,24.4,1.9,12.8
IDN,3.2436974789915967,72.0,8.3,0.0,30.5,26.3,22.2,3.4,95.2,308.8,20.2,29.3
IRN,0.4009740259740259,53.2,11.8,9.9,15.3,9.3,3.4,2.2,61.6,24.7,6.1,7.4
IRQ,0.2270408163265306,40.0,12.8,2.4,20.2,13.8,7.4,2.8,78.4,17.8,4.5,9.6
IRL,3.3214285714285707,78.8,5.9,11.4,7.9,4.9,2.0,0.7,19.6,65.1,14.3,7.5
ISR,0.7266483516483516,47.3,10.5,0.3,20.2,14.9,9.7,2.6,72.8,52.9,8.1,10.9
ITA,2.5487012987012987,70.1,6.8,11.0,8.8,5.4,2.0,1.1,30.8,78.5,14.0,7.6
JAM,0.5028957528957531,41.1,8.7,0.0,28.8,24.4,20.1,3.7,103.6,52.1,3.7,24.0
JPN,2.603896103896104,67.4,7.8,19.4,4.4,0.5,-3.4,1.1,30.8,80.2,22.5,5.2
JOR,0.19827586206896552,39.3,12.0,2.7,18.5,12.5,6.5,2.9,81.2,16.1,4.4,8.3
KAZ,0.9642857142857144,55.4,9.3,26.7,-3.3,-8.0,-12.7,0.5,14.0,13.5,5.4,3.0
KEN,0.0960591133004926,47.0,14.4,0.0,34.2,27.0,19.8,5.8,162.4,15.6,4.4,19.9
KIR,,74.6,5.3,0.0,32.0,29.3,26.7,,,195.1,19.0,30.4
PRK,1.3293650793650793,37.3,10.9,27.6,-3.8,-9.3,-14.7,0.9,25.2,33.5,10.2,2.0
KOR,2.0297619047619047,44.7,10.2,22.9,5.3,0.1,-5.0,1.2,33.6,68.2,10.9,4.5
KWT,0.014478764478764481,39.6,12.3,0.0,23.6,17.4,11.3,3.7,103.6,1.5,1.8,10.9
KGZ,1.8214285714285716,69.8,10.2,27.3,-5.1,-10.2,-15.3,0.7,19.6,35.7,9.2,1.6
LAO,0.4978991596638655,45.0,11.3,0.0,27.9,22.2,16.6,3.4,95.2,47.4,9.0,18.1
LVA,4.309523809523808,85.3,5.3,23.6,0.4,-2.2,-4.9,0.3,8.4,36.2,12.7,4.7
LBN,1.83843537414966,58.6,9.1,3.5,15.9,11.3,6.8,2.1,58.8,108.1,10.3,9.6
LSO,0.4512987012987013,44.5,15.5,0.4,25.5,17.7,9.9,4.4,123.2,55.6,10.4,10.9
LBR,0.4615384615384615,60.5,12.6,0.0,33.4,27.1,20.8,3.9,109.2,50.4,2.9,23.9
LBY,0.06203007518796993,20.3,14.5,1.5,22.2,14.9,7.7,3.8,106.4,6.6,2.1,7.7
LIE,7.767857142857142,76.4,4.4,24.9,-2.0,-4.2,-6.4,0.6,16.8,130.5,18.6,3.5
LTU,3.678571428571429,87.8,5.8,23.4,1.2,-1.7,-4.7,0.4,11.2,41.2,12.6,4.7
LUX,3.0595238095238093,77.4,5.6,21.8,2.6,-0.1,-2.9,0.6,16.8,51.4,19.0,5.2
MDG,4.114285714285714,72.3,8.1,0.0,29.5,25.4,21.4,3.5,98.0,403.2,23.3,27.0
MWI,2.457373271889401,77.3,8.3,0.0,27.9,23.7,19.6,3.1,86.8,213.3,14.7,24.6
MYS,3.3147321428571432,67.0,7.4,0.0,29.4,25.7,22.0,3.2,89.6,297.0,20.8,29.1
