Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.9684981684981684,49.5,11.8,70.7,6.3,0.4,-5.5,1.5,136.5,132.2,21.5,3.3
ALB,4.8804945054945055,74.0,7.8,66.3,4.3,0.4,-3.5,0.8,72.8,355.3,41.4,4.8
DZA,0.12210012210012212,33.1,13.9,17.4,19.5,12.5,5.5,2.7,245.7,30.0,6.4,5.9
AND,2.71585557299843,63.3,7.9,75.7,3.0,-1.0,-4.9,0.7,63.7,173.0,30.9,4.7
AGO,1.8697968697968697,77.6,11.0,0.0,28.2,22.7,17.2,3.3,300.3,561.5,40.9,19.7
ATG,2.2534340659340657,50.8,5.3,0.0,26.5,23.8,21.1,3.2,291.2,656.2,51.9,24.6
ARG,0.3182817182817183,46.4,13.9,3.3,27.6,20.6,13.7,5.5,500.5,159.3,19.0,14.1
ARM,1.5384615384615383,74.0,6.2,86.1,-4.8,-7.9,-11.0,0.5,45.5,70.0,27.9,2.4
AUS,0.28320251177394035,36.4,14.3,0.1,33.8,26.7,19.5,7.0,637.0,180.4,18.9,16.2
AUT,4.063736263736264,68.9,6.0,82.8,-2.0,-5.0,-8.0,0.5,45.5,184.9,39.8,3.4
AZE,1.0567765567765568,75.2,5.3,66.0,1.3,-1.4,-4.1,0.6,54.6,57.7,20.1,4.9
BHS,0.4987593052109181,56.8,10.0,0.0,27.0,21.9,16.9,3.1,282.1,140.7,19.1,18.8
BHR,0.1020408163265306,37.5,11.3,0.0,23.1,17.4,11.8,3.5,318.5,32.5,10.3,12.3
BGD,0.03296703296703297,25.6,13.0,0.0,25.8,19.3,12.8,2.6,236.6,7.8,0.9,15.8
BRB,1.7808477237048668,50.2,7.2,0.0,28.0,24.4,20.9,3.5,318.5,567.2,53.1,24.8
BLR,9.021978021978024,83.5,6.3,87.6,-4.8,-7.9,-11.1,0.1,9.1,82.1,45.5,3.4
BEL,6.148351648351648,80.2,5.9,64.3,4.0,1.0,-1.9,0.2,18.2,111.9,41.5,6.6
BLZ,0.9715099715099716,54.5,8.4,0.0,27.0,22.8,18.6,2.7,245.7,238.7,33.4,24.2
BEN,0.11190849966360172,58.4,18.1,0.0,36.2,27.1,18.1,4.9,445.9,49.9,5.7,13.5
BTN,0.03663003663003663,29.7,15.9,72.9,7.8,-0.2,-8.1,1.5,136.5,5.0,1.6,4.1
BOL,1.3608553608553609,76.1,10.2,3.6,28.1,22.9,17.8,3.7,336.7,458.2,40.8,22.9
BIH,4.118681318681319,77.4,7.0,77.3,1.1,-2.5,-6.0,0.5,45.5,187.4,35.7,4.4
BWA,0.8070818070818071,57.0,13.1,0.0,31.8,25.2,18.7,4.5,409.5,330.5,35.2,21.6
BRA,2.053613053613054,81.0,9.6,0.0,30.8,25.9,21.1,3.3,300.3,616.7,67.2,27.2
BRN,3.673260073260073,69.8,7.4,0.0,29.6,25.9,22.2,3.0,273.0,1002.8,64.8,28.6
BGR,2.4923076923076923,81.5,6.9,79.3,0.3,-3.1,-6.6,0.5,45.5,113.4,24.0,4.3
BFA,0.006012855069458842,23.2,20.2,0.0,36.2,26.0,15.9,5.3,482.3,2.9,1.2,7.5
BDI,1.3163919413919414,83.5,11.3,0.0,23.6,17.9,12.3,2.4,218.4,287.5,53.7,18.0
CPV,0.19780219780219785,38.9,7.9,0.0,25.7,21.7,17.8,3.9,354.9,70.2,5.0,18.0
KHM,0.3507573507573508,44.5,10.7,0.0,30.6,25.2,19.9,3.7,336.7,118.1,15.2,23.1
CMR,0.24697802197802202,55.5,14.8,0.0,31.8,24.3,17.0,4.0,364.0,89.9,10.7,16.2
CAN,10.868131868131867,56.3,9.9,89.6,-18.6,-23.5,-28.5,0.1,9.1,98.9,27.1,1.2
CAF,0.09166443312784776,32.0,17.5,0.0,33.5,24.7,15.9,4.1,373.1,34.2,7.7,14.7
TCD,0.0038665038665038655,14.3,18.1,1.9,30.7,21.6,12.6,5.4,491.4,1.9,0.2,7.1
CHL,0.23221515326778486,50.9,10.2,14.2,16.9,11.8,6.7,3.8,345.8,80.3,10.7,8.9
CHN,0.4813186813186813,45.3,12.5,72.1,0.2,-6.0,-12.3,1.0,91.0,43.8,13.7,3.0
COL,1.5397543632837751,62.3,10.6,0.4,29.5,24.2,18.9,3.4,309.4,476.4,40.8,24.5
COM,2.1596298438403703,67.8,6.9,0.0,30.3,26.8,23.4,3.8,345.8,746.8,50.2,29.2
COG,1.62485790071997,75.7,9.8,0.0,29.8,24.9,20.0,2.9,263.9,428.8,33.3,24.4
COD,1.373992673992674,75.2,10.8,0.0,29.1,23.7,18.3,3.0,273.0,375.1,34.0,23.0
CRI,1.0795257374204743,49.7,11.0,0.0,29.9,24.4,18.9,3.8,345.8,373.3,31.1,24.6
CIV,0.2622512622512623,58.3,14.5,0.0,34.2,27.0,19.8,3.7,336.7,88.3,10.1,19.8
HRV,5.2395604395604405,73.2,7.2,71.8,2.8,-0.8,-4.4,0.5,45.5,238.4,39.0,4.9
CUB,0.5412087912087912,48.3,10.3,0.0,28.2,23.0,17.9,3.2,291.2,157.6,21.2,21.4
CYP,2.227629513343799,53.7,8.4,17.5,13.3,9.0,4.9,1.4,127.4,283.8,34.9,9.3
CZE,4.509157509157508,82.7,5.5,81.1,-1.5,-4.2,-7.0,0.3,27.3,123.1,42.8,4.1
DNK,10.043956043956047,76.8,4.6,68.7,1.5,-0.8,-3.1,0.1,9.1,91.4,36.9,5.9
DJI,0.03233908948194663,38.6,9.8,0.0,27.7,22.8,17.9,3.5,318.5,10.3,1.1,22.2
DMA,4.927854753941711,49.6,5.1,0.0,22.8,20.2,17.7,2.3,209.3,1031.4,56.5,22.0
DOM,0.96585557299843,50.8,7.7,0.0,25.7,21.9,18.0,2.8,254.8,246.1,33.2,21.8
ECU,3.2879767291532005,79.1,12.4,2.7,28.4,22.2,16.0,3.4,309.4,1017.3,72.4,21.5
EGY,0.06009615384615385,29.9,14.4,11.9,20.7,13.5,6.3,3.2,291.2,17.5,3.8,7.9
SLV,0.06691086691086691,31.3,13.5,0.0,30.1,23.3,16.5,4.5,409.5,27.4,11.3,19.0
GNQ,1.4794871794871791,74.4,8.2,0.0,29.2,25.1,21.0,3.0,273.0,403.9,33.8,25.4
ERI,0.04230769230769231,24.0,14.3,0.3,29.3,22.1,14.9,4.0,364.0,15.4,4.5,16.8
EST,6.813186813186814,82.5,5.5,81.6,-2.4,-5.2,-8.0,0.1,9.1,62.0,38.8,4.2
ETH,0.07853122487268828,27.7,15.4,2.8,27.5,19.7,12.1,4.1,373.1,29.3,7.0,13.8
FJI,1.960795960795961,73.1,7.6,0.0,28.8,25.0,21.2,3.7,336.7,660.2,38.5,25.8
FIN,4.115384615384616,73.6,8.7,86.8,-3.1,-7.4,-11.8,0.2,18.2,74.9,52.0,3.0
FRA,3.1956043956043962,75.0,6.5,55.4,5.6,2.3,-0.9,0.5,45.5,145.4,37.2,6.7
GAB,1.947903947903948,84.2,8.4,0.0,29.8,25.6,21.5,2.7,245.7,478.6,36.5,25.7
GMB,0.0,28.8,17.4,0.0,34.0,25.2,16.5,4.6,418.6,0.0,0.0,12.9
GEO,4.406593406593408,77.2,6.8,81.4,-4.7,-8.1,-11.5,0.5,45.5,200.5,36.0,2.9
DEU,5.34065934065934,82.8,5.3,73.2,1.1,-1.6,-4.3,0.2,18.2,97.2,40.0,5.4
GHA,0.2967032967032967,56.5,14.4,0.0,34.7,27.5,20.3,4.0,364.0,108.0,23.2,17.9
GRC,4.266178266178265,61.6,7.4,38.6,9.0,5.3,1.6,0.9,81.9,349.4,37.0,7.5
GRD,1.1259026687598117,49.6,7.7,0.0,28.5,24.6,20.8,3.5,318.5,358.6,47.7,24.8
GTM,0.8070054945054945,45.0,10.9,0.6,26.7,21.2,15.8,3.2,291.2,235.0,27.2,20.3
GIN,0.04645354645354646,38.5,15.5,0.0,33.1,25.3,17.5,4.4,400.4,18.6,1.9,14.7
GNB,0.0039246467817896395,28.7,14.8,0.0,32.8,25.3,17.9,4.2,382.2,1.5,0.0,17.2
GUY,2.038156288156288,62.7,8.5,0.0,29.8,25.6,21.3,3.6,327.6,667.7,57.7,24.2
