Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.030403276622558286,23.2,15.1,1.8,31.0,23.5,16.0,6.9,634.8,19.3,5.5,8.0
ALB,0.10291396854764108,35.5,12.7,0.0,27.6,21.2,14.9,4.7,432.4,44.5,9.8,16.2
DZA,0.018944099378881987,38.1,14.9,0.0,38.8,31.3,23.8,7.0,644.0,12.2,3.1,11.9
AND,0.5975543478260871,47.5,12.6,2.2,21.0,14.7,8.4,4.0,368.0,219.9,33.4,10.6
AGO,0.006587615283267457,45.3,16.5,1.5,27.3,19.0,10.8,3.3,303.6,2.0,0.3,11.7
ATG,1.629693675889328,59.2,6.6,0.0,29.1,25.7,22.5,4.4,404.8,659.7,51.0,26.3
ARG,0.3868286445012787,48.3,12.1,36.2,14.5,8.5,2.4,1.7,156.4,60.5,11.9,7.8
ARM,0.26717391304347826,36.3,14.3,1.3,26.0,18.8,11.7,5.0,460.0,122.9,20.2,10.3
AUS,0.2894021739130435,30.2,13.8,9.3,21.9,15.0,8.1,3.2,294.4,85.2,16.5,9.7
AUT,1.0207201086956523,61.0,9.8,1.7,20.5,15.6,10.7,3.2,294.4,300.5,41.2,13.3
AZE,0.1575061525840853,40.8,13.2,1.2,29.9,23.3,16.7,5.3,487.6,76.8,14.9,15.0
BHS,0.8562801932367149,61.8,10.2,0.0,32.1,26.9,21.9,4.5,414.0,354.5,32.2,26.3
BHR,0.0,29.5,14.3,0.0,43.1,36.0,28.8,10.2,938.4,0.0,0.0,19.0
BGD,5.7550724637681165,84.8,5.4,0.0,30.2,27.5,24.8,3.0,276.0,1588.4,55.1,31.6
BRB,1.7717391304347827,60.4,6.9,0.0,29.5,26.0,22.5,4.0,368.0,652.0,55.9,27.8
BLR,0.7773207990599296,54.1,11.1,0.0,23.9,18.3,12.8,3.7,340.4,264.6,44.1,14.6
BEL,0.9106280193236715,65.5,10.8,0.0,23.1,17.7,12.3,3.6,331.2,301.6,52.9,14.4
BLZ,2.1407322654462244,60.0,8.3,0.0,30.4,26.3,22.1,3.8,349.6,748.4,60.6,29.9
BEN,2.4505928853754937,79.8,10.2,0.0,30.9,25.8,20.7,3.3,303.6,744.0,51.0,25.8
BTN,5.281702898550725,83.1,8.9,12.1,17.9,13.5,9.1,2.4,220.8,1166.2,64.5,12.8
BOL,0.3059006211180124,44.2,15.0,16.5,25.4,17.9,10.5,3.5,322.0,98.5,9.6,14.6
BIH,0.4060559006211181,45.8,12.3,0.0,26.1,20.0,13.9,4.2,386.4,156.9,23.9,15.0
BWA,0.015050167224080268,27.3,18.8,15.7,24.3,14.9,5.5,2.6,239.2,3.6,1.2,10.5
BRA,0.6989130434782609,58.7,12.0,0.6,28.7,22.6,16.7,3.0,276.0,192.9,29.1,21.4
BRN,2.7180925666199163,71.7,7.7,0.0,30.4,26.5,22.6,3.1,285.2,775.2,51.5,29.8
BGR,0.3498483316481294,46.0,12.7,0.0,27.2,20.8,14.5,4.3,395.6,138.4,21.1,17.0
BFA,1.1379962192816635,48.6,11.1,0.0,32.9,27.3,21.8,4.6,423.2,481.6,38.6,25.1
BDI,0.1787856071964018,57.1,13.6,0.6,24.0,17.2,10.4,2.9,266.8,47.7,12.8,15.7
CPV,0.2272727272727273,50.2,6.4,0.0,27.9,24.6,21.4,4.4,404.8,92.0,8.6,23.2
KHM,3.038218793828892,81.0,7.5,0.0,30.7,26.9,23.2,3.1,285.2,866.5,56.6,30.0
CMR,2.42512077294686,84.4,9.1,0.0,28.3,23.7,19.2,2.7,248.4,602.4,49.8,23.6
CAN,0.706103678929766,63.6,10.4,25.3,14.8,9.6,4.4,2.6,239.2,168.9,33.0,9.5
CAF,1.8930027173913044,63.7,10.1,0.0,29.0,23.9,18.9,3.2,294.4,557.3,42.7,24.1
TCD,0.3639492753623189,36.6,13.8,0.0,36.2,29.3,22.4,6.0,552.0,200.9,24.9,18.9
CHL,1.5971014492753624,47.9,9.0,45.0,9.6,5.1,0.6,1.5,138.0,220.4,14.4,5.9
CHN,0.9847826086956522,64.4,11.7,11.3,24.7,18.8,13.0,4.0,368.0,362.4,42.0,14.5
COL,3.805797101449276,76.0,9.2,0.2,28.5,23.8,19.2,3.0,276.0,1050.4,66.8,25.0
COM,0.41860465116279066,41.5,8.7,0.0,29.1,24.8,20.4,4.3,395.6,165.6,7.4,21.4
COG,0.9121739130434784,78.9,9.0,0.0,28.0,23.5,19.0,2.5,230.0,209.8,15.6,23.6
COD,0.7032608695652174,63.9,11.8,0.0,28.7,22.8,16.9,3.0,276.0,194.1,16.1,20.9
CRI,3.775155279503106,60.6,9.6,0.0,29.7,24.8,20.0,3.5,322.0,1215.6,69.8,27.3
CIV,2.146350931677018,86.4,8.3,0.0,29.5,25.3,21.2,2.8,257.6,552.9,50.2,25.8
HRV,0.44061505832449627,45.9,11.8,0.0,26.5,20.5,14.6,4.1,377.2,166.2,26.8,16.3
CUB,1.0170807453416149,60.5,9.7,0.0,31.6,26.7,21.9,4.2,386.4,393.0,37.8,27.9
CYP,0.0,23.7,11.8,0.0,31.5,25.6,19.7,6.3,579.6,0.0,0.0,18.1
CZE,0.4193363844393592,62.6,11.2,0.0,23.4,17.8,12.2,3.8,349.6,146.6,35.1,14.1
DNK,0.6599378881987578,58.3,8.6,0.0,21.4,17.1,12.8,3.5,322.0,212.5,40.1,14.6
DJI,0.2634575569358178,45.8,10.9,0.0,37.4,31.9,26.5,6.3,579.6,152.7,14.4,29.6
