Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.15325215325215327,25.7,14.8,19.7,21.8,14.4,7.0,3.7,336.7,51.6,11.7,5.2
ALB,1.4835164835164836,47.7,9.8,10.1,18.5,13.6,8.8,2.1,191.1,283.5,32.6,11.0
DZA,0.0656843156843157,36.8,13.6,0.6,31.2,24.3,17.6,4.4,400.4,26.3,6.1,11.1
AND,2.186234817813765,55.2,9.2,25.2,13.9,9.3,4.7,1.9,172.9,378.0,43.1,8.9
AGO,0.7237484737484737,66.1,13.4,0.0,29.0,22.3,15.6,3.6,327.6,237.1,20.6,17.7
ATG,2.150746689208228,59.9,6.6,0.0,30.5,27.2,23.8,3.9,354.9,763.3,51.1,28.7
ARG,0.3432149246102735,48.6,13.7,11.8,22.6,15.7,8.8,4.3,391.3,134.3,18.9,10.6
ARM,0.6752747252747253,47.2,11.7,33.5,14.7,8.8,3.0,2.0,182.0,122.9,24.1,6.1
AUS,0.2087912087912088,36.1,14.0,0.6,29.5,22.4,15.5,6.1,555.1,115.9,16.7,12.2
AUT,1.7197802197802197,56.3,7.4,28.2,11.7,7.9,4.2,1.4,127.4,219.1,38.7,8.9
AZE,0.8306693306693308,55.6,9.4,15.2,17.7,13.0,8.3,2.2,200.2,166.3,23.3,10.2
BHS,0.9405999405999406,54.8,9.1,0.0,31.1,26.5,22.0,3.7,336.7,316.7,30.0,25.8
BHR,0.000338123415046492,28.3,13.2,0.0,36.4,29.8,23.3,6.5,591.5,0.2,0.2,18.4
BGD,2.4535809018567645,54.7,7.7,0.0,30.1,26.2,22.4,2.9,263.9,647.5,23.5,25.7
BRB,2.190861769809138,53.9,6.7,0.0,30.3,27.0,23.6,3.8,345.8,757.6,45.9,29.1
BLR,1.2477522477522478,74.8,7.6,31.3,10.8,7.0,3.2,1.1,100.1,124.9,38.5,8.7
BEL,1.3626373626373625,65.7,7.7,12.0,15.4,11.5,7.7,1.4,127.4,173.6,46.9,11.7
BLZ,3.0074568288854,63.6,7.1,0.0,28.6,25.1,21.5,2.8,254.8,766.3,58.6,29.5
BEN,1.209114414996768,72.8,11.3,0.0,32.3,26.6,21.0,3.4,309.4,374.1,29.3,24.9
BTN,2.025117739403454,49.6,11.7,34.7,14.7,8.8,3.0,2.1,191.1,387.0,23.4,7.8
BOL,0.5855231724796942,61.2,13.2,7.9,29.0,22.4,15.8,4.6,418.6,245.1,22.0,18.7
BIH,1.813833225597932,57.8,9.6,18.4,16.2,11.3,6.6,1.7,154.7,280.6,40.3,10.4
BWA,0.12917694550347614,45.9,16.2,0.0,32.2,24.1,16.1,4.9,445.9,57.6,9.7,15.2
BRA,1.0676691729323309,70.8,11.4,0.0,31.6,25.9,20.2,3.8,345.8,369.2,45.7,25.0
BRN,3.1380494505494507,71.6,8.0,0.0,31.2,27.2,23.2,3.2,291.2,913.8,64.0,29.8
BGR,0.8698669751301329,55.4,9.7,15.8,17.1,12.2,7.3,1.9,172.9,150.4,18.0,10.8
BFA,0.568009768009768,33.6,12.4,0.0,34.0,27.8,21.6,4.5,409.5,232.6,23.7,22.3
BDI,1.1163542340012929,72.3,13.1,0.0,27.1,20.5,14.0,3.4,309.4,345.4,52.6,17.2
CPV,0.4832548403976975,44.7,7.1,0.0,29.0,25.4,21.9,4.2,382.2,184.7,13.5,24.6
KHM,2.6277472527472527,65.9,7.5,0.0,30.6,26.8,23.1,3.2,291.2,765.2,47.3,29.2
CMR,2.3351648351648358,74.4,10.4,0.0,29.4,24.1,19.0,3.0,273.0,637.5,49.9,22.6
CAN,2.3971742543171106,67.6,7.8,65.5,1.9,-2.0,-5.9,0.7,63.7,152.7,32.3,5.2
CAF,1.7397174254317112,49.8,12.0,0.0,30.3,24.3,18.3,3.5,318.5,554.1,38.7,22.5
TCD,0.2451686244789693,22.5,15.1,0.1,34.9,27.4,19.8,5.8,527.8,129.4,10.7,15.2
CHL,0.4923076923076923,49.9,10.1,28.3,13.8,8.8,3.7,3.0,273.0,134.4,10.6,7.3
CHN,0.6206174777603349,50.5,11.6,39.3,14.2,8.4,2.6,2.1,191.1,118.6,24.7,8.4
COL,3.306983339241403,74.2,9.8,0.2,29.1,24.2,19.3,3.1,282.1,932.9,60.6,25.3
COM,0.6440516005733398,46.6,8.4,0.0,29.8,25.6,21.4,4.6,418.6,269.6,24.3,24.8
COG,2.236263736263736,80.5,9.1,0.0,28.8,24.3,19.7,2.8,254.8,569.8,43.0,24.5
COD,1.6308379120879122,71.2,11.2,0.0,29.6,24.0,18.4,3.2,291.2,474.9,38.7,22.4
CRI,3.2435306628855014,63.9,9.5,0.0,28.8,24.0,19.3,3.1,282.1,915.0,55.3,26.1
CIV,1.4933687002652525,75.4,8.3,0.0,30.1,25.9,21.8,2.9,263.9,394.1,38.7,26.6
HRV,1.982546864899806,58.1,9.2,14.1,17.1,12.5,7.9,1.7,154.7,306.7,38.7,11.3
CUB,1.7706043956043958,59.2,8.1,0.0,30.5,26.4,22.3,3.2,291.2,515.6,39.9,28.3
CYP,0.1101953601953602,30.6,11.0,0.3,26.8,21.2,15.7,3.6,327.6,36.1,10.0,16.3
CZE,0.9267399267399268,67.7,8.2,25.7,13.1,8.9,4.9,1.5,136.5,126.5,36.4,9.3
DNK,1.888111888111888,63.9,5.8,13.8,12.9,10.0,7.1,1.1,100.1,189.0,43.5,10.9
DJI,0.4356684981684982,35.7,10.8,0.0,32.9,27.5,22.1,4.8,436.8,190.3,9.5,26.3
DMA,4.408163265306122,58.7,6.5,0.0,26.8,23.5,20.3,2.8,254.8,1123.2,57.1,26.4
DOM,1.8025412087912087,61.8,8.4,0.0,29.9,25.7,21.5,3.2,291.2,524.9,48.1,27.0
ECU,1.569097569097569,81.2,13.1,3.9,28.0,21.4,14.9,3.3,300.3,471.2,50.3,20.0
EGY,0.005598175409496165,23.3,13.8,0.0,31.7,24.8,17.9,5.3,482.3,2.7,0.4,14.7
SLV,1.9523809523809519,54.9,10.1,0.0,28.5,23.5,18.5,3.3,300.3,586.3,56.0,24.7
GNQ,4.228233305156381,89.9,7.7,0.0,28.4,24.5,20.7,2.6,236.6,1000.4,65.0,25.8
ERI,0.11316343231236847,23.7,13.1,0.0,32.0,25.4,18.9,4.7,427.7,48.4,6.8,21.0
EST,1.879120879120879,78.8,6.4,24.4,10.9,7.7,4.5,1.0,91.0,171.0,42.5,8.9
ETH,0.6925824175824176,42.1,13.8,1.3,28.2,21.3,14.4,4.0,364.0,252.1,19.6,16.8
FJI,1.7218045112781954,68.7,6.6,0.0,27.4,24.1,20.8,3.8,345.8,595.4,74.7,22.6
FIN,2.793040293040293,75.5,6.0,39.6,7.6,4.6,1.6,0.6,54.6,152.5,48.5,7.5
FRA,2.046016483516484,62.3,7.7,10.8,16.2,12.3,8.5,1.6,145.6,297.9,45.2,11.7
GAB,3.292307692307692,91.8,8.1,0.0,29.2,25.1,21.1,2.5,227.5,749.0,53.3,25.7
GMB,1.093131868131868,41.2,11.3,0.0,33.5,27.8,22.1,4.0,364.0,397.9,37.9,26.1
GEO,1.7165991902834008,55.6,11.1,40.4,12.8,7.2,1.7,1.9,172.9,296.8,32.9,6.7
DEU,1.1039729501267963,65.9,7.7,18.2,14.1,10.2,6.4,1.3,118.3,130.6,40.9,10.7
