Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.2895962732919255,46.0,13.9,21.9,21.0,14.0,7.1,4.2,386.4,111.9,20.9,7.0
ALB,0.9790372670807452,66.2,9.3,13.3,16.6,11.9,7.2,2.8,257.6,252.2,39.0,8.4
DZA,0.0383399209486166,43.0,14.6,0.8,30.2,22.8,15.6,5.5,506.0,19.4,5.0,8.2
AND,1.751890359168242,71.3,9.1,32.7,11.8,7.2,2.7,2.3,211.6,370.7,45.2,6.9
AGO,1.0021037868162694,63.7,13.0,0.0,29.5,22.9,16.5,3.1,285.2,285.8,23.0,20.0
ATG,1.5719806763285022,60.1,6.8,0.0,29.5,26.1,22.8,4.5,414.0,650.8,46.9,25.9
ARG,0.9436392914653784,51.3,11.5,14.2,20.5,14.7,9.0,2.7,248.4,234.4,24.3,12.3
ARM,1.2627599243856331,68.0,11.2,45.4,12.0,6.4,0.8,2.3,211.6,267.2,45.8,5.6
AUS,0.12364130434782608,36.8,14.2,0.6,30.0,22.9,15.9,4.8,441.6,54.6,10.2,14.3
AUT,1.3522727272727273,65.0,9.4,34.7,12.4,7.7,3.0,2.2,202.4,273.7,37.2,7.6
AZE,0.8030434782608695,70.4,10.8,20.1,16.2,10.8,5.4,2.5,230.0,184.7,32.9,9.2
BHS,0.6998149861239594,45.2,9.5,0.0,30.1,25.3,20.6,4.7,432.4,302.6,23.2,23.0
BHR,0.015942028985507246,41.2,13.7,0.0,35.2,28.3,21.5,7.5,690.0,11.0,7.7,17.2
BGD,1.067687747035573,49.2,9.7,0.0,31.7,26.8,22.0,4.4,404.8,432.2,23.8,23.6
BRB,1.128705533596838,61.4,7.0,0.0,29.9,26.4,22.9,4.4,404.8,456.9,50.8,26.4
BLR,0.3795986622073579,59.5,10.8,31.1,14.5,9.1,3.7,2.6,239.2,90.8,26.6,7.7
BEL,0.7958412098298677,65.5,9.4,16.5,14.8,10.1,5.5,2.3,211.6,168.4,43.7,9.4
BLZ,0.6545368620037807,49.3,10.0,0.0,31.6,26.6,21.6,4.6,423.2,277.0,23.0,27.3
BEN,0.4021739130434783,72.0,12.1,0.0,36.8,30.7,24.7,4.9,450.8,181.3,20.0,24.8
BTN,1.390901771336554,54.6,11.9,39.8,13.6,7.6,1.6,2.7,248.4,345.5,25.9,7.2
BOL,1.0411725955204216,63.0,11.6,7.5,27.6,21.7,15.9,3.3,303.6,316.1,29.3,20.6
BIH,1.190217391304348,69.4,10.2,17.4,16.4,11.2,6.1,2.6,239.2,284.7,36.1,8.6
