Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.04836121697003572,0.2895752895752895,0.7573529411764706,0.42830882352941174,0.5757575757575758,0.5579514824797843,0.48445595854922285,0.5156249999999999,0.515625,0.04732172198488334,0.16191299337366752,0.13029315960912052
ALB,0.3022299490980602,0.5173745173745173,0.4264705882352941,0.2047794117647059,0.51010101010101,0.5471698113207547,0.5336787564766841,0.28125,0.28125,0.1880620201356317,0.435609334485739,0.28664495114006516
DZA,0.009381350741451728,0.26126126126126126,0.8235294117647057,0.036029411764705886,0.8484848484848485,0.8382749326145552,0.7435233160621763,0.65625,0.65625,0.011113434708571086,0.04465571881302218,0.2638436482084691
AND,0.2705615247919628,0.5276705276705277,0.4485294117647058,0.3871323529411765,0.42424242424242425,0.4528301886792453,0.4378238341968912,0.265625,0.265625,0.16181698682520237,0.4454047824834342,0.21498371335504887
AGO,0.19231369954309233,0.5933075933075932,0.7279411764705882,0.0033088235294117647,0.7904040404040404,0.7897574123989218,0.7124352331606219,0.390625,0.390625,0.15188360768380485,0.2281763180639585,0.5407166123778502
ATG,0.338168785337201,0.4774774774774774,0.27205882352941174,0.0,0.8282828282828282,0.9164420485175202,0.9170984455958551,0.578125,0.578125,0.36475666955456637,0.5900316911552866,0.8110749185667754
ARG,0.12083353366530822,0.33719433719433717,0.676470588235294,0.21691176470588236,0.611111111111111,0.6118598382749326,0.5518134715025906,0.43749999999999994,0.4375,0.10403907627042691,0.22414289830020165,0.3355048859934854
ARM,0.12510708654659194,0.4478764478764478,0.5955882352941175,0.5474264705882353,0.4292929292929293,0.43126684636118595,0.39119170984455964,0.296875,0.296875,0.0806321512861112,0.28089887640449435,0.16612377850162866
AUS,0.05569087211923872,0.23680823680823682,0.7720588235294117,0.03125,0.8106060606060607,0.8059299191374664,0.7202072538860104,0.734375,0.734375,0.0733725689361575,0.1702679343128781,0.3745928338762215
AUT,0.46631145676715274,0.6344916344916345,0.338235294117647,0.41250000000000003,0.3787878787878788,0.42587601078167114,0.43264248704663216,0.14062499999999997,0.140625,0.1896304484211155,0.5355805243445693,0.24755700325732902
AZE,0.0791844406750058,0.5006435006435007,0.5220588235294117,0.33749999999999997,0.5328282828282829,0.5525606469002695,0.5207253886010363,0.32812499999999994,0.328125,0.05471574104502136,0.19302794583693458,0.2801302931596092
BHS,0.2289315915814493,0.4774774774774774,0.47058823529411764,0.0,0.8409090909090908,0.8921832884097035,0.8549222797927463,0.5156249999999999,0.515625,0.22486780390165204,0.3388072601555747,0.736156351791531
BHR,0.008546890832958431,0.23809523809523805,0.6617647058823529,0.0,0.9393939393939394,0.9622641509433961,0.8911917098445596,0.953125,0.953125,0.014205479042810621,0.07173725151253241,0.511400651465798
BGD,0.4089436655646473,0.4787644787644788,0.41911764705882343,0.0,0.8055555555555555,0.8652291105121294,0.8419689119170986,0.37500000000000006,0.375,0.3135064081498521,0.2301930279458369,0.719869706840391
BRB,0.35628490222989945,0.49163449163449163,0.27205882352941174,0.0,0.8282828282828282,0.9164420485175202,0.9145077720207254,0.5156249999999999,0.515625,0.3500881307322319,0.5188706424661481,0.8469055374592834
BLR,0.18455618654696002,0.6087516087516087,0.3602941176470588,0.49411764705882355,0.3686868686868687,0.40970350404312667,0.4145077720207255,0.17187499999999997,0.171875,0.0836345711468945,0.3581100547392682,0.23778501628664495
BEL,0.2637535993355761,0.6705276705276706,0.35294117647058826,0.1735294117647059,0.4671717171717172,0.5148247978436657,0.5155440414507773,0.18749999999999997,0.1875,0.12605682191617124,0.5424949582252953,0.30618892508143325
BLZ,0.37882304386182103,0.5508365508365508,0.4044117647058823,0.0,0.8333333333333333,0.8975741239892182,0.8730569948186531,0.45312500000000006,0.453125,0.3358677142771786,0.5315471045808124,0.8501628664495114
BEN,0.15424843815811853,0.667953667953668,0.5661764705882352,0.0,0.9191919191919191,0.9595687331536388,0.9041450777202074,0.5156249999999999,0.515625,0.15143548531652376,0.28262748487467587,0.7166123778501629
BTN,0.4771050251930723,0.4736164736164736,0.639705882352941,0.5676470588235294,0.4191919191919192,0.40970350404312667,0.3626943005181348,0.21875,0.21875,0.2512920861589938,0.2806107749927974,0.21172638436482083
BOL,0.19763637269372322,0.5817245817245817,0.6249999999999999,0.11433823529411766,0.7651515151515151,0.784366576819407,0.7279792746113991,0.46875,0.46875,0.179846443402145,0.29703255545952173,0.5895765472312704
BIH,0.4054471222981424,0.5881595881595881,0.4485294117647058,0.25588235294117645,0.4848484848484848,0.5175202156334231,0.5,0.21875,0.21875,0.2134854957727123,0.480841256122155,0.2899022801302932
BWA,0.062426536407402075,0.30115830115830117,0.9338235294117646,0.03897058823529412,0.8308080808080808,0.7978436657681941,0.683937823834197,0.48437499999999994,0.484375,0.058136408448600366,0.13915298184961106,0.511400651465798
BRA,0.32964621672036337,0.6949806949806949,0.5,0.0,0.8484848484848485,0.8948787061994607,0.8523316062176167,0.390625,0.390625,0.2605682191617124,0.5883030826851051,0.8078175895765473
BRN,0.5216021952377969,0.6705276705276706,0.338235294117647,0.0,0.856060606060606,0.9326145552560647,0.9196891191709846,0.390625,0.390625,0.4124817016700027,0.5885911840968021,0.9120521172638437
BGR,0.2400950721701211,0.6473616473616473,0.4411764705882352,0.28566176470588234,0.48989898989898983,0.5229110512129379,0.5077720207253887,0.24999999999999997,0.25,0.13778269052669315,0.3212330740420628,0.2899022801302932
BFA,0.09663625402201344,0.2329472329472329,0.6911764705882353,0.0,0.9595959595959596,0.9784366576819405,0.9015544041450778,0.6875,0.6875,0.12039554267618677,0.2071449150100835,0.5928338762214984
BDI,0.2449540967730278,0.734877734877735,0.6029411764705881,0.0,0.7297979797979798,0.7493261455525606,0.6968911917098446,0.35937499999999994,0.359375,0.18177336958145368,0.5551714203399597,0.5309446254071661
CPV,0.05304652279865932,0.31917631917631917,0.2867647058823529,0.0,0.7575757575757576,0.8382749326145552,0.8367875647668395,0.5625,0.5625,0.05577629731425328,0.10342840679919331,0.6319218241042346
KHM,0.3146510109255776,0.5637065637065637,0.39705882352941174,0.0,0.8712121212121212,0.9380053908355794,0.9145077720207254,0.45312500000000006,0.453125,0.27892629880799447,0.37683664649956783,0.8697068403908794
CMR,0.27569613904016277,0.6885456885456885,0.47058823529411764,0.0,0.8207070707070707,0.8733153638814015,0.839378238341969,0.40624999999999994,0.40625,0.22449436859558447,0.4036300777873812,0.6710097719869708
CAN,0.3094691330394257,0.5765765765765766,0.4411764705882352,0.9143382352941176,0.06313131313131314,0.07008086253369271,0.06994818652849741,0.04687500000000001,0.046875,0.08109521106563498,0.3125900316911553,0.1205211726384365
CAF,0.2228788371874767,0.38996138996138996,0.6470588235294118,0.0,0.8636363636363636,0.8840970350404311,0.8186528497409327,0.46875,0.46875,0.20285005825590774,0.30884471333909536,0.6579804560260586
TCD,0.03398335247039597,0.09395109395109395,0.9044117647058824,0.0058823529411764705,0.9621212121212122,0.9433962264150944,0.8316062176165803,0.84375,0.84375,0.0505183282048218,0.10285220397579946,0.4006514657980456
CHL,0.1468488367392581,0.38095238095238093,0.4264705882352941,0.4036764705882353,0.40404040404040403,0.4339622641509434,0.42487046632124353,0.28125,0.28125,0.09117796432945956,0.13367905502736963,0.20195439739413681
CHN,0.14344703008570436,0.49163449163449163,0.6029411764705881,0.5812499999999999,0.4065656565656566,0.40431266846361186,0.36528497409326427,0.28125,0.28125,0.08905685179099573,0.27225583405358683,0.20521172638436483
COL,0.43017301530284635,0.7245817245817245,0.45588235294117635,0.0011029411764705882,0.8232323232323232,0.876010781671159,0.844559585492228,0.390625,0.390625,0.340124876766349,0.5278017862287525,0.8013029315960912
COM,0.24614396196969865,0.45431145431145425,0.338235294117647,0.0,0.8257575757575758,0.9002695417789757,0.8886010362694301,0.5156249999999999,0.515625,0.24179189197263462,0.3027945836934601,0.8078175895765473
