Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.001212717141920682,0.256,0.6718749999999999,0.01935483870967742,0.796398891966759,0.784570596797671,0.762962962962963,0.5901639344262296,0.6050420168067226,0.00999662276258021,0.14838709677419354,0.25655976676384845
ALB,0.008412979351032449,0.29,0.5468749999999999,0.0,0.7271468144044321,0.7307132459970888,0.725925925925926,0.4098360655737705,0.42016806722689076,0.048159405606214116,0.3064516129032258,0.41399416909620995
DZA,0.00014956998628941793,0.373,0.6614583333333331,0.0,0.8822714681440443,0.87627365356623,0.8577777777777778,0.5819672131147541,0.5966386554621849,0.0012158054711246201,0.03225806451612903,0.32944606413994176
AND,0.0026401179941002947,0.413,0.5364583333333331,0.035483870967741936,0.6371191135734072,0.636098981077147,0.6311111111111111,0.3278688524590164,0.33613445378151263,0.012090509962850387,0.2064516129032258,0.30612244897959184
AGO,3.687315634218289e-05,0.43200000000000005,0.7447916666666665,0.02903225806451613,0.7229916897506925,0.6972343522561864,0.6637037037037037,0.26229508196721313,0.26890756302521013,0.00013508949679162446,0.0,0.32653061224489804
ATG,0.017502458210422813,0.588,0.2395833333333333,0.0,0.7590027700831025,0.8064046579330423,0.8459259259259259,0.36885245901639346,0.3781512605042017,0.09017223910840932,0.45806451612903226,0.7580174927113703
ARG,0.006120943952802361,0.45899999999999996,0.5208333333333333,0.4612903225806452,0.5457063711911357,0.5414847161572053,0.5362962962962963,0.13114754098360656,0.13445378151260506,0.01121242823370483,0.11612903225806452,0.20991253644314872
ARM,0.0028385373184170977,0.397,0.5208333333333333,0.0,0.7271468144044321,0.7336244541484717,0.7318518518518519,0.43442622950819676,0.4453781512605043,0.017223910840932118,0.15806451612903227,0.32944606413994176
AUS,0.004235145385587863,0.303,0.5937499999999999,0.2,0.6329639889196677,0.6244541484716157,0.6103703703703703,0.22950819672131148,0.23529411764705882,0.013576494427558258,0.13870967741935483,0.2682215743440234
AUT,0.030540806293018682,0.594,0.3229166666666666,0.041935483870967745,0.5997229916897506,0.6273653566229985,0.6518518518518519,0.24590163934426232,0.25210084033613445,0.10489699425869639,0.5483870967741935,0.34985422740524785
AZE,0.0013914398619691655,0.467,0.4531249999999999,0.0032258064516129032,0.7686980609418282,0.7874818049490538,0.797037037037037,0.43442622950819676,0.4453781512605043,0.008443093549476529,0.08387096774193549,0.4868804664723032
BHS,0.013464437889216651,0.609,0.3802083333333332,0.0,0.7977839335180056,0.826783114992722,0.8474074074074074,0.36885245901639346,0.3781512605042017,0.06936845660249916,0.34516129032258064,0.7959183673469388
BHR,0.0,0.324,0.6041666666666665,0.0,0.9529085872576176,0.9592430858806406,0.9496296296296295,0.8114754098360657,0.8319327731092437,0.0,0.0,0.5568513119533528
BGD,0.07766676182319916,0.848,0.15625,0.0,0.7770083102493075,0.8369723435225618,0.8888888888888888,0.2540983606557377,0.2605042016806723,0.2756501182033097,0.5096774193548387,0.9125364431486881
BRB,0.03433930867559186,0.6,0.22916666666666666,0.0,0.760387811634349,0.8078602620087336,0.8503703703703703,0.319672131147541,0.32773109243697485,0.15332657885849374,0.6451612903225806,0.8075801749271138
BLR,0.019486378622245358,0.569,0.3749999999999999,0.0,0.6509695290858726,0.6739446870451237,0.6918518518518518,0.27868852459016397,0.28571428571428575,0.07585275244849712,0.5516129032258065,0.41399416909620995
BEL,0.02847742228273202,0.67,0.3281249999999999,0.0,0.6246537396121884,0.6521106259097524,0.677037037037037,0.21311475409836067,0.2184873949579832,0.08476865923674434,0.6000000000000001,0.44023323615160354
