Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.02104228121927237,0.46,0.4791666666666666,0.6387096774193549,0.48476454293628807,0.4847161572052402,0.4859259259259259,0.12295081967213116,0.12605042016806722,0.03613644039175954,0.25483870967741934,0.11078717201166181
ALB,0.1263520157325467,0.753,0.26041666666666663,0.5419354838709678,0.4584487534626039,0.487627365356623,0.5185185185185185,0.04918032786885246,0.0504201680672269,0.08679500168861871,0.43870967741935485,0.1982507288629738
DZA,0.0017453294001966565,0.32299999999999995,0.5729166666666666,0.132258064516129,0.6232686980609418,0.6171761280931587,0.6059259259259259,0.19672131147540983,0.2016806722689076,0.004795677136102668,0.04838709677419355,0.18950437317784258
AND,0.044739429695181895,0.65,0.21354166666666663,0.7870967741935483,0.40027700831024926,0.43231441048034935,0.4681481481481481,0.04918032786885246,0.0504201680672269,0.030732860520094562,0.25161290322580643,0.14285714285714288
AGO,0.024466423737636644,0.79,0.4479166666666666,0.0,0.7520775623268697,0.770014556040757,0.7792592592592592,0.27868852459016397,0.28571428571428575,0.09523809523809523,0.39354838709677414,0.5830903790087464
ATG,0.021662979351032445,0.542,0.2447916666666666,0.0,0.7326869806094183,0.777292576419214,0.8148148148148148,0.26229508196721313,0.26890756302521013,0.07936507936507936,0.4483870967741936,0.6938775510204082
ARG,0.003805309734513274,0.436,0.6562499999999999,0.04838709677419355,0.7368421052631579,0.7234352256186317,0.7022222222222222,0.49180327868852464,0.5042016806722689,0.026139817629179333,0.2161290322580645,0.35860058309037907
ARM,0.010282343025705857,0.6459999999999999,0.41666666666666663,0.9225806451612903,0.38088642659279776,0.38427947598253276,0.3911111111111111,0.05737704918032787,0.058823529411764705,0.00824045930428909,0.2129032258064516,0.0641399416909621
AUS,0.004782694198623402,0.363,0.6458333333333333,0.0,0.835180055401662,0.8282387190684134,0.8103703703703703,0.6147540983606558,0.6302521008403362,0.04106720702465383,0.2129032258064516,0.4373177842565598
AUT,0.16386430678466074,0.701,0.14062499999999997,0.7967741935483871,0.36980609418282545,0.4119359534206696,0.4577777777777778,0.03278688524590164,0.033613445378151266,0.07504221546774738,0.5806451612903226,0.1341107871720117
AZE,0.008849557522123892,0.6759999999999999,0.3541666666666666,0.6096774193548387,0.4584487534626039,0.4745269286754003,0.49185185185185176,0.06557377049180328,0.06722689075630253,0.008105369807497468,0.18064516129032257,0.15743440233236153
BHS,0.006916895534533618,0.445,0.4114583333333333,0.0,0.724376731301939,0.745269286754003,0.76,0.2377049180327869,0.24369747899159666,0.022965214454576156,0.1935483870967742,0.5422740524781341
BHR,0.004904129793510324,0.363,0.46354166666666663,0.0,0.6772853185595568,0.6885007278020377,0.6948148148148148,0.26229508196721313,0.26890756302521013,0.017966903073286054,0.23870967741935484,0.3644314868804665
BGD,0.005478297513695744,0.239,0.43749999999999994,0.0,0.6828254847645429,0.6986899563318777,0.7081481481481481,0.17213114754098363,0.1764705882352941,0.013171225937183385,0.016129032258064516,0.49854227405247814
BRB,0.033370206489675515,0.525,0.23437499999999997,0.0,0.7354570637119113,0.7816593886462883,0.8222222222222222,0.26229508196721313,0.26890756302521013,0.12225599459642013,0.567741935483871,0.6967930029154519
