Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.01592920353982301,0.521,0.4843749999999999,0.7548387096774193,0.45290858725761773,0.4512372634643377,0.44888888888888884,0.12295081967213116,0.12605042016806722,0.02735562310030395,0.20967741935483872,0.09329446064139942
ALB,0.059324811537200914,0.7440000000000001,0.2760416666666667,0.5838709677419355,0.45290858725761773,0.4788937409024745,0.5081481481481481,0.0737704918032787,0.07563025210084033,0.061127997298210064,0.4,0.1690962099125365
DZA,0.0006126616746085774,0.327,0.5885416666666665,0.15161290322580645,0.6246537396121884,0.6157205240174671,0.6029629629629629,0.21311475409836067,0.2184873949579832,0.0018237082066869302,0.025806451612903226,0.1807580174927114
AND,0.07040314650934121,0.625,0.3229166666666666,0.8096774193548387,0.41828254847645424,0.43668122270742354,0.4577777777777778,0.0737704918032787,0.07563025210084033,0.07254305977710233,0.47096774193548385,0.1370262390670554
AGO,0.03376713517265313,0.792,0.46354166666666663,0.0,0.7562326869806094,0.7729257641921398,0.7807407407407406,0.27868852459016397,0.28571428571428575,0.1314420803782506,0.4258064516129032,0.5568513119533528
ATG,0.02744915385809657,0.48100000000000004,0.2552083333333333,0.0,0.7409972299168974,0.7860262008733624,0.8222222222222222,0.3114754098360656,0.319327731092437,0.11941911516379602,0.5903225806451613,0.6763848396501458
ARG,0.00655070694741125,0.491,0.5937499999999999,0.025806451612903226,0.7520775623268697,0.7496360989810771,0.7392592592592593,0.4754098360655738,0.4873949579831933,0.04349881796690308,0.23225806451612904,0.4344023323615161
ARM,0.01445427728613569,0.6920000000000001,0.30208333333333326,0.9580645161290322,0.31994459833795014,0.33624454148471616,0.35851851851851846,0.04918032786885246,0.0504201680672269,0.009929078014184396,0.264516129032258,0.05539358600583091
AUS,0.00727630285152409,0.385,0.6041666666666665,0.0,0.8324099722991689,0.8326055312954876,0.8207407407407408,0.5901639344262296,0.6050420168067226,0.05997973657548125,0.2161290322580645,0.4956268221574344
AUT,0.07212389380530973,0.716,0.18749999999999997,0.8903225806451613,0.3462603878116343,0.3799126637554585,0.4192592592592592,0.03278688524590164,0.033613445378151266,0.033029381965552176,0.4483870967741936,0.10787172011661808
AZE,0.014675516224188789,0.701,0.2552083333333333,0.7,0.4099722991689751,0.438136826783115,0.4681481481481481,0.06557377049180328,0.06722689075630253,0.013441404930766633,0.25483870967741934,0.1370262390670554
BHS,0.00936086529006883,0.494,0.41666666666666663,0.0,0.7119113573407202,0.7321688500727801,0.7466666666666667,0.24590163934426232,0.25210084033613445,0.03215130023640662,0.14193548387096774,0.5072886297376094
BHR,0.004077737289606107,0.377,0.4479166666666666,0.0,0.6662049861495845,0.6797671033478894,0.6874074074074074,0.27868852459016397,0.28571428571428575,0.015873015873015872,0.1870967741935484,0.3440233236151604
BGD,0.003269419862340216,0.24100000000000002,0.5468749999999999,0.0,0.6966759002770082,0.6986899563318777,0.6918518518518518,0.19672131147540983,0.2016806722689076,0.008983451536643027,0.02903225806451613,0.44023323615160354
BRB,0.02096787052539265,0.48100000000000004,0.25,0.0,0.745152354570637,0.7903930131004366,0.8281481481481481,0.3032786885245902,0.31092436974789917,0.08882134414049307,0.5451612903225806,0.6967930029154519
BLR,0.09852507374631267,0.866,0.17708333333333331,0.970967741935484,0.2880886426592798,0.32168850072780203,0.36148148148148146,0.01639344262295082,0.016806722689075633,0.022559945964201283,0.567741935483871,0.0903790087463557
BEL,0.0726843657817109,0.8290000000000001,0.16145833333333331,0.5806451612903226,0.4293628808864266,0.4701601164483261,0.514074074074074,0.04098360655737705,0.04201680672268908,0.04160756501182033,0.6290322580645161,0.18658892128279886
BLZ,0.05234853641933288,0.545,0.30729166666666663,0.0,0.7229916897506925,0.759825327510917,0.788148148148148,0.21311475409836067,0.2184873949579832,0.15582573454913878,0.7032258064516129,0.6938775510204082
BEN,3.765769158350593e-05,0.5870000000000001,0.6770833333333333,0.0,0.8213296398891966,0.8107714701601164,0.7896296296296296,0.3852459016393443,0.3949579831932773,0.00020263424518743666,0.0032258064516129032,0.37609329446064144
BTN,0.0055366462446108464,0.282,0.7031249999999999,0.832258064516129,0.4515235457063712,0.4192139737991266,0.38518518518518513,0.10655737704918034,0.1092436974789916,0.00824045930428909,0.054838709677419356,0.11953352769679303
BOL,0.03216743924708527,0.753,0.42708333333333326,0.02258064516129032,0.7617728531855955,0.7831149927219796,0.7955555555555555,0.34426229508196726,0.3529411764705882,0.15467747382641,0.5548387096774193,0.6501457725947521
BIH,0.08220255653883972,0.7929999999999999,0.2395833333333333,0.7935483870967742,0.3961218836565097,0.42358078602620086,0.45629629629629626,0.04918032786885246,0.0504201680672269,0.056467409658899015,0.432258064516129,0.13119533527696794
BWA,0.008030822948648486,0.5760000000000001,0.6145833333333331,0.0,0.8296398891966759,0.8282387190684134,0.8148148148148148,0.40163934426229514,0.411764705882353,0.04505234718000676,0.2967741935483871,0.6472303206997085
BRA,0.043318137123446857,0.809,0.3802083333333332,0.0,0.7756232686980609,0.8034934497816594,0.8237037037037036,0.27049180327868855,0.2773109243697479,0.16366092536305302,0.7870967741935483,0.7696793002915452
BRN,0.056090899158745766,0.7120000000000001,0.15104166666666663,0.0,0.7396121883656509,0.7976710334788937,0.8503703703703703,0.2213114754098361,0.22689075630252103,0.17338736913204997,0.5935483870967742,0.8600583090379009
BGR,0.06293018682399214,0.8390000000000001,0.16666666666666663,0.767741935483871,0.38781163434903043,0.4264919941775837,0.46962962962962956,0.04918032786885246,0.0504201680672269,0.04322863897331983,0.3419354838709677,0.13994169096209916
BFA,0.0,0.213,0.7708333333333331,0.0,0.8116343490304709,0.7874818049490538,0.7511111111111111,0.4098360655737705,0.42016806722689076,0.0,0.0032258064516129032,0.2157434402332362
BDI,0.028845343447113363,0.8440000000000001,0.5833333333333333,0.0,0.721606648199446,0.7190684133915576,0.7081481481481481,0.22950819672131148,0.23529411764705882,0.09246876055386694,0.6903225806451613,0.5276967930029154
CPV,0.0,0.385,0.2864583333333333,0.0,0.7105263157894736,0.7481804949053857,0.7807407407407406,0.3114754098360656,0.319327731092437,0.0,0.0,0.5364431486880467
KHM,0.0006391347099311701,0.44,0.4583333333333332,0.0,0.7756232686980609,0.7933042212518194,0.8014814814814814,0.2950819672131148,0.3025210084033613,0.0026342451874366768,0.02258064516129032,0.6443148688046647
CMR,0.002297779847849713,0.556,0.4583333333333332,0.0,0.7770083102493075,0.7947598253275109,0.8029629629629629,0.3114754098360656,0.319327731092437,0.00999662276258021,0.06774193548387097,0.5393586005830904
CAN,0.16283185840707962,0.5539999999999999,0.3697916666666666,0.9870967741935485,0.13434903047091412,0.1324599708879185,0.1407407407407407,0.00819672131147541,0.008403361344537816,0.018642350557244176,0.25483870967741934,0.03790087463556851
CAF,0.0006047197640117992,0.33399999999999996,0.7187499999999999,0.0,0.8019390581717452,0.784570596797671,0.7555555555555555,0.3278688524590164,0.33613445378151263,0.0027693346842283012,0.02903225806451613,0.4169096209912537
TCD,3.4704147145583904e-05,0.142,0.7812499999999998,0.02903225806451613,0.7645429362880887,0.735080058224163,0.6962962962962963,0.4180327868852459,0.4285714285714286,0.00020263424518743666,0.0,0.20408163265306123
CHL,0.007669616519174041,0.5589999999999999,0.38541666666666663,0.11612903225806452,0.5969529085872576,0.6142649199417759,0.6311111111111111,0.319672131147541,0.32773109243697485,0.0342451874366768,0.17096774193548386,0.2682215743440234
CHN,0.006424123238282531,0.43799999999999994,0.5312499999999999,0.8129032258064516,0.3448753462603878,0.3304221251819505,0.31999999999999995,0.0737704918032787,0.07563025210084033,0.006619385342789599,0.14516129032258066,0.0816326530612245
COL,0.0068174369059324814,0.598,0.44270833333333326,0.0032258064516129032,0.7756232686980609,0.7947598253275109,0.8059259259259259,0.2950819672131148,0.3025210084033613,0.028098615332657888,0.1870967741935484,0.7084548104956268
COM,0.03391610907259516,0.6970000000000001,0.22916666666666666,0.0,0.7839335180055401,0.8326055312954876,0.8755555555555554,0.3360655737704918,0.3445378151260504,0.1592029719689294,0.5580645161290323,0.8454810495626823
COG,0.01525495153813738,0.767,0.3749999999999999,0.0,0.7631578947368421,0.7903930131004366,0.8103703703703703,0.22950819672131148,0.23529411764705882,0.048902397838568055,0.2032258064516129,0.7317784256559767
COD,0.021238938053097345,0.753,0.46354166666666663,0.0,0.7686980609418282,0.784570596797671,0.7925925925925926,0.2540983606557377,0.2605042016806723,0.07537993920972644,0.3258064516129032,0.6618075801749271
CRI,0.005666821922061791,0.496,0.4531249999999999,0.0,0.7700831024930748,0.7874818049490538,0.797037037037037,0.3114754098360656,0.319327731092437,0.02465383316447146,0.17419354838709677,0.7113702623906706
CIV,0.002191319005478297,0.5529999999999999,0.6041666666666665,0.0,0.8074792243767313,0.8064046579330423,0.7955555555555555,0.2868852459016394,0.29411764705882354,0.008780817291455589,0.06774193548387097,0.5451895043731778
HRV,0.09545722713864307,0.7559999999999999,0.26041666666666663,0.7419354838709677,0.41412742382271467,0.43959243085880645,0.46962962962962956,0.04098360655737705,0.04201680672268908,0.0546437014522121,0.39354838709677414,0.15160349854227406
CUB,0.011484759095378563,0.46299999999999997,0.4114583333333333,0.0,0.7313019390581716,0.7540029112081513,0.7688888888888888,0.24590163934426232,0.25210084033613445,0.03944613306315434,0.22903225806451613,0.6034985422740525
CYP,0.07898230088495575,0.5589999999999999,0.3229166666666666,0.11935483870967742,0.556786703601108,0.5822416302765647,0.6074074074074074,0.13114754098360656,0.13445378151260506,0.14468085106382977,0.5774193548387097,0.2623906705539359
CZE,0.09164208456243854,0.8740000000000001,0.16145833333333331,0.8677419354838709,0.35041551246537395,0.388646288209607,0.43111111111111106,0.02459016393442623,0.02521008403361345,0.0314758527524485,0.5,0.1253644314868805
DNK,0.26076696165191743,0.8190000000000001,0.08333333333333333,0.7580645161290323,0.37119113573407203,0.42066957787481807,0.47555555555555545,0.00819672131147541,0.008403361344537816,0.029854778790949006,0.5032258064516129,0.16034985422740525
DJI,0.0034441521167184875,0.389,0.4114583333333333,0.0,0.745152354570637,0.7671033478893741,0.7822222222222222,0.3032786885245902,0.31092436974789917,0.014589665653495442,0.025806451612903226,0.6268221574344024
DMA,0.05183312262958281,0.46299999999999997,0.25,0.0,0.6925207756232686,0.735080058224163,0.7718518518518518,0.22950819672131148,0.23529411764705882,0.1661600810536981,0.5709677419354838,0.6064139941690961
DOM,0.01886002474069845,0.45799999999999996,0.3749999999999999,0.0,0.7271468144044321,0.7540029112081513,0.7733333333333333,0.2540983606557377,0.2605042016806723,0.0669368456602499,0.432258064516129,0.5947521865889213
ECU,0.013215339233038349,0.795,0.5156249999999999,0.025806451612903226,0.7520775623268697,0.759825327510917,0.76,0.2868852459016394,0.29411764705882354,0.05295508274231679,0.44516129032258067,0.6268221574344024
EGY,0.0009896279379579408,0.294,0.6145833333333331,0.13870967741935483,0.6343490304709141,0.6215429403202329,0.6059259259259259,0.2540983606557377,0.2605042016806723,0.003512326916582236,0.04516129032258064,0.22157434402332365
SLV,0.0006293018682399213,0.318,0.5937499999999999,0.0,0.7714681440443213,0.770014556040757,0.76,0.36885245901639346,0.3781512605042017,0.0032421479229989866,0.1,0.5481049562682215
GNQ,0.028550358196375896,0.746,0.29166666666666663,0.0,0.7562326869806094,0.7947598253275109,0.8266666666666667,0.22950819672131148,0.23529411764705882,0.09152313407632556,0.39354838709677414,0.8104956268221574
ERI,0.0009227743741018078,0.24100000000000002,0.6874999999999999,0.00967741935483871,0.7548476454293629,0.7394468704512371,0.714074074074074,0.319672131147541,0.32773109243697485,0.004120229652144545,0.04838709677419355,0.4693877551020408
EST,,0.872,0.171875,0.9838709677419355,0.26592797783933514,0.29839883551673946,0.33925925925925926,0.0,0.0,0.017494089834515364,0.49032258064516127,0.09620991253644315
ETH,0.0022501200521369276,0.259,0.7291666666666665,0.03225806451612903,0.7493074792243767,0.727802037845706,0.6977777777777777,0.3524590163934426,0.3613445378151261,0.011077338736913205,0.054838709677419356,0.37900874635568516
FJI,0.021148173360562742,0.725,0.20833333333333331,0.0,0.7590027700831025,0.8107714701601164,0.8548148148148148,0.319672131147541,0.32773109243697485,0.0944275582573455,0.34516129032258064,0.7842565597667639
FIN,,0.755,0.2447916666666666,1.0,0.20914127423822712,0.22707423580786026,0.25481481481481477,0.0,0.0,0.01425194191151638,0.5419354838709678,0.0641399416909621
FRA,0.06835229667088073,0.765,0.22916666666666666,0.5225806451612903,0.4542936288088642,0.487627365356623,0.522962962962963,0.05737704918032787,0.058823529411764705,0.05477879094900371,0.5580645161290323,0.19533527696793004
GAB,0.03485364193328795,0.84,0.29687499999999994,0.0,0.7659279778393351,0.8064046579330423,0.837037037037037,0.21311475409836067,0.2184873949579832,0.10374873353596757,0.3806451612903226,0.8104956268221574
GMB,0.0,0.28800000000000003,0.8072916666666664,0.0,0.8102493074792243,0.7816593886462883,0.7407407407407407,0.3606557377049181,0.3697478991596639,0.0,0.0,0.32944606413994176
GEO,0.04793510324483776,0.727,0.29687499999999994,0.8612903225806451,0.3268698060941828,0.34497816593886466,0.36740740740740735,0.06557377049180328,0.06722689075630253,0.04390408645727795,0.3838709677419355,0.0728862973760933
DEU,0.15250737463126846,0.865,0.13020833333333334,0.7612903225806452,0.38227146814404434,0.4250363901018923,0.47407407407407404,0.01639344262295082,0.016806722689075633,0.03492063492063492,0.5645161290322581,0.16034985422740525
GHA,0.00055891942244993,0.556,0.5572916666666665,0.0,0.8102493074792243,0.8165938864628821,0.8118518518518518,0.3114754098360656,0.319327731092437,0.0024316109422492403,0.054838709677419356,0.4868804664723032
GRC,0.06553588987217306,0.626,0.22395833333333334,0.23548387096774193,0.5110803324099723,0.5487627365356623,0.5851851851851851,0.09836065573770492,0.1008403361344538,0.0900371496116177,0.42903225806451617,0.22740524781341112
GRD,0.0016350611040876527,0.475,0.28125,0.0,0.7520775623268697,0.7933042212518194,0.8266666666666667,0.2868852459016394,0.29411764705882354,0.006551840594393786,0.16774193548387098,0.7142857142857143
GTM,0.016184857423795475,0.43799999999999994,0.43749999999999994,0.00967741935483871,0.7160664819944599,0.7336244541484717,0.7437037037037036,0.24590163934426232,0.25210084033613445,0.05558932792975346,0.35806451612903223,0.5772594752186588
GIN,0.00038416683816971936,0.37,0.6927083333333331,0.0,0.7977839335180056,0.784570596797671,0.7585185185185185,0.3524590163934426,0.3613445378151261,0.0018912529550827422,0.00967741935483871,0.3935860058309038
GNB,0.0,0.281,0.6562499999999999,0.0,0.7867036011080332,0.7758369723435224,0.7555555555555555,0.319672131147541,0.32773109243697485,0.0,0.0,0.4344023323615161
GUY,0.007248209018120521,0.631,0.31249999999999994,0.0,0.7631578947368421,0.8005822416302766,0.8296296296296296,0.2868852459016394,0.29411764705882354,0.029044241810199257,0.3258064516129032,0.6967930029154519
HTI,0.006231563421828908,0.442,0.39583333333333326,0.0,0.7354570637119113,0.759825327510917,0.7762962962962963,0.26229508196721313,0.26890756302521013,0.02283012495778453,0.24838709677419354,0.5860058309037901
HND,0.01598125976054138,0.46299999999999997,0.3333333333333333,0.0,0.7105263157894736,0.7409024745269287,0.7659259259259259,0.27868852459016397,0.28571428571428575,0.062208713272543056,0.4483870967741936,0.5976676384839651
HKG,0.0035398230088495575,0.489,0.29687499999999994,0.0,0.6343490304709141,0.6666666666666666,0.6962962962962963,0.19672131147540983,0.2016806722689076,0.009726443768996961,0.27741935483870966,0.38483965014577265
HUN,0.04106194690265486,0.807,0.21874999999999994,0.8387096774193549,0.37950138504155123,0.4104803493449782,0.44444444444444436,0.04098360655737705,0.04201680672268908,0.023505572441742652,0.4161290322580645,0.12244897959183675
ISL,0.24660766961651917,0.736,0.18229166666666666,0.8193548387096774,0.3767313019390581,0.4119359534206696,0.4518518518518518,0.02459016393442623,0.02521008403361345,0.08470111448834854,0.6290322580645161,0.1341107871720117
IND,0.003946699216763299,0.235,0.5937499999999999,0.09032258064516129,0.685595567867036,0.6797671033478894,0.6666666666666666,0.2377049180327869,0.24369747899159666,0.013103681188787571,0.05161290322580645,0.3615160349854228
IDN,0.05100563153660498,0.7240000000000001,0.3281249999999999,0.0,0.7686980609418282,0.8034934497816594,0.8296296296296296,0.27049180327868855,0.2773109243697479,0.19270516717325228,0.6580645161290322,0.8075801749271138
