Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.033148967551622416,0.544,0.4322916666666666,0.7096774193548387,0.42382271468144045,0.4264919941775837,0.43259259259259253,0.13114754098360656,0.12144212523719165,0.05484633569739953,0.31935483870967746,0.09329446064139942
ALB,0.05581074120897129,0.71,0.34895833333333326,0.7580645161290323,0.40027700831024926,0.41484716157205237,0.43111111111111106,0.0737704918032787,0.0683111954459203,0.051941911516379606,0.39354838709677414,0.13119533527696794
DZA,0.002513759593405611,0.34299999999999997,0.5989583333333333,0.09032258064516129,0.6440443213296398,0.636098981077147,0.6222222222222222,0.27049180327868855,0.2504743833017078,0.008578183046268152,0.06129032258064516,0.17784256559766767
AND,0.029610900407360585,0.625,0.33854166666666663,0.7903225806451613,0.3961218836565097,0.4104803493449782,0.4281481481481481,0.0737704918032787,0.0683111954459203,0.027558257345491385,0.27741935483870966,0.1253644314868805
AGO,0.021554993678887482,0.741,0.4531249999999999,0.0,0.7534626038781163,0.770014556040757,0.7777777777777778,0.27868852459016397,0.2580645161290323,0.07578520770010132,0.3387096774193548,0.5830903790087464
ATG,0.00944723669739858,0.5,0.26562499999999994,0.0,0.7423822714681441,0.784570596797671,0.8192592592592592,0.3360655737704918,0.3111954459203036,0.04005403579871665,0.3064516129032258,0.6676384839650146
ARG,0.005137524717170734,0.445,0.5989583333333333,0.03225806451612903,0.7368421052631579,0.7321688500727801,0.7199999999999999,0.42622950819672134,0.3946869070208729,0.027625802093887198,0.1935483870967742,0.42274052478134116
ARM,0.042456805731142,0.7020000000000001,0.33854166666666663,0.8935483870967742,0.27700831024930744,0.2867540029112082,0.3022222222222222,0.04918032786885246,0.045540796963946875,0.02634245187436677,0.35806451612903223,0.05539358600583091
AUS,0.0073194764631516335,0.374,0.5833333333333333,0.0,0.8310249307479224,0.834061135371179,0.8251851851851851,0.5573770491803279,0.5161290322580646,0.05146909827760892,0.2064516129032258,0.5102040816326531
AUT,0.03842885236690546,0.657,0.31770833333333326,0.8903225806451613,0.3047091412742382,0.31877729257641924,0.33777777777777773,0.04918032786885246,0.045540796963946875,0.023843296183721715,0.33548387096774196,0.06997084548104957
