Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.0002502905157772414,0.293,0.6822916666666665,0.012903225806451613,0.7977839335180056,0.784570596797671,0.7614814814814814,0.5409836065573771,0.5546218487394958,0.0018912529550827422,0.06451612903225806,0.25947521865889217
ALB,0.0010260356547390022,0.325,0.6354166666666665,0.0,0.7590027700831025,0.7510917030567685,0.7333333333333333,0.3770491803278688,0.3865546218487395,0.005403579871664978,0.08064516129032258,0.4548104956268222
DZA,6.163870910932066e-05,0.37200000000000005,0.6562499999999999,0.0,0.9002770083102493,0.8966521106259098,0.8785185185185185,0.5491803278688525,0.5630252100840336,0.00047281323877068556,0.012903225806451613,0.370262390670554
AND,0.010701409373975745,0.46299999999999997,0.46354166666666663,0.0,0.6440443213296398,0.653566229985444,0.6592592592592592,0.2950819672131148,0.3025210084033613,0.04410672070246538,0.2709677419354839,0.3440233236151604
AGO,0.00018026876433956078,0.519,0.7395833333333333,0.0032258064516129032,0.7465373961218836,0.7234352256186317,0.6918518518518518,0.2950819672131148,0.3025210084033613,0.0007429922323539345,0.0064516129032258064,0.34693877551020413
ATG,0.04198176454813623,0.563,0.18749999999999997,0.0,0.7645429362880887,0.8195050946142648,0.8666666666666667,0.3606557377049181,0.3697478991596639,0.2114826072272881,0.6419354838709677,0.8221574344023324
ARG,0.007874823650121841,0.462,0.5677083333333333,0.4161290322580645,0.5692520775623269,0.5604075691411936,0.5496296296296296,0.1885245901639344,0.19327731092436976,0.020736237757514354,0.15483870967741936,0.21282798833819247
ARM,0.009390363815142575,0.34299999999999997,0.5885416666666665,0.0,0.721606648199446,0.7190684133915576,0.7066666666666666,0.39344262295081966,0.4033613445378152,0.051604187774400546,0.2838709677419355,0.30612244897959184
AUS,0.0023901369034112397,0.254,0.6406249999999999,0.08709677419354839,0.6759002770083102,0.6622998544395924,0.642962962962963,0.319672131147541,0.32773109243697485,0.010672070246538332,0.12580645161290321,0.2740524781341108
AUT,0.03505786249149081,0.591,0.31770833333333326,0.02903225806451613,0.6052631578947368,0.6331877729257641,0.6592592592592592,0.21311475409836067,0.2184873949579832,0.10435663627152988,0.567741935483871,0.370262390670554
AZE,0.004781219272369714,0.446,0.4999999999999999,0.0064516129032258064,0.7659279778393351,0.7758369723435224,0.7792592592592592,0.39344262295081966,0.4033613445378152,0.026274907125970956,0.1870967741935484,0.4548104956268222
BHS,0.012171347954341414,0.574,0.41666666666666663,0.0,0.8144044321329639,0.8398835516739447,0.8548148148148148,0.3770491803278688,0.3865546218487395,0.0640999662276258,0.3258064516129032,0.8134110787172012
BHR,0.0,0.305,0.6041666666666665,0.0,0.9432132963988918,0.9490538573508006,0.9392592592592592,0.7868852459016393,0.8067226890756304,0.0,0.0,0.5510204081632654
BGD,0.05868239921337266,0.865,0.15104166666666663,0.0,0.7839335180055401,0.8442503639010189,0.8962962962962963,0.24590163934426232,0.25210084033613445,0.20155352921310365,0.5161290322580645,0.9329446064139942
BRB,0.03155656170679838,0.563,0.25,0.0,0.7700831024930748,0.8165938864628821,0.8548148148148148,0.3524590163934426,0.3613445378151261,0.15535292131036813,0.5774193548387097,0.7900874635568513
