Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.001019093323940768,0.268,0.6927083333333331,0.03225806451612903,0.7756232686980609,0.759825327510917,0.7348148148148147,0.5491803278688525,0.5448631065329358,0.007565011820330969,0.16774193548387098,0.25947521865889217
ALB,0.007873386472520345,0.348,0.5520833333333333,0.0,0.7132963988919667,0.7147016011644832,0.7081481481481481,0.3852459016393443,0.3822174030902684,0.04099966227625802,0.3548387096774194,0.4344023323615161
DZA,8.351180614485257e-05,0.39799999999999996,0.6614583333333331,0.0,0.894736842105263,0.8893740902474527,0.8711111111111111,0.5983606557377049,0.593656817565736,0.0006754474839581223,0.01935483870967742,0.3352769679300292
AND,0.015321119908916835,0.556,0.47395833333333326,0.02258064516129032,0.6260387811634349,0.6331877729257641,0.6370370370370371,0.3114754098360656,0.30902683654106805,0.06450523471800068,0.4225806451612903,0.3002915451895044
AGO,0.00011430678466076696,0.40399999999999997,0.7239583333333333,0.0032258064516129032,0.7409972299168974,0.7205240174672489,0.6903703703703703,0.26229508196721313,0.2602331255082678,0.0004052684903748733,0.0032258064516129032,0.370262390670554
ATG,0.03175409345474755,0.625,0.20312499999999997,0.0,0.7673130193905817,0.8195050946142648,0.8637037037037036,0.3770491803278688,0.37408511791813503,0.1618372171563661,0.5225806451612903,0.7842565597667639
ARG,0.015428484986007109,0.523,0.5052083333333333,0.5225806451612903,0.5221606648199446,0.519650655021834,0.517037037037037,0.10655737704918034,0.10571970723773381,0.02222222222222222,0.17096774193548386,0.19533527696793004
ARM,0.005423221894460832,0.361,0.6614583333333331,0.025806451612903226,0.6980609418282548,0.6841339155749636,0.6607407407407406,0.39344262295081966,0.39034968826240174,0.028841607565011824,0.27419354838709675,0.2886297376093295
AUS,0.008083324228850285,0.452,0.5052083333333333,0.04838709677419355,0.6592797783933518,0.6637554585152838,0.6622222222222222,0.2213114754098361,0.21957169964760098,0.024181019925700774,0.2064516129032258,0.3206997084548105
AUT,0.02196595378564405,0.611,0.38541666666666663,0.05806451612903226,0.6038781163434903,0.6229985443959243,0.6399999999999999,0.26229508196721313,0.2602331255082678,0.0778790949003715,0.5129032258064516,0.32653061224489804
AZE,0.002506282093302742,0.409,0.5781249999999999,0.016129032258064516,0.7590027700831025,0.7583697234352256,0.7496296296296295,0.4426229508196722,0.43914339929520196,0.014994934143870313,0.16451612903225804,0.4344023323615161
BHS,0.02612929043470307,0.677,0.3541666666666666,0.0,0.7922437673130194,0.8253275109170306,0.8488888888888888,0.3524590163934426,0.3496882624017349,0.12448497129348193,0.3741935483870968,0.7871720116618076
BHR,0.0,0.253,0.6458333333333333,0.0,0.9349030470914127,0.9344978165938864,0.9185185185185185,0.8934426229508198,0.8864190837625373,0.0,0.0,0.5364431486880467
BGD,0.05350454045925154,0.809,0.18229166666666666,0.0,0.7894736842105263,0.8457059679767103,0.8948148148148148,0.27868852459016397,0.2764976958525346,0.20155352921310365,0.39354838709677414,0.9154518950437318
BRB,0.022616015540686374,0.65,0.23437499999999997,0.0,0.7742382271468143,0.8238719068413392,0.8651851851851852,0.3360655737704918,0.3334236920574682,0.10273556231003039,0.5387096774193548,0.8338192419825073
BLR,0.013393522243079766,0.528,0.44270833333333326,0.00967741935483871,0.6274238227146813,0.6390101892285299,0.6474074074074073,0.27049180327868855,0.2683654106804012,0.04896994258696386,0.4612903225806452,0.370262390670554
BEL,0.00825621576064054,0.672,0.4531249999999999,0.0032258064516129032,0.6426592797783933,0.6550218340611353,0.6607407407407406,0.2868852459016394,0.28462998102466797,0.03201621073961499,0.4129032258064516,0.3615160349854228
BLZ,0.03428477782460083,0.614,0.3541666666666666,0.0,0.7922437673130194,0.8253275109170306,0.8503703703703703,0.34426229508196726,0.3415559772296015,0.15954069571090848,0.6193548387096774,0.8600583090379009
BEN,0.018080525798271494,0.7659999999999999,0.3697916666666666,0.0,0.8130193905817175,0.8442503639010189,0.8651851851851852,0.3114754098360656,0.30902683654106805,0.07612293144208038,0.34516129032258064,0.7959183673469388
BTN,0.06840117994100295,0.7440000000000001,0.4010416666666666,0.12903225806451613,0.6191135734072022,0.636098981077147,0.6503703703703704,0.24590163934426232,0.2439685551640011,0.22735562310030397,0.5612903225806452,0.32944606413994176
BOL,0.015114772996982336,0.494,0.5989583333333333,0.17419354838709677,0.6952908587257618,0.6885007278020377,0.674074074074074,0.2377049180327869,0.23583626999186774,0.048564674096588996,0.14516129032258066,0.44897959183673475
BIH,0.013136208268951632,0.449,0.47395833333333326,0.0,0.6800554016620498,0.6914119359534207,0.6962962962962963,0.34426229508196726,0.3415559772296015,0.061127997298210064,0.4032258064516129,0.37900874635568516
BWA,0.00010160603080957065,0.195,0.8385416666666666,0.12258064516129032,0.7008310249307479,0.6622998544395924,0.6133333333333333,0.19672131147540983,0.19517484413120087,0.0002701789935832489,0.0064516129032258064,0.3323615160349855
BRA,0.019124512910156963,0.606,0.4531249999999999,0.0064516129032258064,0.7493074792243767,0.7656477438136826,0.7748148148148147,0.2213114754098361,0.21957169964760098,0.057210401891252954,0.3548387096774194,0.6618075801749271
BRN,0.09889872173058013,0.713,0.31249999999999994,0.0,0.7894736842105263,0.8282387190684134,0.8592592592592593,0.2540983606557377,0.25210084033613445,0.33968253968253964,0.8129032258064516,0.8804664723032071
BGR,0.012334499554092063,0.515,0.5364583333333331,0.0,0.7202216066481995,0.7234352256186317,0.7199999999999999,0.3524590163934426,0.3496882624017349,0.05876393110435663,0.3387096774193548,0.4606413994169097
BFA,0.012104049342987396,0.42,0.4531249999999999,0.0,0.8490304709141273,0.8704512372634643,0.8814814814814815,0.45081967213114754,0.44727568446733534,0.07375886524822695,0.33548387096774196,0.7317784256559767
BDI,0.0003363509985420269,0.585,0.4479166666666666,0.0,0.6911357340720221,0.7059679767103347,0.714074074074074,0.2377049180327869,0.23583626999186774,0.0010807159743329957,0.02903225806451613,0.49271137026239065
CPV,0.0001457825659441666,0.47600000000000003,0.23437499999999997,0.0,0.7326869806094183,0.7802037845705968,0.8192592592592592,0.3770491803278688,0.37408511791813503,0.0007429922323539345,0.0064516129032258064,0.629737609329446
KHM,0.06047197640117994,0.7979999999999999,0.29166666666666663,0.0,0.7950138504155124,0.8369723435225618,0.8711111111111111,0.2540983606557377,0.25210084033613445,0.2077001013171226,0.5935483870967742,0.9533527696793003
CMR,0.03261553588987218,0.78,0.35937499999999994,0.0,0.7659279778393351,0.7962154294032023,0.8192592592592592,0.24590163934426232,0.2439685551640011,0.10840932117527863,0.49032258064516127,0.7113702623906706
CAN,0.011899195163698606,0.642,0.39583333333333326,0.3419354838709677,0.5346260387811634,0.5487627365356623,0.5614814814814815,0.2213114754098361,0.21957169964760098,0.03559608240459305,0.2903225806451613,0.23906705539358605
CAF,0.02398482932996207,0.565,0.44270833333333326,0.0,0.778393351800554,0.7991266375545852,0.8088888888888888,0.2868852459016394,0.28462998102466797,0.09300911854103343,0.36774193548387096,0.7201166180758017
TCD,0.002097865694950546,0.325,0.6927083333333331,0.0,0.8933518005540166,0.883551673944687,0.8607407407407407,0.5573770491803279,0.5529953917050692,0.01580547112462006,0.0967741935483871,0.48104956268221577
CHL,0.03505408062930187,0.474,0.33854166666666663,0.5483870967741935,0.46675900277008314,0.4847161572052402,0.5051851851851851,0.09836065573770492,0.09758742206560043,0.04660587639311044,0.15806451612903227,0.15743440233236153
